Tap Time,ITI,Asynchornies,Tone Time,IOI
1.01,0.39,0.020000000000000018,0.99,0.48
1.52,0.51,0.030000000000000027,1.49,0.5
,,,1.97,0.48
2.46,,0.0,2.46,0.49
2.99,0.5300000000000002,0.050000000000000266,2.94,0.48
,,,3.44,0.5
3.93,,,,
4.42,0.48999999999999977,0.009999999999999787,4.41,
,,,4.91,0.5
,,,5.39,0.47999999999999954
5.93,,0.0699999999999994,5.86,0.47000000000000064
6.41,0.4800000000000004,0.07000000000000028,6.34,0.47999999999999954
6.88,0.46999999999999975,0.040000000000000036,6.84,0.5
7.36,0.4800000000000004,0.020000000000000462,7.34,0.5
7.77,0.40999999999999925,-0.03000000000000025,7.8,0.45999999999999996
8.23,0.46000000000000085,-0.049999999999998934,8.28,0.47999999999999954
,,,8.76,0.4800000000000004
9.28,,0.049999999999998934,9.23,0.47000000000000064
9.73,0.45000000000000107,0.040000000000000924,9.69,0.4599999999999991
10.27,0.5399999999999991,0.11999999999999922,10.15,0.46000000000000085
,,,10.62,0.46999999999999886
,,,11.12,0.5
11.7,,,,
,,,12.07,
12.61,,0.02999999999999936,12.58,0.5099999999999998
13.12,0.5099999999999998,0.06999999999999851,13.05,0.47000000000000064
,,,13.54,0.48999999999999844
14.07,,0.019999999999999574,14.05,0.5100000000000016
,,,14.53,0.47999999999999865
15.07,,0.08000000000000007,14.99,0.46000000000000085
15.56,0.4900000000000002,0.07000000000000028,15.49,0.5
16.08,0.5199999999999978,0.09999999999999787,15.98,0.4900000000000002
16.49,0.41000000000000014,0.04999999999999716,16.44,0.46000000000000085
17.0,0.5100000000000016,0.0799999999999983,16.92,0.4800000000000004
,,,17.41,0.48999999999999844
17.96,,0.03999999999999915,17.92,0.5100000000000016
18.43,0.46999999999999886,0.030000000000001137,18.4,0.4799999999999969
,,,18.86,0.46000000000000085
19.41,,,,
19.94,0.5300000000000011,,,
20.42,0.4800000000000004,0.10000000000000142,20.32,
20.87,0.4499999999999993,0.07000000000000028,20.8,0.4800000000000004
21.3,0.4299999999999997,0.0,21.3,0.5
,,,,
22.26,,0.0,22.26,
22.78,0.5199999999999996,0.0400000000000027,22.74,0.4799999999999969
23.22,0.4399999999999977,0.019999999999999574,23.2,0.46000000000000085
23.76,0.5400000000000027,0.07000000000000028,23.69,0.490000000000002
,,,24.19,0.5
24.74,,0.04999999999999716,24.69,0.5
,,,25.17,0.4800000000000004
25.7,,0.03999999999999915,25.66,0.48999999999999844
26.18,0.4800000000000004,0.05999999999999872,26.12,0.46000000000000085
26.66,0.4800000000000004,0.03999999999999915,26.62,0.5
27.13,0.46999999999999886,0.05000000000000071,27.08,0.4599999999999973
27.6,0.4700000000000024,0.0400000000000027,27.56,0.4800000000000004
28.1,0.5,0.08999999999999986,28.01,0.45000000000000284
28.6,0.5,0.10000000000000142,28.5,0.48999999999999844
