Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.41,0.27999999999999997
,,,0.64,0.23000000000000004
0.96,,0.039999999999999925,0.92,0.28
1.23,0.27,0.040000000000000036,1.19,0.2699999999999999
,,,,
1.78,,0.0,1.78,
2.07,0.2899999999999998,-0.020000000000000018,2.09,0.30999999999999983
2.36,0.29000000000000004,,,
,,,2.64,
2.9,,0.0,2.9,0.2599999999999998
3.18,0.28000000000000025,-0.029999999999999805,3.21,0.31000000000000005
,,,3.47,0.26000000000000023
3.78,,0.020000000000000018,3.76,0.2899999999999996
4.04,0.26000000000000023,0.009999999999999787,4.03,0.27000000000000046
,,,4.32,0.29000000000000004
4.61,,-0.009999999999999787,4.62,0.2999999999999998
,,,4.89,0.2699999999999996
5.2,,0.04999999999999982,5.15,0.2600000000000007
5.48,0.28000000000000025,0.040000000000000036,5.44,0.29000000000000004
5.69,0.20999999999999996,-0.04999999999999982,5.74,0.2999999999999998
6.01,0.3199999999999994,0.0,6.01,0.2699999999999996
6.32,0.3100000000000005,0.03000000000000025,6.29,0.28000000000000025
,,,6.58,0.29000000000000004
6.82,,-0.04999999999999982,6.87,0.29000000000000004
,,,7.14,0.2699999999999996
7.4,,0.0,7.4,0.2600000000000007
7.67,0.2699999999999996,-0.03000000000000025,7.7,0.2999999999999998
7.96,0.29000000000000004,-0.009999999999999787,7.97,0.2699999999999996
8.26,0.2999999999999998,0.019999999999999574,8.24,0.27000000000000046
8.54,0.27999999999999936,0.02999999999999936,8.51,0.2699999999999996
,,,8.81,0.3000000000000007
9.07,,-0.02999999999999936,9.1,0.28999999999999915
9.38,0.3100000000000005,0.0,9.38,0.28000000000000114
9.63,0.25,-0.019999999999999574,9.65,0.2699999999999996
,,,9.95,0.29999999999999893
,,,10.23,0.28000000000000114
,,,,
10.81,,0.030000000000001137,10.78,
11.1,0.28999999999999915,0.03999999999999915,11.06,0.28000000000000114
,,,11.35,0.28999999999999915
,,,11.65,0.3000000000000007
11.91,,-0.009999999999999787,11.92,0.2699999999999996
12.17,0.2599999999999998,-0.040000000000000924,12.21,0.2900000000000009
,,,12.49,0.27999999999999936
12.79,,0.019999999999999574,12.77,0.27999999999999936
13.05,0.26000000000000156,0.010000000000001563,13.04,0.2699999999999996
13.34,0.28999999999999915,0.009999999999999787,13.33,0.2900000000000009
13.6,0.2599999999999998,0.009999999999999787,13.59,0.2599999999999998
13.91,0.3100000000000005,0.05000000000000071,13.86,0.2699999999999996
14.18,0.2699999999999996,0.0600000000000005,14.12,0.2599999999999998
,,,14.41,0.2900000000000009
14.75,,0.05000000000000071,14.7,0.28999999999999915
15.03,0.27999999999999936,0.049999999999998934,14.98,0.28000000000000114
,,,15.25,0.2699999999999996
15.56,,0.02000000000000135,15.54,0.28999999999999915
,,,15.8,0.26000000000000156
16.14,,0.05000000000000071,16.09,0.28999999999999915
16.41,0.2699999999999996,0.03999999999999915,16.37,0.28000000000000114
16.69,0.28000000000000114,0.0400000000000027,16.65,0.2799999999999976
16.96,0.2699999999999996,0.060000000000002274,16.9,0.25
17.23,0.2699999999999996,0.010000000000001563,17.22,0.3200000000000003
17.52,0.28999999999999915,0.03999999999999915,17.48,0.26000000000000156
,,,17.77,0.28999999999999915
,,,18.05,0.28000000000000114
,,,18.34,0.28999999999999915
18.63,,0.029999999999997584,18.6,0.26000000000000156
18.95,0.3200000000000003,0.05000000000000071,18.9,0.29999999999999716
,,,19.2,0.3000000000000007
19.5,,0.019999999999999574,19.48,0.28000000000000114
19.77,0.2699999999999996,0.00999999999999801,19.76,0.28000000000000114
20.07,0.3000000000000007,0.0,20.07,0.3099999999999987
,,,20.33,0.259999999999998
,,,20.64,0.3100000000000023
,,,20.91,0.2699999999999996
21.17,,-0.00999999999999801,21.18,0.2699999999999996
21.44,0.2699999999999996,-0.029999999999997584,21.47,0.28999999999999915
21.73,0.28999999999999915,-0.05000000000000071,21.78,0.3100000000000023
22.02,0.28999999999999915,0.0,22.02,0.23999999999999844
22.32,0.3000000000000007,0.0,22.32,0.3000000000000007
,,,22.6,0.28000000000000114
22.9,,0.0,22.9,0.29999999999999716
23.18,0.28000000000000114,0.00999999999999801,23.17,0.2700000000000031
23.49,0.3099999999999987,0.019999999999999574,23.47,0.29999999999999716
23.75,0.26000000000000156,0.010000000000001563,23.74,0.2699999999999996
24.03,0.28000000000000114,0.0,24.03,0.2900000000000027
24.28,0.25,-0.00999999999999801,24.29,0.259999999999998
24.59,0.3099999999999987,0.0,24.59,0.3000000000000007
24.86,0.2699999999999996,-0.010000000000001563,24.87,0.28000000000000114
25.15,0.28999999999999915,0.0,25.15,0.2799999999999976
25.42,0.2700000000000031,0.020000000000003126,25.4,0.25
25.72,0.29999999999999716,0.019999999999999574,25.7,0.3000000000000007
25.99,0.2699999999999996,0.0,25.99,0.28999999999999915
26.27,0.28000000000000114,0.0,26.27,0.28000000000000114
26.54,0.2699999999999996,0.00999999999999801,26.53,0.26000000000000156
26.83,0.28999999999999915,-0.010000000000001563,26.84,0.3099999999999987
27.11,0.28000000000000114,0.030000000000001137,27.08,0.23999999999999844
27.39,0.28000000000000114,0.019999999999999574,27.37,0.2900000000000027
27.64,0.25,0.010000000000001563,27.63,0.259999999999998
27.94,0.3000000000000007,0.019999999999999574,27.92,0.2900000000000027
28.18,0.23999999999999844,0.0,28.18,0.259999999999998
28.48,0.3000000000000007,0.0,28.48,0.3000000000000007
,,,28.76,0.28000000000000114
29.06,,0.019999999999999574,29.04,0.2799999999999976
,,,29.31,0.2699999999999996
29.6,,0.030000000000001137,29.57,0.26000000000000156
29.88,0.2799999999999976,0.029999999999997584,29.85,0.28000000000000114
30.16,0.28000000000000114,0.030000000000001137,30.13,0.2799999999999976
30.44,0.28000000000000114,0.0400000000000027,30.4,0.2699999999999996
,,,30.68,0.28000000000000114
30.92,,-0.029999999999997584,30.95,0.2699999999999996
,,,31.25,0.3000000000000007
,,,31.51,0.26000000000000156
,,,31.81,0.29999999999999716
,,,32.06,0.25000000000000355
32.41,,0.05999999999999517,32.35,0.28999999999999915
,,,32.63,0.28000000000000114
,,,32.93,0.29999999999999716
33.16,,,,
,,,33.49,
33.77,,0.0,33.77,0.28000000000000114
34.06,0.28999999999999915,0.010000000000005116,34.05,0.27999999999999403
34.33,0.269999999999996,0.00999999999999801,34.32,0.2700000000000031
34.63,0.30000000000000426,0.030000000000001137,34.6,0.28000000000000114
34.89,0.259999999999998,0.00999999999999801,34.88,0.28000000000000114
35.14,0.25,0.0,35.14,0.259999999999998
35.46,0.3200000000000003,0.030000000000001137,35.43,0.28999999999999915
,,,35.72,0.28999999999999915
35.98,,0.01999999999999602,35.96,0.240000000000002
,,,,
,,,36.55,
,,,36.83,0.28000000000000114
37.12,,0.00999999999999801,37.11,0.28000000000000114
,,,37.41,0.29999999999999716
37.66,,-0.010000000000005116,37.67,0.2600000000000051
37.94,0.28000000000000114,-0.020000000000003126,37.96,0.28999999999999915
,,,38.23,0.269999999999996
38.53,,0.0,38.53,0.30000000000000426
38.83,0.29999999999999716,0.01999999999999602,38.81,0.28000000000000114
39.09,0.2600000000000051,0.0,39.09,0.28000000000000114
39.4,0.30999999999999517,0.01999999999999602,39.38,0.28999999999999915
,,,39.67,0.28999999999999915
39.97,,0.00999999999999801,39.96,0.28999999999999915
40.22,0.25,-0.020000000000003126,40.24,0.28000000000000114
,,,40.52,0.28000000000000114
,,,40.81,0.28999999999999915
,,,41.08,0.269999999999996
41.36,,0.0,41.36,0.28000000000000114
41.63,0.2700000000000031,-0.01999999999999602,41.65,0.28999999999999915
41.92,0.28999999999999915,-0.00999999999999801,41.93,0.28000000000000114
42.22,0.29999999999999716,0.0,42.22,0.28999999999999915
42.51,0.28999999999999915,,,
,,,42.76,
,,,43.05,0.28999999999999915
43.3,,0.02999999999999403,43.27,0.22000000000000597
43.57,0.2700000000000031,-0.020000000000003126,43.59,0.3200000000000003
,,,43.85,0.259999999999998
44.15,,0.01999999999999602,44.13,0.28000000000000114
,,,44.4,0.269999999999996
,,,44.68,0.28000000000000114
44.98,,0.03999999999999915,44.94,0.259999999999998
,,,45.22,0.28000000000000114
,,,45.51,0.28999999999999915
45.85,,0.05000000000000426,45.8,0.28999999999999915
,,,46.05,0.25
,,,46.35,0.30000000000000426
,,,46.64,0.28999999999999915
46.93,,-0.00999999999999801,46.94,0.29999999999999716
47.2,0.2700000000000031,-0.00999999999999801,47.21,0.2700000000000031
,,,47.5,0.28999999999999915
,,,47.79,0.28999999999999915
48.08,,0.00999999999999801,48.07,0.28000000000000114
48.37,0.28999999999999915,0.01999999999999602,48.35,0.28000000000000114
,,,48.64,0.28999999999999915
48.91,,0.0,48.91,0.269999999999996
49.22,0.3100000000000023,0.00999999999999801,49.21,0.30000000000000426
,,,49.48,0.269999999999996
49.75,,0.0,49.75,0.2700000000000031
,,,50.04,0.28999999999999915
50.34,,0.010000000000005116,50.33,0.28999999999999915
,,,50.6,0.2700000000000031
50.89,,0.0,50.89,0.28999999999999915
51.16,0.269999999999996,-0.010000000000005116,51.17,0.28000000000000114
51.5,0.3400000000000034,0.060000000000002274,51.44,0.269999999999996
51.77,0.2700000000000031,0.060000000000002274,51.71,0.2700000000000031
52.01,0.23999999999999488,0.0,52.01,0.29999999999999716
52.25,0.240000000000002,-0.030000000000001137,52.28,0.2700000000000031
52.58,0.3299999999999983,0.0,52.58,0.29999999999999716
52.83,0.25,-0.010000000000005116,52.84,0.2600000000000051
53.16,0.3299999999999983,0.02999999999999403,53.13,0.28999999999999915
53.39,0.23000000000000398,-0.00999999999999801,53.4,0.269999999999996
53.72,0.3299999999999983,0.01999999999999602,53.7,0.30000000000000426
53.93,0.21000000000000085,-0.020000000000003126,53.95,0.25
,,,54.24,0.28999999999999915
54.53,,-0.00999999999999801,54.54,0.29999999999999716
54.83,0.29999999999999716,0.01999999999999602,54.81,0.2700000000000031
55.12,0.28999999999999915,0.02999999999999403,55.09,0.28000000000000114
55.4,0.28000000000000114,0.03999999999999915,55.36,0.269999999999996
,,,55.63,0.2700000000000031
55.97,,0.04999999999999716,55.92,0.28999999999999915
