Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,,0.030000000000000027,0.62,0.39
1.01,0.36,0.0,1.01,0.39
1.34,0.33000000000000007,-0.039999999999999813,1.38,0.3699999999999999
,,,1.75,0.3700000000000001
,,,2.13,0.3799999999999999
2.52,,0.020000000000000018,2.5,0.3700000000000001
,,,2.89,0.3900000000000001
3.28,,0.0,3.28,0.3899999999999997
3.68,0.40000000000000036,0.020000000000000018,3.66,0.38000000000000034
4.07,0.3900000000000001,0.020000000000000462,4.05,0.3899999999999997
4.44,0.3700000000000001,0.020000000000000462,4.42,0.3700000000000001
4.83,0.3899999999999997,0.020000000000000462,4.81,0.3899999999999997
,,,5.2,0.39000000000000057
,,,5.58,0.3799999999999999
,,,5.97,0.3899999999999997
6.41,,0.0600000000000005,6.35,0.3799999999999999
6.77,0.35999999999999943,0.04999999999999982,6.72,0.3700000000000001
7.14,0.3700000000000001,0.02999999999999936,7.11,0.39000000000000057
7.52,0.3799999999999999,0.019999999999999574,7.5,0.3899999999999997
7.89,0.3700000000000001,0.009999999999999787,7.88,0.3799999999999999
,,,8.27,0.3899999999999997
8.67,,0.009999999999999787,8.66,0.39000000000000057
9.06,0.39000000000000057,0.0,9.06,0.40000000000000036
9.44,0.379999999999999,0.0,9.44,0.379999999999999
,,,9.83,0.39000000000000057
,,,10.21,0.3800000000000008
,,,10.58,0.3699999999999992
11.04,,0.0799999999999983,10.96,0.3800000000000008
,,,11.34,0.379999999999999
11.71,,-0.02999999999999936,11.74,0.40000000000000036
,,,12.12,0.379999999999999
12.6,,0.08999999999999986,12.51,0.39000000000000057
12.92,0.3200000000000003,0.019999999999999574,12.9,0.39000000000000057
,,,13.28,0.379999999999999
13.67,,0.009999999999999787,13.66,0.3800000000000008
14.05,0.3800000000000008,0.0,14.05,0.39000000000000057
,,,14.44,0.3899999999999988
,,,14.83,0.39000000000000057
15.21,,-0.009999999999999787,15.22,0.39000000000000057
15.67,0.4599999999999991,0.07000000000000028,15.6,0.379999999999999
15.94,0.2699999999999996,-0.05000000000000071,15.99,0.39000000000000057
16.35,0.4100000000000019,-0.019999999999999574,16.37,0.3800000000000008
,,,16.76,0.39000000000000057
,,,17.15,0.389999999999997
,,,17.52,0.370000000000001
17.93,,0.019999999999999574,17.91,0.39000000000000057
,,,18.3,0.39000000000000057
