Tap Time,ITI,Asynchornies,Tone Time,IOI
0.46,0.43000000000000005,0.07,0.39,
0.84,0.37999999999999995,,,
1.23,0.39,0.040000000000000036,1.19,
1.66,0.42999999999999994,0.07999999999999985,1.58,0.3900000000000001
2.04,0.3800000000000001,0.06000000000000005,1.98,0.3999999999999999
2.42,0.3799999999999999,0.040000000000000036,2.38,0.3999999999999999
2.8,0.3799999999999999,0.029999999999999805,2.77,0.3900000000000001
3.2,0.40000000000000036,0.040000000000000036,3.16,0.3900000000000001
3.6,0.3999999999999999,0.040000000000000036,3.56,0.3999999999999999
4.02,0.4199999999999995,0.04999999999999938,3.97,0.41000000000000014
4.38,0.3600000000000003,0.019999999999999574,4.36,0.3900000000000001
4.76,0.3799999999999999,0.040000000000000036,4.72,0.35999999999999943
,,,5.14,0.41999999999999993
5.53,,-0.009999999999999787,5.54,0.40000000000000036
5.97,0.4399999999999995,0.08000000000000007,5.89,0.34999999999999964
6.33,0.3600000000000003,0.009999999999999787,6.32,0.4300000000000006
6.76,0.4299999999999997,0.040000000000000036,6.72,0.39999999999999947
7.15,0.39000000000000057,0.05000000000000071,7.1,0.3799999999999999
7.56,0.40999999999999925,0.04999999999999982,7.51,0.41000000000000014
7.94,0.3800000000000008,0.05000000000000071,7.89,0.3799999999999999
8.37,0.4299999999999988,0.08999999999999986,8.28,0.3899999999999997
8.74,0.370000000000001,0.0600000000000005,8.68,0.40000000000000036
9.1,0.35999999999999943,0.02999999999999936,9.07,0.39000000000000057
9.5,0.40000000000000036,0.02999999999999936,9.47,0.40000000000000036
9.94,0.4399999999999995,0.09999999999999964,9.84,0.3699999999999992
10.26,0.3200000000000003,,,
10.72,0.46000000000000085,0.10000000000000142,10.62,
11.11,0.3899999999999988,0.08000000000000007,11.03,0.41000000000000014
11.48,0.370000000000001,0.030000000000001137,11.45,0.41999999999999993
11.91,0.4299999999999997,,,
12.3,0.39000000000000057,,,
12.62,0.3199999999999985,0.049999999999998934,12.57,
13.05,0.4300000000000015,0.0600000000000005,12.99,0.41999999999999993
13.43,0.379999999999999,0.0600000000000005,13.37,0.379999999999999
,,,13.77,0.40000000000000036
14.19,,0.009999999999999787,14.18,0.41000000000000014
14.59,0.40000000000000036,0.009999999999999787,14.58,0.40000000000000036
,,,,
,,,15.34,
15.79,,0.049999999999998934,15.74,0.40000000000000036
,,,16.12,0.3800000000000008
16.57,,,,
,,,16.94,
17.33,,0.0,17.33,0.389999999999997
,,,17.7,0.370000000000001
18.15,,0.07000000000000028,18.08,0.379999999999999
,,,18.48,0.40000000000000213
18.9,,0.029999999999997584,18.87,0.39000000000000057
,,,19.27,0.3999999999999986
19.67,,0.010000000000001563,19.66,0.39000000000000057
20.07,0.3999999999999986,0.03999999999999915,20.03,0.370000000000001
20.43,0.35999999999999943,0.0,20.43,0.3999999999999986
,,,20.79,0.35999999999999943
21.21,,,,
21.57,0.35999999999999943,-0.05000000000000071,21.62,
,,,21.93,0.3099999999999987
22.34,,,,
22.71,0.370000000000001,-0.07000000000000028,22.78,
,,,23.08,0.29999999999999716
23.49,,,,
23.83,0.33999999999999986,-0.08000000000000185,23.91,
,,,24.21,0.3000000000000007
24.62,,,,
24.98,0.35999999999999943,-0.00999999999999801,24.99,
,,,25.36,0.370000000000001
25.84,,0.0799999999999983,25.76,0.40000000000000213
26.24,0.3999999999999986,0.05999999999999872,26.18,0.41999999999999815
26.62,0.38000000000000256,,,
27.0,0.379999999999999,0.05000000000000071,26.95,
27.37,0.370000000000001,0.0400000000000027,27.33,0.379999999999999
27.75,0.379999999999999,0.03999999999999915,27.71,0.38000000000000256
28.15,0.3999999999999986,0.029999999999997584,28.12,0.41000000000000014
28.56,0.41000000000000014,,,
28.93,0.370000000000001,,,
,,,29.28,
29.74,,0.0799999999999983,29.66,0.379999999999999
30.1,0.360000000000003,0.05000000000000071,30.05,0.39000000000000057
30.44,0.33999999999999986,,,
30.88,0.4399999999999977,0.05000000000000071,30.83,
31.27,0.39000000000000057,0.05999999999999872,31.21,0.38000000000000256
,,,31.59,0.379999999999999
,,,,
32.41,,0.01999999999999602,32.39,
32.84,0.4300000000000068,0.060000000000002274,32.78,0.39000000000000057
33.21,0.36999999999999744,0.060000000000002274,33.15,0.36999999999999744
,,,33.58,0.4299999999999997
,,,33.94,0.35999999999999943
34.35,,0.03999999999999915,34.31,0.37000000000000455
34.76,0.4099999999999966,0.0799999999999983,34.68,0.36999999999999744
,,,35.1,0.4200000000000017
35.55,,0.09999999999999432,35.45,0.3500000000000014
35.92,0.37000000000000455,,,
36.29,0.36999999999999744,,,
36.66,0.36999999999999744,,,
,,,,
37.44,,,,
37.82,0.38000000000000256,,,
38.16,0.3399999999999963,,,
38.62,0.46000000000000085,,,
38.99,0.37000000000000455,,,
39.34,0.3500000000000014,-0.01999999999999602,39.36,
39.75,0.4099999999999966,0.030000000000001137,39.72,0.35999999999999943
,,,40.12,0.3999999999999986
40.48,,,,
40.92,0.44000000000000483,0.030000000000001137,40.89,
41.33,0.4099999999999966,,,
41.72,0.39000000000000057,,,
42.12,0.3999999999999986,0.04999999999999716,42.07,
42.42,0.30000000000000426,-0.01999999999999602,42.44,0.36999999999999744
42.83,0.4099999999999966,0.01999999999999602,42.81,0.37000000000000455
43.21,0.38000000000000256,0.020000000000003126,43.19,0.37999999999999545
43.58,0.36999999999999744,0.00999999999999801,43.57,0.38000000000000256
,,,43.98,0.4099999999999966
,,,44.35,0.37000000000000455
,,,44.72,0.36999999999999744
45.15,,,,
45.53,0.38000000000000256,0.09000000000000341,45.44,
,,,45.84,0.4000000000000057
,,,46.23,0.38999999999999346
46.62,,0.03999999999999915,46.58,0.3500000000000014
47.04,0.4200000000000017,0.0899999999999963,46.95,0.37000000000000455
47.39,0.3500000000000014,0.020000000000003126,47.37,0.4199999999999946
,,,47.75,0.38000000000000256
48.21,,0.060000000000002274,48.15,0.3999999999999986
48.61,0.3999999999999986,0.0899999999999963,48.52,0.37000000000000455
48.97,0.35999999999999943,0.060000000000002274,48.91,0.38999999999999346
49.35,0.38000000000000256,0.07000000000000028,49.28,0.37000000000000455
49.73,0.37999999999999545,0.03999999999999915,49.69,0.4099999999999966
50.1,0.37000000000000455,0.030000000000001137,50.07,0.38000000000000256
50.53,0.4299999999999997,0.07000000000000028,50.46,0.39000000000000057
50.91,0.37999999999999545,0.03999999999999915,50.87,0.4099999999999966
,,,51.25,0.38000000000000256
