Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
1.05,,-0.06000000000000005,1.11,
,,,,
,,,2.12,
2.65,,0.029999999999999805,2.62,0.5
3.17,0.52,0.029999999999999805,3.14,0.52
,,,,
4.19,,0.020000000000000462,4.17,
4.68,0.4899999999999993,0.0,4.68,0.5099999999999998
,,,,
5.72,,0.019999999999999574,5.7,
6.26,0.54,0.05999999999999961,6.2,0.5
6.77,0.5099999999999998,0.05999999999999961,6.71,0.5099999999999998
,,,7.22,0.5099999999999998
7.76,,0.02999999999999936,7.73,0.5100000000000007
8.29,0.5299999999999994,0.019999999999999574,8.27,0.5399999999999991
8.76,0.47000000000000064,0.0,8.76,0.4900000000000002
9.31,0.5500000000000007,0.05000000000000071,9.26,0.5
9.86,0.5499999999999989,0.08000000000000007,9.78,0.5199999999999996
10.33,0.47000000000000064,0.019999999999999574,10.31,0.5300000000000011
10.83,0.5,0.02999999999999936,10.8,0.4900000000000002
11.32,0.4900000000000002,0.009999999999999787,11.31,0.5099999999999998
11.87,0.5499999999999989,,,
12.4,0.5300000000000011,0.030000000000001137,12.37,
12.91,0.5099999999999998,,,
13.4,0.4900000000000002,0.0,13.4,
13.97,0.5700000000000003,,,
14.46,0.4900000000000002,0.02000000000000135,14.44,
15.0,0.5399999999999991,0.08000000000000007,14.92,0.4800000000000004
15.5,0.5,0.05000000000000071,15.45,0.5299999999999994
,,,,
16.55,,0.05000000000000071,16.5,
16.98,0.4299999999999997,,,
,,,17.52,
18.01,,,,
,,,18.58,
19.1,,0.0,19.1,0.5200000000000031
19.61,0.509999999999998,0.00999999999999801,19.6,0.5
20.07,0.46000000000000085,,,
20.62,0.5500000000000007,0.010000000000001563,20.61,
21.11,0.48999999999999844,,,
21.63,0.5199999999999996,0.019999999999999574,21.61,
,,,,
,,,,
23.17,,0.0400000000000027,23.13,
23.69,0.5199999999999996,0.05000000000000071,23.64,0.5100000000000016
24.21,0.5199999999999996,,,
24.7,0.48999999999999844,0.029999999999997584,24.67,
25.19,0.490000000000002,,,
25.69,0.5,0.030000000000001137,25.66,
,,,26.18,0.5199999999999996
,,,26.69,0.5100000000000016
,,,27.22,0.5299999999999976
,,,27.75,0.5300000000000011
28.2,,,,
28.82,0.620000000000001,0.05000000000000071,28.77,
29.25,0.4299999999999997,,,
29.79,0.5399999999999991,-0.019999999999999574,29.81,
30.38,0.5899999999999999,,,
30.9,0.5199999999999996,0.07000000000000028,30.83,
,,,,
,,,31.9,
,,,,
32.97,,0.03999999999999915,32.93,
,,,,
,,,33.98,
34.59,,,,
35.02,0.4299999999999997,0.0,35.02,
35.59,0.5700000000000003,,,
36.07,0.4799999999999969,0.07000000000000028,36.0,
36.59,0.5200000000000031,,,
37.1,0.509999999999998,0.03999999999999915,37.06,
37.59,0.490000000000002,,,
38.08,0.4899999999999949,-0.010000000000005116,38.09,
38.69,0.6099999999999994,0.0899999999999963,38.6,0.509999999999998
39.14,0.45000000000000284,0.030000000000001137,39.11,0.509999999999998
,,,39.64,0.5300000000000011
40.22,,0.060000000000002274,40.16,0.519999999999996
,,,,
41.23,,0.03999999999999915,41.19,
41.77,0.5400000000000063,,,
42.28,0.509999999999998,0.03999999999999915,42.24,
42.79,0.509999999999998,,,
43.3,0.509999999999998,0.00999999999999801,43.29,
43.79,0.490000000000002,-0.00999999999999801,43.8,0.509999999999998
44.32,0.5300000000000011,0.020000000000003126,44.3,0.5
44.85,0.5300000000000011,,,
45.37,0.519999999999996,0.04999999999999716,45.32,
45.77,0.4000000000000057,,,
46.37,0.5999999999999943,0.03999999999999915,46.33,
46.86,0.490000000000002,,,
,,,47.35,
47.86,,0.0,47.86,0.509999999999998
48.39,0.5300000000000011,0.020000000000003126,48.37,0.509999999999998
48.88,0.490000000000002,,,
49.41,0.529999999999994,0.00999999999999801,49.4,
49.9,0.490000000000002,,,
50.42,0.5200000000000031,0.0,50.42,
50.9,0.4799999999999969,,,
51.39,0.490000000000002,-0.030000000000001137,51.42,
51.91,0.519999999999996,,,
52.42,0.5100000000000051,-0.03999999999999915,52.46,
52.93,0.509999999999998,,,
53.47,0.5399999999999991,0.03999999999999915,53.43,
53.92,0.45000000000000284,,,
54.45,0.5300000000000011,-0.01999999999999602,54.47,
54.97,0.519999999999996,,,
55.48,0.509999999999998,0.01999999999999602,55.46,
55.99,0.5100000000000051,,,
56.44,0.44999999999999574,0.0,56.44,
56.98,0.5399999999999991,,,
57.5,0.5200000000000031,0.020000000000003126,57.48,
58.02,0.5200000000000031,,,
58.54,0.519999999999996,0.03999999999999915,58.5,
59.04,0.5,0.01999999999999602,59.02,0.5200000000000031
59.54,0.5,0.0,59.54,0.519999999999996
60.06,0.5200000000000031,0.020000000000003126,60.04,0.5
60.55,0.4899999999999949,0.00999999999999801,60.54,0.5
61.06,0.5100000000000051,,,
61.58,0.519999999999996,-0.010000000000005116,61.59,
62.07,0.490000000000002,0.0,62.07,0.4799999999999969
62.63,0.5600000000000023,0.010000000000005116,62.62,0.5499999999999972
63.17,0.5399999999999991,0.020000000000003126,63.15,0.5300000000000011
,,,63.67,0.5200000000000031
64.25,,0.030000000000001137,64.22,0.5499999999999972
64.78,0.5300000000000011,0.04000000000000625,64.74,0.519999999999996
65.31,0.5300000000000011,,,
65.83,0.519999999999996,0.010000000000005116,65.82,
66.35,0.519999999999996,,,
66.87,0.5200000000000102,0.010000000000005116,66.86,
67.41,0.539999999999992,,,
67.89,0.480000000000004,-0.010000000000005116,67.9,
68.45,0.5600000000000023,,,
68.95,0.5,-0.01999999999999602,68.97,
69.53,0.5799999999999983,,,
70.02,0.4899999999999949,-0.020000000000010232,70.04,
70.54,0.5200000000000102,,,
70.98,0.4399999999999977,-0.04999999999999716,71.03,
71.58,0.5999999999999943,,,
72.09,0.5100000000000051,-0.009999999999990905,72.1,
72.6,0.5099999999999909,,,
,,,73.14,
73.62,,,,
74.14,0.519999999999996,-0.01999999999999602,74.16,
74.66,0.519999999999996,0.0,74.66,0.5
75.17,0.5100000000000051,-0.010000000000005116,75.18,0.5200000000000102
75.69,0.519999999999996,,,
,,,76.19,
76.7,,,,
77.18,0.480000000000004,-0.029999999999986926,77.21,
77.69,0.5099999999999909,,,
78.25,0.5600000000000023,0.04000000000000625,78.21,
78.77,0.519999999999996,0.04999999999999716,78.72,0.5100000000000051
79.31,0.5400000000000063,0.04000000000000625,79.27,0.5499999999999972
79.8,0.4899999999999949,,,
80.34,0.5400000000000063,0.060000000000002274,80.28,
80.87,0.5300000000000011,0.05000000000001137,80.82,0.539999999999992
,,,81.36,0.5400000000000063
,,,,
82.42,,0.0,82.42,
82.96,0.539999999999992,,,
83.53,0.5700000000000074,0.07000000000000739,83.46,
84.02,0.4899999999999949,,,
84.55,0.5300000000000011,0.030000000000001137,84.52,
85.08,0.5300000000000011,,,
85.59,0.5100000000000051,,,
86.11,0.519999999999996,,,
86.65,0.5400000000000063,,,
87.21,0.5599999999999881,,,
87.78,0.5700000000000074,0.04999999999999716,87.73,
,,,,
88.79,,0.0,88.79,
89.33,0.539999999999992,,,
89.85,0.519999999999996,0.009999999999990905,89.84,
90.39,0.5400000000000063,,,
90.9,0.5100000000000051,0.010000000000005116,90.89,
91.43,0.5300000000000011,,,
91.96,0.5299999999999869,0.029999999999986926,91.93,
92.45,0.4900000000000091,,,
92.98,0.5300000000000011,-0.01999999999999602,93.0,
93.5,0.519999999999996,-0.030000000000001137,93.53,0.5300000000000011
94.0,0.5,-0.010000000000005116,94.01,0.480000000000004
94.51,0.5100000000000051,,,
95.02,0.5099999999999909,-0.010000000000005116,95.03,
95.55,0.5300000000000011,0.03999999999999204,95.51,0.480000000000004
96.06,0.5100000000000051,0.0,96.06,0.5499999999999972
96.57,0.5099999999999909,0.01999999999999602,96.55,0.4899999999999949
97.04,0.4700000000000131,-0.029999999999986926,97.07,0.519999999999996
97.63,0.5899999999999892,,,
98.14,0.5100000000000051,0.0,98.14,
98.6,0.45999999999999375,,,
99.13,0.5300000000000011,-0.020000000000010232,99.15,
99.65,0.5200000000000102,,,
100.21,0.5599999999999881,0.01999999999999602,100.19,
100.71,0.5,,,
101.27,0.5600000000000023,0.04999999999999716,101.22,
101.74,0.46999999999999886,-0.020000000000010232,101.76,0.5400000000000063
102.31,0.5700000000000074,0.030000000000001137,102.28,0.519999999999996
102.81,0.5,-0.009999999999990905,102.82,0.539999999999992
103.39,0.5799999999999983,0.010000000000005116,103.38,0.5600000000000023
103.96,0.5699999999999932,0.0799999999999983,103.88,0.5
104.46,0.5,0.029999999999986926,104.43,0.5500000000000114
,,,104.94,0.5099999999999909
,,,105.47,0.5300000000000011
106.06,,0.060000000000002274,106.0,0.5300000000000011
106.62,0.5600000000000023,0.07000000000000739,106.55,0.5499999999999972
106.98,0.35999999999999943,,,
107.51,0.5300000000000011,0.05000000000001137,107.46,
107.9,0.39000000000000057,,,
108.38,0.47999999999998977,,,
108.76,0.38000000000000966,0.060000000000002274,108.7,
109.3,0.539999999999992,0.04999999999999716,109.25,0.5499999999999972
109.82,0.519999999999996,0.01999999999999602,109.8,0.5499999999999972
110.36,0.5400000000000063,0.04000000000000625,110.32,0.519999999999996
110.9,0.5400000000000063,0.0,110.9,0.5800000000000125
111.44,0.539999999999992,,,
111.96,0.519999999999996,0.01999999999999602,111.94,
112.48,0.5200000000000102,,,
113.03,0.5499999999999972,0.01999999999999602,113.01,
113.54,0.5100000000000051,0.010000000000005116,113.53,0.519999999999996
114.1,0.5599999999999881,0.01999999999999602,114.08,0.5499999999999972
114.47,0.37000000000000455,0.030000000000001137,114.44,0.35999999999999943
