Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.28,
0.49,,0.010000000000000009,0.48,0.19999999999999996
,,,,
0.93,,0.030000000000000027,0.9,
,,,1.12,0.22000000000000008
1.34,,0.010000000000000009,1.33,0.20999999999999996
,,,1.56,0.22999999999999998
1.79,,0.020000000000000018,1.77,0.20999999999999996
2.0,0.20999999999999996,0.020000000000000018,1.98,0.20999999999999996
2.21,0.20999999999999996,0.0,2.21,0.22999999999999998
,,,2.41,0.20000000000000018
,,,2.62,0.20999999999999996
,,,2.83,0.20999999999999996
,,,3.05,0.21999999999999975
,,,3.25,0.20000000000000018
3.5,,0.009999999999999787,3.49,0.2400000000000002
3.71,0.20999999999999996,,,
3.93,0.2200000000000002,,,
,,,4.12,
4.36,,,,
,,,4.56,
,,,4.76,0.20000000000000018
4.97,,-0.03000000000000025,5.0,0.2400000000000002
,,,5.22,0.21999999999999975
,,,5.39,0.16999999999999993
5.63,,,,
,,,5.84,
,,,6.07,0.23000000000000043
6.26,,0.019999999999999574,6.24,0.16999999999999993
6.47,0.20999999999999996,,,
6.69,0.22000000000000064,0.020000000000000462,6.67,
6.87,0.17999999999999972,0.0,6.87,0.20000000000000018
7.06,0.1899999999999995,-0.010000000000000675,7.07,0.20000000000000018
7.3,0.2400000000000002,0.03000000000000025,7.27,0.1999999999999993
7.52,0.21999999999999975,0.019999999999999574,7.5,0.23000000000000043
7.71,0.1900000000000004,-0.009999999999999787,7.72,0.21999999999999975
7.9,0.1900000000000004,-0.009999999999999787,7.91,0.1900000000000004
,,,8.13,0.22000000000000064
8.33,,-0.009999999999999787,8.34,0.20999999999999908
8.54,0.20999999999999908,-0.010000000000001563,8.55,0.21000000000000085
8.75,0.21000000000000085,0.0,8.75,0.1999999999999993
,,,8.96,0.21000000000000085
9.13,,-0.02999999999999936,9.16,0.1999999999999993
9.37,0.23999999999999844,-0.02000000000000135,9.39,0.23000000000000043
9.58,0.21000000000000085,,,
9.77,0.1899999999999995,-0.009999999999999787,9.78,
,,,9.97,0.19000000000000128
,,,,
10.41,,0.02999999999999936,10.38,
10.6,0.1899999999999995,0.0,10.6,0.21999999999999886
10.79,0.1899999999999995,-0.02000000000000135,10.81,0.21000000000000085
11.01,0.22000000000000064,0.019999999999999574,10.99,0.17999999999999972
11.23,0.22000000000000064,0.019999999999999574,11.21,0.22000000000000064
11.43,0.1999999999999993,,,
11.62,0.1899999999999995,0.0,11.62,
,,,11.83,0.21000000000000085
12.03,,-0.009999999999999787,12.04,0.20999999999999908
,,,12.27,0.23000000000000043
12.49,,,,
12.68,0.1899999999999995,0.0,12.68,
12.89,0.21000000000000085,,,
13.08,0.1899999999999995,-0.019999999999999574,13.1,
13.32,0.2400000000000002,0.030000000000001137,13.29,0.1899999999999995
13.52,0.1999999999999993,0.0,13.52,0.23000000000000043
13.74,0.22000000000000064,0.0,13.74,0.22000000000000064
13.95,0.20999999999999908,0.0,13.95,0.20999999999999908
14.16,0.21000000000000085,0.0,14.16,0.21000000000000085
14.38,0.22000000000000064,-0.009999999999999787,14.39,0.23000000000000043
,,,14.57,0.17999999999999972
,,,14.8,0.23000000000000043
,,,,
,,,15.23,
,,,15.43,0.1999999999999993
15.65,,-0.009999999999999787,15.66,0.23000000000000043
15.81,0.16000000000000014,-0.02999999999999936,15.84,0.17999999999999972
16.05,0.2400000000000002,-0.019999999999999574,16.07,0.23000000000000043
,,,16.26,0.19000000000000128
16.48,,0.019999999999999574,16.46,0.1999999999999993
16.69,0.21000000000000085,,,
16.91,0.21999999999999886,0.019999999999999574,16.89,
17.1,0.19000000000000128,0.0,17.1,0.21000000000000085
17.33,0.22999999999999687,-0.010000000000001563,17.34,0.23999999999999844
17.52,0.19000000000000128,-0.030000000000001137,17.55,0.21000000000000085
17.74,0.21999999999999886,-0.010000000000001563,17.75,0.1999999999999993
17.96,0.22000000000000242,0.019999999999999574,17.94,0.19000000000000128
18.19,0.23000000000000043,0.019999999999999574,18.17,0.23000000000000043
18.38,0.18999999999999773,0.03999999999999915,18.34,0.16999999999999815
,,,18.58,0.23999999999999844
,,,18.79,0.21000000000000085
18.99,,0.0,18.99,0.1999999999999993
,,,19.19,0.20000000000000284
,,,19.44,0.25
,,,19.65,0.2099999999999973
19.83,,-0.010000000000001563,19.84,0.19000000000000128
,,,,
20.27,,-0.010000000000001563,20.28,
,,,20.48,0.1999999999999993
20.68,,-0.019999999999999574,20.7,0.21999999999999886
,,,,
21.14,,,,
21.33,0.18999999999999773,0.00999999999999801,21.32,
21.58,0.25,0.029999999999997584,21.55,0.23000000000000043
,,,,
22.02,,,,
22.19,0.1700000000000017,,,
22.44,0.25,0.030000000000001137,22.41,
22.65,0.2099999999999973,,,
,,,,
,,,23.07,
,,,23.29,0.21999999999999886
23.5,,,,
,,,,
,,,23.92,
24.13,,-0.030000000000001137,24.16,0.23999999999999844
,,,,
,,,,
24.78,,,,
,,,25.01,
,,,,
25.4,,,,
,,,25.61,
25.83,,,,
26.04,0.21000000000000085,,,
,,,,
26.49,,0.03999999999999915,26.45,
26.71,0.22000000000000242,-0.00999999999999801,26.72,0.2699999999999996
26.9,0.18999999999999773,-0.030000000000001137,26.93,0.21000000000000085
27.13,0.23000000000000043,0.0,27.13,0.1999999999999993
27.33,0.1999999999999993,0.0,27.33,0.1999999999999993
27.54,0.21000000000000085,,,
27.74,0.1999999999999993,0.0,27.74,
27.96,0.22000000000000242,0.0,27.96,0.22000000000000242
28.17,0.21000000000000085,0.0400000000000027,28.13,0.16999999999999815
28.4,0.22999999999999687,0.03999999999999915,28.36,0.23000000000000043
28.6,0.20000000000000284,0.010000000000001563,28.59,0.23000000000000043
,,,28.8,0.21000000000000085
29.01,,0.030000000000001137,28.98,0.17999999999999972
29.21,0.1999999999999993,-0.019999999999999574,29.23,0.25
29.43,0.21999999999999886,0.00999999999999801,29.42,0.19000000000000128
29.63,0.1999999999999993,-0.010000000000001563,29.64,0.21999999999999886
