Tap Time,ITI,Asynchornies,Tone Time,IOI
0.5,0.26,0.020000000000000018,0.48,0.29
0.78,0.28,0.030000000000000027,0.75,0.27
1.05,0.27,0.020000000000000018,1.03,0.28
1.35,0.30000000000000004,0.020000000000000018,1.33,0.30000000000000004
,,,1.6,0.27
,,,1.9,0.2999999999999998
2.2,,0.020000000000000018,2.18,0.28000000000000025
2.47,0.27,0.010000000000000231,2.46,0.2799999999999998
2.74,0.27,0.010000000000000231,2.73,0.27
3.05,0.3099999999999996,0.029999999999999805,3.02,0.29000000000000004
3.33,0.28000000000000025,0.03000000000000025,3.3,0.2799999999999998
,,,3.58,0.28000000000000025
3.9,,0.020000000000000018,3.88,0.2999999999999998
4.17,0.27,0.019999999999999574,4.15,0.27000000000000046
4.42,0.25,-0.009999999999999787,4.43,0.27999999999999936
4.73,0.3100000000000005,0.03000000000000025,4.7,0.27000000000000046
4.99,0.2599999999999998,-0.009999999999999787,5.0,0.2999999999999998
5.28,0.29000000000000004,0.010000000000000675,5.27,0.2699999999999996
5.59,0.3099999999999996,0.040000000000000036,5.55,0.28000000000000025
,,,5.83,0.28000000000000025
6.09,,-0.020000000000000462,6.11,0.28000000000000025
6.36,0.27000000000000046,-0.009999999999999787,6.37,0.2599999999999998
6.65,0.29000000000000004,-0.009999999999999787,6.66,0.29000000000000004
6.95,0.2999999999999998,0.03000000000000025,6.92,0.2599999999999998
,,,7.21,0.29000000000000004
,,,7.5,0.29000000000000004
7.76,,-0.020000000000000462,7.78,0.28000000000000025
8.08,0.3200000000000003,0.02999999999999936,8.05,0.27000000000000046
,,,8.33,0.27999999999999936
8.61,,0.009999999999999787,8.6,0.2699999999999996
8.92,0.3100000000000005,0.03999999999999915,8.88,0.28000000000000114
9.2,0.27999999999999936,0.03999999999999915,9.16,0.27999999999999936
9.46,0.26000000000000156,0.010000000000001563,9.45,0.28999999999999915
9.72,0.2599999999999998,0.0,9.72,0.27000000000000135
9.98,0.2599999999999998,-0.019999999999999574,10.0,0.27999999999999936
10.29,0.3099999999999987,0.019999999999999574,10.27,0.2699999999999996
10.55,0.26000000000000156,-0.009999999999999787,10.56,0.2900000000000009
10.83,0.27999999999999936,0.009999999999999787,10.82,0.2599999999999998
11.12,0.28999999999999915,0.009999999999999787,11.11,0.28999999999999915
11.37,0.25,-0.02000000000000135,11.39,0.28000000000000114
11.66,0.2900000000000009,-0.009999999999999787,11.67,0.27999999999999936
11.92,0.2599999999999998,0.009999999999999787,11.91,0.2400000000000002
12.21,0.2900000000000009,0.0,12.21,0.3000000000000007
12.51,0.29999999999999893,0.02999999999999936,12.48,0.2699999999999996
12.76,0.25,,,
13.05,0.2900000000000009,0.030000000000001137,13.02,
13.31,0.2599999999999998,0.030000000000001137,13.28,0.2599999999999998
13.59,0.27999999999999936,0.009999999999999787,13.58,0.3000000000000007
,,,13.87,0.28999999999999915
14.17,,0.019999999999999574,14.15,0.28000000000000114
14.41,0.2400000000000002,,,
14.71,0.3000000000000007,0.040000000000000924,14.67,
,,,14.97,0.3000000000000007
15.25,,0.03999999999999915,15.21,0.2400000000000002
15.55,0.3000000000000007,,,
15.82,0.2699999999999996,,,
,,,,
16.36,,0.03999999999999915,16.32,
16.62,0.26000000000000156,0.030000000000001137,16.59,0.2699999999999996
16.9,0.2799999999999976,0.03999999999999915,16.86,0.2699999999999996
17.18,0.28000000000000114,,,
17.44,0.26000000000000156,,,
17.72,0.2799999999999976,-0.010000000000001563,17.73,
18.0,0.28000000000000114,-0.05000000000000071,18.05,0.3200000000000003
,,,,
,,,,
18.85,,0.020000000000003126,18.83,
19.12,0.2699999999999996,-0.00999999999999801,19.13,0.3000000000000007
19.41,0.28999999999999915,,,
19.69,0.28000000000000114,,,
19.97,0.2799999999999976,,,
20.27,0.3000000000000007,,,
20.55,0.28000000000000114,0.019999999999999574,20.53,
20.82,0.2699999999999996,,,
,,,,
21.38,,,,
,,,21.66,
21.93,,,,
22.21,0.28000000000000114,0.0,22.21,
22.47,0.259999999999998,-0.0400000000000027,22.51,0.3000000000000007
22.72,0.25,,,
,,,,
,,,23.32,
23.56,,,,
23.85,0.2900000000000027,-0.03999999999999915,23.89,
24.11,0.259999999999998,,,
24.4,0.28999999999999915,0.00999999999999801,24.39,
,,,24.69,0.3000000000000007
24.94,,,,
,,,25.2,
25.51,,0.0,25.51,0.3100000000000023
,,,,
26.05,,-0.019999999999999574,26.07,
,,,26.32,0.25
26.62,,0.019999999999999574,26.6,0.28000000000000114
26.9,0.2799999999999976,0.019999999999999574,26.88,0.2799999999999976
,,,27.17,0.2900000000000027
,,,27.45,0.2799999999999976
27.75,,-0.019999999999999574,27.77,0.3200000000000003
28.01,0.26000000000000156,-0.00999999999999801,28.02,0.25
,,,28.3,0.28000000000000114
28.59,,0.030000000000001137,28.56,0.259999999999998
28.86,0.2699999999999996,0.00999999999999801,28.85,0.2900000000000027
,,,29.12,0.2699999999999996
29.45,,0.07000000000000028,29.38,0.259999999999998
29.71,0.26000000000000156,0.03999999999999915,29.67,0.2900000000000027
,,,29.94,0.2699999999999996
30.26,,,,
30.48,0.21999999999999886,0.0,30.48,
30.79,0.3099999999999987,,,
31.06,0.2699999999999996,0.00999999999999801,31.05,
31.32,0.26000000000000156,-0.00999999999999801,31.33,0.2799999999999976
,,,31.59,0.26000000000000156
,,,31.87,0.28000000000000114
32.15,,0.00999999999999801,32.14,0.2699999999999996
,,,32.42,0.28000000000000114
,,,32.69,0.269999999999996
,,,32.98,0.28999999999999915
33.27,,0.020000000000003126,33.25,0.2700000000000031
,,,33.53,0.28000000000000114
33.81,,0.0,33.81,0.28000000000000114
,,,34.08,0.269999999999996
34.33,,-0.020000000000003126,34.35,0.2700000000000031
,,,34.62,0.269999999999996
34.9,,0.00999999999999801,34.89,0.2700000000000031
35.2,0.30000000000000426,0.010000000000005116,35.19,0.29999999999999716
35.5,0.29999999999999716,,,
35.74,0.240000000000002,,,
,,,,
36.29,,,,
,,,,
36.84,,,,
,,,,
37.4,,,,
,,,37.66,
37.94,,0.01999999999999602,37.92,0.2600000000000051
38.2,0.2600000000000051,0.0,38.2,0.28000000000000114
38.49,0.28999999999999915,0.010000000000005116,38.48,0.27999999999999403
