Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.33,
0.7,,0.0,0.7,0.36999999999999994
0.94,0.24,,,
,,,,
1.63,,,,
,,,,
,,,,
,,,,
,,,,
3.14,,,,
3.47,0.33000000000000007,,,
,,,3.82,
4.15,,,,
,,,4.39,
,,,4.73,0.34000000000000075
5.03,,-0.040000000000000036,5.07,0.33999999999999986
5.37,0.33999999999999986,,,
5.73,0.3600000000000003,0.010000000000000675,5.72,
,,,6.04,0.3200000000000003
6.38,,,,
6.65,0.27000000000000046,,,
,,,,
7.32,,,,
,,,,
,,,,
,,,8.21,
8.58,,0.040000000000000924,8.54,0.3299999999999983
8.9,0.3200000000000003,0.0,8.9,0.3600000000000012
,,,,
9.57,,,,
,,,9.81,
,,,,
10.46,,-0.03999999999999915,10.5,
10.83,0.3699999999999992,,,
,,,11.15,
11.48,,0.0,11.48,0.33000000000000007
,,,,
,,,,
,,,,
12.65,,,,
12.98,0.33000000000000007,-0.019999999999999574,13.0,
13.33,0.34999999999999964,,,
13.68,0.34999999999999964,0.049999999999998934,13.63,
14.01,0.33000000000000007,,,
14.33,0.3200000000000003,,,
,,,,
,,,14.97,
,,,,
,,,,
,,,15.94,
16.28,,,,
16.62,0.33999999999999986,0.0,16.62,
16.95,0.3299999999999983,,,
,,,,
17.64,,,,
,,,17.91,
,,,,
,,,,
18.91,,0.030000000000001137,18.88,
19.24,0.3299999999999983,,,
19.45,0.21000000000000085,0.0,19.45,
19.84,0.39000000000000057,,,
20.14,0.3000000000000007,0.030000000000001137,20.11,
20.46,0.3200000000000003,0.03999999999999915,20.42,0.3100000000000023
,,,,
21.08,,,,
21.44,0.360000000000003,,,
21.76,0.3200000000000003,,,
,,,,
,,,,
,,,,
22.9,,,,
23.25,0.3500000000000014,,,
23.54,0.28999999999999915,-0.010000000000001563,23.55,
23.9,0.35999999999999943,,,
24.24,0.33999999999999986,0.00999999999999801,24.23,
24.55,0.3100000000000023,,,
24.89,0.33999999999999986,,,
25.25,0.35999999999999943,,,
25.57,0.3200000000000003,0.019999999999999574,25.55,
25.9,0.3299999999999983,,,
,,,26.21,
26.54,,,,
26.85,0.3100000000000023,-0.00999999999999801,26.86,
27.18,0.3299999999999983,,,
,,,27.51,
27.85,,,,
28.19,0.33999999999999986,,,
,,,28.53,
,,,28.83,0.29999999999999716
29.17,,0.010000000000001563,29.16,0.33000000000000185
29.48,0.3099999999999987,,,
29.82,0.33999999999999986,0.030000000000001137,29.79,
30.15,0.3299999999999983,0.03999999999999915,30.11,0.3200000000000003
,,,,
30.83,,,,
31.13,0.3000000000000007,,,
,,,,
31.77,,,,
32.08,0.3099999999999987,0.0,32.08,
32.41,0.3299999999999983,-0.010000000000005116,32.42,0.3400000000000034
,,,32.74,0.3200000000000003
,,,,
,,,33.4,
,,,,
34.02,,-0.02999999999999403,34.05,
,,,,
34.7,,0.030000000000001137,34.67,
,,,34.99,0.3200000000000003
35.34,,0.020000000000003126,35.32,0.3299999999999983
,,,,
36.01,,0.03999999999999915,35.97,
