Tap Time,ITI,Asynchornies,Tone Time,IOI
0.67,,0.06000000000000005,0.61,0.32999999999999996
0.94,0.2699999999999999,0.009999999999999898,0.93,0.32000000000000006
1.28,0.3400000000000001,-0.010000000000000009,1.29,0.36
1.64,0.3599999999999999,0.019999999999999796,1.62,0.33000000000000007
1.94,0.30000000000000004,0.020000000000000018,1.92,0.2999999999999998
2.27,0.33000000000000007,0.010000000000000231,2.26,0.33999999999999986
2.6,0.33000000000000007,0.020000000000000018,2.58,0.3200000000000003
2.95,0.3500000000000001,0.03000000000000025,2.92,0.33999999999999986
3.25,0.2999999999999998,-0.009999999999999787,3.26,0.33999999999999986
,,,3.59,0.33000000000000007
,,,3.93,0.3400000000000003
4.26,,0.0,4.26,0.3299999999999996
4.62,0.3600000000000003,0.040000000000000036,4.58,0.3200000000000003
4.92,0.2999999999999998,-0.020000000000000462,4.94,0.3600000000000003
5.25,0.33000000000000007,0.0,5.25,0.3099999999999996
,,,5.59,0.33999999999999986
,,,5.9,0.3100000000000005
6.26,,0.019999999999999574,6.24,0.33999999999999986
,,,6.57,0.33000000000000007
6.96,,0.04999999999999982,6.91,0.33999999999999986
7.25,0.29000000000000004,0.009999999999999787,7.24,0.33000000000000007
,,,7.57,0.33000000000000007
,,,7.91,0.33999999999999986
8.27,,0.019999999999999574,8.25,0.33999999999999986
8.58,0.3100000000000005,0.0,8.58,0.33000000000000007
,,,8.91,0.33000000000000007
9.26,,0.009999999999999787,9.25,0.33999999999999986
,,,9.58,0.33000000000000007
,,,9.9,0.3200000000000003
,,,10.25,0.34999999999999964
10.6,,0.019999999999999574,10.58,0.33000000000000007
10.94,0.33999999999999986,0.009999999999999787,10.93,0.34999999999999964
11.27,0.33000000000000007,0.019999999999999574,11.25,0.3200000000000003
11.6,0.33000000000000007,0.02999999999999936,11.57,0.3200000000000003
11.91,0.3100000000000005,0.009999999999999787,11.9,0.33000000000000007
12.23,0.3200000000000003,-0.009999999999999787,12.24,0.33999999999999986
12.54,0.3099999999999987,-0.010000000000001563,12.55,0.3100000000000005
12.88,0.34000000000000163,0.0,12.88,0.33000000000000007
13.23,0.34999999999999964,0.030000000000001137,13.2,0.3199999999999985
,,,,
14.0,,0.11999999999999922,13.88,
14.3,0.3000000000000007,0.07000000000000028,14.23,0.34999999999999964
,,,14.54,0.3099999999999987
14.9,,0.009999999999999787,14.89,0.3500000000000014
15.24,0.33999999999999986,0.02999999999999936,15.21,0.3200000000000003
15.53,0.28999999999999915,-0.040000000000000924,15.57,0.35999999999999943
,,,15.9,0.33000000000000007
16.23,,-0.00999999999999801,16.24,0.3399999999999981
16.58,0.34999999999999787,0.019999999999999574,16.56,0.3200000000000003
16.91,0.33000000000000185,0.010000000000001563,16.9,0.33999999999999986
,,,17.24,0.33999999999999986
17.66,,0.07000000000000028,17.59,0.3500000000000014
17.95,0.28999999999999915,0.03999999999999915,17.91,0.3200000000000003
18.29,0.33999999999999986,0.05000000000000071,18.24,0.3299999999999983
,,,18.57,0.33000000000000185
18.96,,0.03999999999999915,18.92,0.3500000000000014
19.28,0.3200000000000003,0.030000000000001137,19.25,0.3299999999999983
19.65,0.36999999999999744,0.05999999999999872,19.59,0.33999999999999986
19.98,0.33000000000000185,0.05999999999999872,19.92,0.33000000000000185
,,,20.29,0.36999999999999744
20.64,,0.03999999999999915,20.6,0.3100000000000023
,,,20.95,0.34999999999999787
21.3,,0.019999999999999574,21.28,0.33000000000000185
,,,21.64,0.35999999999999943
21.96,,0.030000000000001137,21.93,0.28999999999999915
22.32,0.35999999999999943,0.03999999999999915,22.28,0.3500000000000014
22.62,0.3000000000000007,0.010000000000001563,22.61,0.3299999999999983
22.96,0.33999999999999986,-0.00999999999999801,22.97,0.35999999999999943
23.32,0.35999999999999943,0.03999999999999915,23.28,0.3100000000000023
23.65,0.3299999999999983,0.019999999999999574,23.63,0.34999999999999787
24.0,0.3500000000000014,0.03999999999999915,23.96,0.33000000000000185
24.31,0.3099999999999987,0.019999999999999574,24.29,0.3299999999999983
24.67,0.360000000000003,0.0400000000000027,24.63,0.33999999999999986
24.98,0.3099999999999987,0.019999999999999574,24.96,0.33000000000000185
25.3,0.3200000000000003,0.0,25.3,0.33999999999999986
25.64,0.33999999999999986,0.0,25.64,0.33999999999999986
,,,25.96,0.3200000000000003
26.28,,-0.00999999999999801,26.29,0.3299999999999983
,,,26.62,0.33000000000000185
26.99,,0.04999999999999716,26.94,0.3200000000000003
27.27,0.28000000000000114,-0.019999999999999574,27.29,0.34999999999999787
,,,,
,,,27.97,
28.26,,-0.04999999999999716,28.31,0.33999999999999986
28.65,0.389999999999997,0.019999999999999574,28.63,0.3200000000000003
28.96,0.3100000000000023,-0.00999999999999801,28.97,0.33999999999999986
29.29,0.3299999999999983,0.0,29.29,0.3200000000000003
29.61,0.3200000000000003,-0.030000000000001137,29.64,0.3500000000000014
,,,29.96,0.3200000000000003
30.31,,0.00999999999999801,30.3,0.33999999999999986
,,,30.62,0.3200000000000003
,,,30.95,0.3299999999999983
31.31,,0.029999999999997584,31.28,0.33000000000000185
,,,31.61,0.3299999999999983
,,,31.93,0.3200000000000003
,,,32.29,0.35999999999999943
32.68,,0.0799999999999983,32.6,0.3100000000000023
,,,32.95,0.3500000000000014
33.31,,0.03999999999999915,33.27,0.3200000000000003
,,,33.63,0.35999999999999943
,,,33.94,0.30999999999999517
34.37,,0.0799999999999983,34.29,0.3500000000000014
34.65,0.28000000000000114,0.03999999999999915,34.61,0.3200000000000003
35.0,0.3500000000000014,0.03999999999999915,34.96,0.3500000000000014
