Tap Time,ITI,Asynchornies,Tone Time,IOI
0.3,,,,
0.51,0.21000000000000002,-0.020000000000000018,0.53,
0.76,0.25,0.020000000000000018,0.74,0.20999999999999996
,,,0.97,0.22999999999999998
1.22,,0.020000000000000018,1.2,0.22999999999999998
,,,1.42,0.21999999999999997
,,,,
,,,,
,,,2.09,
,,,,
2.59,,,,
2.82,0.22999999999999998,,,
,,,,
3.24,,0.010000000000000231,3.23,
3.49,0.25,0.020000000000000018,3.47,0.2400000000000002
3.73,0.23999999999999977,,,
,,,3.93,
4.18,,-0.010000000000000675,4.19,0.26000000000000023
4.42,0.2400000000000002,0.03000000000000025,4.39,0.1999999999999993
4.67,0.25,0.040000000000000036,4.63,0.2400000000000002
,,,4.86,0.23000000000000043
,,,,
5.35,,0.040000000000000036,5.31,
5.58,0.23000000000000043,0.040000000000000036,5.54,0.23000000000000043
5.82,0.2400000000000002,0.0600000000000005,5.76,0.21999999999999975
,,,6.0,0.2400000000000002
,,,6.26,0.2599999999999998
,,,6.46,0.20000000000000018
6.74,,0.040000000000000036,6.7,0.2400000000000002
6.96,0.21999999999999975,,,
7.2,0.2400000000000002,0.03000000000000025,7.17,
7.43,0.22999999999999954,0.019999999999999574,7.41,0.2400000000000002
7.66,0.23000000000000043,0.03000000000000025,7.63,0.21999999999999975
7.86,0.20000000000000018,,,
8.11,0.2499999999999991,0.009999999999999787,8.1,
8.36,0.25,0.019999999999999574,8.34,0.2400000000000002
8.57,0.21000000000000085,0.019999999999999574,8.55,0.21000000000000085
,,,,
9.04,,0.02999999999999936,9.01,
9.27,0.23000000000000043,,,
9.49,0.22000000000000064,0.009999999999999787,9.48,
9.71,0.22000000000000064,,,
9.96,0.25,0.040000000000000924,9.92,
,,,10.14,0.22000000000000064
,,,10.4,0.2599999999999998
,,,,
,,,10.85,
11.08,,0.019999999999999574,11.06,0.21000000000000085
11.31,0.23000000000000043,0.0,11.31,0.25
11.56,0.25,,,
,,,11.75,
12.0,,0.009999999999999787,11.99,0.2400000000000002
12.22,0.22000000000000064,0.02000000000000135,12.2,0.20999999999999908
12.45,0.22999999999999865,0.009999999999999787,12.44,0.2400000000000002
12.69,0.2400000000000002,0.02999999999999936,12.66,0.22000000000000064
12.91,0.22000000000000064,,,
13.13,0.22000000000000064,0.0,13.13,
13.36,0.22999999999999865,,,
13.57,0.21000000000000085,-0.02999999999999936,13.6,
13.79,0.21999999999999886,,,
14.02,0.23000000000000043,,,
14.26,0.2400000000000002,0.0,14.26,
14.51,0.25,0.019999999999999574,14.49,0.23000000000000043
14.72,0.21000000000000085,,,
14.95,0.22999999999999865,,,
15.19,0.2400000000000002,0.03999999999999915,15.15,
15.39,0.20000000000000107,0.009999999999999787,15.38,0.23000000000000043
15.64,0.25,,,
15.88,0.2400000000000002,0.040000000000000924,15.84,
16.11,0.22999999999999865,,,
16.33,0.21999999999999886,0.029999999999997584,16.3,
16.55,0.22000000000000242,0.030000000000001137,16.52,0.21999999999999886
16.76,0.21000000000000085,0.010000000000001563,16.75,0.23000000000000043
16.99,0.22999999999999687,0.00999999999999801,16.98,0.23000000000000043
17.22,0.23000000000000043,0.00999999999999801,17.21,0.23000000000000043
17.44,0.22000000000000242,-0.00999999999999801,17.45,0.23999999999999844
17.69,0.25,0.019999999999999574,17.67,0.22000000000000242
17.92,0.23000000000000043,0.010000000000001563,17.91,0.23999999999999844
18.14,0.21999999999999886,0.019999999999999574,18.12,0.21000000000000085
18.35,0.21000000000000085,,,
18.62,0.2699999999999996,0.0400000000000027,18.58,
18.82,0.1999999999999993,0.019999999999999574,18.8,0.22000000000000242
19.08,0.259999999999998,0.04999999999999716,19.03,0.23000000000000043
19.25,0.1700000000000017,0.019999999999999574,19.23,0.1999999999999993
,,,19.49,0.259999999999998
19.69,,,,
19.98,0.28999999999999915,0.05999999999999872,19.92,
20.16,0.17999999999999972,0.0,20.16,0.23999999999999844
20.4,0.23999999999999844,0.00999999999999801,20.39,0.23000000000000043
20.63,0.23000000000000043,,,
20.85,0.22000000000000242,0.010000000000001563,20.84,
21.09,0.23999999999999844,0.05000000000000071,21.04,0.1999999999999993
21.29,0.1999999999999993,0.00999999999999801,21.28,0.240000000000002
21.49,0.1999999999999993,-0.010000000000001563,21.5,0.21999999999999886
21.73,0.240000000000002,0.019999999999999574,21.71,0.21000000000000085
21.96,0.23000000000000043,0.010000000000001563,21.95,0.23999999999999844
22.19,0.23000000000000043,,,
22.41,0.21999999999999886,0.0,22.41,
22.66,0.25,,,
22.87,0.21000000000000085,0.019999999999999574,22.85,
23.08,0.2099999999999973,,,
23.31,0.23000000000000043,,,
,,,23.57,
,,,,
23.98,,,,
24.25,0.2699999999999996,0.05999999999999872,24.19,
,,,24.42,0.23000000000000043
24.68,,0.00999999999999801,24.67,0.25
,,,24.9,0.22999999999999687
25.14,,,,
25.37,0.23000000000000043,0.019999999999999574,25.35,
25.6,0.23000000000000043,0.020000000000003126,25.58,0.22999999999999687
25.8,0.1999999999999993,-0.03999999999999915,25.84,0.26000000000000156
26.03,0.23000000000000043,,,
26.26,0.23000000000000043,-0.00999999999999801,26.27,
26.49,0.22999999999999687,0.019999999999999574,26.47,0.1999999999999993
26.74,0.25,0.029999999999997584,26.71,0.240000000000002
26.97,0.23000000000000043,,,
27.17,0.20000000000000284,0.010000000000001563,27.16,
27.39,0.21999999999999886,0.019999999999999574,27.37,0.21000000000000085
27.65,0.259999999999998,0.04999999999999716,27.6,0.23000000000000043
27.86,0.21000000000000085,,,
28.07,0.21000000000000085,0.0,28.07,
28.31,0.23999999999999844,0.019999999999999574,28.29,0.21999999999999886
28.56,0.25,0.03999999999999915,28.52,0.23000000000000043
28.77,0.21000000000000085,0.0,28.77,0.25
28.99,0.21999999999999886,0.0,28.99,0.21999999999999886
29.27,0.28000000000000114,0.05999999999999872,29.21,0.22000000000000242
29.44,0.1700000000000017,-0.029999999999997584,29.47,0.259999999999998
29.7,0.259999999999998,,,
29.92,0.22000000000000242,0.0400000000000027,29.88,
30.12,0.1999999999999993,,,
30.34,0.21999999999999886,-0.010000000000001563,30.35,
30.56,0.21999999999999886,0.0,30.56,0.2099999999999973
30.77,0.21000000000000085,,,
31.01,0.240000000000002,0.010000000000001563,31.0,
31.22,0.2099999999999973,-0.010000000000001563,31.23,0.23000000000000043
31.46,0.240000000000002,,,
31.68,0.21999999999999886,0.00999999999999801,31.67,
31.91,0.23000000000000043,0.0,31.91,0.23999999999999844
32.13,0.22000000000000242,,,
32.35,0.21999999999999886,,,
32.59,0.240000000000002,0.020000000000003126,32.57,
32.78,0.18999999999999773,,,
33.05,0.269999999999996,0.03999999999999915,33.01,
33.25,0.20000000000000284,0.0,33.25,0.240000000000002
33.52,0.2700000000000031,,,
33.74,0.21999999999999886,0.05000000000000426,33.69,
33.96,0.21999999999999886,,,
34.22,0.259999999999998,0.060000000000002274,34.16,
34.43,0.21000000000000085,0.020000000000003126,34.41,0.25
,,,34.63,0.22000000000000597
,,,,
35.1,,0.020000000000003126,35.08,
35.32,0.21999999999999886,0.0,35.32,0.240000000000002
35.55,0.22999999999999687,,,
,,,35.75,
,,,36.0,0.25
36.22,,,,
36.44,0.21999999999999886,0.00999999999999801,36.43,
36.68,0.240000000000002,,,
36.9,0.21999999999999886,0.0,36.9,
37.15,0.25,0.030000000000001137,37.12,0.21999999999999886
37.37,0.21999999999999886,0.04999999999999716,37.32,0.20000000000000284
37.6,0.23000000000000398,0.030000000000001137,37.57,0.25
37.82,0.21999999999999886,0.030000000000001137,37.79,0.21999999999999886
38.06,0.240000000000002,,,
38.26,0.19999999999999574,0.01999999999999602,38.24,
38.49,0.23000000000000398,0.03999999999999915,38.45,0.21000000000000085
38.69,0.19999999999999574,,,
38.93,0.240000000000002,0.020000000000003126,38.91,
39.15,0.21999999999999886,0.00999999999999801,39.14,0.23000000000000398
39.38,0.23000000000000398,-0.00999999999999801,39.39,0.25
39.58,0.19999999999999574,0.00999999999999801,39.57,0.17999999999999972
39.82,0.240000000000002,0.00999999999999801,39.81,0.240000000000002
40.03,0.21000000000000085,,,
40.26,0.22999999999999687,0.00999999999999801,40.25,
40.46,0.20000000000000284,,,
40.7,0.240000000000002,,,
,,,40.91,
41.13,,-0.00999999999999801,41.14,0.23000000000000398
41.36,0.22999999999999687,,,
41.61,0.25,0.03999999999999915,41.57,
41.8,0.18999999999999773,0.00999999999999801,41.79,0.21999999999999886
42.05,0.25,0.00999999999999801,42.04,0.25
,,,42.26,0.21999999999999886
,,,42.49,0.23000000000000398
,,,42.71,0.21999999999999886
42.96,,0.030000000000001137,42.93,0.21999999999999886
43.14,0.17999999999999972,-0.01999999999999602,43.16,0.22999999999999687
43.39,0.25,-0.00999999999999801,43.4,0.240000000000002
,,,43.6,0.20000000000000284
,,,43.85,0.25
44.06,,-0.030000000000001137,44.09,0.240000000000002
44.32,0.259999999999998,0.03999999999999915,44.28,0.18999999999999773
,,,,
44.73,,-0.010000000000005116,44.74,
45.01,0.28000000000000114,0.03999999999999915,44.97,0.22999999999999687
45.22,0.21000000000000085,-0.00999999999999801,45.23,0.259999999999998
45.44,0.21999999999999886,0.01999999999999602,45.42,0.19000000000000483
45.65,0.21000000000000085,,,
45.86,0.21000000000000085,0.0,45.86,
,,,46.1,0.240000000000002
,,,46.32,0.21999999999999886
,,,46.53,0.21000000000000085
,,,46.75,0.21999999999999886
,,,46.98,0.22999999999999687
47.21,,,,
47.46,0.25,,,
47.71,0.25,0.07000000000000028,47.64,
,,,47.89,0.25
48.12,,,,
48.37,0.25,,,
,,,,
,,,,
49.06,,0.03999999999999915,49.02,
,,,,
,,,49.48,
,,,49.71,0.23000000000000398
50.0,,0.060000000000002274,49.94,0.22999999999999687
50.2,0.20000000000000284,0.030000000000001137,50.17,0.23000000000000398
50.44,0.23999999999999488,0.04999999999999716,50.39,0.21999999999999886
50.65,0.21000000000000085,0.030000000000001137,50.62,0.22999999999999687
50.86,0.21000000000000085,,,
51.1,0.240000000000002,0.03999999999999915,51.06,
,,,51.31,0.25
51.56,,,,
51.78,0.21999999999999886,0.030000000000001137,51.75,
52.01,0.22999999999999687,0.03999999999999915,51.97,0.21999999999999886
52.23,0.21999999999999886,0.01999999999999602,52.21,0.240000000000002
52.46,0.23000000000000398,0.030000000000001137,52.43,0.21999999999999886
52.66,0.19999999999999574,,,
52.9,0.240000000000002,0.00999999999999801,52.89,
,,,53.11,0.21999999999999886
,,,,
,,,53.55,
,,,53.79,0.240000000000002
,,,54.01,0.21999999999999886
,,,54.22,0.21000000000000085
54.46,,,,
54.65,0.18999999999999773,-0.020000000000003126,54.67,
,,,54.91,0.23999999999999488
55.12,,0.0,55.12,0.21000000000000085
55.35,0.23000000000000398,0.0,55.35,0.23000000000000398
,,,55.57,0.21999999999999886
55.81,,0.010000000000005116,55.8,0.22999999999999687
,,,56.03,0.23000000000000398
56.29,,0.04999999999999716,56.24,0.21000000000000085
56.52,0.23000000000000398,,,
56.74,0.21999999999999886,0.03999999999999915,56.7,
,,,56.9,0.19999999999999574
,,,57.13,0.23000000000000398
57.39,,0.030000000000001137,57.36,0.22999999999999687
57.62,0.22999999999999687,0.02999999999999403,57.59,0.23000000000000398
57.83,0.21000000000000085,0.00999999999999801,57.82,0.22999999999999687
,,,,
,,,58.28,
58.5,,0.0,58.5,0.21999999999999886
,,,58.74,0.240000000000002
58.97,,0.01999999999999602,58.95,0.21000000000000085
59.2,0.23000000000000398,0.010000000000005116,59.19,0.23999999999999488
,,,59.4,0.21000000000000085
59.63,,0.0,59.63,0.23000000000000398
59.84,0.21000000000000085,-0.01999999999999602,59.86,0.22999999999999687
,,,,
,,,60.29,
60.54,,0.030000000000001137,60.51,0.21999999999999886
60.76,0.21999999999999886,0.01999999999999602,60.74,0.23000000000000398
,,,60.95,0.21000000000000085
61.18,,-0.00999999999999801,61.19,0.23999999999999488
61.4,0.21999999999999886,-0.020000000000003126,61.42,0.23000000000000398
,,,61.63,0.21000000000000085
61.85,,-0.00999999999999801,61.86,0.22999999999999687
62.07,0.21999999999999886,0.0,62.07,0.21000000000000085
,,,62.3,0.22999999999999687
