Tap Time,ITI,Asynchornies,Tone Time,IOI
0.62,0.51,0.010000000000000009,0.61,0.49
1.14,0.5199999999999999,0.019999999999999796,1.12,0.5100000000000001
,,,1.66,0.5399999999999998
2.18,,0.0,2.18,0.5200000000000002
2.84,0.6599999999999997,0.10999999999999988,2.73,0.5499999999999998
3.3,0.45999999999999996,0.04999999999999982,3.25,0.52
3.83,0.5300000000000002,0.03000000000000025,3.8,0.5499999999999998
4.35,0.5199999999999996,0.02999999999999936,4.32,0.5200000000000005
,,,4.86,0.54
5.41,,0.040000000000000036,5.37,0.5099999999999998
,,,5.89,0.5199999999999996
6.48,,0.08000000000000007,6.4,0.5100000000000007
6.97,0.4899999999999993,0.0,6.97,0.5699999999999994
7.52,0.5499999999999998,0.05999999999999961,7.46,0.4900000000000002
8.02,0.5,0.02999999999999936,7.99,0.5300000000000002
8.53,0.5099999999999998,0.03999999999999915,8.49,0.5
,,,9.02,0.5299999999999994
9.62,,0.08000000000000007,9.54,0.5199999999999996
10.11,0.4900000000000002,0.05999999999999872,10.05,0.5100000000000016
10.68,0.5700000000000003,0.09999999999999964,10.58,0.5299999999999994
11.09,0.41000000000000014,-0.02999999999999936,11.12,0.5399999999999991
,,,11.66,0.5400000000000009
12.16,,-0.019999999999999574,12.18,0.5199999999999996
12.65,0.4900000000000002,-0.03999999999999915,12.69,0.5099999999999998
,,,13.25,0.5600000000000005
13.77,,0.019999999999999574,13.75,0.5
14.24,0.47000000000000064,-0.019999999999999574,14.26,0.5099999999999998
14.78,0.5399999999999991,0.019999999999999574,14.76,0.5
15.3,0.5200000000000014,0.030000000000001137,15.27,0.5099999999999998
15.82,0.5199999999999996,0.040000000000000924,15.78,0.5099999999999998
16.31,0.48999999999999844,-0.019999999999999574,16.33,0.5499999999999989
16.82,0.5100000000000016,0.010000000000001563,16.81,0.4800000000000004
,,,17.33,0.5199999999999996
17.87,,0.0400000000000027,17.83,0.5
,,,18.36,0.5300000000000011
18.95,,0.05999999999999872,18.89,0.5300000000000011
19.5,0.5500000000000007,0.07000000000000028,19.43,0.5399999999999991
19.99,0.48999999999999844,0.03999999999999915,19.95,0.5199999999999996
20.6,0.610000000000003,0.120000000000001,20.48,0.5300000000000011
21.04,0.4399999999999977,0.05000000000000071,20.99,0.509999999999998
21.58,0.5399999999999991,0.04999999999999716,21.53,0.5400000000000027
22.06,0.4800000000000004,0.019999999999999574,22.04,0.509999999999998
22.66,0.6000000000000014,0.08999999999999986,22.57,0.5300000000000011
23.09,0.4299999999999997,0.019999999999999574,23.07,0.5
23.62,0.5300000000000011,0.019999999999999574,23.6,0.5300000000000011
24.12,0.5,0.010000000000001563,24.11,0.509999999999998
24.76,0.6400000000000006,0.120000000000001,24.64,0.5300000000000011
25.16,0.3999999999999986,0.019999999999999574,25.14,0.5
25.69,0.5300000000000011,-0.03999999999999915,25.73,0.5899999999999999
26.2,0.509999999999998,0.03999999999999915,26.16,0.4299999999999997
26.81,0.6099999999999994,0.10999999999999943,26.7,0.5399999999999991
27.24,0.4299999999999997,0.019999999999999574,27.22,0.5199999999999996
27.77,0.5300000000000011,-0.010000000000001563,27.78,0.5600000000000023
28.28,0.5100000000000016,0.010000000000001563,28.27,0.48999999999999844
28.83,0.5499999999999972,0.019999999999999574,28.81,0.5399999999999991
29.3,0.4700000000000024,0.0,29.3,0.490000000000002
,,,29.82,0.5199999999999996
,,,30.31,0.48999999999999844
30.89,,0.060000000000002274,30.83,0.5199999999999996
,,,31.34,0.5100000000000016
,,,31.87,0.5300000000000011
,,,32.35,0.4800000000000004
,,,32.86,0.509999999999998
33.39,,0.03999999999999915,33.35,0.490000000000002
,,,33.88,0.5300000000000011
34.46,,0.05000000000000426,34.41,0.529999999999994
,,,34.93,0.5200000000000031
35.55,,0.0899999999999963,35.46,0.5300000000000011
,,,36.0,0.5399999999999991
36.56,,0.03999999999999915,36.52,0.5200000000000031
,,,37.02,0.5
37.58,,0.04999999999999716,37.53,0.509999999999998
38.1,0.5200000000000031,0.030000000000001137,38.07,0.5399999999999991
38.6,0.5,0.020000000000003126,38.58,0.509999999999998
,,,39.11,0.5300000000000011
39.63,,0.03999999999999915,39.59,0.480000000000004
40.12,0.4899999999999949,0.01999999999999602,40.1,0.509999999999998
40.58,0.46000000000000085,-0.030000000000001137,40.61,0.509999999999998
41.1,0.5200000000000031,-0.01999999999999602,41.12,0.509999999999998
,,,41.61,0.490000000000002
42.21,,0.0799999999999983,42.13,0.5200000000000031
42.69,0.4799999999999969,0.03999999999999915,42.65,0.519999999999996
,,,43.2,0.5500000000000043
43.73,,0.02999999999999403,43.7,0.5
,,,44.24,0.5399999999999991
44.75,,0.00999999999999801,44.74,0.5
,,,45.26,0.519999999999996
45.79,,0.03999999999999915,45.75,0.490000000000002
,,,46.25,0.5
46.7,,-0.05999999999999517,46.76,0.509999999999998
,,,47.29,0.5300000000000011
,,,47.77,0.480000000000004
,,,48.29,0.519999999999996
48.84,,0.04000000000000625,48.8,0.509999999999998
49.3,0.45999999999999375,-0.030000000000001137,49.33,0.5300000000000011
49.82,0.5200000000000031,0.0,49.82,0.490000000000002
50.35,0.5300000000000011,0.0,50.35,0.5300000000000011
50.84,0.490000000000002,-0.00999999999999801,50.85,0.5
