Tap Time,ITI,Asynchornies,Tone Time,IOI
0.37,0.24,0.03999999999999998,0.33,0.22000000000000003
0.58,0.20999999999999996,0.029999999999999916,0.55,0.22000000000000003
0.79,0.21000000000000008,0.040000000000000036,0.75,0.19999999999999996
0.99,0.19999999999999996,0.010000000000000009,0.98,0.22999999999999998
,,,1.19,0.20999999999999996
1.43,,0.020000000000000018,1.41,0.21999999999999997
1.64,0.20999999999999996,0.010000000000000009,1.63,0.21999999999999997
1.86,0.2200000000000002,0.020000000000000018,1.84,0.2100000000000002
2.09,0.22999999999999976,0.040000000000000036,2.05,0.20999999999999974
2.3,0.20999999999999996,0.020000000000000018,2.28,0.22999999999999998
,,,2.49,0.2100000000000004
2.72,,0.010000000000000231,2.71,0.21999999999999975
2.96,0.23999999999999977,0.029999999999999805,2.93,0.2200000000000002
3.17,0.20999999999999996,0.029999999999999805,3.14,0.20999999999999996
3.36,0.18999999999999995,-0.010000000000000231,3.37,0.22999999999999998
,,,3.59,0.21999999999999975
3.82,,0.029999999999999805,3.79,0.20000000000000018
4.04,0.2200000000000002,0.040000000000000036,4.0,0.20999999999999996
,,,4.21,0.20999999999999996
4.41,,-0.03000000000000025,4.44,0.23000000000000043
4.65,0.2400000000000002,0.0,4.65,0.20999999999999996
,,,4.87,0.21999999999999975
5.09,,0.009999999999999787,5.08,0.20999999999999996
5.32,0.23000000000000043,0.03000000000000025,5.29,0.20999999999999996
,,,5.51,0.21999999999999975
5.73,,0.0,5.73,0.22000000000000064
5.93,0.1999999999999993,0.0,5.93,0.1999999999999993
6.18,0.25,0.02999999999999936,6.15,0.22000000000000064
6.39,0.20999999999999996,0.02999999999999936,6.36,0.20999999999999996
6.58,0.1900000000000004,0.0,6.58,0.21999999999999975
6.83,0.25,0.03000000000000025,6.8,0.21999999999999975
7.04,0.20999999999999996,0.020000000000000462,7.02,0.21999999999999975
,,,7.22,0.20000000000000018
7.48,,0.040000000000000036,7.44,0.22000000000000064
7.7,0.21999999999999975,0.0600000000000005,7.64,0.1999999999999993
7.9,0.20000000000000018,0.03000000000000025,7.87,0.23000000000000043
8.09,0.1899999999999995,0.0,8.09,0.21999999999999975
,,,8.31,0.22000000000000064
,,,8.52,0.20999999999999908
8.78,,0.03999999999999915,8.74,0.22000000000000064
8.97,0.19000000000000128,0.02000000000000135,8.95,0.20999999999999908
9.13,0.16000000000000014,-0.049999999999998934,9.18,0.23000000000000043
9.37,0.23999999999999844,-0.02000000000000135,9.39,0.21000000000000085
9.6,0.23000000000000043,0.0,9.6,0.20999999999999908
9.84,0.2400000000000002,0.03999999999999915,9.8,0.20000000000000107
10.06,0.22000000000000064,0.030000000000001137,10.03,0.22999999999999865
,,,10.25,0.22000000000000064
,,,10.48,0.23000000000000043
,,,10.68,0.1999999999999993
10.91,,0.019999999999999574,10.89,0.21000000000000085
,,,11.1,0.20999999999999908
11.33,,0.009999999999999787,11.32,0.22000000000000064
11.54,0.20999999999999908,0.009999999999999787,11.53,0.20999999999999908
11.74,0.20000000000000107,-0.009999999999999787,11.75,0.22000000000000064
11.95,0.20999999999999908,-0.02000000000000135,11.97,0.22000000000000064
12.19,0.2400000000000002,0.019999999999999574,12.17,0.1999999999999993
12.4,0.21000000000000085,0.0,12.4,0.23000000000000043
12.63,0.23000000000000043,0.010000000000001563,12.62,0.21999999999999886
12.86,0.22999999999999865,0.019999999999999574,12.84,0.22000000000000064
13.1,0.2400000000000002,0.03999999999999915,13.06,0.22000000000000064
13.31,0.21000000000000085,0.040000000000000924,13.27,0.20999999999999908
13.49,0.17999999999999972,0.0,13.49,0.22000000000000064
13.72,0.23000000000000043,0.009999999999999787,13.71,0.22000000000000064
,,,13.92,0.20999999999999908
,,,14.12,0.1999999999999993
14.36,,0.009999999999999787,14.35,0.23000000000000043
14.58,0.22000000000000064,0.019999999999999574,14.56,0.21000000000000085
14.81,0.23000000000000043,0.02000000000000135,14.79,0.22999999999999865
15.03,0.21999999999999886,0.03999999999999915,14.99,0.20000000000000107
15.23,0.20000000000000107,0.019999999999999574,15.21,0.22000000000000064
15.48,0.25,0.05000000000000071,15.43,0.21999999999999886
15.66,0.17999999999999972,0.009999999999999787,15.65,0.22000000000000064
15.85,0.1899999999999995,-0.009999999999999787,15.86,0.20999999999999908
16.1,0.2500000000000018,0.010000000000001563,16.09,0.23000000000000043
16.29,0.18999999999999773,,,
16.53,0.240000000000002,0.030000000000001137,16.5,
,,,16.7,0.1999999999999993
16.93,,,,
,,,17.14,
17.37,,0.010000000000001563,17.36,0.21999999999999886
17.54,0.16999999999999815,-0.03999999999999915,17.58,0.21999999999999886
17.79,0.25,0.00999999999999801,17.78,0.20000000000000284
18.02,0.23000000000000043,0.019999999999999574,18.0,0.21999999999999886
18.22,0.1999999999999993,,,
18.42,0.20000000000000284,0.010000000000001563,18.41,
18.64,0.21999999999999886,0.010000000000001563,18.63,0.21999999999999886
18.88,0.23999999999999844,0.03999999999999915,18.84,0.21000000000000085
19.09,0.21000000000000085,0.03999999999999915,19.05,0.21000000000000085
19.27,0.17999999999999972,-0.010000000000001563,19.28,0.23000000000000043
,,,19.5,0.21999999999999886
19.69,,-0.00999999999999801,19.7,0.1999999999999993
19.91,0.21999999999999886,-0.010000000000001563,19.92,0.22000000000000242
20.14,0.23000000000000043,0.0,20.14,0.21999999999999886
20.38,0.23999999999999844,0.019999999999999574,20.36,0.21999999999999886
20.57,0.19000000000000128,0.010000000000001563,20.56,0.1999999999999993
20.8,0.23000000000000043,0.019999999999999574,20.78,0.22000000000000242
20.99,0.18999999999999773,0.0,20.99,0.2099999999999973
21.21,0.22000000000000242,0.0,21.21,0.22000000000000242
21.44,0.23000000000000043,0.019999999999999574,21.42,0.21000000000000085
21.68,0.23999999999999844,0.030000000000001137,21.65,0.22999999999999687
21.89,0.21000000000000085,0.030000000000001137,21.86,0.21000000000000085
22.09,0.1999999999999993,0.019999999999999574,22.07,0.21000000000000085
22.29,0.1999999999999993,0.0,22.29,0.21999999999999886
22.5,0.21000000000000085,-0.010000000000001563,22.51,0.22000000000000242
22.72,0.21999999999999886,0.00999999999999801,22.71,0.1999999999999993
22.94,0.22000000000000242,0.0,22.94,0.23000000000000043
23.18,0.23999999999999844,0.030000000000001137,23.15,0.2099999999999973
23.4,0.21999999999999886,0.019999999999999574,23.38,0.23000000000000043
23.61,0.21000000000000085,0.019999999999999574,23.59,0.21000000000000085
23.81,0.1999999999999993,0.00999999999999801,23.8,0.21000000000000085
24.02,0.21000000000000085,0.0,24.02,0.21999999999999886
24.25,0.23000000000000043,0.010000000000001563,24.24,0.21999999999999886
,,,24.45,0.21000000000000085
24.69,,0.0400000000000027,24.65,0.1999999999999993
24.89,0.1999999999999993,0.030000000000001137,24.86,0.21000000000000085
25.11,0.21999999999999886,0.019999999999999574,25.09,0.23000000000000043
25.32,0.21000000000000085,0.019999999999999574,25.3,0.21000000000000085
25.54,0.21999999999999886,0.00999999999999801,25.53,0.23000000000000043
25.74,0.1999999999999993,0.0,25.74,0.2099999999999973
25.98,0.240000000000002,0.030000000000001137,25.95,0.21000000000000085
26.18,0.1999999999999993,0.019999999999999574,26.16,0.21000000000000085
26.42,0.240000000000002,0.030000000000001137,26.39,0.23000000000000043
,,,26.6,0.21000000000000085
26.81,,-0.010000000000001563,26.82,0.21999999999999886
,,,27.03,0.21000000000000085
27.25,,0.010000000000001563,27.24,0.2099999999999973
