Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.42,0.31
0.72,,0.010000000000000009,0.71,0.29
,,,0.98,0.27
1.3,,0.0,1.3,0.32000000000000006
1.58,0.28,0.010000000000000009,1.57,0.27
1.91,0.32999999999999985,0.04999999999999982,1.86,0.29000000000000004
2.15,0.24,0.0,2.15,0.2899999999999998
,,,,
,,,2.7,
3.01,,0.019999999999999574,2.99,0.29000000000000004
,,,3.28,0.2899999999999996
,,,3.57,0.29000000000000004
3.9,,0.06000000000000005,3.84,0.27
4.17,0.27,0.040000000000000036,4.13,0.29000000000000004
4.44,0.27000000000000046,0.03000000000000025,4.41,0.28000000000000025
4.76,0.3199999999999994,0.04999999999999982,4.71,0.2999999999999998
5.01,0.25,0.02999999999999936,4.98,0.27000000000000046
5.29,0.28000000000000025,0.009999999999999787,5.28,0.2999999999999998
5.6,0.3099999999999996,0.04999999999999982,5.55,0.2699999999999996
5.87,0.27000000000000046,0.03000000000000025,5.84,0.29000000000000004
6.15,0.28000000000000025,0.040000000000000036,6.11,0.27000000000000046
6.45,0.2999999999999998,0.04999999999999982,6.4,0.29000000000000004
,,,6.68,0.27999999999999936
7.01,,0.04999999999999982,6.96,0.28000000000000025
7.27,0.2599999999999998,0.019999999999999574,7.25,0.29000000000000004
7.57,0.3000000000000007,0.03000000000000025,7.54,0.29000000000000004
7.83,0.2599999999999998,0.020000000000000462,7.81,0.2699999999999996
8.11,0.27999999999999936,0.019999999999999574,8.09,0.28000000000000025
8.4,0.2900000000000009,0.030000000000001137,8.37,0.27999999999999936
8.67,0.2699999999999996,0.009999999999999787,8.66,0.2900000000000009
8.95,0.27999999999999936,0.019999999999999574,8.93,0.2699999999999996
9.24,0.2900000000000009,0.02999999999999936,9.21,0.28000000000000114
9.5,0.2599999999999998,0.009999999999999787,9.49,0.27999999999999936
9.8,0.3000000000000007,0.040000000000000924,9.76,0.2699999999999996
10.05,0.25,0.02000000000000135,10.03,0.2699999999999996
10.35,0.29999999999999893,0.03999999999999915,10.31,0.28000000000000114
10.63,0.28000000000000114,0.030000000000001137,10.6,0.28999999999999915
10.89,0.2599999999999998,0.009999999999999787,10.88,0.28000000000000114
11.2,0.3099999999999987,0.03999999999999915,11.16,0.27999999999999936
11.46,0.26000000000000156,0.02000000000000135,11.44,0.27999999999999936
,,,11.71,0.27000000000000135
12.02,,0.009999999999999787,12.01,0.29999999999999893
12.34,0.3200000000000003,0.0600000000000005,12.28,0.2699999999999996
,,,12.57,0.2900000000000009
,,,12.83,0.2599999999999998
13.17,,,,
,,,13.39,
,,,13.68,0.28999999999999915
14.0,,0.05000000000000071,13.95,0.2699999999999996
14.25,0.25,0.019999999999999574,14.23,0.28000000000000114
14.54,0.28999999999999915,0.019999999999999574,14.52,0.28999999999999915
14.85,0.3100000000000005,0.0600000000000005,14.79,0.2699999999999996
,,,15.07,0.28000000000000114
,,,15.36,0.28999999999999915
15.61,,-0.009999999999999787,15.62,0.2599999999999998
,,,15.91,0.2900000000000009
,,,16.19,0.28000000000000114
16.51,,0.030000000000001137,16.48,0.28999999999999915
16.76,0.25,0.020000000000003126,16.74,0.259999999999998
17.04,0.2799999999999976,0.00999999999999801,17.03,0.2900000000000027
,,,17.29,0.259999999999998
,,,17.57,0.28000000000000114
,,,17.85,0.28000000000000114
,,,18.12,0.2699999999999996
,,,18.41,0.28999999999999915
18.71,,0.019999999999999574,18.69,0.28000000000000114
18.98,0.2699999999999996,0.030000000000001137,18.95,0.259999999999998
19.26,0.28000000000000114,0.020000000000003126,19.24,0.28999999999999915
,,,19.51,0.2700000000000031
,,,19.79,0.2799999999999976
,,,20.05,0.26000000000000156
,,,20.33,0.2799999999999976
,,,20.6,0.2700000000000031
20.93,,0.03999999999999915,20.89,0.28999999999999915
21.19,0.26000000000000156,0.0400000000000027,21.15,0.259999999999998
21.47,0.2799999999999976,0.029999999999997584,21.44,0.2900000000000027
21.72,0.25,0.0,21.72,0.2799999999999976
22.03,0.3100000000000023,0.05000000000000071,21.98,0.26000000000000156
,,,22.27,0.28999999999999915
22.56,,0.019999999999999574,22.54,0.2699999999999996
,,,22.8,0.26000000000000156
23.12,,0.0400000000000027,23.08,0.2799999999999976
23.38,0.259999999999998,0.019999999999999574,23.36,0.28000000000000114
,,,23.62,0.26000000000000156
23.92,,0.030000000000001137,23.89,0.2699999999999996
24.18,0.259999999999998,0.0,24.18,0.28999999999999915
24.48,0.3000000000000007,0.030000000000001137,24.45,0.2699999999999996
24.72,0.23999999999999844,-0.010000000000001563,24.73,0.28000000000000114
24.99,0.2699999999999996,0.0,24.99,0.259999999999998
25.3,0.3100000000000023,0.019999999999999574,25.28,0.2900000000000027
,,,25.53,0.25
25.83,,0.0,25.83,0.29999999999999716
26.11,0.28000000000000114,0.019999999999999574,26.09,0.26000000000000156
26.37,0.26000000000000156,0.019999999999999574,26.35,0.26000000000000156
,,,26.61,0.259999999999998
26.92,,0.0400000000000027,26.88,0.2699999999999996
27.19,0.2699999999999996,0.010000000000001563,27.18,0.3000000000000007
,,,27.45,0.2699999999999996
27.75,,0.019999999999999574,27.73,0.28000000000000114
,,,28.04,0.3099999999999987
,,,28.32,0.28000000000000114
28.6,,0.0,28.6,0.28000000000000114
,,,28.88,0.2799999999999976
29.19,,,,
,,,29.43,
,,,29.72,0.28999999999999915
30.03,,0.0400000000000027,29.99,0.2699999999999996
30.3,0.2699999999999996,0.030000000000001137,30.27,0.28000000000000114
,,,30.54,0.2699999999999996
30.84,,0.019999999999999574,30.82,0.28000000000000114
31.1,0.26000000000000156,0.010000000000001563,31.09,0.2699999999999996
31.39,0.28999999999999915,0.0,31.39,0.3000000000000007
31.65,0.259999999999998,0.00999999999999801,31.64,0.25
31.96,0.3100000000000023,0.030000000000001137,31.93,0.28999999999999915
,,,32.19,0.259999999999998
,,,32.48,0.28999999999999915
32.81,,0.07000000000000028,32.74,0.2600000000000051
33.06,0.25,0.03999999999999915,33.02,0.28000000000000114
33.32,0.259999999999998,0.030000000000001137,33.29,0.269999999999996
,,,33.57,0.28000000000000114
,,,33.83,0.259999999999998
34.16,,0.04999999999999716,34.11,0.28000000000000114
34.44,0.28000000000000114,0.04999999999999716,34.39,0.28000000000000114
,,,34.67,0.28000000000000114
34.96,,0.030000000000001137,34.93,0.259999999999998
,,,35.21,0.28000000000000114
35.52,,0.04000000000000625,35.48,0.269999999999996
35.79,0.269999999999996,,,
36.06,0.2700000000000031,0.03999999999999915,36.02,
36.32,0.259999999999998,0.00999999999999801,36.31,0.28999999999999915
36.59,0.2700000000000031,0.0,36.59,0.28000000000000114
,,,36.87,0.27999999999999403
,,,37.13,0.2600000000000051
37.43,,0.0,37.43,0.29999999999999716
37.71,0.28000000000000114,0.020000000000003126,37.69,0.259999999999998
,,,37.97,0.28000000000000114
38.27,,0.020000000000003126,38.25,0.28000000000000114
38.55,0.27999999999999403,0.00999999999999801,38.54,0.28999999999999915
,,,38.81,0.2700000000000031
,,,39.11,0.29999999999999716
39.38,,0.010000000000005116,39.37,0.259999999999998
,,,39.65,0.28000000000000114
39.92,,-0.01999999999999602,39.94,0.28999999999999915
,,,40.2,0.2600000000000051
40.5,,0.030000000000001137,40.47,0.269999999999996
40.78,0.28000000000000114,0.0,40.78,0.3100000000000023
,,,41.05,0.269999999999996
41.33,,0.030000000000001137,41.3,0.25
,,,41.6,0.30000000000000426
,,,41.88,0.28000000000000114
,,,42.15,0.269999999999996
42.45,,0.020000000000003126,42.43,0.28000000000000114
,,,42.72,0.28999999999999915
,,,43.0,0.28000000000000114
43.27,,-0.00999999999999801,43.28,0.28000000000000114
,,,43.56,0.28000000000000114
43.88,,0.03999999999999915,43.84,0.28000000000000114
,,,44.12,0.27999999999999403
44.41,,0.0,44.41,0.28999999999999915
44.7,0.29000000000000625,,,
,,,44.95,
45.25,,0.020000000000003126,45.23,0.27999999999999403
45.54,0.28999999999999915,0.03999999999999915,45.5,0.2700000000000031
45.81,0.2700000000000031,0.020000000000003126,45.79,0.28999999999999915
,,,46.07,0.28000000000000114
46.36,,0.00999999999999801,46.35,0.28000000000000114
,,,46.62,0.269999999999996
46.94,,0.03999999999999915,46.9,0.28000000000000114
,,,47.17,0.2700000000000031
47.47,,0.01999999999999602,47.45,0.28000000000000114
47.76,0.28999999999999915,0.04999999999999716,47.71,0.259999999999998
48.02,0.2600000000000051,0.030000000000001137,47.99,0.28000000000000114
,,,48.27,0.28000000000000114
,,,48.54,0.269999999999996
,,,48.82,0.28000000000000114
49.13,,0.020000000000003126,49.11,0.28999999999999915
49.41,0.27999999999999403,0.02999999999999403,49.38,0.2700000000000031
49.67,0.2600000000000051,0.0,49.67,0.28999999999999915
49.95,0.28000000000000114,0.0,49.95,0.28000000000000114
,,,50.23,0.27999999999999403
,,,50.5,0.2700000000000031
50.81,,0.03999999999999915,50.77,0.2700000000000031
51.1,0.28999999999999915,0.060000000000002274,51.04,0.269999999999996
51.37,0.269999999999996,0.04999999999999716,51.32,0.28000000000000114
,,,51.58,0.259999999999998
,,,51.86,0.28000000000000114
52.17,,0.030000000000001137,52.14,0.28000000000000114
52.45,0.28000000000000114,0.030000000000001137,52.42,0.28000000000000114
,,,52.69,0.269999999999996
53.01,,0.01999999999999602,52.99,0.30000000000000426
53.28,0.2700000000000031,0.05000000000000426,53.23,0.23999999999999488
53.51,0.22999999999999687,0.030000000000001137,53.48,0.25
,,,53.78,0.30000000000000426
,,,54.06,0.28000000000000114
,,,54.33,0.269999999999996
,,,54.64,0.3100000000000023
,,,54.92,0.28000000000000114
55.21,,-0.00999999999999801,55.22,0.29999999999999716
55.49,0.28000000000000114,-0.00999999999999801,55.5,0.28000000000000114
,,,55.78,0.28000000000000114
56.07,,0.020000000000003126,56.05,0.269999999999996
56.34,0.2700000000000031,0.0,56.34,0.29000000000000625
56.62,0.27999999999999403,0.00999999999999801,56.61,0.269999999999996
,,,56.88,0.2700000000000031
57.19,,0.03999999999999915,57.15,0.269999999999996
57.47,0.28000000000000114,0.04999999999999716,57.42,0.2700000000000031
57.74,0.2700000000000031,0.030000000000001137,57.71,0.28999999999999915
58.03,0.28999999999999915,0.05000000000000426,57.98,0.269999999999996
58.29,0.259999999999998,0.030000000000001137,58.26,0.28000000000000114
