Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
0.86,,,,
,,,,
,,,1.41,
,,,,
,,,1.98,
,,,,
2.61,,0.06000000000000005,2.55,
2.81,0.20000000000000018,,,
,,,3.12,
,,,,
3.72,,0.050000000000000266,3.67,
,,,,
,,,4.22,
,,,,
4.79,,0.0,4.79,
,,,,
,,,5.32,
5.66,,,,
5.9,0.2400000000000002,0.010000000000000675,5.89,
6.18,0.27999999999999936,,,
6.47,0.29000000000000004,0.040000000000000036,6.43,
6.73,0.2600000000000007,,,
,,,6.98,
7.24,,,,
,,,7.52,
7.77,,,,
8.12,0.34999999999999964,0.049999999999998934,8.07,
8.33,0.21000000000000085,,,
8.61,0.27999999999999936,0.02999999999999936,8.58,
8.88,0.27000000000000135,,,
9.18,0.29999999999999893,0.02999999999999936,9.15,
,,,,
9.73,,0.019999999999999574,9.71,
,,,,
10.26,,-0.019999999999999574,10.28,
,,,,
,,,10.82,
,,,,
11.41,,0.019999999999999574,11.39,
,,,11.66,0.2699999999999996
11.97,,0.05000000000000071,11.92,0.2599999999999998
,,,,
12.5,,0.009999999999999787,12.49,
,,,,
13.06,,0.030000000000001137,13.03,
,,,,
,,,13.61,
,,,,
,,,14.17,
,,,,
14.77,,0.05999999999999872,14.71,
,,,,
15.28,,0.019999999999999574,15.26,
,,,,
,,,15.82,
,,,,
16.4,,0.019999999999999574,16.38,
,,,,
16.98,,0.030000000000001137,16.95,
,,,,
,,,17.5,
,,,,
18.06,,-0.010000000000001563,18.07,
,,,,
18.68,,0.07000000000000028,18.61,
,,,,
19.2,,0.019999999999999574,19.18,
,,,,
,,,19.72,
,,,,
20.31,,0.029999999999997584,20.28,
,,,,
20.86,,0.030000000000001137,20.83,
,,,,
21.42,,0.030000000000001137,21.39,
,,,,
21.93,,0.00999999999999801,21.92,
,,,,
,,,22.49,
,,,,
,,,23.03,
,,,,
23.61,,0.019999999999999574,23.59,
,,,,
24.16,,0.03999999999999915,24.12,
,,,,
,,,24.68,
24.96,,,,
25.27,0.3099999999999987,0.030000000000001137,25.24,
,,,,
25.85,,0.07000000000000028,25.78,
,,,,
26.38,,0.029999999999997584,26.35,
,,,,
26.95,,0.029999999999997584,26.92,
,,,,
27.53,,0.060000000000002274,27.47,
,,,,
28.04,,0.019999999999999574,28.02,
,,,,
28.63,,0.05000000000000071,28.58,
,,,,
29.16,,0.019999999999999574,29.14,
,,,,
,,,29.69,
,,,,
30.27,,0.00999999999999801,30.26,
,,,,
,,,,
,,,,
31.38,,0.019999999999999574,31.36,
,,,,
31.94,,0.05000000000000071,31.89,
,,,,
32.49,,0.060000000000002274,32.43,
,,,,
33.03,,0.05000000000000426,32.98,
,,,,
33.55,,0.01999999999999602,33.53,
,,,,
34.09,,0.010000000000005116,34.08,
,,,,
34.63,,0.030000000000001137,34.6,
34.89,0.259999999999998,,,
35.17,0.28000000000000114,0.020000000000003126,35.15,
,,,,
35.71,,0.00999999999999801,35.7,
,,,,
36.29,,0.03999999999999915,36.25,
,,,,
36.79,,-0.020000000000003126,36.81,
,,,,
37.37,,0.02999999999999403,37.34,
,,,,
37.94,,0.03999999999999915,37.9,
,,,,
38.49,,0.060000000000002274,38.43,
,,,,
39.05,,0.07000000000000028,38.98,
,,,,
39.58,,0.05999999999999517,39.52,
,,,,
40.11,,0.03999999999999915,40.07,
,,,,
,,,40.63,
,,,,
,,,41.17,
,,,,
41.78,,0.060000000000002274,41.72,
,,,,
,,,42.28,
,,,,
,,,42.84,
,,,,
,,,43.39,
,,,,
43.98,,0.04999999999999716,43.93,
44.18,0.20000000000000284,,,
44.51,0.3299999999999983,0.01999999999999602,44.49,
,,,,
45.05,,0.01999999999999602,45.03,
,,,,
45.65,,0.05999999999999517,45.59,
,,,,
46.19,,0.03999999999999915,46.15,
,,,,
46.75,,0.04999999999999716,46.7,
,,,,
47.3,,0.03999999999999915,47.26,
,,,,
47.84,,0.04000000000000625,47.8,
,,,,
,,,48.33,
48.64,,,,
48.91,0.269999999999996,0.01999999999999602,48.89,
,,,,
49.48,,0.02999999999999403,49.45,
49.74,0.2600000000000051,,,
50.01,0.269999999999996,0.030000000000001137,49.98,
,,,,
50.59,,0.060000000000002274,50.53,
,,,,
51.08,,0.0,51.08,
,,,,
,,,51.63,
,,,,
52.16,,-0.010000000000005116,52.17,
,,,,
52.76,,0.04999999999999716,52.71,
,,,,
53.3,,0.0,53.3,
,,,,
53.86,,0.030000000000001137,53.83,
,,,,
,,,54.4,
,,,,
,,,54.96,
,,,,
55.56,,0.03999999999999915,55.52,
,,,,
,,,,
,,,,
56.62,,0.00999999999999801,56.61,
,,,,
,,,57.14,
,,,,
57.76,,0.05999999999999517,57.7,
57.98,0.21999999999999886,,,
58.29,0.3100000000000023,0.04999999999999716,58.24,
,,,,
