Tap Time,ITI,Asynchornies,Tone Time,IOI
0.32,0.31,0.06,0.26,0.25
,,,,
0.82,,0.019999999999999907,0.8,
,,,,
1.33,,0.020000000000000018,1.31,
1.58,0.25,,,
1.84,0.26,0.020000000000000018,1.82,
2.11,0.2699999999999998,0.040000000000000036,2.07,0.24999999999999978
2.37,0.26000000000000023,0.040000000000000036,2.33,0.26000000000000023
2.61,0.23999999999999977,0.020000000000000018,2.59,0.2599999999999998
2.86,0.25,0.029999999999999805,2.83,0.2400000000000002
3.12,0.26000000000000023,0.020000000000000018,3.1,0.27
3.37,0.25,0.03000000000000025,3.34,0.23999999999999977
,,,,
,,,3.86,
4.11,,-0.02999999999999936,4.14,0.2799999999999998
4.38,0.2699999999999996,-0.009999999999999787,4.39,0.25
4.62,0.2400000000000002,-0.040000000000000036,4.66,0.27000000000000046
4.92,0.2999999999999998,0.019999999999999574,4.9,0.2400000000000002
5.19,0.27000000000000046,0.03000000000000025,5.16,0.2599999999999998
5.44,0.25,0.03000000000000025,5.41,0.25
5.69,0.25,0.0,5.69,0.28000000000000025
5.94,0.25,,,
6.19,0.25,-0.019999999999999574,6.21,
,,,6.44,0.23000000000000043
6.72,,0.019999999999999574,6.7,0.2599999999999998
6.98,0.2600000000000007,0.040000000000000036,6.94,0.2400000000000002
7.25,0.2699999999999996,0.03000000000000025,7.22,0.27999999999999936
7.49,0.2400000000000002,0.009999999999999787,7.48,0.2600000000000007
7.76,0.2699999999999996,0.019999999999999574,7.74,0.2599999999999998
,,,7.98,0.2400000000000002
8.29,,0.049999999999998934,8.24,0.2599999999999998
8.53,0.2400000000000002,0.03999999999999915,8.49,0.25
,,,8.77,0.27999999999999936
9.04,,0.019999999999999574,9.02,0.25
9.3,0.26000000000000156,0.010000000000001563,9.29,0.2699999999999996
9.56,0.2599999999999998,0.030000000000001137,9.53,0.2400000000000002
9.83,0.2699999999999996,0.02999999999999936,9.8,0.27000000000000135
10.07,0.2400000000000002,0.019999999999999574,10.05,0.25
,,,10.31,0.2599999999999998
,,,10.54,0.22999999999999865
10.84,,0.019999999999999574,10.82,0.28000000000000114
11.08,0.2400000000000002,0.02999999999999936,11.05,0.23000000000000043
11.34,0.2599999999999998,0.019999999999999574,11.32,0.2699999999999996
11.6,0.2599999999999998,0.019999999999999574,11.58,0.2599999999999998
,,,11.85,0.2699999999999996
12.1,,0.03999999999999915,12.06,0.21000000000000085
12.34,0.2400000000000002,,,
12.59,0.25,0.009999999999999787,12.58,
,,,12.84,0.2599999999999998
13.11,,0.009999999999999787,13.1,0.2599999999999998
,,,13.36,0.2599999999999998
,,,13.62,0.2599999999999998
13.89,,0.009999999999999787,13.88,0.26000000000000156
14.11,0.21999999999999886,-0.02000000000000135,14.13,0.25
,,,14.38,0.25
14.62,,-0.030000000000001137,14.65,0.2699999999999996
14.88,0.26000000000000156,-0.019999999999999574,14.9,0.25
,,,15.14,0.2400000000000002
15.4,,0.0,15.4,0.2599999999999998
