Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.23,0.22
0.46,,-0.019999999999999962,0.48,0.24999999999999997
,,,0.72,0.24
,,,0.94,0.21999999999999997
,,,,
,,,1.41,
,,,1.66,0.25
,,,1.88,0.21999999999999997
,,,2.12,0.2400000000000002
,,,2.35,0.22999999999999998
2.62,,0.03000000000000025,2.59,0.23999999999999977
2.88,0.2599999999999998,0.06000000000000005,2.82,0.22999999999999998
,,,3.07,0.25
,,,3.3,0.22999999999999998
3.59,,0.040000000000000036,3.55,0.25
,,,3.78,0.22999999999999998
4.01,,0.0,4.01,0.22999999999999998
4.26,0.25,0.019999999999999574,4.24,0.23000000000000043
,,,4.49,0.25
,,,4.74,0.25
5.0,,0.04999999999999982,4.95,0.20999999999999996
5.17,0.16999999999999993,-0.020000000000000462,5.19,0.2400000000000002
,,,5.44,0.25
,,,5.67,0.22999999999999954
5.92,,0.019999999999999574,5.9,0.23000000000000043
,,,6.15,0.25
6.39,,0.019999999999999574,6.37,0.21999999999999975
6.63,0.2400000000000002,0.009999999999999787,6.62,0.25
6.86,0.23000000000000043,0.03000000000000025,6.83,0.20999999999999996
,,,7.08,0.25
7.32,,0.0,7.32,0.2400000000000002
,,,7.56,0.23999999999999932
7.82,,0.0,7.82,0.2600000000000007
,,,8.07,0.25
8.31,,,,
8.56,0.25,0.0600000000000005,8.5,
8.75,0.1899999999999995,0.009999999999999787,8.74,0.2400000000000002
,,,8.99,0.25
9.24,,,,
,,,9.47,
9.73,,0.009999999999999787,9.72,0.25
,,,9.95,0.22999999999999865
,,,10.19,0.2400000000000002
10.41,,-0.019999999999999574,10.43,0.2400000000000002
,,,10.64,0.21000000000000085
10.94,,,,
11.15,0.21000000000000085,,,
11.38,0.23000000000000043,,,
11.61,0.22999999999999865,0.02999999999999936,11.58,
,,,11.82,0.2400000000000002
12.06,,0.0,12.06,0.2400000000000002
,,,,
12.54,,0.02999999999999936,12.51,
,,,12.74,0.23000000000000043
12.98,,0.0,12.98,0.2400000000000002
,,,13.21,0.23000000000000043
,,,13.44,0.22999999999999865
13.69,,0.02999999999999936,13.66,0.22000000000000064
13.93,0.2400000000000002,0.019999999999999574,13.91,0.25
,,,14.13,0.22000000000000064
14.36,,0.0,14.36,0.22999999999999865
,,,,
14.88,,,,
,,,15.06,
,,,,
,,,,
,,,15.76,
16.0,,0.019999999999999574,15.98,0.22000000000000064
16.26,0.26000000000000156,0.0400000000000027,16.22,0.23999999999999844
16.47,0.2099999999999973,,,
16.69,0.22000000000000242,,,
,,,16.9,
17.15,,,,
17.38,0.23000000000000043,,,
17.63,0.25,0.03999999999999915,17.59,
17.85,0.22000000000000242,0.030000000000001137,17.82,0.23000000000000043
18.08,0.22999999999999687,0.019999999999999574,18.06,0.23999999999999844
18.28,0.20000000000000284,0.019999999999999574,18.26,0.20000000000000284
18.51,0.23000000000000043,,,
,,,,
,,,18.92,
19.17,,0.020000000000003126,19.15,0.22999999999999687
,,,19.38,0.23000000000000043
19.62,,0.0,19.62,0.240000000000002
19.84,0.21999999999999886,,,
20.07,0.23000000000000043,0.010000000000001563,20.06,
,,,20.28,0.22000000000000242
20.51,,0.030000000000001137,20.48,0.1999999999999993
,,,20.71,0.23000000000000043
20.96,,0.03999999999999915,20.92,0.21000000000000085
21.19,0.23000000000000043,0.010000000000001563,21.18,0.259999999999998
21.4,0.2099999999999973,,,
,,,21.6,
21.85,,0.030000000000001137,21.82,0.21999999999999886
,,,22.03,0.21000000000000085
,,,22.26,0.23000000000000043
22.5,,,,
,,,,
,,,22.96,
23.18,,,,
23.4,0.21999999999999886,,,
,,,23.62,
23.82,,-0.019999999999999574,23.84,0.21999999999999886
,,,24.06,0.21999999999999886
24.31,,0.019999999999999574,24.29,0.23000000000000043
24.53,0.22000000000000242,0.0,24.53,0.240000000000002
24.78,0.25,,,
,,,25.0,
25.23,,-0.00999999999999801,25.24,0.23999999999999844
,,,25.45,0.21000000000000085
25.71,,0.019999999999999574,25.69,0.240000000000002
25.92,0.21000000000000085,0.010000000000001563,25.91,0.21999999999999886
,,,26.13,0.21999999999999886
26.36,,0.0,26.36,0.23000000000000043
26.61,0.25,0.0,26.61,0.25
26.82,0.21000000000000085,-0.00999999999999801,26.83,0.21999999999999886
27.08,0.259999999999998,0.019999999999999574,27.06,0.23000000000000043
,,,27.27,0.21000000000000085
27.55,,0.03999999999999915,27.51,0.240000000000002
,,,27.73,0.21999999999999886
27.95,,-0.019999999999999574,27.97,0.23999999999999844
28.22,0.2699999999999996,0.029999999999997584,28.19,0.22000000000000242
,,,28.42,0.23000000000000043
28.67,,,,
28.89,0.21999999999999886,0.010000000000001563,28.88,
29.11,0.21999999999999886,0.0,29.11,0.23000000000000043
29.37,0.26000000000000156,0.030000000000001137,29.34,0.23000000000000043
29.58,0.2099999999999973,,,
,,,29.8,
30.05,,-0.00999999999999801,30.06,0.259999999999998
30.25,0.1999999999999993,,,
,,,30.49,
,,,30.7,0.21000000000000085
30.92,,-0.029999999999997584,30.95,0.25
,,,,
31.43,,,,
,,,,
31.79,,-0.030000000000001137,31.82,
,,,32.05,0.22999999999999687
,,,32.27,0.22000000000000597
32.5,,0.00999999999999801,32.49,0.21999999999999886
,,,32.72,0.22999999999999687
32.96,,,,
,,,33.18,
,,,,
33.62,,-0.020000000000003126,33.64,
,,,,
,,,,
34.3,,-0.04000000000000625,34.34,
,,,,
,,,,
35.02,,0.04000000000000625,34.98,
,,,35.22,0.240000000000002
,,,,
35.68,,0.030000000000001137,35.65,
,,,35.91,0.259999999999998
36.13,,-0.05999999999999517,36.19,0.28000000000000114
36.37,0.23999999999999488,,,
36.6,0.23000000000000398,0.0,36.6,
36.82,0.21999999999999886,-0.020000000000003126,36.84,0.240000000000002
37.07,0.25,0.020000000000003126,37.05,0.20999999999999375
37.28,0.21000000000000085,0.0,37.28,0.23000000000000398
37.52,0.240000000000002,0.020000000000003126,37.5,0.21999999999999886
,,,,
37.96,,,,
,,,38.15,
38.37,,-0.010000000000005116,38.38,0.23000000000000398
