Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,0.26,-0.010000000000000009,0.66,0.32
,,,0.98,0.31999999999999995
1.35,,0.06000000000000005,1.29,0.31000000000000005
1.61,0.26,0.020000000000000018,1.59,0.30000000000000004
1.97,0.3599999999999999,,,
2.29,0.32000000000000006,0.06000000000000005,2.23,
2.62,0.33000000000000007,0.07000000000000028,2.55,0.31999999999999984
,,,2.87,0.3200000000000003
,,,3.18,0.31000000000000005
3.48,,-0.010000000000000231,3.49,0.31000000000000005
3.81,0.33000000000000007,,,
4.16,0.3500000000000001,0.0600000000000005,4.1,
4.51,0.34999999999999964,,,
4.78,0.27000000000000046,0.04999999999999982,4.73,
5.11,0.33000000000000007,,,
,,,5.35,
5.72,,0.04999999999999982,5.67,0.3200000000000003
,,,5.98,0.3100000000000005
6.38,,,,
6.66,0.28000000000000025,0.04999999999999982,6.61,
6.97,0.3099999999999996,0.040000000000000036,6.93,0.3199999999999994
7.27,0.2999999999999998,0.019999999999999574,7.25,0.3200000000000003
7.61,0.34000000000000075,0.05000000000000071,7.56,0.3099999999999996
,,,7.85,0.29000000000000004
8.22,,0.030000000000001137,8.19,0.33999999999999986
,,,8.49,0.3000000000000007
,,,8.81,0.3200000000000003
9.11,,0.0,9.11,0.29999999999999893
9.44,0.33000000000000007,0.009999999999999787,9.43,0.3200000000000003
9.75,0.3100000000000005,0.019999999999999574,9.73,0.3000000000000007
10.11,0.35999999999999943,0.03999999999999915,10.07,0.33999999999999986
10.38,0.27000000000000135,0.0,10.38,0.3100000000000005
10.7,0.3199999999999985,-0.010000000000001563,10.71,0.33000000000000007
11.01,0.3100000000000005,0.0,11.01,0.29999999999999893
,,,11.33,0.3200000000000003
,,,11.64,0.3100000000000005
11.98,,0.030000000000001137,11.95,0.3099999999999987
12.32,0.33999999999999986,0.07000000000000028,12.25,0.3000000000000007
12.64,0.3200000000000003,,,
,,,12.88,
13.25,,0.0600000000000005,13.19,0.3099999999999987
13.52,0.2699999999999996,0.019999999999999574,13.5,0.3100000000000005
13.87,0.34999999999999964,0.05999999999999872,13.81,0.3100000000000005
,,,14.13,0.3200000000000003
14.49,,0.040000000000000924,14.45,0.3199999999999985
14.8,0.3100000000000005,0.040000000000000924,14.76,0.3100000000000005
15.11,0.3099999999999987,0.049999999999998934,15.06,0.3000000000000007
15.39,0.28000000000000114,0.009999999999999787,15.38,0.3200000000000003
15.71,0.3200000000000003,,,
16.01,0.3000000000000007,0.02000000000000135,15.99,
16.36,0.34999999999999787,0.05000000000000071,16.31,0.3199999999999985
,,,16.62,0.3100000000000023
16.99,,0.04999999999999716,16.94,0.3200000000000003
17.28,0.2900000000000027,0.019999999999999574,17.26,0.3200000000000003
17.64,0.35999999999999943,0.07000000000000028,17.57,0.3099999999999987
17.94,0.3000000000000007,0.05000000000000071,17.89,0.3200000000000003
,,,18.18,0.28999999999999915
18.54,,0.05000000000000071,18.49,0.3099999999999987
18.81,0.2699999999999996,,,
19.13,0.3200000000000003,0.05000000000000071,19.08,
19.5,0.370000000000001,0.07000000000000028,19.43,0.3500000000000014
19.75,0.25,0.0,19.75,0.3200000000000003
,,,,
,,,20.36,
20.72,,,,
21.01,0.2900000000000027,0.0400000000000027,20.97,
21.34,0.3299999999999983,0.03999999999999915,21.3,0.33000000000000185
,,,21.6,0.3000000000000007
21.97,,0.04999999999999716,21.92,0.3200000000000003
22.22,0.25,0.0,22.22,0.29999999999999716
22.58,0.35999999999999943,0.03999999999999915,22.54,0.3200000000000003
22.86,0.28000000000000114,0.00999999999999801,22.85,0.3100000000000023
23.18,0.3200000000000003,0.00999999999999801,23.17,0.3200000000000003
23.49,0.3099999999999987,0.019999999999999574,23.47,0.29999999999999716
23.81,0.3200000000000003,0.019999999999999574,23.79,0.3200000000000003
24.09,0.28000000000000114,-0.019999999999999574,24.11,0.3200000000000003
24.42,0.33000000000000185,0.0,24.42,0.3100000000000023
24.72,0.29999999999999716,-0.010000000000001563,24.73,0.3099999999999987
,,,25.05,0.3200000000000003
25.42,,0.060000000000002274,25.36,0.3099999999999987
25.74,0.31999999999999673,0.06999999999999673,25.67,0.3100000000000023
25.98,0.240000000000002,0.0,25.98,0.3099999999999987
26.37,0.39000000000000057,0.060000000000002274,26.31,0.3299999999999983
,,,26.61,0.3000000000000007
26.97,,0.03999999999999915,26.93,0.3200000000000003
27.26,0.2900000000000027,0.020000000000003126,27.24,0.3099999999999987
27.61,0.34999999999999787,0.07000000000000028,27.54,0.3000000000000007
27.9,0.28999999999999915,0.04999999999999716,27.85,0.3100000000000023
28.21,0.3100000000000023,,,
28.53,0.3200000000000003,0.060000000000002274,28.47,
28.8,0.2699999999999996,0.019999999999999574,28.78,0.3100000000000023
29.08,0.2799999999999976,0.029999999999997584,29.05,0.2699999999999996
29.38,0.3000000000000007,-0.019999999999999574,29.4,0.34999999999999787
29.72,0.33999999999999986,0.00999999999999801,29.71,0.3100000000000023
,,,30.02,0.3099999999999987
30.39,,0.07000000000000028,30.32,0.3000000000000007
30.69,0.3000000000000007,0.05000000000000071,30.64,0.3200000000000003
30.93,0.23999999999999844,-0.010000000000001563,30.94,0.3000000000000007
31.31,0.379999999999999,0.04999999999999716,31.26,0.3200000000000003
31.55,0.240000000000002,0.0,31.55,0.28999999999999915
31.9,0.34999999999999787,0.029999999999997584,31.87,0.3200000000000003
32.23,0.3299999999999983,0.04999999999999716,32.18,0.3099999999999987
32.53,0.30000000000000426,0.030000000000001137,32.5,0.3200000000000003
32.79,0.259999999999998,0.0,32.79,0.28999999999999915
33.14,0.3500000000000014,0.060000000000002274,33.08,0.28999999999999915
33.44,0.29999999999999716,0.030000000000001137,33.41,0.3299999999999983
33.75,0.3100000000000023,0.00999999999999801,33.74,0.3300000000000054
,,,34.04,0.29999999999999716
,,,34.36,0.3200000000000003
,,,34.67,0.3100000000000023
34.94,,-0.030000000000001137,34.97,0.29999999999999716
35.27,0.3300000000000054,-0.00999999999999801,35.28,0.3100000000000023
,,,35.6,0.3200000000000003
35.95,,0.04000000000000625,35.91,0.30999999999999517
,,,36.22,0.3100000000000023
,,,36.52,0.30000000000000426
36.89,,0.04999999999999716,36.84,0.3200000000000003
37.18,0.28999999999999915,0.04999999999999716,37.13,0.28999999999999915
37.51,0.3299999999999983,0.05999999999999517,37.45,0.3200000000000003
37.81,0.30000000000000426,0.0800000000000054,37.73,0.27999999999999403
38.1,0.28999999999999915,,,
38.39,0.28999999999999915,0.020000000000003126,38.37,
38.74,0.3500000000000014,0.03999999999999915,38.7,0.3300000000000054
39.02,0.28000000000000114,0.010000000000005116,39.01,0.30999999999999517
39.36,0.3399999999999963,0.03999999999999915,39.32,0.3100000000000023
39.67,0.3100000000000023,0.05000000000000426,39.62,0.29999999999999716
39.99,0.3200000000000003,0.03999999999999915,39.95,0.3300000000000054
40.27,0.28000000000000114,0.04000000000000625,40.23,0.27999999999999403
40.59,0.3200000000000003,0.030000000000001137,40.56,0.3300000000000054
40.87,0.27999999999999403,0.00999999999999801,40.86,0.29999999999999716
41.23,0.35999999999999943,0.03999999999999915,41.19,0.3299999999999983
41.5,0.2700000000000031,0.00999999999999801,41.49,0.30000000000000426
41.88,0.38000000000000256,0.07000000000000028,41.81,0.3200000000000003
42.12,0.23999999999999488,0.0,42.12,0.30999999999999517
42.48,0.35999999999999943,0.03999999999999915,42.44,0.3200000000000003
42.75,0.2700000000000031,0.00999999999999801,42.74,0.30000000000000426
43.08,0.3299999999999983,0.01999999999999602,43.06,0.3200000000000003
43.4,0.3200000000000003,0.030000000000001137,43.37,0.30999999999999517
43.74,0.3400000000000034,0.05000000000000426,43.69,0.3200000000000003
44.01,0.269999999999996,0.00999999999999801,44.0,0.3100000000000023
44.38,0.37000000000000455,0.060000000000002274,44.32,0.3200000000000003
44.61,0.22999999999999687,-0.030000000000001137,44.64,0.3200000000000003
