Tap Time,ITI,Asynchornies,Tone Time,IOI
0.55,0.38,0.06000000000000005,0.49,0.35
,,,0.87,0.38
1.32,,0.06000000000000005,1.26,0.39
1.73,0.4099999999999999,0.08000000000000007,1.65,0.3899999999999999
2.04,0.31000000000000005,0.0,2.04,0.3900000000000001
,,,2.41,0.3700000000000001
2.83,,0.040000000000000036,2.79,0.3799999999999999
3.28,0.44999999999999973,0.08999999999999986,3.19,0.3999999999999999
3.64,0.3600000000000003,0.050000000000000266,3.59,0.3999999999999999
4.02,0.37999999999999945,0.04999999999999938,3.97,0.38000000000000034
4.38,0.3600000000000003,0.019999999999999574,4.36,0.3900000000000001
4.79,0.41000000000000014,0.04999999999999982,4.74,0.3799999999999999
5.15,0.3600000000000003,0.020000000000000462,5.13,0.3899999999999997
5.54,0.3899999999999997,0.03000000000000025,5.51,0.3799999999999999
5.92,0.3799999999999999,0.040000000000000036,5.88,0.3700000000000001
6.3,0.3799999999999999,0.03000000000000025,6.27,0.3899999999999997
6.64,0.33999999999999986,0.0,6.64,0.3700000000000001
,,,7.02,0.3799999999999999
7.47,,0.08000000000000007,7.39,0.3700000000000001
7.84,0.3700000000000001,0.04999999999999982,7.79,0.40000000000000036
8.19,0.34999999999999964,0.019999999999999574,8.17,0.3799999999999999
8.62,0.4299999999999997,0.05999999999999872,8.56,0.39000000000000057
8.99,0.370000000000001,0.07000000000000028,8.92,0.35999999999999943
,,,9.32,0.40000000000000036
,,,9.7,0.379999999999999
10.1,,0.019999999999999574,10.08,0.3800000000000008
10.44,0.33999999999999986,-0.009999999999999787,10.45,0.3699999999999992
10.83,0.39000000000000057,-0.019999999999999574,10.85,0.40000000000000036
,,,11.23,0.3800000000000008
,,,11.6,0.3699999999999992
12.03,,0.02999999999999936,12.0,0.40000000000000036
12.43,0.40000000000000036,0.03999999999999915,12.39,0.39000000000000057
12.8,0.370000000000001,0.02000000000000135,12.78,0.3899999999999988
13.17,0.3699999999999992,0.009999999999999787,13.16,0.3800000000000008
,,,13.54,0.379999999999999
13.91,,-0.02999999999999936,13.94,0.40000000000000036
,,,14.3,0.3600000000000012
,,,14.68,0.379999999999999
15.12,,0.049999999999998934,15.07,0.39000000000000057
,,,15.46,0.39000000000000057
15.85,,0.009999999999999787,15.84,0.379999999999999
,,,16.21,0.370000000000001
16.6,,0.0,16.6,0.39000000000000057
16.99,0.389999999999997,-0.010000000000001563,17.0,0.3999999999999986
17.37,0.38000000000000256,-0.00999999999999801,17.38,0.379999999999999
,,,17.76,0.38000000000000256
18.17,,0.030000000000001137,18.14,0.379999999999999
18.48,0.3099999999999987,-0.030000000000001137,18.51,0.370000000000001
18.93,0.4499999999999993,0.00999999999999801,18.92,0.41000000000000014
19.25,0.3200000000000003,-0.07000000000000028,19.32,0.3999999999999986
,,,19.68,0.35999999999999943
20.03,,-0.03999999999999915,20.07,0.39000000000000057
20.41,0.379999999999999,-0.019999999999999574,20.43,0.35999999999999943
20.78,0.370000000000001,-0.04999999999999716,20.83,0.3999999999999986
21.23,0.4499999999999993,0.03999999999999915,21.19,0.360000000000003
21.56,0.3299999999999983,0.00999999999999801,21.55,0.35999999999999943
21.97,0.41000000000000014,0.00999999999999801,21.96,0.41000000000000014
,,,22.34,0.379999999999999
22.76,,0.030000000000001137,22.73,0.39000000000000057
23.15,0.389999999999997,0.04999999999999716,23.1,0.370000000000001
23.54,0.39000000000000057,0.07000000000000028,23.47,0.36999999999999744
,,,23.86,0.39000000000000057
24.29,,0.05000000000000071,24.24,0.379999999999999
,,,24.61,0.370000000000001
25.07,,0.05999999999999872,25.01,0.40000000000000213
,,,25.39,0.379999999999999
25.81,,0.03999999999999915,25.77,0.379999999999999
,,,26.16,0.39000000000000057
26.56,,0.0,26.56,0.3999999999999986
,,,26.95,0.39000000000000057
27.35,,0.020000000000003126,27.33,0.379999999999999
27.72,0.36999999999999744,0.0,27.72,0.39000000000000057
28.14,0.4200000000000017,0.030000000000001137,28.11,0.39000000000000057
28.5,0.35999999999999943,0.010000000000001563,28.49,0.379999999999999
28.93,0.4299999999999997,0.05000000000000071,28.88,0.39000000000000057
29.24,0.3099999999999987,-0.030000000000001137,29.27,0.39000000000000057
29.64,0.40000000000000213,-0.00999999999999801,29.65,0.379999999999999
,,,30.04,0.39000000000000057
30.41,,-0.010000000000001563,30.42,0.38000000000000256
,,,30.8,0.379999999999999
,,,31.17,0.370000000000001
31.61,,0.030000000000001137,31.58,0.4099999999999966
31.98,0.370000000000001,0.019999999999999574,31.96,0.38000000000000256
32.38,0.40000000000000213,0.03999999999999915,32.34,0.38000000000000256
32.74,0.35999999999999943,0.010000000000005116,32.73,0.38999999999999346
,,,33.12,0.39000000000000057
33.53,,0.00999999999999801,33.52,0.4000000000000057
33.9,0.36999999999999744,-0.00999999999999801,33.91,0.38999999999999346
34.32,0.4200000000000017,0.030000000000001137,34.29,0.38000000000000256
,,,34.67,0.38000000000000256
35.06,,0.030000000000001137,35.03,0.35999999999999943
,,,35.42,0.39000000000000057
35.81,,0.010000000000005116,35.8,0.37999999999999545
,,,36.2,0.4000000000000057
36.62,,0.04999999999999716,36.57,0.36999999999999744
,,,36.95,0.38000000000000256
,,,37.35,0.3999999999999986
37.77,,0.020000000000003126,37.75,0.3999999999999986
38.14,0.36999999999999744,0.00999999999999801,38.13,0.38000000000000256
,,,38.53,0.3999999999999986
38.9,,0.0,38.9,0.36999999999999744
,,,39.28,0.38000000000000256
39.7,,0.04000000000000625,39.66,0.37999999999999545
40.14,0.4399999999999977,0.09000000000000341,40.05,0.39000000000000057
40.44,0.29999999999999716,0.0,40.44,0.39000000000000057
,,,40.83,0.39000000000000057
41.23,,0.00999999999999801,41.22,0.39000000000000057
,,,41.61,0.39000000000000057
41.98,,-0.020000000000003126,42.0,0.39000000000000057
42.36,0.38000000000000256,-0.030000000000001137,42.39,0.39000000000000057
42.75,0.39000000000000057,-0.020000000000003126,42.77,0.38000000000000256
43.12,0.36999999999999744,-0.03999999999999915,43.16,0.38999999999999346
43.52,0.4000000000000057,-0.00999999999999801,43.53,0.37000000000000455
43.91,0.38999999999999346,-0.010000000000005116,43.92,0.39000000000000057
44.32,0.4100000000000037,0.020000000000003126,44.3,0.37999999999999545
44.69,0.36999999999999744,0.0,44.69,0.39000000000000057
,,,45.05,0.35999999999999943
45.46,,0.020000000000003126,45.44,0.39000000000000057
45.83,0.36999999999999744,0.03999999999999915,45.79,0.3500000000000014
46.25,0.4200000000000017,0.07000000000000028,46.18,0.39000000000000057
46.53,0.28000000000000114,-0.04999999999999716,46.58,0.3999999999999986
46.94,0.4099999999999966,-0.030000000000001137,46.97,0.39000000000000057
47.38,0.44000000000000483,0.020000000000003126,47.36,0.39000000000000057
,,,47.74,0.38000000000000256
48.14,,0.030000000000001137,48.11,0.36999999999999744
,,,48.48,0.36999999999999744
48.88,,0.010000000000005116,48.87,0.39000000000000057
49.29,0.4099999999999966,0.030000000000001137,49.26,0.39000000000000057
49.67,0.38000000000000256,0.030000000000001137,49.64,0.38000000000000256
50.05,0.37999999999999545,0.02999999999999403,50.02,0.38000000000000256
50.47,0.4200000000000017,0.060000000000002274,50.41,0.38999999999999346
50.82,0.3500000000000014,0.020000000000003126,50.8,0.39000000000000057
,,,51.2,0.4000000000000057
51.64,,0.04999999999999716,51.59,0.39000000000000057
51.99,0.3500000000000014,0.030000000000001137,51.96,0.36999999999999744
52.33,0.3399999999999963,-0.010000000000005116,52.34,0.38000000000000256
52.71,0.38000000000000256,-0.00999999999999801,52.72,0.37999999999999545
53.11,0.3999999999999986,0.00999999999999801,53.1,0.38000000000000256
53.57,0.46000000000000085,0.07000000000000028,53.5,0.3999999999999986
53.85,0.28000000000000114,-0.03999999999999915,53.89,0.39000000000000057
54.31,0.46000000000000085,0.03999999999999915,54.27,0.38000000000000256
54.64,0.3299999999999983,-0.00999999999999801,54.65,0.37999999999999545
,,,55.04,0.39000000000000057
55.39,,-0.030000000000001137,55.42,0.38000000000000256
55.77,0.38000000000000256,-0.02999999999999403,55.8,0.37999999999999545
,,,56.18,0.38000000000000256
56.57,,0.0,56.57,0.39000000000000057
56.98,0.4099999999999966,0.03999999999999915,56.94,0.36999999999999744
57.34,0.36000000000000654,0.020000000000003126,57.32,0.38000000000000256
57.72,0.37999999999999545,0.00999999999999801,57.71,0.39000000000000057
58.07,0.3500000000000014,-0.030000000000001137,58.1,0.39000000000000057
58.46,0.39000000000000057,-0.01999999999999602,58.48,0.37999999999999545
58.84,0.38000000000000256,-0.01999999999999602,58.86,0.38000000000000256
59.28,0.4399999999999977,0.03999999999999915,59.24,0.38000000000000256
59.65,0.36999999999999744,0.01999999999999602,59.63,0.39000000000000057
,,,60.02,0.39000000000000057
60.4,,-0.00999999999999801,60.41,0.38999999999999346
60.81,0.4100000000000037,0.020000000000003126,60.79,0.38000000000000256
61.2,0.39000000000000057,0.030000000000001137,61.17,0.38000000000000256
61.55,0.3499999999999943,-0.010000000000005116,61.56,0.39000000000000057
61.94,0.39000000000000057,,,
62.31,0.37000000000000455,0.0,62.31,
62.67,0.35999999999999943,0.0,62.67,0.35999999999999943
63.14,0.46999999999999886,0.060000000000002274,63.08,0.4099999999999966
63.47,0.3299999999999983,0.01999999999999602,63.45,0.37000000000000455
63.91,0.4399999999999977,,,
64.28,0.37000000000000455,0.07000000000000739,64.21,
64.65,0.37000000000000455,0.05000000000001137,64.6,0.39000000000000057
65.03,0.37999999999999545,0.030000000000001137,65.0,0.4000000000000057
65.41,0.37999999999999545,0.009999999999990905,65.4,0.4000000000000057
