Tap Time,ITI,Asynchornies,Tone Time,IOI
0.41,0.37,0.009999999999999953,0.4,
0.8,0.39000000000000007,0.0,0.8,0.4
1.22,0.41999999999999993,-0.010000000000000009,1.23,0.42999999999999994
1.65,0.42999999999999994,0.039999999999999813,1.61,0.3800000000000001
2.05,0.3999999999999999,0.0,2.05,0.4399999999999997
2.44,0.3900000000000001,0.0,2.44,0.3900000000000001
2.86,0.41999999999999993,0.0,2.86,0.41999999999999993
,,,3.26,0.3999999999999999
3.69,,0.0,3.69,0.43000000000000016
,,,4.09,0.3999999999999999
,,,4.52,0.4299999999999997
4.95,,0.040000000000000036,4.91,0.39000000000000057
,,,5.34,0.4299999999999997
5.78,,0.0600000000000005,5.72,0.3799999999999999
6.15,0.3700000000000001,0.0,6.15,0.4300000000000006
,,,6.55,0.39999999999999947
7.03,,0.0600000000000005,6.97,0.41999999999999993
7.36,0.33000000000000007,0.0,7.36,0.39000000000000057
7.79,0.4299999999999997,0.0,7.79,0.4299999999999997
,,,8.18,0.3899999999999997
8.61,,0.0,8.61,0.4299999999999997
9.03,0.41999999999999993,0.019999999999999574,9.01,0.40000000000000036
9.4,0.370000000000001,-0.02999999999999936,9.43,0.41999999999999993
,,,9.83,0.40000000000000036
10.34,,0.08999999999999986,10.25,0.41999999999999993
10.64,0.3000000000000007,0.0,10.64,0.39000000000000057
11.16,0.5199999999999996,0.09999999999999964,11.06,0.41999999999999993
11.43,0.2699999999999996,-0.009999999999999787,11.44,0.379999999999999
11.86,0.4299999999999997,0.0,11.86,0.41999999999999993
12.25,0.39000000000000057,0.009999999999999787,12.24,0.3800000000000008
12.67,0.41999999999999993,0.0,12.67,0.4299999999999997
13.03,0.35999999999999943,-0.030000000000001137,13.06,0.39000000000000057
13.56,0.5300000000000011,0.08000000000000007,13.48,0.41999999999999993
13.93,0.3699999999999992,0.049999999999998934,13.88,0.40000000000000036
14.36,0.4299999999999997,0.05999999999999872,14.3,0.41999999999999993
14.69,0.33000000000000007,-0.009999999999999787,14.7,0.3999999999999986
15.11,0.41999999999999993,-0.009999999999999787,15.12,0.41999999999999993
15.51,0.40000000000000036,0.0,15.51,0.39000000000000057
15.94,0.4299999999999997,0.009999999999999787,15.93,0.41999999999999993
16.37,0.4300000000000015,0.05000000000000071,16.32,0.39000000000000057
16.75,0.379999999999999,0.019999999999999574,16.73,0.41000000000000014
17.14,0.39000000000000057,-0.00999999999999801,17.15,0.41999999999999815
17.55,0.41000000000000014,-0.019999999999999574,17.57,0.4200000000000017
17.94,0.39000000000000057,-0.019999999999999574,17.96,0.39000000000000057
18.39,0.4499999999999993,0.0,18.39,0.4299999999999997
18.79,0.3999999999999986,0.019999999999999574,18.77,0.379999999999999
19.18,0.39000000000000057,-0.010000000000001563,19.19,0.4200000000000017
,,,19.58,0.389999999999997
20.02,,0.00999999999999801,20.01,0.43000000000000327
20.44,0.4200000000000017,0.0400000000000027,20.4,0.389999999999997
,,,20.83,0.4299999999999997
21.25,,0.03999999999999915,21.21,0.38000000000000256
21.65,0.3999999999999986,0.0,21.65,0.4399999999999977
22.06,0.41000000000000014,0.029999999999997584,22.03,0.38000000000000256
22.46,0.40000000000000213,-0.00999999999999801,22.47,0.4399999999999977
22.88,0.41999999999999815,0.029999999999997584,22.85,0.38000000000000256
23.37,0.490000000000002,0.10000000000000142,23.27,0.41999999999999815
23.66,0.28999999999999915,0.010000000000001563,23.65,0.379999999999999
,,,24.06,0.41000000000000014
24.46,,0.0,24.46,0.40000000000000213
24.9,0.4399999999999977,0.03999999999999915,24.86,0.3999999999999986
,,,25.24,0.379999999999999
25.66,,,,
26.06,0.3999999999999986,-0.010000000000001563,26.07,
26.48,0.4200000000000017,0.0,26.48,0.41000000000000014
26.9,0.41999999999999815,0.0,26.9,0.41999999999999815
27.32,0.4200000000000017,0.010000000000001563,27.31,0.41000000000000014
27.74,0.41999999999999815,0.00999999999999801,27.73,0.4200000000000017
28.15,0.41000000000000014,0.019999999999999574,28.13,0.3999999999999986
,,,,
,,,,
29.39,,0.030000000000001137,29.36,
,,,29.77,0.41000000000000014
30.2,,0.019999999999999574,30.18,0.41000000000000014
,,,30.6,0.4200000000000017
31.01,,0.020000000000003126,30.99,0.389999999999997
,,,31.42,0.43000000000000327
31.82,,0.0,31.82,0.3999999999999986
,,,,
32.64,,0.00999999999999801,32.63,
33.05,0.4099999999999966,0.01999999999999602,33.03,0.3999999999999986
33.45,0.4000000000000057,0.010000000000005116,33.44,0.4099999999999966
33.88,0.4299999999999997,0.030000000000001137,33.85,0.4100000000000037
34.27,0.39000000000000057,0.020000000000003126,34.25,0.3999999999999986
34.66,0.38999999999999346,0.0,34.66,0.4099999999999966
,,,,
,,,,
,,,35.89,
,,,36.31,0.4200000000000017
36.73,,0.03999999999999915,36.69,0.37999999999999545
,,,37.11,0.4200000000000017
37.5,,0.020000000000003126,37.48,0.36999999999999744
37.9,0.3999999999999986,0.00999999999999801,37.89,0.4100000000000037
38.34,0.44000000000000483,0.05000000000000426,38.29,0.3999999999999986
38.69,0.3499999999999943,0.00999999999999801,38.68,0.39000000000000057
39.15,0.46000000000000085,0.00999999999999801,39.14,0.46000000000000085
39.57,0.4200000000000017,0.020000000000003126,39.55,0.4099999999999966
,,,39.94,0.39000000000000057
,,,40.38,0.44000000000000483
40.8,,0.02999999999999403,40.77,0.39000000000000057
41.21,0.4100000000000037,0.0,41.21,0.4399999999999977
41.61,0.3999999999999986,0.00999999999999801,41.6,0.39000000000000057
,,,42.0,0.3999999999999986
,,,42.39,0.39000000000000057
42.85,,0.030000000000001137,42.82,0.4299999999999997
,,,43.22,0.3999999999999986
,,,43.66,0.4399999999999977
44.09,,0.030000000000001137,44.06,0.4000000000000057
44.48,0.38999999999999346,0.0,44.48,0.4199999999999946
44.88,0.4000000000000057,0.0,44.88,0.4000000000000057
45.29,0.4099999999999966,0.00999999999999801,45.28,0.3999999999999986
45.72,0.4299999999999997,0.03999999999999915,45.68,0.3999999999999986
46.12,0.3999999999999986,0.01999999999999602,46.1,0.4200000000000017
,,,46.51,0.4099999999999966
,,,46.93,0.4200000000000017
47.36,,0.03999999999999915,47.32,0.39000000000000057
47.75,0.39000000000000057,0.0,47.75,0.4299999999999997
