Tap Time,ITI,Asynchornies,Tone Time,IOI
0.72,0.48,0.020000000000000018,0.7,
,,,,
1.66,,0.020000000000000018,1.64,
2.15,0.49,,,
2.59,0.43999999999999995,0.009999999999999787,2.58,
3.06,0.4700000000000002,0.010000000000000231,3.05,0.46999999999999975
,,,3.52,0.4700000000000002
4.08,,0.08000000000000007,4.0,0.48
4.5,0.41999999999999993,,,
4.93,0.4299999999999997,0.0,4.93,
5.4,0.47000000000000064,,,
5.89,0.4899999999999993,,,
6.46,0.5700000000000003,-0.040000000000000036,6.5,
,,,,
,,,,
,,,,
,,,,
,,,,
9.31,,,,
9.78,0.46999999999999886,,,
10.23,0.45000000000000107,-0.049999999999998934,10.28,
,,,,
,,,,
,,,11.8,
12.14,,-0.10999999999999943,12.25,0.4499999999999993
,,,12.71,0.46000000000000085
13.2,,0.009999999999999787,13.19,0.47999999999999865
13.66,0.46000000000000085,0.02999999999999936,13.63,0.4400000000000013
,,,14.11,0.47999999999999865
,,,14.58,0.47000000000000064
15.07,,0.009999999999999787,15.06,0.4800000000000004
15.53,0.4599999999999991,0.019999999999999574,15.51,0.4499999999999993
,,,16.01,0.5000000000000018
16.44,,-0.029999999999997584,16.47,0.4599999999999973
17.03,0.5899999999999999,0.08999999999999986,16.94,0.4700000000000024
17.45,0.41999999999999815,0.03999999999999915,17.41,0.46999999999999886
17.91,0.46000000000000085,0.019999999999999574,17.89,0.4800000000000004
,,,18.36,0.46999999999999886
18.86,,0.019999999999999574,18.84,0.4800000000000004
,,,19.3,0.46000000000000085
19.79,,0.00999999999999801,19.78,0.4800000000000004
,,,20.26,0.4800000000000004
20.73,,0.010000000000001563,20.72,0.4599999999999973
21.24,0.509999999999998,0.04999999999999716,21.19,0.4700000000000024
21.65,0.41000000000000014,-0.010000000000001563,21.66,0.46999999999999886
22.08,0.4299999999999997,-0.030000000000001137,22.11,0.4499999999999993
22.54,0.46000000000000085,-0.05000000000000071,22.59,0.4800000000000004
,,,23.05,0.46000000000000085
23.54,,0.00999999999999801,23.53,0.4800000000000004
24.01,0.4700000000000024,0.020000000000003126,23.99,0.4599999999999973
24.48,0.46999999999999886,0.019999999999999574,24.46,0.4700000000000024
24.9,0.41999999999999815,-0.05000000000000071,24.95,0.48999999999999844
25.44,0.5400000000000027,,,
25.88,0.4399999999999977,0.0,25.88,
26.35,0.4700000000000024,-0.00999999999999801,26.36,0.4800000000000004
26.83,0.4799999999999969,0.00999999999999801,26.82,0.46000000000000085
27.36,0.5300000000000011,0.07000000000000028,27.29,0.46999999999999886
27.79,0.4299999999999997,0.03999999999999915,27.75,0.46000000000000085
28.31,0.5199999999999996,0.05999999999999872,28.25,0.5
28.76,0.45000000000000284,0.0400000000000027,28.72,0.46999999999999886
29.26,0.5,0.07000000000000028,29.19,0.4700000000000024
29.77,0.509999999999998,0.120000000000001,29.65,0.4599999999999973
30.17,0.40000000000000213,,,
,,,30.6,
31.11,,0.019999999999999574,31.09,0.48999999999999844
31.6,0.490000000000002,0.060000000000002274,31.54,0.4499999999999993
32.04,0.4399999999999977,0.00999999999999801,32.03,0.490000000000002
32.51,0.46999999999999886,0.01999999999999602,32.49,0.46000000000000085
33.0,0.490000000000002,0.020000000000003126,32.98,0.4899999999999949
33.48,0.4799999999999969,0.02999999999999403,33.45,0.47000000000000597
33.95,0.47000000000000597,0.010000000000005116,33.94,0.4899999999999949
34.44,0.4899999999999949,0.03999999999999915,34.4,0.46000000000000085
34.9,0.46000000000000085,0.01999999999999602,34.88,0.480000000000004
35.41,0.509999999999998,0.04999999999999716,35.36,0.4799999999999969
35.89,0.480000000000004,0.060000000000002274,35.83,0.46999999999999886
36.33,0.4399999999999977,0.03999999999999915,36.29,0.46000000000000085
36.8,0.46999999999999886,0.02999999999999403,36.77,0.480000000000004
37.29,0.490000000000002,0.03999999999999915,37.25,0.4799999999999969
37.74,0.45000000000000284,0.010000000000005116,37.73,0.4799999999999969
,,,38.18,0.45000000000000284
38.67,,0.0,38.67,0.490000000000002
,,,39.15,0.4799999999999969
39.63,,,,
40.14,0.509999999999998,0.04999999999999716,40.09,
40.54,0.3999999999999986,-0.020000000000003126,40.56,0.46999999999999886
,,,,
41.59,,0.0800000000000054,41.51,
,,,,
42.46,,,,
42.9,0.4399999999999977,0.0,42.9,
43.38,0.480000000000004,,,
,,,43.85,
44.4,,0.0799999999999983,44.32,0.46999999999999886
44.83,0.4299999999999997,0.04999999999999716,44.78,0.46000000000000085
45.32,0.490000000000002,0.03999999999999915,45.28,0.5
45.8,0.4799999999999969,0.04999999999999716,45.75,0.46999999999999886
46.29,0.490000000000002,0.04999999999999716,46.24,0.490000000000002
46.72,0.4299999999999997,0.01999999999999602,46.7,0.46000000000000085
47.23,0.509999999999998,0.05999999999999517,47.17,0.46999999999999886
,,,47.64,0.46999999999999886
,,,48.13,0.490000000000002
48.62,,0.03999999999999915,48.58,0.44999999999999574
,,,49.07,0.490000000000002
49.56,,0.030000000000001137,49.53,0.46000000000000085
50.02,0.46000000000000085,0.020000000000003126,50.0,0.46999999999999886
50.53,0.509999999999998,0.05000000000000426,50.48,0.4799999999999969
51.03,0.5,0.07000000000000028,50.96,0.480000000000004
51.45,0.4200000000000017,0.020000000000003126,51.43,0.46999999999999886
51.98,0.529999999999994,0.05999999999999517,51.92,0.490000000000002
52.48,0.5,0.07000000000000028,52.41,0.4899999999999949
52.94,0.46000000000000085,0.04999999999999716,52.89,0.480000000000004
,,,,
53.87,,0.0,53.87,
54.34,0.47000000000000597,0.0,54.34,0.47000000000000597
54.83,0.4899999999999949,,,
55.3,0.46999999999999886,0.01999999999999602,55.28,
55.8,0.5,0.03999999999999915,55.76,0.4799999999999969
56.28,0.480000000000004,0.05000000000000426,56.23,0.46999999999999886
56.69,0.4099999999999966,-0.010000000000005116,56.7,0.47000000000000597
57.19,0.5,0.01999999999999602,57.17,0.46999999999999886
57.65,0.46000000000000085,0.00999999999999801,57.64,0.46999999999999886
,,,58.12,0.4799999999999969
58.61,,0.00999999999999801,58.6,0.480000000000004
59.05,0.4399999999999977,-0.020000000000003126,59.07,0.46999999999999886
59.59,0.5400000000000063,0.04000000000000625,59.55,0.4799999999999969
59.98,0.38999999999999346,-0.04000000000000625,60.02,0.47000000000000597
60.55,0.5700000000000003,0.04999999999999716,60.5,0.4799999999999969
61.01,0.46000000000000085,0.03999999999999915,60.97,0.46999999999999886
61.48,0.46999999999999886,0.03999999999999915,61.44,0.46999999999999886
61.95,0.47000000000000597,0.04000000000000625,61.91,0.46999999999999886
,,,62.38,0.47000000000000597
62.9,,0.03999999999999915,62.86,0.4799999999999969
,,,63.34,0.480000000000004
63.82,,0.0,63.82,0.4799999999999969
,,,64.31,0.490000000000002
64.77,,0.0,64.77,0.45999999999999375
