Tap Time,ITI,Asynchornies,Tone Time,IOI
0.37,,0.02999999999999997,0.34,0.28
,,,0.61,0.26999999999999996
0.89,,-0.010000000000000009,0.9,0.29000000000000004
,,,1.15,0.2499999999999999
1.43,,-0.010000000000000009,1.44,0.29000000000000004
,,,1.69,0.25
1.99,,0.010000000000000009,1.98,0.29000000000000004
2.26,0.2699999999999998,0.019999999999999574,2.24,0.26000000000000023
2.52,0.26000000000000023,-0.009999999999999787,2.53,0.2899999999999996
2.81,0.29000000000000004,0.03000000000000025,2.78,0.25
3.08,0.27,0.03000000000000025,3.05,0.27
,,,3.32,0.27
3.59,,-0.010000000000000231,3.6,0.28000000000000025
,,,3.87,0.27
4.16,,0.009999999999999787,4.15,0.28000000000000025
4.43,0.2699999999999996,0.009999999999999787,4.42,0.2699999999999996
,,,4.7,0.28000000000000025
4.97,,0.02999999999999936,4.94,0.2400000000000002
5.25,0.28000000000000025,,,
5.55,0.2999999999999998,0.04999999999999982,5.5,
5.79,0.2400000000000002,0.020000000000000462,5.77,0.2699999999999996
6.07,0.28000000000000025,0.03000000000000025,6.04,0.27000000000000046
6.31,0.23999999999999932,-0.020000000000000462,6.33,0.29000000000000004
,,,6.59,0.2599999999999998
6.82,,-0.02999999999999936,6.85,0.2599999999999998
,,,7.12,0.27000000000000046
,,,7.39,0.2699999999999996
7.66,,0.0,7.66,0.27000000000000046
7.94,0.28000000000000025,0.0,7.94,0.28000000000000025
8.23,0.29000000000000004,0.030000000000001137,8.2,0.2599999999999989
8.48,0.25,0.009999999999999787,8.47,0.27000000000000135
,,,8.73,0.2599999999999998
8.99,,-0.019999999999999574,9.01,0.27999999999999936
9.27,0.27999999999999936,0.009999999999999787,9.26,0.25
,,,9.54,0.27999999999999936
,,,9.81,0.27000000000000135
10.09,,0.009999999999999787,10.08,0.2699999999999996
10.36,0.2699999999999996,0.009999999999999787,10.35,0.2699999999999996
10.62,0.2599999999999998,-0.010000000000001563,10.63,0.28000000000000114
,,,10.9,0.2699999999999996
11.19,,0.02999999999999936,11.16,0.2599999999999998
,,,11.43,0.2699999999999996
11.73,,0.030000000000001137,11.7,0.2699999999999996
,,,11.99,0.2900000000000009
12.25,,-0.019999999999999574,12.27,0.27999999999999936
,,,12.54,0.2699999999999996
12.83,,0.05000000000000071,12.78,0.2400000000000002
13.1,0.2699999999999996,0.03999999999999915,13.06,0.28000000000000114
13.36,0.2599999999999998,0.009999999999999787,13.35,0.28999999999999915
13.62,0.2599999999999998,0.019999999999999574,13.6,0.25
13.9,0.28000000000000114,0.009999999999999787,13.89,0.2900000000000009
,,,14.16,0.2699999999999996
,,,14.43,0.2699999999999996
14.69,,0.009999999999999787,14.68,0.25
14.96,0.27000000000000135,-0.009999999999999787,14.97,0.2900000000000009
,,,15.22,0.25
15.5,,,,
,,,15.75,
,,,16.03,0.28000000000000114
,,,16.28,0.25
16.59,,0.03999999999999915,16.55,0.2699999999999996
16.86,0.2699999999999996,0.03999999999999915,16.82,0.2699999999999996
17.12,0.26000000000000156,0.019999999999999574,17.1,0.28000000000000114
,,,17.38,0.2799999999999976
17.66,,0.010000000000001563,17.65,0.2699999999999996
17.92,0.26000000000000156,-0.00999999999999801,17.93,0.28000000000000114
,,,18.2,0.2699999999999996
18.46,,-0.019999999999999574,18.48,0.28000000000000114
18.75,0.28999999999999915,0.0,18.75,0.2699999999999996
19.03,0.28000000000000114,0.0,19.03,0.28000000000000114
19.27,0.23999999999999844,-0.030000000000001137,19.3,0.2699999999999996
19.55,0.28000000000000114,-0.019999999999999574,19.57,0.2699999999999996
19.83,0.2799999999999976,-0.020000000000003126,19.85,0.28000000000000114
,,,20.11,0.259999999999998
20.36,,-0.030000000000001137,20.39,0.28000000000000114
20.64,0.28000000000000114,0.0,20.64,0.25
20.92,0.28000000000000114,0.010000000000001563,20.91,0.2699999999999996
21.17,0.25,-0.019999999999999574,21.19,0.28000000000000114
,,,21.44,0.25
21.72,,0.019999999999999574,21.7,0.259999999999998
,,,21.99,0.28999999999999915
,,,22.24,0.25
22.54,,,,
22.81,0.2699999999999996,0.03999999999999915,22.77,
23.06,0.25,0.0,23.06,0.28999999999999915
23.34,0.28000000000000114,0.019999999999999574,23.32,0.26000000000000156
,,,23.6,0.28000000000000114
,,,23.87,0.2699999999999996
24.16,,0.019999999999999574,24.14,0.2699999999999996
24.41,0.25,0.010000000000001563,24.4,0.259999999999998
,,,24.69,0.2900000000000027
24.95,,0.0,24.95,0.259999999999998
,,,25.22,0.2699999999999996
25.48,,-0.00999999999999801,25.49,0.2699999999999996
25.76,0.28000000000000114,0.0,25.76,0.2700000000000031
,,,26.02,0.259999999999998
26.29,,,,
26.56,0.2699999999999996,-0.010000000000001563,26.57,
26.82,0.26000000000000156,-0.00999999999999801,26.83,0.259999999999998
27.09,0.2699999999999996,-0.010000000000001563,27.1,0.2700000000000031
,,,27.36,0.259999999999998
,,,27.63,0.2699999999999996
,,,27.91,0.28000000000000114
,,,28.18,0.2699999999999996
28.45,,0.00999999999999801,28.44,0.26000000000000156
28.73,0.28000000000000114,0.010000000000001563,28.72,0.2799999999999976
28.97,0.23999999999999844,-0.030000000000001137,29.0,0.28000000000000114
,,,29.27,0.2699999999999996
29.52,,-0.030000000000001137,29.55,0.28000000000000114
,,,29.8,0.25
,,,30.07,0.2699999999999996
30.35,,0.0,30.35,0.28000000000000114
,,,30.61,0.259999999999998
30.9,,0.03999999999999915,30.86,0.25
,,,31.15,0.28999999999999915
31.41,,0.0,31.41,0.26000000000000156
,,,31.69,0.28000000000000114
31.97,,0.00999999999999801,31.96,0.2699999999999996
,,,32.23,0.269999999999996
32.51,,0.0,32.51,0.28000000000000114
32.77,0.2600000000000051,0.0,32.77,0.2600000000000051
,,,33.03,0.259999999999998
33.29,,-0.020000000000003126,33.31,0.28000000000000114
33.58,0.28999999999999915,0.0,33.58,0.269999999999996
,,,33.86,0.28000000000000114
34.13,,0.020000000000003126,34.11,0.25
34.4,0.269999999999996,0.0,34.4,0.28999999999999915
34.67,0.2700000000000031,0.0,34.67,0.2700000000000031
34.97,0.29999999999999716,0.00999999999999801,34.96,0.28999999999999915
35.23,0.259999999999998,0.00999999999999801,35.22,0.259999999999998
,,,35.49,0.2700000000000031
,,,35.76,0.269999999999996
36.04,,0.00999999999999801,36.03,0.2700000000000031
36.3,0.259999999999998,-0.020000000000003126,36.32,0.28999999999999915
36.59,0.29000000000000625,0.0,36.59,0.2700000000000031
36.91,0.3199999999999932,0.04999999999999716,36.86,0.269999999999996
37.16,0.25,,,
37.44,0.28000000000000114,0.030000000000001137,37.41,
37.68,0.240000000000002,0.0,37.68,0.2700000000000031
,,,37.95,0.2700000000000031
38.22,,0.0,38.22,0.269999999999996
,,,38.49,0.2700000000000031
38.79,,0.030000000000001137,38.76,0.269999999999996
39.07,0.28000000000000114,0.030000000000001137,39.04,0.28000000000000114
,,,39.3,0.259999999999998
39.6,,0.030000000000001137,39.57,0.2700000000000031
39.87,0.269999999999996,0.02999999999999403,39.84,0.2700000000000031
40.14,0.2700000000000031,0.020000000000003126,40.12,0.27999999999999403
40.41,0.269999999999996,0.00999999999999801,40.4,0.28000000000000114
40.7,0.29000000000000625,0.020000000000003126,40.68,0.28000000000000114
40.99,0.28999999999999915,0.05000000000000426,40.94,0.259999999999998
41.25,0.259999999999998,0.03999999999999915,41.21,0.2700000000000031
41.53,0.28000000000000114,0.03999999999999915,41.49,0.28000000000000114
,,,41.77,0.28000000000000114
42.05,,-0.010000000000005116,42.06,0.28999999999999915
,,,42.32,0.259999999999998
42.62,,0.01999999999999602,42.6,0.28000000000000114
42.89,0.2700000000000031,0.030000000000001137,42.86,0.259999999999998
43.16,0.269999999999996,0.01999999999999602,43.14,0.28000000000000114
,,,43.41,0.269999999999996
43.71,,0.00999999999999801,43.7,0.29000000000000625
43.96,0.25,0.00999999999999801,43.95,0.25
,,,44.24,0.28999999999999915
,,,44.5,0.259999999999998
44.79,,0.0,44.79,0.28999999999999915
45.06,0.2700000000000031,0.010000000000005116,45.05,0.259999999999998
45.33,0.269999999999996,0.0,45.33,0.28000000000000114
45.64,0.3100000000000023,0.04999999999999716,45.59,0.2600000000000051
45.9,0.259999999999998,0.030000000000001137,45.87,0.27999999999999403
46.17,0.2700000000000031,0.020000000000003126,46.15,0.28000000000000114
,,,46.43,0.28000000000000114
,,,46.7,0.2700000000000031
46.97,,-0.00999999999999801,46.98,0.27999999999999403
47.25,0.28000000000000114,0.020000000000003126,47.23,0.25
47.54,0.28999999999999915,0.030000000000001137,47.51,0.28000000000000114
47.81,0.2700000000000031,0.030000000000001137,47.78,0.2700000000000031
48.08,0.269999999999996,0.00999999999999801,48.07,0.28999999999999915
48.35,0.2700000000000031,0.020000000000003126,48.33,0.259999999999998
48.63,0.28000000000000114,0.020000000000003126,48.61,0.28000000000000114
48.9,0.269999999999996,0.030000000000001137,48.87,0.259999999999998
49.17,0.2700000000000031,,,
49.45,0.28000000000000114,0.04000000000000625,49.41,
49.69,0.23999999999999488,0.0,49.69,0.28000000000000114
,,,49.95,0.2600000000000051
50.23,,0.0,50.23,0.27999999999999403
,,,50.49,0.2600000000000051
,,,50.77,0.28000000000000114
,,,51.03,0.259999999999998
51.32,,-0.00999999999999801,51.33,0.29999999999999716
51.6,0.28000000000000114,0.00999999999999801,51.59,0.2600000000000051
,,,51.87,0.27999999999999403
52.14,,0.00999999999999801,52.13,0.2600000000000051
52.42,0.28000000000000114,0.0,52.42,0.28999999999999915
,,,52.69,0.269999999999996
52.94,,-0.030000000000001137,52.97,0.28000000000000114
53.27,0.3300000000000054,0.04000000000000625,53.23,0.259999999999998
53.52,0.25,0.0,53.52,0.29000000000000625
,,,53.79,0.269999999999996
54.08,,0.00999999999999801,54.07,0.28000000000000114
54.36,0.28000000000000114,0.01999999999999602,54.34,0.2700000000000031
54.61,0.25,-0.00999999999999801,54.62,0.27999999999999403
54.89,0.28000000000000114,0.0,54.89,0.2700000000000031
55.16,0.269999999999996,,,
,,,55.45,
55.72,,0.0,55.72,0.269999999999996
55.99,0.2700000000000031,0.0,55.99,0.2700000000000031
56.24,0.25,-0.030000000000001137,56.27,0.28000000000000114
56.53,0.28999999999999915,0.00999999999999801,56.52,0.25
56.83,0.29999999999999716,0.01999999999999602,56.81,0.28999999999999915
57.08,0.25,-0.010000000000005116,57.09,0.28000000000000114
,,,57.37,0.27999999999999403
,,,57.63,0.2600000000000051
57.89,,-0.03999999999999915,57.93,0.29999999999999716
58.17,0.28000000000000114,-0.00999999999999801,58.18,0.25
58.45,0.28000000000000114,-0.01999999999999602,58.47,0.28999999999999915
58.73,0.27999999999999403,-0.010000000000005116,58.74,0.2700000000000031
59.02,0.29000000000000625,0.010000000000005116,59.01,0.269999999999996
59.28,0.259999999999998,-0.00999999999999801,59.29,0.28000000000000114
,,,59.56,0.2700000000000031
59.85,,0.03999999999999915,59.81,0.25
60.11,0.259999999999998,0.01999999999999602,60.09,0.28000000000000114
60.39,0.28000000000000114,0.0,60.39,0.29999999999999716
60.66,0.269999999999996,-0.010000000000005116,60.67,0.28000000000000114
60.96,0.30000000000000426,0.03999999999999915,60.92,0.25
61.23,0.269999999999996,,,
61.51,0.28000000000000114,0.01999999999999602,61.49,
61.78,0.2700000000000031,0.020000000000003126,61.76,0.269999999999996
62.03,0.25,0.0,62.03,0.2700000000000031
62.33,0.29999999999999716,0.030000000000001137,62.3,0.269999999999996
62.58,0.25,0.01999999999999602,62.56,0.2600000000000051
62.85,0.2700000000000031,-0.00999999999999801,62.86,0.29999999999999716
63.16,0.30999999999999517,0.05999999999999517,63.1,0.240000000000002
63.4,0.240000000000002,0.0,63.4,0.29999999999999716
63.66,0.259999999999998,0.0,63.66,0.259999999999998
63.94,0.28000000000000114,,,
,,,64.2,
64.48,,-0.01999999999999602,64.5,0.29999999999999716
64.75,0.269999999999996,0.0,64.75,0.25
65.05,0.29999999999999716,0.01999999999999602,65.03,0.28000000000000114
65.31,0.2600000000000051,0.0,65.31,0.28000000000000114
65.59,0.28000000000000114,0.0,65.59,0.28000000000000114
,,,65.85,0.2599999999999909
,,,66.15,0.30000000000001137
66.43,,0.04000000000000625,66.39,0.23999999999999488
66.7,0.269999999999996,0.030000000000001137,66.67,0.28000000000000114
,,,66.95,0.28000000000000114
,,,67.22,0.269999999999996
67.54,,0.04000000000000625,67.5,0.28000000000000114
67.77,0.22999999999998977,0.030000000000001137,67.74,0.23999999999999488
,,,68.06,0.3200000000000074
,,,68.32,0.2599999999999909
,,,68.57,0.25
68.87,,0.010000000000005116,68.86,0.29000000000000625
69.13,0.2599999999999909,-0.010000000000005116,69.14,0.28000000000000114
69.42,0.29000000000000625,-0.010000000000005116,69.43,0.29000000000000625
69.69,0.269999999999996,0.0,69.69,0.2599999999999909
,,,69.97,0.28000000000000114
,,,70.24,0.269999999999996
,,,70.53,0.29000000000000625
,,,70.79,0.2600000000000051
71.09,,0.010000000000005116,71.08,0.28999999999999204
71.36,0.269999999999996,-0.010000000000005116,71.37,0.29000000000000625
71.63,0.269999999999996,-0.010000000000005116,71.64,0.269999999999996
,,,71.91,0.269999999999996
72.18,,0.0,72.18,0.27000000000001023
,,,72.45,0.269999999999996
,,,72.73,0.28000000000000114
,,,73.0,0.269999999999996
,,,73.28,0.28000000000000114
73.53,,-0.030000000000001137,73.56,0.28000000000000114
