Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
,,,,
1.48,,,,
,,,1.79,
2.1,,-0.029999999999999805,2.13,0.33999999999999986
2.41,0.31000000000000005,0.0,2.41,0.28000000000000025
2.73,0.31999999999999984,-0.020000000000000018,2.75,0.33999999999999986
3.03,0.2999999999999998,-0.03000000000000025,3.06,0.31000000000000005
3.35,0.3200000000000003,-0.020000000000000018,3.37,0.31000000000000005
,,,3.66,0.29000000000000004
,,,,
,,,4.31,
4.61,,0.0,4.61,0.3000000000000007
4.93,0.3199999999999994,0.019999999999999574,4.91,0.2999999999999998
5.22,0.29000000000000004,-0.020000000000000462,5.24,0.33000000000000007
,,,5.56,0.3199999999999994
,,,,
6.16,,0.0,6.16,
6.51,0.34999999999999964,0.02999999999999936,6.48,0.3200000000000003
6.79,0.28000000000000025,0.0,6.79,0.3099999999999996
7.11,0.3200000000000003,-0.009999999999999787,7.12,0.33000000000000007
,,,7.42,0.2999999999999998
,,,7.73,0.3100000000000005
8.02,,-0.009999999999999787,8.03,0.29999999999999893
,,,,
8.67,,0.0,8.67,
8.98,0.3100000000000005,0.0,8.98,0.3100000000000005
9.29,0.3099999999999987,,,
,,,9.59,
,,,9.88,0.2900000000000009
,,,10.19,0.3099999999999987
10.51,,0.0,10.51,0.3200000000000003
10.82,0.3100000000000005,0.0,10.82,0.3100000000000005
11.14,0.3200000000000003,0.02000000000000135,11.12,0.29999999999999893
11.46,0.3200000000000003,0.010000000000001563,11.45,0.33000000000000007
11.76,0.29999999999999893,0.019999999999999574,11.74,0.2900000000000009
,,,12.07,0.33000000000000007
12.37,,0.0,12.37,0.29999999999999893
12.69,0.3200000000000003,,,
13.02,0.33000000000000007,0.03999999999999915,12.98,
,,,13.29,0.3099999999999987
,,,13.58,0.2900000000000009
,,,13.9,0.3200000000000003
14.22,,0.02000000000000135,14.2,0.29999999999999893
14.51,0.28999999999999915,-0.019999999999999574,14.53,0.33000000000000007
,,,14.82,0.2900000000000009
15.15,,0.040000000000000924,15.11,0.28999999999999915
,,,15.42,0.3100000000000005
15.73,,0.009999999999999787,15.72,0.3000000000000007
16.03,0.3000000000000007,0.010000000000001563,16.02,0.29999999999999893
16.34,0.3099999999999987,-0.010000000000001563,16.35,0.33000000000000185
16.67,0.33000000000000185,0.030000000000001137,16.64,0.28999999999999915
16.96,0.28999999999999915,0.0,16.96,0.3200000000000003
,,,17.29,0.3299999999999983
17.55,,,,
,,,17.86,
,,,18.17,0.3100000000000023
18.47,,0.019999999999999574,18.45,0.2799999999999976
18.81,0.33999999999999986,0.04999999999999716,18.76,0.3100000000000023
19.06,0.25,,,
,,,19.36,
19.66,,,,
19.95,0.28999999999999915,-0.019999999999999574,19.97,
20.24,0.28999999999999915,-0.030000000000001137,20.27,0.3000000000000007
,,,,
20.88,,0.0,20.88,
21.19,0.3100000000000023,,,
21.48,0.28999999999999915,-0.019999999999999574,21.5,
,,,21.8,0.3000000000000007
22.09,,,,
22.39,0.3000000000000007,-0.00999999999999801,22.4,
22.69,0.3000000000000007,0.0,22.69,0.2900000000000027
,,,23.02,0.3299999999999983
23.3,,0.0,23.3,0.28000000000000114
