Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
,,,,
1.03,,0.0,1.03,
,,,1.3,0.27
,,,1.56,0.26
,,,1.83,0.27
2.1,,0.0,2.1,0.27
,,,2.37,0.27
,,,2.63,0.2599999999999998
,,,2.9,0.27
3.15,,-0.010000000000000231,3.16,0.26000000000000023
,,,3.43,0.27
,,,3.69,0.2599999999999998
3.94,,,,
4.22,0.2799999999999998,0.019999999999999574,4.2,
,,,4.47,0.2699999999999996
4.72,,-0.010000000000000675,4.73,0.2600000000000007
4.88,0.16000000000000014,-0.03000000000000025,4.91,0.17999999999999972
5.13,0.25,,,
5.42,0.29000000000000004,0.0,5.42,
5.67,0.25,,,
5.92,0.25,-0.0600000000000005,5.98,
6.22,0.2999999999999998,,,
6.45,0.23000000000000043,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7.9,,0.020000000000000462,7.88,
8.16,0.2599999999999998,0.019999999999999574,8.14,0.2600000000000007
8.4,0.2400000000000002,,,
8.68,0.27999999999999936,0.019999999999999574,8.66,
8.95,0.2699999999999996,0.02999999999999936,8.92,0.2599999999999998
9.21,0.26000000000000156,,,
9.49,0.27999999999999936,0.040000000000000924,9.45,
9.74,0.25,0.009999999999999787,9.73,0.28000000000000114
10.0,0.2599999999999998,0.009999999999999787,9.99,0.2599999999999998
10.27,0.2699999999999996,0.009999999999999787,10.26,0.2699999999999996
10.53,0.2599999999999998,0.009999999999999787,10.52,0.2599999999999998
10.78,0.25,0.0,10.78,0.2599999999999998
11.06,0.28000000000000114,0.02000000000000135,11.04,0.2599999999999998
11.31,0.25,0.0,11.31,0.27000000000000135
11.58,0.2699999999999996,0.02999999999999936,11.55,0.2400000000000002
11.82,0.2400000000000002,0.0,11.82,0.2699999999999996
12.08,0.2599999999999998,0.0,12.08,0.2599999999999998
12.36,0.27999999999999936,0.02999999999999936,12.33,0.25
12.6,0.2400000000000002,0.0,12.6,0.2699999999999996
12.87,0.2699999999999996,0.0,12.87,0.2699999999999996
,,,13.12,0.25
13.4,,0.009999999999999787,13.39,0.27000000000000135
13.65,0.25,0.0,13.65,0.2599999999999998
13.91,0.2599999999999998,-0.019999999999999574,13.93,0.27999999999999936
,,,14.18,0.25
,,,14.45,0.2699999999999996
14.7,,-0.010000000000001563,14.71,0.26000000000000156
14.87,0.16999999999999993,-0.02000000000000135,14.89,0.17999999999999972
15.13,0.26000000000000156,0.0,15.13,0.2400000000000002
15.4,0.2699999999999996,-0.019999999999999574,15.42,0.28999999999999915
15.66,0.2599999999999998,-0.009999999999999787,15.67,0.25
,,,15.93,0.2599999999999998
,,,16.17,0.240000000000002
,,,16.43,0.259999999999998
16.69,,-0.00999999999999801,16.7,0.2699999999999996
,,,,
,,,,
,,,,
,,,,
,,,,
18.13,,-0.010000000000001563,18.14,
18.39,0.26000000000000156,0.010000000000001563,18.38,0.23999999999999844
,,,18.67,0.2900000000000027
,,,18.92,0.25
,,,19.17,0.25
,,,19.44,0.2699999999999996
19.69,,0.010000000000001563,19.68,0.23999999999999844
19.96,0.2699999999999996,0.0,19.96,0.28000000000000114
20.23,0.2699999999999996,0.0,20.23,0.2699999999999996
