Tap Time,ITI,Asynchornies,Tone Time,IOI
0.67,0.34,0.010000000000000009,0.66,0.36000000000000004
1.08,0.41000000000000003,0.030000000000000027,1.05,0.39
,,,1.4,0.34999999999999987
1.84,,0.06000000000000005,1.78,0.3800000000000001
2.2,0.3600000000000001,0.040000000000000036,2.16,0.3800000000000001
2.6,0.3999999999999999,0.08000000000000007,2.52,0.3599999999999999
2.96,0.3599999999999999,0.06000000000000005,2.9,0.3799999999999999
,,,3.29,0.3900000000000001
3.72,,0.0900000000000003,3.63,0.33999999999999986
,,,4.04,0.41000000000000014
,,,4.4,0.3600000000000003
4.79,,0.03000000000000025,4.76,0.35999999999999943
,,,5.14,0.3799999999999999
,,,5.52,0.3799999999999999
5.92,,0.03000000000000025,5.89,0.3700000000000001
6.26,0.33999999999999986,0.0,6.26,0.3700000000000001
6.64,0.3799999999999999,0.019999999999999574,6.62,0.3600000000000003
7.01,0.3700000000000001,0.009999999999999787,7.0,0.3799999999999999
7.42,0.41000000000000014,0.040000000000000036,7.38,0.3799999999999999
7.74,0.3200000000000003,-0.019999999999999574,7.76,0.3799999999999999
8.1,0.35999999999999943,-0.030000000000001137,8.13,0.370000000000001
,,,8.47,0.33999999999999986
8.84,,-0.019999999999999574,8.86,0.3899999999999988
,,,9.22,0.3600000000000012
,,,9.58,0.35999999999999943
10.01,,0.049999999999998934,9.96,0.3800000000000008
10.38,0.370000000000001,0.05000000000000071,10.33,0.3699999999999992
,,,10.68,0.34999999999999964
11.07,,0.009999999999999787,11.06,0.3800000000000008
11.44,0.3699999999999992,0.0,11.44,0.379999999999999
11.8,0.3600000000000012,0.0,11.8,0.3600000000000012
12.17,0.3699999999999992,-0.009999999999999787,12.18,0.379999999999999
12.57,0.40000000000000036,0.030000000000001137,12.54,0.35999999999999943
12.94,0.3699999999999992,0.02999999999999936,12.91,0.370000000000001
,,,13.3,0.39000000000000057
,,,13.68,0.379999999999999
14.06,,0.009999999999999787,14.05,0.370000000000001
14.45,0.3899999999999988,,,
,,,14.8,
15.16,,0.0,15.16,0.35999999999999943
15.49,0.33000000000000007,-0.03999999999999915,15.53,0.3699999999999992
15.94,0.4499999999999993,0.049999999999998934,15.89,0.3600000000000012
16.28,0.34000000000000163,0.0,16.28,0.39000000000000057
,,,,
17.03,,0.010000000000001563,17.02,
,,,17.38,0.35999999999999943
17.76,,0.0,17.76,0.38000000000000256
,,,18.15,0.389999999999997
,,,18.51,0.360000000000003
