Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.47,0.27999999999999997
,,,0.75,0.28
1.03,,0.010000000000000009,1.02,0.27
,,,1.32,0.30000000000000004
1.61,,0.020000000000000018,1.59,0.27
,,,1.9,0.30999999999999983
2.2,,0.050000000000000266,2.15,0.25
2.5,0.2999999999999998,0.040000000000000036,2.46,0.31000000000000005
,,,2.72,0.26000000000000023
,,,3.02,0.2999999999999998
3.33,,0.040000000000000036,3.29,0.27
3.64,0.31000000000000005,0.06000000000000005,3.58,0.29000000000000004
,,,3.85,0.27
4.16,,0.0,4.16,0.31000000000000005
4.44,0.28000000000000025,0.020000000000000462,4.42,0.2599999999999998
4.77,0.3299999999999992,0.04999999999999982,4.72,0.2999999999999998
,,,5.0,0.28000000000000025
5.31,,0.02999999999999936,5.28,0.28000000000000025
5.6,0.29000000000000004,0.04999999999999982,5.55,0.2699999999999996
5.9,0.3000000000000007,0.0600000000000005,5.84,0.29000000000000004
6.18,0.27999999999999936,0.0699999999999994,6.11,0.27000000000000046
,,,6.39,0.27999999999999936
,,,6.67,0.28000000000000025
,,,6.97,0.2999999999999998
7.22,,-0.03000000000000025,7.25,0.28000000000000025
7.5,0.28000000000000025,-0.05999999999999961,7.56,0.3099999999999996
7.86,0.3600000000000003,0.040000000000000036,7.82,0.2600000000000007
8.14,0.28000000000000025,-0.009999999999999787,8.15,0.33000000000000007
,,,8.4,0.25
8.73,,,,
,,,8.99,
9.27,,,,
9.58,0.3100000000000005,0.040000000000000924,9.54,
9.89,0.3100000000000005,,,
,,,10.11,
10.45,,0.03999999999999915,10.41,0.3000000000000007
10.74,0.2900000000000009,0.08999999999999986,10.65,0.2400000000000002
11.02,0.27999999999999936,0.05999999999999872,10.96,0.3100000000000005
11.27,0.25,0.009999999999999787,11.26,0.29999999999999893
,,,11.54,0.27999999999999936
11.83,,0.019999999999999574,11.81,0.27000000000000135
,,,,
12.42,,0.02999999999999936,12.39,
,,,,
12.97,,0.009999999999999787,12.96,
,,,,
13.56,,0.040000000000000924,13.52,
13.86,0.29999999999999893,0.019999999999999574,13.84,0.3200000000000003
,,,14.1,0.2599999999999998
14.44,,0.049999999999998934,14.39,0.2900000000000009
,,,14.66,0.2699999999999996
,,,14.95,0.28999999999999915
15.27,,0.049999999999998934,15.22,0.27000000000000135
15.52,0.25,0.0,15.52,0.29999999999999893
15.8,0.28000000000000114,0.010000000000001563,15.79,0.2699999999999996
16.09,0.28999999999999915,0.019999999999999574,16.07,0.28000000000000114
16.38,0.28999999999999915,0.03999999999999915,16.34,0.2699999999999996
,,,16.62,0.28000000000000114
,,,16.92,0.3000000000000007
,,,17.22,0.29999999999999716
,,,,
,,,,
18.05,,-0.00999999999999801,18.06,
,,,18.37,0.3100000000000023
18.64,,0.0,18.64,0.2699999999999996
,,,18.92,0.28000000000000114
19.24,,0.029999999999997584,19.21,0.28999999999999915
,,,19.51,0.3000000000000007
19.84,,0.05999999999999872,19.78,0.2699999999999996
