Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.54,0.28
,,,0.82,0.2799999999999999
1.08,,-0.020000000000000018,1.1,0.28000000000000014
,,,1.36,0.26
1.64,,0.029999999999999805,1.61,0.25
1.91,0.27,0.030000000000000027,1.88,0.2699999999999998
2.17,0.26,0.009999999999999787,2.16,0.28000000000000025
2.41,0.2400000000000002,-0.020000000000000018,2.43,0.27
2.7,0.29000000000000004,-0.009999999999999787,2.71,0.2799999999999998
2.97,0.27,-0.009999999999999787,2.98,0.27
3.25,0.2799999999999998,-0.029999999999999805,3.28,0.2999999999999998
3.55,0.2999999999999998,0.009999999999999787,3.54,0.26000000000000023
,,,3.81,0.27
4.07,,-0.009999999999999787,4.08,0.27
,,,4.35,0.2699999999999996
,,,4.63,0.28000000000000025
4.9,,0.020000000000000462,4.88,0.25
5.18,0.27999999999999936,0.02999999999999936,5.15,0.27000000000000046
5.43,0.25,0.009999999999999787,5.42,0.2699999999999996
,,,5.7,0.28000000000000025
,,,5.99,0.29000000000000004
,,,6.24,0.25
6.52,,-0.010000000000000675,6.53,0.29000000000000004
6.78,0.2600000000000007,-0.009999999999999787,6.79,0.2599999999999998
7.13,0.34999999999999964,0.05999999999999961,7.07,0.28000000000000025
,,,7.34,0.2699999999999996
7.62,,-0.019999999999999574,7.64,0.2999999999999998
7.87,0.25,-0.03000000000000025,7.9,0.2600000000000007
8.19,0.3199999999999994,0.019999999999999574,8.17,0.2699999999999996
8.43,0.2400000000000002,-0.009999999999999787,8.44,0.2699999999999996
8.74,0.3100000000000005,0.019999999999999574,8.72,0.28000000000000114
,,,8.99,0.2699999999999996
9.31,,0.040000000000000924,9.27,0.27999999999999936
9.54,0.22999999999999865,0.0,9.54,0.2699999999999996
9.8,0.26000000000000156,-0.02999999999999936,9.83,0.2900000000000009
10.07,0.2699999999999996,-0.019999999999999574,10.09,0.2599999999999998
10.35,0.27999999999999936,-0.009999999999999787,10.36,0.2699999999999996
10.62,0.2699999999999996,-0.030000000000001137,10.65,0.2900000000000009
10.9,0.28000000000000114,-0.019999999999999574,10.92,0.2699999999999996
11.18,0.27999999999999936,0.009999999999999787,11.17,0.25
,,,11.45,0.27999999999999936
11.73,,0.019999999999999574,11.71,0.26000000000000156
11.97,0.2400000000000002,-0.009999999999999787,11.98,0.2699999999999996
12.24,0.2699999999999996,-0.009999999999999787,12.25,0.2699999999999996
,,,12.51,0.2599999999999998
12.77,,-0.030000000000001137,12.8,0.2900000000000009
13.05,0.28000000000000114,-0.02999999999999936,13.08,0.27999999999999936
13.33,0.27999999999999936,-0.03999999999999915,13.37,0.28999999999999915
,,,13.62,0.25
13.89,,,,
14.16,0.2699999999999996,-0.009999999999999787,14.17,
14.43,0.2699999999999996,-0.009999999999999787,14.44,0.2699999999999996
14.73,0.3000000000000007,0.009999999999999787,14.72,0.28000000000000114
14.96,0.23000000000000043,-0.019999999999999574,14.98,0.2599999999999998
15.25,0.28999999999999915,0.0,15.25,0.2699999999999996
15.51,0.2599999999999998,-0.02999999999999936,15.54,0.28999999999999915
15.79,0.27999999999999936,0.0,15.79,0.25
16.07,0.28000000000000114,-0.019999999999999574,16.09,0.3000000000000007
16.33,0.259999999999998,-0.020000000000003126,16.35,0.26000000000000156
16.62,0.2900000000000027,0.010000000000001563,16.61,0.259999999999998
,,,16.9,0.28999999999999915
17.15,,,,
17.42,0.2700000000000031,-0.00999999999999801,17.43,
17.68,0.259999999999998,-0.010000000000001563,17.69,0.26000000000000156
,,,17.97,0.2799999999999976
,,,18.21,0.240000000000002
18.5,,0.0,18.5,0.28999999999999915
18.76,0.26000000000000156,-0.00999999999999801,18.77,0.2699999999999996
,,,19.04,0.2699999999999996
,,,19.31,0.2699999999999996
19.64,,0.060000000000002274,19.58,0.2699999999999996
19.83,0.18999999999999773,-0.05000000000000071,19.88,0.3000000000000007
,,,20.14,0.26000000000000156
,,,20.39,0.25
20.65,,-0.020000000000003126,20.67,0.28000000000000114
20.91,0.26000000000000156,-0.05000000000000071,20.96,0.28999999999999915
,,,21.19,0.23000000000000043
,,,21.46,0.2699999999999996
21.75,,0.019999999999999574,21.73,0.2699999999999996
22.01,0.26000000000000156,0.0,22.01,0.28000000000000114
22.27,0.259999999999998,-0.030000000000001137,22.3,0.28999999999999915
22.54,0.2699999999999996,-0.019999999999999574,22.56,0.259999999999998
22.84,0.3000000000000007,0.010000000000001563,22.83,0.2699999999999996
23.09,0.25,-0.030000000000001137,23.12,0.2900000000000027
23.37,0.28000000000000114,-0.00999999999999801,23.38,0.259999999999998
23.65,0.2799999999999976,0.00999999999999801,23.64,0.26000000000000156
,,,23.92,0.28000000000000114
24.19,,-0.00999999999999801,24.2,0.2799999999999976
,,,24.45,0.25
24.77,,0.03999999999999915,24.73,0.28000000000000114
,,,,
25.29,,0.03999999999999915,25.25,
25.54,0.25,0.0,25.54,0.28999999999999915
25.8,0.26000000000000156,-0.00999999999999801,25.81,0.2699999999999996
26.09,0.28999999999999915,0.030000000000001137,26.06,0.25
26.34,0.25,0.0,26.34,0.28000000000000114
26.64,0.3000000000000007,0.030000000000001137,26.61,0.2699999999999996
26.9,0.259999999999998,0.019999999999999574,26.88,0.2699999999999996
27.18,0.28000000000000114,0.019999999999999574,27.16,0.28000000000000114
,,,27.42,0.26000000000000156
,,,27.69,0.2699999999999996
,,,27.95,0.259999999999998
28.28,,0.05000000000000071,28.23,0.28000000000000114
28.51,0.23000000000000043,0.0,28.51,0.28000000000000114
28.79,0.2799999999999976,0.019999999999999574,28.77,0.259999999999998
29.06,0.2699999999999996,0.00999999999999801,29.05,0.28000000000000114
29.31,0.25,-0.019999999999999574,29.33,0.2799999999999976
29.59,0.28000000000000114,0.010000000000001563,29.58,0.25
29.85,0.26000000000000156,-0.019999999999999574,29.87,0.2900000000000027
,,,30.13,0.259999999999998
,,,30.4,0.2699999999999996
30.65,,-0.030000000000001137,30.68,0.28000000000000114
,,,30.96,0.28000000000000114
,,,31.2,0.23999999999999844
,,,31.48,0.28000000000000114
,,,31.74,0.259999999999998
,,,32.03,0.2900000000000027
32.29,,0.0,32.29,0.259999999999998
,,,32.57,0.28000000000000114
32.86,,0.0,32.86,0.28999999999999915
33.13,0.2700000000000031,0.020000000000003126,33.11,0.25
33.4,0.269999999999996,0.0,33.4,0.28999999999999915
,,,33.67,0.2700000000000031
33.93,,0.0,33.93,0.259999999999998
,,,34.21,0.28000000000000114
34.48,,0.00999999999999801,34.47,0.259999999999998
34.74,0.2600000000000051,0.0,34.74,0.2700000000000031
,,,35.02,0.28000000000000114
35.29,,0.00999999999999801,35.28,0.259999999999998
35.56,0.2700000000000031,-0.00999999999999801,35.57,0.28999999999999915
,,,,
,,,36.1,
36.37,,,,
