Tap Time,ITI,Asynchornies,Tone Time,IOI
0.68,,-0.039999999999999925,0.72,0.48
,,,1.13,0.4099999999999999
1.58,,0.0,1.58,0.4500000000000002
1.99,0.4099999999999999,-0.010000000000000009,2.0,0.41999999999999993
,,,2.44,0.43999999999999995
2.9,,0.029999999999999805,2.87,0.43000000000000016
,,,3.33,0.45999999999999996
3.75,,-0.009999999999999787,3.76,0.4299999999999997
4.21,0.45999999999999996,0.009999999999999787,4.2,0.4400000000000004
,,,4.63,0.4299999999999997
,,,5.08,0.4500000000000002
5.59,,0.08999999999999986,5.5,0.41999999999999993
,,,5.96,0.45999999999999996
,,,6.38,0.41999999999999993
,,,6.82,0.4400000000000004
7.29,,0.040000000000000036,7.25,0.4299999999999997
7.68,0.3899999999999997,-0.020000000000000462,7.7,0.4500000000000002
,,,8.12,0.41999999999999904
8.64,,0.08000000000000007,8.56,0.4400000000000013
9.01,0.3699999999999992,0.019999999999999574,8.99,0.4299999999999997
9.46,0.45000000000000107,0.02000000000000135,9.44,0.4499999999999993
9.81,0.34999999999999964,-0.05999999999999872,9.87,0.4299999999999997
,,,10.31,0.4400000000000013
10.77,,0.02999999999999936,10.74,0.4299999999999997
11.19,0.41999999999999993,0.009999999999999787,11.18,0.4399999999999995
,,,11.61,0.4299999999999997
12.16,,0.10999999999999943,12.05,0.4400000000000013
12.5,0.33999999999999986,0.009999999999999787,12.49,0.4399999999999995
,,,12.95,0.4599999999999991
13.35,,-0.019999999999999574,13.37,0.41999999999999993
,,,13.83,0.46000000000000085
14.26,,0.009999999999999787,14.25,0.41999999999999993
,,,14.69,0.4399999999999995
,,,15.12,0.4299999999999997
,,,15.57,0.45000000000000107
16.03,,0.019999999999999574,16.01,0.4400000000000013
16.55,0.5199999999999996,0.08999999999999986,16.46,0.4499999999999993
16.89,0.33999999999999986,0.0,16.89,0.4299999999999997
17.43,0.5399999999999991,0.0799999999999983,17.35,0.46000000000000085
17.78,0.3500000000000014,0.010000000000001563,17.77,0.41999999999999815
18.24,0.4599999999999973,0.0,18.24,0.46999999999999886
,,,18.66,0.4200000000000017
,,,19.12,0.46000000000000085
19.57,,0.030000000000001137,19.54,0.41999999999999815
20.0,0.4299999999999997,0.010000000000001563,19.99,0.4499999999999993
20.42,0.4200000000000017,0.010000000000001563,20.41,0.4200000000000017
20.89,0.46999999999999886,0.019999999999999574,20.87,0.46000000000000085
21.31,0.41999999999999815,0.00999999999999801,21.3,0.4299999999999997
21.76,0.45000000000000284,0.010000000000001563,21.75,0.4499999999999993
22.18,0.41999999999999815,0.0,22.18,0.4299999999999997
22.65,0.46999999999999886,0.0,22.65,0.46999999999999886
23.05,0.40000000000000213,-0.00999999999999801,23.06,0.41000000000000014
23.51,0.46000000000000085,0.0,23.51,0.45000000000000284
23.99,0.4799999999999969,0.04999999999999716,23.94,0.4299999999999997
,,,24.4,0.4599999999999973
24.93,,0.10000000000000142,24.83,0.4299999999999997
25.37,0.4400000000000013,0.10000000000000142,25.27,0.4400000000000013
25.65,0.2799999999999976,-0.05000000000000071,25.7,0.4299999999999997
,,,26.15,0.4499999999999993
,,,26.59,0.4400000000000013
,,,27.04,0.4499999999999993
27.51,,0.030000000000001137,27.48,0.4400000000000013
,,,27.91,0.4299999999999997
28.39,,0.05000000000000071,28.34,0.4299999999999997
28.82,0.4299999999999997,0.010000000000001563,28.81,0.46999999999999886
29.3,0.4800000000000004,0.060000000000002274,29.24,0.4299999999999997
,,,29.68,0.4400000000000013
,,,30.13,0.4499999999999993
30.65,,0.0799999999999983,30.57,0.4400000000000013
31.1,0.45000000000000284,0.08000000000000185,31.02,0.4499999999999993
,,,31.47,0.4499999999999993
31.98,,0.08000000000000185,31.9,0.4299999999999997
32.35,0.370000000000001,0.00999999999999801,32.34,0.44000000000000483
,,,32.78,0.4399999999999977
,,,33.21,0.4299999999999997
,,,33.64,0.4299999999999997
,,,34.08,0.4399999999999977
34.61,,0.10000000000000142,34.51,0.4299999999999997
,,,34.96,0.45000000000000284
35.41,,0.02999999999999403,35.38,0.4200000000000017
,,,35.83,0.44999999999999574
36.37,,0.09999999999999432,36.27,0.44000000000000483
,,,36.71,0.4399999999999977
37.2,,0.05000000000000426,37.15,0.4399999999999977
,,,37.61,0.46000000000000085
38.04,,0.0,38.04,0.4299999999999997
,,,38.48,0.4399999999999977
38.91,,-0.010000000000005116,38.92,0.44000000000000483
,,,39.35,0.4299999999999997
39.8,,-0.010000000000005116,39.81,0.46000000000000085
40.27,0.47000000000000597,0.020000000000003126,40.25,0.4399999999999977
40.67,0.3999999999999986,-0.00999999999999801,40.68,0.4299999999999997
,,,41.12,0.4399999999999977
41.55,,-0.020000000000003126,41.57,0.45000000000000284
,,,41.98,0.4099999999999966
42.42,,0.0,42.42,0.44000000000000483
42.87,0.44999999999999574,0.0,42.87,0.44999999999999574
43.28,0.4100000000000037,0.0,43.28,0.4100000000000037
,,,43.74,0.46000000000000085
44.2,,0.020000000000003126,44.18,0.4399999999999977
,,,44.64,0.46000000000000085
45.02,,-0.04999999999999716,45.07,0.4299999999999997
,,,45.53,0.46000000000000085
