Tap Time,ITI,Asynchornies,Tone Time,IOI
0.57,0.3999999999999999,0.009999999999999898,0.56,0.39
0.96,0.39,-0.030000000000000027,0.99,0.42999999999999994
1.38,0.41999999999999993,0.0,1.38,0.3899999999999999
1.8,0.42000000000000015,0.010000000000000009,1.79,0.41000000000000014
2.21,0.4099999999999999,0.029999999999999805,2.18,0.3900000000000001
2.62,0.41000000000000014,0.020000000000000018,2.6,0.41999999999999993
,,,3.01,0.4099999999999997
3.42,,0.0,3.42,0.41000000000000014
3.83,0.41000000000000014,0.040000000000000036,3.79,0.3700000000000001
4.25,0.41999999999999993,0.019999999999999574,4.23,0.4400000000000004
4.66,0.41000000000000014,0.04999999999999982,4.61,0.3799999999999999
5.05,0.3899999999999997,0.03000000000000025,5.02,0.40999999999999925
5.41,0.3600000000000003,-0.009999999999999787,5.42,0.40000000000000036
5.81,0.39999999999999947,-0.03000000000000025,5.84,0.41999999999999993
6.21,0.40000000000000036,-0.009999999999999787,6.22,0.3799999999999999
6.68,0.46999999999999975,0.05999999999999961,6.62,0.40000000000000036
,,,7.03,0.41000000000000014
7.48,,0.040000000000000036,7.44,0.41000000000000014
,,,7.83,0.3899999999999997
8.28,,0.02999999999999936,8.25,0.41999999999999993
,,,8.65,0.40000000000000036
9.1,,0.049999999999998934,9.05,0.40000000000000036
9.44,0.33999999999999986,0.0,9.44,0.3899999999999988
9.88,0.4400000000000013,0.030000000000001137,9.85,0.41000000000000014
10.32,0.4399999999999995,0.08000000000000007,10.24,0.39000000000000057
10.7,0.379999999999999,0.03999999999999915,10.66,0.41999999999999993
,,,11.07,0.41000000000000014
11.48,,0.009999999999999787,11.47,0.40000000000000036
,,,11.87,0.3999999999999986
12.33,,0.0600000000000005,12.27,0.40000000000000036
12.7,0.3699999999999992,0.009999999999999787,12.69,0.41999999999999993
,,,13.08,0.39000000000000057
,,,13.48,0.40000000000000036
13.92,,0.009999999999999787,13.91,0.4299999999999997
,,,14.32,0.41000000000000014
,,,14.71,0.39000000000000057
15.14,,0.02000000000000135,15.12,0.40999999999999837
15.53,0.3899999999999988,0.019999999999999574,15.51,0.39000000000000057
,,,15.91,0.40000000000000036
16.37,,0.07000000000000028,16.3,0.39000000000000057
16.74,0.36999999999999744,0.029999999999997584,16.71,0.41000000000000014
17.15,0.41000000000000014,0.03999999999999915,17.11,0.3999999999999986
17.55,0.40000000000000213,0.030000000000001137,17.52,0.41000000000000014
17.93,0.379999999999999,0.00999999999999801,17.92,0.40000000000000213
,,,18.33,0.4099999999999966
,,,18.71,0.38000000000000256
19.15,,0.04999999999999716,19.1,0.39000000000000057
,,,19.52,0.41999999999999815
19.97,,0.04999999999999716,19.92,0.40000000000000213
,,,20.3,0.379999999999999
20.75,,0.03999999999999915,20.71,0.41000000000000014
,,,21.1,0.39000000000000057
21.53,,0.0400000000000027,21.49,0.389999999999997
,,,21.92,0.43000000000000327
22.29,,-0.019999999999999574,22.31,0.389999999999997
22.69,0.40000000000000213,-0.03999999999999915,22.73,0.4200000000000017
23.09,0.3999999999999986,-0.030000000000001137,23.12,0.39000000000000057
23.52,0.4299999999999997,-0.019999999999999574,23.54,0.41999999999999815
23.92,0.40000000000000213,-0.00999999999999801,23.93,0.39000000000000057
24.34,0.41999999999999815,0.010000000000001563,24.33,0.3999999999999986
,,,24.74,0.41000000000000014
,,,25.14,0.40000000000000213
25.56,,0.00999999999999801,25.55,0.41000000000000014
,,,25.95,0.3999999999999986
26.35,,0.0,26.35,0.40000000000000213
26.8,0.4499999999999993,0.03999999999999915,26.76,0.41000000000000014
,,,27.17,0.41000000000000014
27.6,,0.030000000000001137,27.57,0.3999999999999986
27.98,0.379999999999999,0.019999999999999574,27.96,0.39000000000000057
,,,28.39,0.4299999999999997
28.79,,0.0,28.79,0.3999999999999986
29.26,0.4700000000000024,0.060000000000002274,29.2,0.41000000000000014
,,,29.6,0.40000000000000213
30.05,,0.019999999999999574,30.03,0.4299999999999997
30.45,0.3999999999999986,0.019999999999999574,30.43,0.3999999999999986
,,,30.83,0.3999999999999986
31.24,,0.00999999999999801,31.23,0.40000000000000213
,,,31.64,0.41000000000000014
32.04,,-0.00999999999999801,32.05,0.4099999999999966
,,,32.44,0.39000000000000057
32.86,,0.0,32.86,0.4200000000000017
,,,33.24,0.38000000000000256
33.64,,-0.00999999999999801,33.65,0.4099999999999966
,,,34.04,0.39000000000000057
34.42,,-0.01999999999999602,34.44,0.3999999999999986
34.83,0.4099999999999966,-0.010000000000005116,34.84,0.4000000000000057
,,,35.24,0.3999999999999986
35.65,,0.01999999999999602,35.63,0.39000000000000057
36.03,0.38000000000000256,0.0,36.03,0.3999999999999986
36.43,0.3999999999999986,0.00999999999999801,36.42,0.39000000000000057
36.84,0.4100000000000037,0.04000000000000625,36.8,0.37999999999999545
37.18,0.3399999999999963,-0.00999999999999801,37.19,0.39000000000000057
37.61,0.4299999999999997,0.0,37.61,0.4200000000000017
38.01,0.3999999999999986,0.00999999999999801,38.0,0.39000000000000057
38.39,0.38000000000000256,,,
38.81,0.4200000000000017,-0.00999999999999801,38.82,
,,,39.19,0.36999999999999744
39.63,,0.030000000000001137,39.6,0.4100000000000037
40.01,0.37999999999999545,0.00999999999999801,40.0,0.3999999999999986
,,,40.39,0.39000000000000057
40.81,,0.020000000000003126,40.79,0.3999999999999986
41.19,0.37999999999999545,-0.010000000000005116,41.2,0.4100000000000037
,,,41.59,0.39000000000000057
41.99,,-0.030000000000001137,42.02,0.4299999999999997
,,,42.41,0.38999999999999346
42.81,,0.0,42.81,0.4000000000000057
,,,43.22,0.4099999999999966
43.62,,0.00999999999999801,43.61,0.39000000000000057
44.03,0.4100000000000037,0.020000000000003126,44.01,0.3999999999999986
44.41,0.37999999999999545,-0.010000000000005116,44.42,0.4100000000000037
44.81,0.4000000000000057,-0.030000000000001137,44.84,0.4200000000000017
45.23,0.4199999999999946,-0.010000000000005116,45.24,0.3999999999999986
45.63,0.4000000000000057,-0.00999999999999801,45.64,0.3999999999999986
46.05,0.4199999999999946,0.02999999999999403,46.02,0.38000000000000256
46.43,0.38000000000000256,0.0,46.43,0.4099999999999966
46.83,0.3999999999999986,0.0,46.83,0.3999999999999986
47.24,0.4100000000000037,0.010000000000005116,47.23,0.3999999999999986
47.64,0.3999999999999986,0.0,47.64,0.4100000000000037
48.02,0.38000000000000256,-0.00999999999999801,48.03,0.39000000000000057
,,,48.43,0.3999999999999986
48.85,,0.030000000000001137,48.82,0.39000000000000057
49.28,0.4299999999999997,0.05000000000000426,49.23,0.4099999999999966
,,,49.64,0.4100000000000037
50.06,,0.020000000000003126,50.04,0.3999999999999986
50.48,0.4199999999999946,0.03999999999999915,50.44,0.3999999999999986
50.85,0.37000000000000455,0.00999999999999801,50.84,0.4000000000000057
51.25,0.3999999999999986,0.0,51.25,0.4099999999999966
51.67,0.4200000000000017,0.0,51.67,0.4200000000000017
52.04,0.36999999999999744,0.0,52.04,0.36999999999999744
,,,52.46,0.4200000000000017
52.85,,0.0,52.85,0.39000000000000057
53.31,0.46000000000000085,0.060000000000002274,53.25,0.3999999999999986
53.7,0.39000000000000057,0.030000000000001137,53.67,0.4200000000000017
54.13,0.4299999999999997,0.07000000000000028,54.06,0.39000000000000057
,,,54.46,0.3999999999999986
54.89,,0.020000000000003126,54.87,0.4099999999999966
55.27,0.38000000000000256,-0.00999999999999801,55.28,0.4100000000000037
55.68,0.4099999999999966,0.00999999999999801,55.67,0.39000000000000057
,,,56.08,0.4099999999999966
,,,56.46,0.38000000000000256
56.87,,0.00999999999999801,56.86,0.3999999999999986
57.29,0.4200000000000017,0.01999999999999602,57.27,0.4100000000000037
57.62,0.3299999999999983,-0.03999999999999915,57.66,0.38999999999999346
58.08,0.46000000000000085,0.00999999999999801,58.07,0.4100000000000037
58.47,0.39000000000000057,,,
58.87,0.3999999999999986,0.00999999999999801,58.86,
