Tap Time,ITI,Asynchornies,Tone Time,IOI
0.48,0.30999999999999994,,,
0.77,0.29000000000000004,-0.030000000000000027,0.8,
1.05,0.28,,,
1.38,0.32999999999999985,,,
1.65,0.27,,,
1.94,0.29000000000000004,,,
2.22,0.28000000000000025,-0.029999999999999805,2.25,
,,,2.5,0.25
2.81,,-0.029999999999999805,2.84,0.33999999999999986
3.07,0.2599999999999998,0.0,3.07,0.22999999999999998
3.37,0.30000000000000027,-0.009999999999999787,3.38,0.31000000000000005
,,,3.67,0.29000000000000004
3.97,,-0.009999999999999787,3.98,0.31000000000000005
4.26,0.2899999999999996,0.019999999999999574,4.24,0.26000000000000023
,,,,
,,,4.82,
5.13,,,,
5.42,0.29000000000000004,0.03000000000000025,5.39,
,,,5.73,0.34000000000000075
5.98,,-0.03999999999999915,6.02,0.28999999999999915
6.27,0.28999999999999915,0.0,6.27,0.25
6.55,0.28000000000000025,0.0,6.55,0.28000000000000025
6.85,0.2999999999999998,-0.010000000000000675,6.86,0.3100000000000005
7.16,0.3100000000000005,0.020000000000000462,7.14,0.27999999999999936
,,,7.45,0.3100000000000005
7.73,,,,
8.02,0.28999999999999915,0.03999999999999915,7.98,
8.29,0.2699999999999996,0.019999999999999574,8.27,0.28999999999999915
8.56,0.27000000000000135,0.0,8.56,0.2900000000000009
8.86,0.29999999999999893,-0.009999999999999787,8.87,0.3099999999999987
9.13,0.27000000000000135,0.0,9.13,0.26000000000000156
,,,9.44,0.3099999999999987
9.71,,-0.02999999999999936,9.74,0.3000000000000007
10.0,0.28999999999999915,-0.05000000000000071,10.05,0.3100000000000005
10.3,0.3000000000000007,,,
10.59,0.28999999999999915,0.0,10.59,
10.88,0.2900000000000009,0.02000000000000135,10.86,0.2699999999999996
,,,11.15,0.2900000000000009
,,,11.44,0.28999999999999915
11.74,,0.019999999999999574,11.72,0.28000000000000114
12.04,0.29999999999999893,-0.010000000000001563,12.05,0.33000000000000007
12.31,0.27000000000000135,0.009999999999999787,12.3,0.25
12.59,0.27999999999999936,0.019999999999999574,12.57,0.2699999999999996
,,,12.91,0.33999999999999986
13.18,,0.009999999999999787,13.17,0.2599999999999998
13.46,0.28000000000000114,0.010000000000001563,13.45,0.27999999999999936
