Tap Time,ITI,Asynchornies,Tone Time,IOI
0.31,0.26,,,
,,,0.58,
0.83,,,,
1.07,0.2400000000000001,-0.020000000000000018,1.09,
1.35,0.28,,,
,,,1.61,
1.85,,,,
2.1,0.25,,,
2.37,0.27,,,
,,,2.61,
2.88,,,,
3.12,0.2400000000000002,,,
3.39,0.27,,,
,,,,
3.9,,,,
4.16,0.26000000000000023,,,
4.43,0.2699999999999996,,,
,,,,
4.93,,,,
5.18,0.25,0.0,5.18,
5.45,0.27000000000000046,,,
5.7,0.25,0.009999999999999787,5.69,
5.96,0.2599999999999998,,,
6.21,0.25,,,
6.46,0.25,,,
6.71,0.25,,,
6.96,0.25,,,
7.21,0.25,,,
7.47,0.2599999999999998,,,
7.72,0.25,,,
7.97,0.25,,,
8.23,0.2600000000000007,,,
8.5,0.2699999999999996,,,
8.76,0.2599999999999998,,,
9.01,0.25,,,
9.27,0.2599999999999998,0.009999999999999787,9.26,
9.52,0.25,,,
9.76,0.2400000000000002,,,
10.02,0.2599999999999998,,,
10.25,0.23000000000000043,,,
10.51,0.2599999999999998,,,
10.77,0.2599999999999998,0.0,10.77,
11.03,0.2599999999999998,,,
11.28,0.25,,,
11.53,0.25,,,
11.8,0.27000000000000135,,,
12.05,0.25,,,
12.28,0.22999999999999865,-0.02000000000000135,12.3,
12.52,0.2400000000000002,,,
12.79,0.2699999999999996,,,
13.08,0.2900000000000009,,,
13.32,0.2400000000000002,,,
13.56,0.2400000000000002,,,
13.82,0.2599999999999998,,,
14.09,0.2699999999999996,,,
14.32,0.23000000000000043,-0.02999999999999936,14.35,
14.6,0.27999999999999936,,,
14.83,0.23000000000000043,,,
15.1,0.2699999999999996,,,
15.38,0.28000000000000114,,,
15.61,0.22999999999999865,,,
15.88,0.27000000000000135,,,
16.13,0.24999999999999822,,,
16.38,0.25,,,
,,,,
,,,,
17.16,,,,
17.43,0.2699999999999996,,,
17.68,0.25,,,
17.94,0.26000000000000156,,,
18.2,0.259999999999998,,,
18.43,0.23000000000000043,,,
,,,,
18.95,,-0.05000000000000071,19.0,
19.23,0.28000000000000114,,,
19.46,0.23000000000000043,-0.05000000000000071,19.51,
19.72,0.259999999999998,,,
20.0,0.28000000000000114,-0.019999999999999574,20.02,
20.31,0.3099999999999987,,,
20.53,0.22000000000000242,,,
20.8,0.2699999999999996,,,
21.06,0.259999999999998,,,
21.32,0.26000000000000156,,,
21.57,0.25,,,
21.82,0.25,,,
22.09,0.2699999999999996,,,
22.34,0.25,,,
22.6,0.26000000000000156,0.0,22.6,
,,,,
23.1,,-0.00999999999999801,23.11,
23.35,0.25,,,
23.63,0.2799999999999976,0.00999999999999801,23.62,
23.88,0.25,,,
24.12,0.240000000000002,,,
24.41,0.28999999999999915,0.0,24.41,
24.62,0.21000000000000085,-0.029999999999997584,24.65,0.23999999999999844
,,,,
25.16,,0.0,25.16,
25.39,0.23000000000000043,,,
25.66,0.2699999999999996,,,
25.92,0.26000000000000156,0.0,25.92,
26.17,0.25,,,
26.43,0.259999999999998,,,
26.68,0.25,-0.019999999999999574,26.7,
26.94,0.26000000000000156,-0.019999999999999574,26.96,0.26000000000000156
27.21,0.2699999999999996,,,
27.47,0.259999999999998,0.0,27.47,
27.71,0.240000000000002,-0.00999999999999801,27.72,0.25
27.97,0.259999999999998,,,
28.24,0.2699999999999996,-0.010000000000001563,28.25,
28.47,0.23000000000000043,-0.019999999999999574,28.49,0.23999999999999844
28.71,0.240000000000002,-0.03999999999999915,28.75,0.26000000000000156
,,,,
29.24,,-0.020000000000003126,29.26,
29.49,0.25,,,
29.73,0.240000000000002,,,
30.01,0.28000000000000114,0.0,30.01,
30.27,0.259999999999998,0.00999999999999801,30.26,0.25
30.53,0.26000000000000156,,,
30.77,0.23999999999999844,0.0,30.77,
31.02,0.25,,,
31.27,0.25,-0.019999999999999574,31.29,
31.54,0.2699999999999996,,,
31.79,0.25,,,
32.04,0.25,,,
32.3,0.259999999999998,0.00999999999999801,32.29,
32.56,0.2600000000000051,,,
32.81,0.25,0.0,32.81,
33.06,0.25,,,
33.32,0.259999999999998,,,
33.56,0.240000000000002,,,
33.84,0.28000000000000114,0.020000000000003126,33.82,
34.08,0.23999999999999488,,,
34.33,0.25,-0.010000000000005116,34.34,
34.58,0.25,,,
34.85,0.2700000000000031,,,
35.12,0.269999999999996,,,
35.34,0.22000000000000597,,,
35.6,0.259999999999998,,,
,,,35.86,
36.12,,,,
36.35,0.23000000000000398,-0.01999999999999602,36.37,
36.61,0.259999999999998,0.0,36.61,0.240000000000002
36.89,0.28000000000000114,0.00999999999999801,36.88,0.2700000000000031
37.09,0.20000000000000284,,,
37.37,0.27999999999999403,-0.020000000000003126,37.39,
37.64,0.2700000000000031,,,
37.88,0.240000000000002,,,
38.12,0.23999999999999488,,,
38.4,0.28000000000000114,,,
38.65,0.25,,,
,,,38.91,
39.17,,,,
39.42,0.25,0.0,39.42,
39.67,0.25,,,
39.94,0.269999999999996,,,
40.16,0.21999999999999886,,,
40.42,0.2600000000000051,-0.00999999999999801,40.43,
40.69,0.269999999999996,,,
40.93,0.240000000000002,,,
41.16,0.22999999999999687,,,
41.43,0.2700000000000031,,,
41.69,0.259999999999998,,,
41.94,0.25,,,
42.18,0.240000000000002,,,
42.44,0.259999999999998,-0.010000000000005116,42.45,
42.69,0.25,,,
42.95,0.2600000000000051,,,
43.2,0.25,,,
43.46,0.259999999999998,,,
43.72,0.259999999999998,,,
43.94,0.21999999999999886,,,
44.21,0.2700000000000031,,,
44.46,0.25,-0.00999999999999801,44.47,
44.71,0.25,,,
44.98,0.269999999999996,0.0,44.98,
45.24,0.2600000000000051,,,
45.46,0.21999999999999886,-0.00999999999999801,45.47,
45.72,0.259999999999998,-0.00999999999999801,45.73,0.259999999999998
45.94,0.21999999999999886,-0.03999999999999915,45.98,0.25
46.18,0.240000000000002,-0.060000000000002274,46.24,0.2600000000000051
46.46,0.28000000000000114,-0.030000000000001137,46.49,0.25
46.72,0.259999999999998,,,
46.97,0.25,-0.020000000000003126,46.99,
47.23,0.259999999999998,-0.020000000000003126,47.25,0.259999999999998
47.48,0.25,,,
47.71,0.23000000000000398,-0.03999999999999915,47.75,
47.97,0.259999999999998,-0.020000000000003126,47.99,0.240000000000002
48.23,0.259999999999998,-0.020000000000003126,48.25,0.259999999999998
48.47,0.240000000000002,-0.03999999999999915,48.51,0.259999999999998
48.73,0.259999999999998,,,
48.99,0.2600000000000051,-0.01999999999999602,49.01,
,,,,
49.5,,0.0,49.5,
49.77,0.2700000000000031,0.020000000000003126,49.75,0.25
50.01,0.23999999999999488,0.00999999999999801,50.0,0.25
50.25,0.240000000000002,-0.00999999999999801,50.26,0.259999999999998
50.51,0.259999999999998,0.0,50.51,0.25
50.74,0.23000000000000398,,,
50.99,0.25,-0.030000000000001137,51.02,
,,,,
51.51,,0.0,51.51,
51.78,0.2700000000000031,,,
52.06,0.28000000000000114,0.05000000000000426,52.01,
52.28,0.21999999999999886,0.0,52.28,0.2700000000000031
52.53,0.25,0.0,52.53,0.25
52.79,0.259999999999998,,,
53.03,0.240000000000002,-0.00999999999999801,53.04,
,,,53.29,0.25
53.55,,0.01999999999999602,53.53,0.240000000000002
53.81,0.2600000000000051,,,
54.04,0.22999999999999687,0.0,54.04,
54.3,0.259999999999998,,,
54.56,0.2600000000000051,,,
54.81,0.25,0.0,54.81,
55.06,0.25,-0.00999999999999801,55.07,0.259999999999998
,,,55.3,0.22999999999999687
55.56,,,,
55.82,0.259999999999998,,,
56.05,0.22999999999999687,0.00999999999999801,56.04,
,,,56.31,0.2700000000000031
56.54,,-0.00999999999999801,56.55,0.23999999999999488
56.81,0.2700000000000031,,,
57.06,0.25,0.0,57.06,
57.31,0.25,,,
57.58,0.269999999999996,0.03999999999999915,57.54,
57.81,0.23000000000000398,,,
58.07,0.259999999999998,0.0,58.07,
58.32,0.25,-0.00999999999999801,58.33,0.259999999999998
,,,,
58.82,,,,
59.07,0.25,,,
59.34,0.2700000000000031,-0.03999999999999915,59.38,
59.59,0.25,0.0,59.59,0.21000000000000085
59.9,0.30999999999999517,0.05999999999999517,59.84,0.25
60.07,0.1700000000000017,,,
60.34,0.2700000000000031,,,
60.61,0.269999999999996,0.0,60.61,
60.87,0.259999999999998,,,
61.1,0.23000000000000398,-0.030000000000001137,61.13,
61.39,0.28999999999999915,,,
61.64,0.25,0.020000000000003126,61.62,
61.89,0.25,,,
62.14,0.25,,,
62.38,0.240000000000002,,,
62.66,0.27999999999999403,-0.020000000000003126,62.68,
