Tap Time,ITI,Asynchornies,Tone Time,IOI
0.49,0.29,0.03999999999999998,0.45,
0.77,0.28,0.020000000000000018,0.75,0.3
1.05,0.28,0.020000000000000018,1.03,0.28
,,,,
1.62,,0.0,1.62,
1.94,0.31999999999999984,,,
2.21,0.27,0.009999999999999787,2.2,
2.5,0.29000000000000004,,,
2.74,0.2400000000000002,-0.03999999999999959,2.78,
3.1,0.3599999999999999,0.03000000000000025,3.07,0.29000000000000004
3.39,0.29000000000000004,0.03000000000000025,3.36,0.29000000000000004
3.68,0.29000000000000004,-0.020000000000000018,3.7,0.3400000000000003
3.97,0.29000000000000004,0.03000000000000025,3.94,0.23999999999999977
,,,,
4.56,,0.040000000000000036,4.52,
4.86,0.3000000000000007,,,
5.12,0.2599999999999998,0.03000000000000025,5.09,
5.39,0.2699999999999996,,,
5.7,0.3100000000000005,0.03000000000000025,5.67,
5.99,0.29000000000000004,,,
6.29,0.2999999999999998,0.040000000000000036,6.25,
6.57,0.28000000000000025,0.0,6.57,0.3200000000000003
,,,6.82,0.25
,,,7.13,0.3099999999999996
,,,7.4,0.27000000000000046
,,,7.71,0.3099999999999996
,,,8.0,0.29000000000000004
,,,,
8.58,,0.0,8.58,
,,,8.87,0.28999999999999915
9.19,,0.03999999999999915,9.15,0.28000000000000114
9.42,0.23000000000000043,-0.02999999999999936,9.45,0.29999999999999893
,,,9.71,0.26000000000000156
10.01,,,,
,,,10.29,
10.57,,-0.019999999999999574,10.59,0.3000000000000007
,,,10.87,0.27999999999999936
11.18,,0.0,11.18,0.3100000000000005
11.51,0.33000000000000007,0.0600000000000005,11.45,0.2699999999999996
11.72,0.21000000000000085,-0.019999999999999574,11.74,0.2900000000000009
,,,12.01,0.2699999999999996
12.3,,-0.019999999999999574,12.32,0.3100000000000005
,,,12.58,0.2599999999999998
12.88,,,,
,,,13.17,
13.44,,-0.030000000000001137,13.47,0.3000000000000007
,,,13.74,0.2699999999999996
14.0,,,,
14.33,0.33000000000000007,0.009999999999999787,14.32,
,,,14.61,0.28999999999999915
,,,14.9,0.2900000000000009
15.19,,,,
,,,15.47,
15.76,,-0.009999999999999787,15.77,0.29999999999999893
,,,16.04,0.2699999999999996
16.37,,0.030000000000001137,16.34,0.3000000000000007
16.64,0.2699999999999996,0.019999999999999574,16.62,0.28000000000000114
,,,,
17.23,,0.030000000000001137,17.2,
17.55,0.3200000000000003,0.05000000000000071,17.5,0.3000000000000007
17.83,0.2799999999999976,0.04999999999999716,17.78,0.28000000000000114
,,,18.07,0.28999999999999915
18.4,,0.03999999999999915,18.36,0.28999999999999915
18.7,0.3000000000000007,0.00999999999999801,18.69,0.33000000000000185
18.98,0.28000000000000114,0.030000000000001137,18.95,0.259999999999998
19.21,0.23000000000000043,-0.03999999999999915,19.25,0.3000000000000007
19.55,0.33999999999999986,0.030000000000001137,19.52,0.2699999999999996
19.84,0.28999999999999915,0.030000000000001137,19.81,0.28999999999999915
20.14,0.3000000000000007,0.05000000000000071,20.09,0.28000000000000114
20.41,0.2699999999999996,0.010000000000001563,20.4,0.3099999999999987
20.69,0.28000000000000114,0.010000000000001563,20.68,0.28000000000000114
,,,,
21.28,,0.030000000000001137,21.25,
21.55,0.2699999999999996,-0.00999999999999801,21.56,0.3099999999999987
21.83,0.2799999999999976,0.0,21.83,0.2699999999999996
22.12,0.2900000000000027,-0.00999999999999801,22.13,0.3000000000000007
22.43,0.3099999999999987,0.019999999999999574,22.41,0.28000000000000114
22.72,0.28999999999999915,0.00999999999999801,22.71,0.3000000000000007
,,,22.98,0.2699999999999996
,,,23.28,0.3000000000000007
,,,23.55,0.2699999999999996
23.89,,0.03999999999999915,23.85,0.3000000000000007
24.16,0.2699999999999996,0.03999999999999915,24.12,0.2699999999999996
,,,24.41,0.28999999999999915
24.73,,0.03999999999999915,24.69,0.28000000000000114
25.02,0.28999999999999915,0.019999999999999574,25.0,0.3099999999999987
25.3,0.28000000000000114,0.030000000000001137,25.27,0.2699999999999996
25.59,0.28999999999999915,0.010000000000001563,25.58,0.3099999999999987
25.88,0.28999999999999915,0.019999999999999574,25.86,0.28000000000000114
26.16,0.28000000000000114,0.0,26.16,0.3000000000000007
,,,26.44,0.28000000000000114
,,,,
27.06,,0.04999999999999716,27.01,
27.35,0.2900000000000027,0.05000000000000071,27.3,0.28999999999999915
27.63,0.2799999999999976,0.05000000000000071,27.58,0.2799999999999976
27.93,0.3000000000000007,0.05000000000000071,27.88,0.3000000000000007
