Tap Time,ITI,Asynchornies,Tone Time,IOI
0.59,0.32999999999999996,-0.020000000000000018,0.61,0.45999999999999996
1.17,0.58,0.08999999999999986,1.08,0.4700000000000001
1.57,0.40000000000000013,0.040000000000000036,1.53,0.44999999999999996
2.03,0.45999999999999974,0.020000000000000018,2.01,0.47999999999999976
,,,2.48,0.4700000000000002
2.98,,0.020000000000000018,2.96,0.48
3.37,0.3900000000000001,-0.020000000000000018,3.39,0.43000000000000016
3.9,0.5299999999999998,0.040000000000000036,3.86,0.46999999999999975
4.27,0.36999999999999966,-0.040000000000000036,4.31,0.44999999999999973
4.84,0.5700000000000003,0.05999999999999961,4.78,0.47000000000000064
5.26,0.41999999999999993,0.04999999999999982,5.21,0.4299999999999997
5.71,0.4500000000000002,0.03000000000000025,5.68,0.46999999999999975
6.07,0.3600000000000003,-0.04999999999999982,6.12,0.4400000000000004
6.54,0.46999999999999975,-0.040000000000000036,6.58,0.45999999999999996
,,,7.04,0.45999999999999996
7.52,,0.0,7.52,0.47999999999999954
8.01,0.4900000000000002,0.04999999999999982,7.96,0.4400000000000004
8.5,0.4900000000000002,0.07000000000000028,8.43,0.46999999999999975
8.94,0.4399999999999995,0.05999999999999872,8.88,0.45000000000000107
9.36,0.41999999999999993,0.019999999999999574,9.34,0.4599999999999991
9.81,0.45000000000000107,0.040000000000000924,9.77,0.4299999999999997
10.35,0.5399999999999991,0.09999999999999964,10.25,0.4800000000000004
10.78,0.4299999999999997,0.06999999999999851,10.71,0.46000000000000085
11.23,0.45000000000000107,0.05000000000000071,11.18,0.46999999999999886
11.69,0.4599999999999991,0.049999999999998934,11.64,0.46000000000000085
,,,12.12,0.47999999999999865
,,,12.6,0.4800000000000004
13.06,,0.0,13.06,0.46000000000000085
13.59,0.5299999999999994,0.07000000000000028,13.52,0.4599999999999991
14.02,0.4299999999999997,0.02999999999999936,13.99,0.47000000000000064
14.47,0.45000000000000107,0.009999999999999787,14.46,0.47000000000000064
,,,14.94,0.47999999999999865
,,,15.42,0.4800000000000004
,,,15.88,0.46000000000000085
,,,16.36,0.47999999999999865
16.88,,0.029999999999997584,16.85,0.490000000000002
17.35,0.4700000000000024,0.05000000000000071,17.3,0.4499999999999993
17.82,0.46999999999999886,0.05000000000000071,17.77,0.46999999999999886
18.23,0.41000000000000014,0.0,18.23,0.46000000000000085
18.76,0.5300000000000011,0.05000000000000071,18.71,0.4800000000000004
19.22,0.4599999999999973,0.05999999999999872,19.16,0.4499999999999993
19.66,0.4400000000000013,0.019999999999999574,19.64,0.4800000000000004
20.12,0.46000000000000085,0.019999999999999574,20.1,0.46000000000000085
20.58,0.4599999999999973,0.0,20.58,0.4799999999999969
,,,21.04,0.46000000000000085
21.57,,0.07000000000000028,21.5,0.46000000000000085
