Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,0.36000000000000004,0.06000000000000005,0.59,0.32999999999999996
0.95,0.29999999999999993,0.019999999999999907,0.93,0.3400000000000001
1.27,0.32000000000000006,0.020000000000000018,1.25,0.31999999999999995
1.63,0.3599999999999999,0.06999999999999984,1.56,0.31000000000000005
1.92,0.29000000000000004,0.0,1.92,0.3599999999999999
2.27,0.3500000000000001,0.029999999999999805,2.24,0.3200000000000003
2.61,0.33999999999999986,0.040000000000000036,2.57,0.3299999999999996
2.94,0.33000000000000007,0.04999999999999982,2.89,0.3200000000000003
3.21,0.27,-0.010000000000000231,3.22,0.33000000000000007
,,,3.55,0.3299999999999996
,,,3.87,0.3200000000000003
4.26,,0.0699999999999994,4.19,0.3200000000000003
4.51,0.25,0.009999999999999787,4.5,0.3099999999999996
4.91,0.40000000000000036,0.08000000000000007,4.83,0.33000000000000007
5.24,0.33000000000000007,0.07000000000000028,5.17,0.33999999999999986
5.55,0.3099999999999996,0.05999999999999961,5.49,0.3200000000000003
5.88,0.33000000000000007,0.040000000000000036,5.84,0.34999999999999964
6.16,0.28000000000000025,-0.009999999999999787,6.17,0.33000000000000007
6.48,0.3200000000000003,-0.009999999999999787,6.49,0.3200000000000003
6.78,0.2999999999999998,-0.019999999999999574,6.8,0.3099999999999996
7.11,0.33000000000000007,-0.019999999999999574,7.13,0.33000000000000007
7.44,0.33000000000000007,-0.009999999999999787,7.45,0.3200000000000003
7.77,0.3299999999999992,0.0,7.77,0.3199999999999994
8.16,0.39000000000000057,0.0600000000000005,8.1,0.33000000000000007
8.48,0.3200000000000003,0.0600000000000005,8.42,0.3200000000000003
,,,8.73,0.3100000000000005
,,,9.07,0.33999999999999986
9.44,,0.049999999999998934,9.39,0.3200000000000003
,,,9.72,0.33000000000000007
10.07,,0.030000000000001137,10.04,0.3199999999999985
10.41,0.33999999999999986,0.02999999999999936,10.38,0.34000000000000163
10.74,0.33000000000000007,0.02999999999999936,10.71,0.33000000000000007
,,,11.03,0.3199999999999985
,,,11.36,0.33000000000000007
11.69,,0.0,11.69,0.33000000000000007
12.04,0.34999999999999964,0.019999999999999574,12.02,0.33000000000000007
12.32,0.28000000000000114,-0.019999999999999574,12.34,0.3200000000000003
12.66,0.33999999999999986,0.009999999999999787,12.65,0.3100000000000005
13.04,0.379999999999999,0.049999999999998934,12.99,0.33999999999999986
13.33,0.2900000000000009,0.040000000000000924,13.29,0.29999999999999893
13.7,0.3699999999999992,0.06999999999999851,13.63,0.34000000000000163
13.95,0.25,0.0,13.95,0.3199999999999985
14.34,0.39000000000000057,0.0600000000000005,14.28,0.33000000000000007
,,,14.58,0.3000000000000007
,,,14.91,0.33000000000000007
15.21,,-0.03999999999999915,15.25,0.33999999999999986
15.62,0.40999999999999837,0.049999999999998934,15.57,0.3200000000000003
15.97,0.3500000000000014,0.08000000000000007,15.89,0.3200000000000003
16.19,0.22000000000000064,-0.029999999999997584,16.22,0.3299999999999983
16.58,0.389999999999997,0.029999999999997584,16.55,0.33000000000000185
,,,16.87,0.3200000000000003
17.24,,0.029999999999997584,17.21,0.33999999999999986
,,,17.55,0.33999999999999986
17.85,,-0.00999999999999801,17.86,0.3099999999999987
,,,18.2,0.33999999999999986
,,,18.52,0.3200000000000003
18.89,,0.030000000000001137,18.86,0.33999999999999986
19.21,0.3200000000000003,0.03999999999999915,19.17,0.3100000000000023
,,,19.51,0.33999999999999986
19.83,,0.0,19.83,0.31999999999999673
,,,20.16,0.33000000000000185
20.52,,0.03999999999999915,20.48,0.3200000000000003
,,,20.8,0.3200000000000003
21.15,,0.029999999999997584,21.12,0.3200000000000003
21.48,0.33000000000000185,0.03999999999999915,21.44,0.3200000000000003
,,,21.76,0.3200000000000003
22.17,,0.09000000000000341,22.08,0.31999999999999673
22.46,0.28999999999999915,0.060000000000002274,22.4,0.3200000000000003
22.78,0.3200000000000003,0.060000000000002274,22.72,0.3200000000000003
,,,23.04,0.3200000000000003
,,,23.36,0.3200000000000003
23.76,,,,
24.08,0.31999999999999673,0.03999999999999915,24.04,
24.4,0.3200000000000003,0.03999999999999915,24.36,0.3200000000000003
,,,24.69,0.33000000000000185
25.0,,-0.010000000000001563,25.01,0.3200000000000003
,,,25.34,0.3299999999999983
25.69,,0.030000000000001137,25.66,0.3200000000000003
26.04,0.34999999999999787,0.03999999999999915,26.0,0.33999999999999986
26.35,0.3100000000000023,0.030000000000001137,26.32,0.3200000000000003
26.66,0.3099999999999987,0.030000000000001137,26.63,0.3099999999999987
26.96,0.3000000000000007,0.0,26.96,0.33000000000000185
,,,27.28,0.3200000000000003
27.64,,0.05000000000000071,27.59,0.3099999999999987
27.97,0.3299999999999983,0.04999999999999716,27.92,0.33000000000000185
,,,28.23,0.3099999999999987
28.61,,0.03999999999999915,28.57,0.33999999999999986
28.94,0.33000000000000185,0.0400000000000027,28.9,0.3299999999999983
29.28,0.33999999999999986,0.0400000000000027,29.24,0.33999999999999986
29.59,0.3099999999999987,0.03999999999999915,29.55,0.3100000000000023
29.93,0.33999999999999986,0.03999999999999915,29.89,0.33999999999999986
30.26,0.33000000000000185,0.0400000000000027,30.22,0.3299999999999983
30.61,0.34999999999999787,0.05999999999999872,30.55,0.33000000000000185
30.9,0.28999999999999915,0.03999999999999915,30.86,0.3099999999999987
31.27,0.370000000000001,0.0799999999999983,31.19,0.33000000000000185
31.58,0.3099999999999987,0.04999999999999716,31.53,0.33999999999999986
31.91,0.33000000000000185,0.07000000000000028,31.84,0.3099999999999987
32.24,0.33000000000000185,0.07000000000000028,32.17,0.33000000000000185
32.46,0.21999999999999886,-0.030000000000001137,32.49,0.3200000000000003
32.91,0.44999999999999574,0.0899999999999963,32.82,0.3299999999999983
33.16,0.25,0.00999999999999801,33.15,0.3299999999999983
,,,33.48,0.3299999999999983
,,,33.8,0.3200000000000003
34.16,,0.02999999999999403,34.13,0.3300000000000054
34.49,0.3300000000000054,0.030000000000001137,34.46,0.3299999999999983
34.8,0.30999999999999517,0.02999999999999403,34.77,0.3100000000000023
,,,35.12,0.3499999999999943
,,,35.43,0.3100000000000023
,,,35.77,0.3400000000000034
36.1,,0.00999999999999801,36.09,0.3200000000000003
36.45,0.3500000000000014,0.020000000000003126,36.43,0.3399999999999963
36.76,0.30999999999999517,0.0,36.76,0.3299999999999983
37.12,0.35999999999999943,0.03999999999999915,37.08,0.3200000000000003
37.46,0.3400000000000034,0.060000000000002274,37.4,0.3200000000000003
,,,37.76,0.35999999999999943
38.07,,-0.03999999999999915,38.11,0.3500000000000014
38.39,0.3200000000000003,0.00999999999999801,38.38,0.2700000000000031
