Tap Time,ITI,Asynchornies,Tone Time,IOI
0.98,,0.07999999999999996,0.9,0.5800000000000001
1.56,0.5800000000000001,0.1100000000000001,1.45,0.5499999999999999
1.95,0.3899999999999999,-0.040000000000000036,1.99,0.54
,,,2.53,0.5399999999999998
,,,3.09,0.56
3.61,,-0.020000000000000018,3.63,0.54
,,,4.19,0.5600000000000005
,,,4.73,0.54
5.25,,-0.040000000000000036,5.29,0.5599999999999996
,,,5.84,0.5499999999999998
6.35,,-0.040000000000000036,6.39,0.5499999999999998
6.93,0.5800000000000001,-0.020000000000000462,6.95,0.5600000000000005
7.47,0.54,-0.020000000000000462,7.49,0.54
8.01,0.54,-0.02999999999999936,8.04,0.5499999999999989
8.56,0.5500000000000007,-0.019999999999999574,8.58,0.5400000000000009
9.07,0.5099999999999998,-0.049999999999998934,9.12,0.5399999999999991
,,,9.67,0.5500000000000007
10.2,,-0.030000000000001137,10.23,0.5600000000000005
10.73,0.5300000000000011,-0.03999999999999915,10.77,0.5399999999999991
11.38,0.6500000000000004,0.0600000000000005,11.32,0.5500000000000007
11.93,0.5499999999999989,0.07000000000000028,11.86,0.5399999999999991
,,,12.42,0.5600000000000005
13.05,,0.08000000000000007,12.97,0.5500000000000007
13.58,0.5299999999999994,0.07000000000000028,13.51,0.5399999999999991
,,,14.06,0.5500000000000007
14.74,,0.13000000000000078,14.61,0.5499999999999989
15.25,0.5099999999999998,0.08999999999999986,15.16,0.5500000000000007
15.76,0.5099999999999998,0.07000000000000028,15.69,0.5299999999999994
,,,16.25,0.5600000000000005
,,,16.79,0.5399999999999991
17.42,,0.10000000000000142,17.32,0.5300000000000011
17.93,0.509999999999998,0.08999999999999986,17.84,0.5199999999999996
18.48,0.5500000000000007,0.08999999999999986,18.39,0.5500000000000007
19.04,0.5599999999999987,0.09999999999999787,18.94,0.5500000000000007
19.49,0.4499999999999993,0.00999999999999801,19.48,0.5399999999999991
,,,20.04,0.5599999999999987
20.56,,-0.010000000000001563,20.57,0.5300000000000011
21.1,0.5400000000000027,-0.00999999999999801,21.11,0.5399999999999991
21.72,0.6199999999999974,0.05999999999999872,21.66,0.5500000000000007
22.24,0.5199999999999996,0.029999999999997584,22.21,0.5500000000000007
22.75,0.5100000000000016,0.0,22.75,0.5399999999999991
23.24,0.48999999999999844,-0.060000000000002274,23.3,0.5500000000000007
23.91,0.6700000000000017,0.07000000000000028,23.84,0.5399999999999991
24.35,0.4400000000000013,-0.03999999999999915,24.39,0.5500000000000007
,,,24.95,0.5599999999999987
25.58,,0.09999999999999787,25.48,0.5300000000000011
26.0,0.4200000000000017,-0.019999999999999574,26.02,0.5399999999999991
26.55,0.5500000000000007,-0.029999999999997584,26.58,0.5599999999999987
,,,27.13,0.5500000000000007
,,,27.67,0.5400000000000027
,,,28.22,0.5499999999999972
,,,28.77,0.5500000000000007
29.26,,-0.04999999999999716,29.31,0.5399999999999991
29.98,0.7199999999999989,0.129999999999999,29.85,0.5400000000000027
30.44,0.46000000000000085,0.0400000000000027,30.4,0.5499999999999972
,,,30.95,0.5500000000000007
,,,31.51,0.5600000000000023
32.02,,-0.02999999999999403,32.05,0.5399999999999956
32.68,0.6599999999999966,0.0899999999999963,32.59,0.5400000000000063
33.2,0.5200000000000031,0.0800000000000054,33.12,0.529999999999994
,,,33.67,0.5500000000000043
34.21,,-0.00999999999999801,34.22,0.5499999999999972
34.81,0.6000000000000014,0.060000000000002274,34.75,0.5300000000000011
35.32,0.509999999999998,0.04999999999999716,35.27,0.5200000000000031
35.82,0.5,-0.00999999999999801,35.83,0.5599999999999952
36.41,0.5899999999999963,0.01999999999999602,36.39,0.5600000000000023
36.98,0.5700000000000003,0.03999999999999915,36.94,0.5499999999999972
,,,37.49,0.5500000000000043
38.11,,0.07000000000000028,38.04,0.5499999999999972
38.71,0.6000000000000014,0.10999999999999943,38.6,0.5600000000000023
39.26,0.5499999999999972,0.10999999999999943,39.15,0.5499999999999972
39.82,0.5600000000000023,0.11999999999999744,39.7,0.5500000000000043
40.38,0.5600000000000023,0.13000000000000256,40.25,0.5499999999999972
40.92,0.5399999999999991,0.10999999999999943,40.81,0.5600000000000023
41.45,0.5300000000000011,0.10000000000000142,41.35,0.5399999999999991
,,,41.89,0.5399999999999991
42.56,,0.10000000000000142,42.46,0.5700000000000003
,,,42.99,0.5300000000000011
,,,43.54,0.5499999999999972
,,,44.07,0.5300000000000011
44.59,,-0.03999999999999915,44.63,0.5600000000000023
45.17,0.5799999999999983,-0.01999999999999602,45.19,0.5599999999999952
45.77,0.6000000000000014,0.030000000000001137,45.74,0.5500000000000043
46.32,0.5499999999999972,0.04999999999999716,46.27,0.5300000000000011
,,,46.83,0.5599999999999952
47.33,,-0.03999999999999915,47.37,0.5399999999999991
47.88,0.5500000000000043,-0.02999999999999403,47.91,0.5399999999999991
48.48,0.5999999999999943,0.01999999999999602,48.46,0.5500000000000043
49.05,0.5700000000000003,0.03999999999999915,49.01,0.5499999999999972
49.58,0.5300000000000011,0.00999999999999801,49.57,0.5600000000000023
,,,50.11,0.5399999999999991
50.71,,0.05000000000000426,50.66,0.5499999999999972
51.28,0.5700000000000003,0.0799999999999983,51.2,0.5400000000000063
51.69,0.4099999999999966,-0.060000000000002274,51.75,0.5499999999999972
,,,52.3,0.5499999999999972
52.78,,-0.030000000000001137,52.81,0.5100000000000051
,,,53.39,0.5799999999999983
,,,53.94,0.5499999999999972
54.54,,0.060000000000002274,54.48,0.5399999999999991
,,,55.03,0.5500000000000043
55.66,,0.0799999999999983,55.58,0.5499999999999972
,,,56.12,0.5399999999999991
56.69,,0.01999999999999602,56.67,0.5500000000000043
,,,57.22,0.5499999999999972
57.87,,0.10999999999999943,57.76,0.5399999999999991
,,,58.31,0.5500000000000043
,,,58.87,0.5599999999999952
59.5,,0.09000000000000341,59.41,0.5399999999999991
59.99,0.490000000000002,0.05000000000000426,59.94,0.5300000000000011
,,,60.48,0.5399999999999991
61.11,,0.0899999999999963,61.02,0.5400000000000063
61.6,0.490000000000002,0.030000000000001137,61.57,0.5499999999999972
,,,62.13,0.5600000000000023
62.74,,0.060000000000002274,62.68,0.5499999999999972
63.31,0.5700000000000003,0.0800000000000054,63.23,0.5499999999999972
63.83,0.519999999999996,0.05999999999999517,63.77,0.5400000000000063
64.42,0.5900000000000034,0.09000000000000341,64.33,0.5599999999999952
,,,64.87,0.5400000000000063
65.49,,0.05999999999998806,65.43,0.5600000000000023
,,,65.97,0.539999999999992
,,,66.52,0.5499999999999972
67.14,,0.0799999999999983,67.06,0.5400000000000063
67.74,0.5999999999999943,0.11999999999999034,67.62,0.5600000000000023
68.21,0.46999999999999886,0.05999999999998806,68.15,0.5300000000000011
,,,68.7,0.5499999999999972
,,,69.23,0.5300000000000011
,,,69.77,0.539999999999992
70.32,,,,
,,,70.85,
,,,71.38,0.5300000000000011
