Tap Time,ITI,Asynchornies,Tone Time,IOI
0.3,0.29,0.06,0.24,0.22999999999999998
,,,0.46,0.22000000000000003
,,,,
0.93,,0.0,0.93,
1.18,0.2499999999999999,0.020000000000000018,1.16,0.22999999999999987
,,,1.38,0.21999999999999997
,,,,
1.9,,0.04999999999999982,1.85,
2.1,0.20000000000000018,,,
2.3,0.19999999999999973,-0.010000000000000231,2.31,
2.57,0.27,,,
,,,2.78,
3.01,,,,
3.28,0.27,0.03999999999999959,3.24,
3.5,0.2200000000000002,0.020000000000000018,3.48,0.23999999999999977
3.7,0.20000000000000018,-0.009999999999999787,3.71,0.22999999999999998
,,,3.95,0.2400000000000002
,,,4.17,0.21999999999999975
4.42,,0.009999999999999787,4.41,0.2400000000000002
4.67,0.25,0.040000000000000036,4.63,0.21999999999999975
4.9,0.23000000000000043,,,
5.13,0.22999999999999954,0.040000000000000036,5.09,
5.35,0.21999999999999975,0.009999999999999787,5.34,0.25
,,,5.55,0.20999999999999996
,,,5.81,0.2599999999999998
,,,6.03,0.22000000000000064
,,,,
6.5,,0.009999999999999787,6.49,
6.75,0.25,0.03000000000000025,6.72,0.22999999999999954
,,,6.94,0.22000000000000064
,,,7.16,0.21999999999999975
7.44,,0.040000000000000036,7.4,0.2400000000000002
7.63,0.1899999999999995,,,
,,,7.86,
8.12,,0.009999999999999787,8.11,0.2499999999999991
,,,8.33,0.22000000000000064
8.57,,0.0,8.57,0.2400000000000002
8.8,0.23000000000000043,0.010000000000001563,8.79,0.21999999999999886
,,,9.04,0.25
,,,9.26,0.22000000000000064
9.48,,,,
,,,9.71,
9.97,,0.02000000000000135,9.95,0.23999999999999844
10.21,0.2400000000000002,0.030000000000001137,10.18,0.23000000000000043
10.43,0.21999999999999886,,,
10.68,0.25,0.03999999999999915,10.64,
10.89,0.21000000000000085,,,
,,,11.1,
11.36,,,,
,,,11.56,
11.83,,0.02999999999999936,11.8,0.2400000000000002
12.05,0.22000000000000064,0.030000000000001137,12.02,0.21999999999999886
12.26,0.20999999999999908,-0.009999999999999787,12.27,0.25
12.47,0.21000000000000085,-0.02999999999999936,12.5,0.23000000000000043
12.75,0.27999999999999936,0.009999999999999787,12.74,0.2400000000000002
12.97,0.22000000000000064,0.009999999999999787,12.96,0.22000000000000064
13.2,0.22999999999999865,0.0,13.2,0.23999999999999844
13.45,0.25,0.03999999999999915,13.41,0.21000000000000085
13.66,0.21000000000000085,0.0,13.66,0.25
,,,13.86,0.1999999999999993
,,,14.09,0.23000000000000043
14.35,,0.02999999999999936,14.32,0.23000000000000043
,,,14.56,0.2400000000000002
14.83,,0.05000000000000071,14.78,0.21999999999999886
,,,15.02,0.2400000000000002
15.27,,0.049999999999998934,15.22,0.20000000000000107
,,,15.47,0.25
15.72,,0.040000000000000924,15.68,0.20999999999999908
15.94,0.21999999999999886,0.02999999999999936,15.91,0.23000000000000043
16.16,0.22000000000000064,0.030000000000001137,16.13,0.21999999999999886
16.39,0.23000000000000043,0.019999999999999574,16.37,0.240000000000002
16.63,0.23999999999999844,0.029999999999997584,16.6,0.23000000000000043
16.85,0.22000000000000242,0.030000000000001137,16.82,0.21999999999999886
,,,17.04,0.21999999999999886
17.29,,0.00999999999999801,17.28,0.240000000000002
,,,17.51,0.23000000000000043
17.76,,0.010000000000001563,17.75,0.23999999999999844
18.01,0.25,0.05000000000000071,17.96,0.21000000000000085
,,,18.19,0.23000000000000043
,,,18.4,0.2099999999999973
18.64,,-0.019999999999999574,18.66,0.26000000000000156
,,,18.86,0.1999999999999993
19.11,,0.0,19.11,0.25
,,,19.31,0.1999999999999993
,,,19.53,0.22000000000000242
