Tap Time,ITI,Asynchornies,Tone Time,IOI
0.58,0.49999999999999994,0.029999999999999916,0.55,0.41000000000000003
0.9,0.32000000000000006,,,
1.41,0.5099999999999999,0.04999999999999982,1.36,
,,,1.79,0.42999999999999994
2.24,,0.050000000000000266,2.19,0.3999999999999999
2.64,0.3999999999999999,0.040000000000000036,2.6,0.41000000000000014
,,,3.01,0.4099999999999997
3.5,,0.08999999999999986,3.41,0.40000000000000036
3.88,0.3799999999999999,0.029999999999999805,3.85,0.43999999999999995
4.23,0.35000000000000053,-0.02999999999999936,4.26,0.4099999999999997
4.72,0.4899999999999993,0.040000000000000036,4.68,0.41999999999999993
5.14,0.41999999999999993,0.04999999999999982,5.09,0.41000000000000014
5.52,0.3799999999999999,0.009999999999999787,5.51,0.41999999999999993
,,,5.94,0.4300000000000006
,,,6.34,0.39999999999999947
,,,6.75,0.41000000000000014
7.23,,0.05000000000000071,7.18,0.4299999999999997
7.6,0.3699999999999992,0.019999999999999574,7.58,0.40000000000000036
,,,7.99,0.41000000000000014
8.44,,0.02999999999999936,8.41,0.41999999999999993
,,,8.81,0.40000000000000036
9.27,,0.049999999999998934,9.22,0.41000000000000014
9.72,0.45000000000000107,0.08999999999999986,9.63,0.41000000000000014
,,,10.04,0.40999999999999837
,,,10.44,0.40000000000000036
10.85,,0.009999999999999787,10.84,0.40000000000000036
11.37,0.5199999999999996,0.08999999999999986,11.28,0.4399999999999995
11.72,0.3500000000000014,0.030000000000001137,11.69,0.41000000000000014
12.19,0.46999999999999886,0.08999999999999986,12.1,0.41000000000000014
12.49,0.3000000000000007,-0.009999999999999787,12.5,0.40000000000000036
,,,12.94,0.4399999999999995
13.3,,-0.03999999999999915,13.34,0.40000000000000036
,,,13.74,0.40000000000000036
14.13,,-0.019999999999999574,14.15,0.41000000000000014
14.64,0.5099999999999998,0.08999999999999986,14.55,0.40000000000000036
14.99,0.34999999999999964,0.02999999999999936,14.96,0.41000000000000014
,,,15.37,0.40999999999999837
15.81,,0.030000000000001137,15.78,0.41000000000000014
16.25,0.4399999999999995,0.07000000000000028,16.18,0.40000000000000036
,,,16.58,0.3999999999999986
,,,17.0,0.4200000000000017
,,,17.41,0.41000000000000014
,,,17.82,0.41000000000000014
,,,18.2,0.379999999999999
18.7,,0.0799999999999983,18.62,0.4200000000000017
19.1,0.40000000000000213,0.060000000000002274,19.04,0.41999999999999815
,,,19.47,0.4299999999999997
19.84,,-0.030000000000001137,19.87,0.40000000000000213
,,,20.28,0.41000000000000014
20.64,,-0.03999999999999915,20.68,0.3999999999999986
