Tap Time,ITI,Asynchornies,Tone Time,IOI
0.59,0.37,0.039999999999999925,0.55,
0.85,0.26,0.0,0.85,0.29999999999999993
,,,1.2,0.35
1.52,,,,
1.82,0.30000000000000004,0.010000000000000009,1.81,
2.14,0.32000000000000006,,,
2.47,0.33000000000000007,0.020000000000000018,2.45,
2.81,0.33999999999999986,0.03000000000000025,2.78,0.3299999999999996
,,,3.09,0.31000000000000005
3.44,,,,
3.76,0.31999999999999984,-0.040000000000000036,3.8,
4.06,0.2999999999999998,,,
4.37,0.3100000000000005,0.040000000000000036,4.33,
4.68,0.3099999999999996,-0.0600000000000005,4.74,0.41000000000000014
5.03,0.35000000000000053,-0.02999999999999936,5.06,0.3199999999999994
5.33,0.2999999999999998,0.0,5.33,0.27000000000000046
5.63,0.2999999999999998,0.009999999999999787,5.62,0.29000000000000004
,,,,
6.2,,-0.019999999999999574,6.22,
,,,,
6.9,,0.05000000000000071,6.85,
7.16,0.2599999999999998,0.0,7.16,0.3100000000000005
7.5,0.33999999999999986,0.019999999999999574,7.48,0.3200000000000003
,,,,
8.1,,-0.009999999999999787,8.11,
,,,8.41,0.3000000000000007
8.73,,,,
9.09,0.35999999999999943,,,
9.4,0.3100000000000005,,,
,,,,
10.09,,0.08000000000000007,10.01,
10.39,0.3000000000000007,0.040000000000000924,10.35,0.33999999999999986
10.71,0.3200000000000003,,,
11.0,0.28999999999999915,,,
11.37,0.3699999999999992,0.049999999999998934,11.32,
11.69,0.3200000000000003,,,
11.99,0.3000000000000007,0.02999999999999936,11.96,
12.31,0.3200000000000003,0.05000000000000071,12.26,0.29999999999999893
12.62,0.3099999999999987,0.0,12.62,0.35999999999999943
12.95,0.33000000000000007,,,
13.26,0.3100000000000005,0.019999999999999574,13.24,
13.59,0.33000000000000007,,,
,,,13.88,
14.21,,0.02000000000000135,14.19,0.3099999999999987
14.52,0.3099999999999987,,,
14.83,0.3100000000000005,0.0,14.83,
15.14,0.3100000000000005,0.009999999999999787,15.13,0.3000000000000007
15.45,0.3099999999999987,,,
15.77,0.3200000000000003,0.0,15.77,
16.09,0.3200000000000003,0.0,16.09,0.3200000000000003
,,,16.4,0.3099999999999987
,,,16.7,0.3000000000000007
,,,17.02,0.3200000000000003
17.35,,0.020000000000003126,17.33,0.3099999999999987
17.67,0.3200000000000003,0.030000000000001137,17.64,0.3100000000000023
17.99,0.31999999999999673,0.03999999999999915,17.95,0.3099999999999987
18.28,0.2900000000000027,0.010000000000001563,18.27,0.3200000000000003
18.6,0.3200000000000003,0.020000000000003126,18.58,0.3099999999999987
18.93,0.3299999999999983,0.019999999999999574,18.91,0.33000000000000185
,,,19.22,0.3099999999999987
19.54,,0.00999999999999801,19.53,0.3100000000000023
,,,19.85,0.3200000000000003
20.19,,,,
,,,20.48,
20.81,,0.0,20.81,0.3299999999999983
,,,,
21.46,,,,
21.78,0.3200000000000003,,,
,,,,
22.38,,0.0,22.38,
22.72,0.33999999999999986,0.03999999999999915,22.68,0.3000000000000007
23.04,0.3200000000000003,,,
23.34,0.3000000000000007,,,
,,,23.63,
,,,,
24.34,,,,
24.61,0.2699999999999996,-0.019999999999999574,24.63,
24.99,0.379999999999999,,,
25.29,0.3000000000000007,,,
25.57,0.28000000000000114,0.019999999999999574,25.55,
25.91,0.33999999999999986,,,
26.18,0.2699999999999996,,,
26.54,0.35999999999999943,0.05999999999999872,26.48,
,,,26.8,0.3200000000000003
27.14,,,,
27.49,0.34999999999999787,0.029999999999997584,27.46,
27.77,0.28000000000000114,,,
28.11,0.33999999999999986,,,
28.44,0.33000000000000185,,,
28.76,0.3200000000000003,,,
29.02,0.259999999999998,-0.019999999999999574,29.04,
29.33,0.3099999999999987,-0.030000000000001137,29.36,0.3200000000000003
29.68,0.3500000000000014,,,
30.02,0.33999999999999986,0.030000000000001137,29.99,
30.33,0.3099999999999987,-0.010000000000001563,30.34,0.3500000000000014
30.66,0.33000000000000185,0.019999999999999574,30.64,0.3000000000000007
30.98,0.3200000000000003,,,
31.29,0.3099999999999987,0.029999999999997584,31.26,
31.59,0.3000000000000007,,,
31.84,0.25,-0.030000000000001137,31.87,
32.19,0.34999999999999787,-0.020000000000003126,32.21,0.33999999999999986
32.53,0.3400000000000034,0.020000000000003126,32.51,0.29999999999999716
32.84,0.3100000000000023,,,
33.18,0.3399999999999963,0.03999999999999915,33.14,
33.46,0.28000000000000114,0.030000000000001137,33.43,0.28999999999999915
33.72,0.259999999999998,-0.030000000000001137,33.75,0.3200000000000003
34.08,0.35999999999999943,0.03999999999999915,34.04,0.28999999999999915
34.4,0.3200000000000003,0.030000000000001137,34.37,0.3299999999999983
34.7,0.30000000000000426,,,
35.0,0.29999999999999716,0.00999999999999801,34.99,
35.34,0.3400000000000034,,,
35.65,0.30999999999999517,0.03999999999999915,35.61,
35.95,0.30000000000000426,0.020000000000003126,35.93,0.3200000000000003
36.25,0.29999999999999716,0.00999999999999801,36.24,0.3100000000000023
36.56,0.3100000000000023,,,
,,,36.87,
37.2,,,,
37.51,0.30999999999999517,0.030000000000001137,37.48,
37.82,0.3100000000000023,0.030000000000001137,37.79,0.3100000000000023
