Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.51,0.29000000000000004
0.85,,-0.020000000000000018,0.87,0.36
,,,1.17,0.29999999999999993
1.48,,-0.040000000000000036,1.52,0.3500000000000001
1.85,0.3700000000000001,0.020000000000000018,1.83,0.31000000000000005
2.18,0.33000000000000007,0.020000000000000018,2.16,0.33000000000000007
2.49,0.31000000000000005,0.03000000000000025,2.46,0.2999999999999998
,,,2.8,0.33999999999999986
,,,3.11,0.31000000000000005
,,,3.44,0.33000000000000007
3.78,,0.03999999999999959,3.74,0.30000000000000027
4.11,0.3300000000000005,0.020000000000000462,4.09,0.34999999999999964
4.47,0.35999999999999943,0.0699999999999994,4.4,0.3100000000000005
,,,4.71,0.3099999999999996
,,,5.04,0.33000000000000007
5.36,,-0.019999999999999574,5.38,0.33999999999999986
,,,5.68,0.2999999999999998
5.99,,-0.009999999999999787,6.0,0.3200000000000003
,,,6.31,0.3099999999999996
6.72,,0.05999999999999961,6.66,0.35000000000000053
6.94,0.22000000000000064,-0.009999999999999787,6.95,0.29000000000000004
7.24,0.2999999999999998,-0.040000000000000036,7.28,0.33000000000000007
7.59,0.34999999999999964,0.019999999999999574,7.57,0.29000000000000004
7.91,0.3200000000000003,0.009999999999999787,7.9,0.33000000000000007
8.22,0.3100000000000005,0.030000000000001137,8.19,0.28999999999999915
8.58,0.35999999999999943,0.0600000000000005,8.52,0.33000000000000007
8.8,0.22000000000000064,-0.019999999999999574,8.82,0.3000000000000007
9.21,0.41000000000000014,0.07000000000000028,9.14,0.3200000000000003
9.45,0.23999999999999844,0.009999999999999787,9.44,0.29999999999999893
9.83,0.3800000000000008,0.0600000000000005,9.77,0.33000000000000007
10.12,0.28999999999999915,0.06999999999999851,10.05,0.28000000000000114
10.43,0.3100000000000005,0.02999999999999936,10.4,0.34999999999999964
,,,10.69,0.28999999999999915
,,,11.04,0.34999999999999964
11.33,,0.0,11.33,0.2900000000000009
11.7,0.3699999999999992,0.02999999999999936,11.67,0.33999999999999986
11.99,0.2900000000000009,0.009999999999999787,11.98,0.3100000000000005
12.34,0.34999999999999964,0.0600000000000005,12.28,0.29999999999999893
,,,12.61,0.33000000000000007
12.92,,-0.019999999999999574,12.94,0.33000000000000007
,,,13.24,0.3000000000000007
13.55,,-0.03999999999999915,13.59,0.34999999999999964
,,,13.88,0.2900000000000009
14.21,,-0.009999999999999787,14.22,0.33999999999999986
,,,14.51,0.28999999999999915
14.84,,-0.009999999999999787,14.85,0.33999999999999986
15.22,0.3800000000000008,0.08000000000000007,15.14,0.2900000000000009
,,,15.47,0.33000000000000007
15.83,,0.040000000000000924,15.79,0.3199999999999985
,,,16.12,0.33000000000000185
,,,16.42,0.3000000000000007
,,,16.76,0.33999999999999986
17.1,,0.05000000000000071,17.05,0.28999999999999915
17.37,0.2699999999999996,-0.00999999999999801,17.38,0.3299999999999983
17.71,0.33999999999999986,0.03999999999999915,17.67,0.2900000000000027
,,,18.01,0.33999999999999986
18.31,,0.00999999999999801,18.3,0.28999999999999915
18.61,0.3000000000000007,-0.019999999999999574,18.63,0.3299999999999983
,,,18.93,0.3000000000000007
19.3,,0.030000000000001137,19.27,0.33999999999999986
19.6,0.3000000000000007,0.0400000000000027,19.56,0.28999999999999915
19.91,0.3099999999999987,0.0,19.91,0.3500000000000014
20.22,0.3099999999999987,0.00999999999999801,20.21,0.3000000000000007
20.52,0.3000000000000007,-0.010000000000001563,20.53,0.3200000000000003
,,,20.84,0.3099999999999987
21.16,,0.0,21.16,0.3200000000000003
21.45,0.28999999999999915,-0.010000000000001563,21.46,0.3000000000000007
,,,21.81,0.34999999999999787
22.13,,0.029999999999997584,22.1,0.2900000000000027
22.46,0.33000000000000185,0.019999999999999574,22.44,0.33999999999999986
22.77,0.3099999999999987,0.05000000000000071,22.72,0.2799999999999976
,,,23.05,0.33000000000000185
,,,23.35,0.3000000000000007
23.67,,-0.00999999999999801,23.68,0.3299999999999983
23.98,0.3099999999999987,-0.00999999999999801,23.99,0.3099999999999987
24.33,0.34999999999999787,0.00999999999999801,24.32,0.33000000000000185
24.61,0.28000000000000114,0.0,24.61,0.28999999999999915
24.94,0.33000000000000185,0.0,24.94,0.33000000000000185
,,,25.24,0.29999999999999716
25.55,,-0.019999999999999574,25.57,0.33000000000000185
,,,25.85,0.28000000000000114
26.17,,-0.019999999999999574,26.19,0.33999999999999986
,,,26.48,0.28999999999999915
