Tap Time,ITI,Asynchornies,Tone Time,IOI
0.6,,0.039999999999999925,0.56,0.32000000000000006
,,,0.89,0.32999999999999996
1.21,,-0.010000000000000009,1.22,0.32999999999999996
,,,1.55,0.33000000000000007
1.89,,0.019999999999999796,1.87,0.32000000000000006
2.24,0.3500000000000003,0.040000000000000036,2.2,0.33000000000000007
2.58,0.33999999999999986,0.050000000000000266,2.53,0.3299999999999996
,,,2.86,0.33000000000000007
3.24,,0.050000000000000266,3.19,0.33000000000000007
3.52,0.2799999999999998,0.010000000000000231,3.51,0.31999999999999984
3.83,0.31000000000000005,-0.020000000000000018,3.85,0.3400000000000003
,,,4.17,0.31999999999999984
4.58,,,,
4.9,0.3200000000000003,0.05000000000000071,4.85,
5.23,0.33000000000000007,0.03000000000000025,5.2,0.35000000000000053
5.59,0.35999999999999943,0.05999999999999961,5.53,0.33000000000000007
5.91,0.3200000000000003,0.04999999999999982,5.86,0.33000000000000007
6.23,0.3200000000000003,0.03000000000000025,6.2,0.33999999999999986
6.55,0.3199999999999994,0.03000000000000025,6.52,0.3199999999999994
6.87,0.3200000000000003,0.020000000000000462,6.85,0.33000000000000007
7.23,0.3600000000000003,0.07000000000000028,7.16,0.3100000000000005
7.49,0.2599999999999998,0.009999999999999787,7.48,0.3200000000000003
7.83,0.33999999999999986,0.020000000000000462,7.81,0.3299999999999992
,,,8.13,0.3200000000000012
8.48,,0.030000000000001137,8.45,0.3199999999999985
8.85,0.3699999999999992,0.08000000000000007,8.77,0.3200000000000003
,,,9.1,0.33000000000000007
9.41,,-0.019999999999999574,9.43,0.33000000000000007
9.82,0.41000000000000014,0.05000000000000071,9.77,0.33999999999999986
10.16,0.33999999999999986,0.08000000000000007,10.08,0.3100000000000005
10.41,0.25,-0.009999999999999787,10.42,0.33999999999999986
,,,10.76,0.33999999999999986
11.14,,0.05000000000000071,11.09,0.33000000000000007
11.45,0.3099999999999987,0.03999999999999915,11.41,0.3200000000000003
,,,11.75,0.33999999999999986
12.16,,0.08000000000000007,12.08,0.33000000000000007
12.37,0.20999999999999908,-0.040000000000000924,12.41,0.33000000000000007
12.73,0.3600000000000012,0.0,12.73,0.3200000000000003
13.14,0.41000000000000014,0.08000000000000007,13.06,0.33000000000000007
,,,13.39,0.33000000000000007
13.78,,0.049999999999998934,13.73,0.33999999999999986
14.04,0.2599999999999998,-0.010000000000001563,14.05,0.3200000000000003
14.42,0.3800000000000008,0.03999999999999915,14.38,0.33000000000000007
,,,14.72,0.33999999999999986
15.13,,0.08000000000000007,15.05,0.33000000000000007
15.44,0.3099999999999987,0.08000000000000007,15.36,0.3099999999999987
15.73,0.2900000000000009,0.030000000000001137,15.7,0.33999999999999986
,,,16.02,0.3200000000000003
,,,16.35,0.33000000000000185
,,,16.67,0.3200000000000003
17.03,,0.030000000000001137,17.0,0.3299999999999983
17.38,0.34999999999999787,0.05000000000000071,17.33,0.3299999999999983
17.71,0.33000000000000185,0.05000000000000071,17.66,0.33000000000000185
18.04,0.3299999999999983,0.05000000000000071,17.99,0.3299999999999983
18.37,0.33000000000000185,0.05000000000000071,18.32,0.33000000000000185
,,,18.65,0.3299999999999983
18.97,,-0.010000000000001563,18.98,0.33000000000000185
,,,19.31,0.3299999999999983
19.65,,0.00999999999999801,19.64,0.33000000000000185
,,,19.96,0.3200000000000003
20.34,,0.05000000000000071,20.29,0.3299999999999983
20.67,0.33000000000000185,0.05000000000000071,20.62,0.33000000000000185
21.0,0.3299999999999983,0.07000000000000028,20.93,0.3099999999999987
,,,21.27,0.33999999999999986
21.64,,0.03999999999999915,21.6,0.33000000000000185
,,,21.92,0.3200000000000003
22.28,,0.030000000000001137,22.25,0.3299999999999983
,,,22.58,0.3299999999999983
22.98,,0.08000000000000185,22.9,0.3200000000000003
23.29,0.3099999999999987,0.07000000000000028,23.22,0.3200000000000003
23.53,0.240000000000002,-0.029999999999997584,23.56,0.33999999999999986
,,,23.88,0.3200000000000003
24.26,,0.05000000000000071,24.21,0.33000000000000185
24.59,0.3299999999999983,0.05999999999999872,24.53,0.3200000000000003
24.94,0.3500000000000014,0.08000000000000185,24.86,0.3299999999999983
,,,25.19,0.33000000000000185
25.58,,0.05999999999999872,25.52,0.3299999999999983
25.9,0.3200000000000003,0.05999999999999872,25.84,0.3200000000000003
26.26,0.360000000000003,0.08999999999999986,26.17,0.33000000000000185
,,,26.49,0.31999999999999673
26.88,,0.05999999999999872,26.82,0.33000000000000185
27.21,0.33000000000000185,0.07000000000000028,27.14,0.3200000000000003
27.56,0.34999999999999787,0.0799999999999983,27.48,0.33999999999999986
,,,27.8,0.3200000000000003
28.18,,0.03999999999999915,28.14,0.33999999999999986
28.52,0.33999999999999986,0.05999999999999872,28.46,0.3200000000000003
,,,28.79,0.3299999999999983
29.19,,0.07000000000000028,29.12,0.33000000000000185
29.51,0.3200000000000003,0.060000000000002274,29.45,0.3299999999999983
29.84,0.3299999999999983,0.07000000000000028,29.77,0.3200000000000003
30.13,0.28999999999999915,0.019999999999999574,30.11,0.33999999999999986
,,,30.44,0.33000000000000185
30.85,,0.07000000000000028,30.78,0.33999999999999986
,,,31.12,0.33999999999999986
31.49,,0.03999999999999915,31.45,0.3299999999999983
31.76,0.2700000000000031,-0.00999999999999801,31.77,0.3200000000000003
32.12,0.3599999999999959,0.01999999999999602,32.1,0.33000000000000185
32.44,0.3200000000000003,0.030000000000001137,32.41,0.30999999999999517
