Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
1.66,,,,
,,,,
,,,,
2.98,,,,
3.38,0.3999999999999999,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7.7,,,,
,,,,
,,,,
,,,,
9.53,,,,
,,,,
10.38,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12.98,,,,
13.37,0.3899999999999988,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,16.75,
,,,,
,,,,
,,,,
,,,,
,,,,
19.34,,,,
19.75,0.41000000000000014,,,
20.17,0.4200000000000017,,,
20.71,0.5399999999999991,0.0,20.71,
,,,21.04,0.3299999999999983
,,,,
,,,,
22.43,,0.0,22.43,
,,,,
23.29,,,,
23.61,0.3200000000000003,,,
24.15,0.5399999999999991,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,33.11,
,,,,
34.05,,,,
34.47,0.4200000000000017,,,
,,,,
,,,,
,,,35.76,
36.18,,-0.00999999999999801,36.19,0.4299999999999997
,,,,
,,,,
37.45,,0.0,37.45,
,,,37.87,0.4199999999999946
,,,,
,,,,
39.14,,0.0,39.14,
,,,,
,,,,
,,,,
,,,40.85,
41.26,,-0.010000000000005116,41.27,0.4200000000000017
,,,,
,,,,
,,,42.66,
,,,42.99,0.3300000000000054
,,,,
,,,43.87,
44.27,,0.0,44.27,0.4000000000000057
44.69,0.4199999999999946,,,
,,,45.23,
,,,,
,,,46.08,
46.38,,-0.00999999999999801,46.39,0.3100000000000023
,,,46.93,0.5399999999999991
,,,47.36,0.4299999999999997
,,,47.77,0.4100000000000037
48.23,,0.02999999999999403,48.2,0.4299999999999997
48.63,0.4000000000000057,0.0800000000000054,48.55,0.3499999999999943
,,,49.06,0.5100000000000051
49.5,,0.030000000000001137,49.47,0.4099999999999966
49.92,0.4200000000000017,0.020000000000003126,49.9,0.4299999999999997
50.34,0.4200000000000017,0.010000000000005116,50.33,0.4299999999999997
50.79,0.44999999999999574,0.03999999999999915,50.75,0.4200000000000017
,,,51.16,0.4099999999999966
,,,51.59,0.4300000000000068
52.05,,0.03999999999999915,52.01,0.4199999999999946
52.43,0.38000000000000256,-0.020000000000003126,52.45,0.44000000000000483
52.86,0.4299999999999997,0.00999999999999801,52.85,0.3999999999999986
53.29,0.4299999999999997,0.0,53.29,0.4399999999999977
,,,53.71,0.4200000000000017
54.19,,0.04999999999999716,54.14,0.4299999999999997
54.55,0.35999999999999943,0.0,54.55,0.4099999999999966
54.99,0.44000000000000483,0.0,54.99,0.44000000000000483
,,,55.42,0.4299999999999997
55.84,,-0.01999999999999602,55.86,0.4399999999999977
,,,56.27,0.4100000000000037
,,,56.72,0.44999999999999574
,,,57.16,0.4399999999999977
57.59,,-0.00999999999999801,57.6,0.44000000000000483
58.04,0.44999999999999574,0.01999999999999602,58.02,0.4200000000000017
,,,58.47,0.44999999999999574
,,,58.9,0.4299999999999997
59.3,,-0.04000000000000625,59.34,0.44000000000000483
