Tap Time,ITI,Asynchornies,Tone Time,IOI
0.27,0.26,0.010000000000000009,0.26,0.24000000000000002
0.53,0.26,0.0,0.53,0.27
0.8,0.27,0.030000000000000027,0.77,0.24
1.05,0.25,0.010000000000000009,1.04,0.27
1.31,0.26,0.020000000000000018,1.29,0.25
1.56,0.25,-0.010000000000000009,1.57,0.28
1.82,0.26,0.0,1.82,0.25
2.1,0.28,0.020000000000000018,2.08,0.26
2.35,0.25,0.020000000000000018,2.33,0.25
2.62,0.27,0.020000000000000018,2.6,0.27
2.85,0.22999999999999998,0.0,2.85,0.25
,,,3.12,0.27
3.4,,0.029999999999999805,3.37,0.25
3.65,0.25,0.009999999999999787,3.64,0.27
3.92,0.27,0.029999999999999805,3.89,0.25
4.17,0.25,0.019999999999999574,4.15,0.26000000000000023
4.42,0.25,0.009999999999999787,4.41,0.2599999999999998
4.69,0.27000000000000046,0.020000000000000462,4.67,0.2599999999999998
4.95,0.2599999999999998,0.03000000000000025,4.92,0.25
5.22,0.2699999999999996,0.040000000000000036,5.18,0.2599999999999998
5.45,0.23000000000000043,0.009999999999999787,5.44,0.2600000000000007
5.7,0.25,0.0,5.7,0.2599999999999998
,,,5.95,0.25
6.17,,-0.040000000000000036,6.21,0.2599999999999998
,,,6.46,0.25
6.74,,0.03000000000000025,6.71,0.25
7.01,0.2699999999999996,0.04999999999999982,6.96,0.25
7.25,0.2400000000000002,0.019999999999999574,7.23,0.27000000000000046
7.51,0.2599999999999998,0.019999999999999574,7.49,0.2599999999999998
,,,7.75,0.2599999999999998
8.01,,0.02999999999999936,7.98,0.23000000000000043
8.27,0.2599999999999998,,,
,,,8.51,
,,,8.76,0.25
,,,9.02,0.2599999999999998
9.32,,0.05000000000000071,9.27,0.25
,,,9.53,0.2599999999999998
9.81,,0.02000000000000135,9.79,0.2599999999999998
10.05,0.2400000000000002,0.0,10.05,0.26000000000000156
,,,,
,,,10.56,
10.83,,0.009999999999999787,10.82,0.2599999999999998
,,,11.07,0.25
,,,11.33,0.2599999999999998
11.57,,-0.009999999999999787,11.58,0.25
11.88,0.3100000000000005,0.05000000000000071,11.83,0.25
12.13,0.25,0.030000000000001137,12.1,0.2699999999999996
12.41,0.27999999999999936,0.05000000000000071,12.36,0.2599999999999998
,,,12.62,0.2599999999999998
12.91,,0.019999999999999574,12.89,0.27000000000000135
13.16,0.25,0.019999999999999574,13.14,0.25
,,,,
13.65,,0.0,13.65,
13.93,0.27999999999999936,0.019999999999999574,13.91,0.2599999999999998
,,,14.17,0.2599999999999998
,,,14.42,0.25
14.7,,0.019999999999999574,14.68,0.2599999999999998
14.96,0.26000000000000156,0.010000000000001563,14.95,0.2699999999999996
15.2,0.23999999999999844,0.0,15.2,0.25
15.46,0.26000000000000156,0.0,15.46,0.26000000000000156
,,,15.71,0.25
,,,15.98,0.2699999999999996
,,,16.23,0.25
,,,,
16.72,,-0.019999999999999574,16.74,
16.97,0.25,-0.030000000000001137,17.0,0.26000000000000156
17.24,0.2699999999999996,0.019999999999999574,17.22,0.21999999999999886
17.48,0.240000000000002,0.0,17.48,0.26000000000000156
17.76,0.28000000000000114,0.030000000000001137,17.73,0.25
17.99,0.22999999999999687,0.0,17.99,0.259999999999998
,,,18.24,0.25
,,,18.51,0.2700000000000031
18.81,,0.03999999999999915,18.77,0.259999999999998
19.04,0.23000000000000043,0.019999999999999574,19.02,0.25
19.29,0.25,0.00999999999999801,19.28,0.26000000000000156
19.56,0.2699999999999996,0.029999999999997584,19.53,0.25
,,,19.79,0.259999999999998
,,,20.05,0.26000000000000156
,,,20.3,0.25
20.55,,-0.00999999999999801,20.56,0.259999999999998
20.82,0.2699999999999996,0.010000000000001563,20.81,0.25
21.05,0.23000000000000043,-0.03999999999999915,21.09,0.28000000000000114
21.34,0.28999999999999915,0.0,21.34,0.25
21.61,0.2699999999999996,0.030000000000001137,21.58,0.23999999999999844
21.9,0.28999999999999915,0.05999999999999872,21.84,0.26000000000000156
22.14,0.240000000000002,0.030000000000001137,22.11,0.2699999999999996
22.38,0.23999999999999844,0.029999999999997584,22.35,0.240000000000002
22.63,0.25,0.00999999999999801,22.62,0.2699999999999996
,,,22.87,0.25
23.12,,-0.00999999999999801,23.13,0.259999999999998
23.4,0.2799999999999976,0.019999999999999574,23.38,0.25
23.62,0.22000000000000242,-0.019999999999999574,23.64,0.26000000000000156
23.93,0.3099999999999987,0.03999999999999915,23.89,0.25
,,,24.15,0.259999999999998
24.42,,0.020000000000003126,24.4,0.25
,,,24.65,0.25
,,,24.91,0.26000000000000156
,,,25.17,0.26000000000000156
25.45,,0.00999999999999801,25.44,0.2699999999999996
,,,25.68,0.23999999999999844
25.95,,0.0,25.95,0.2699999999999996
26.21,0.26000000000000156,0.010000000000001563,26.2,0.25
,,,26.46,0.26000000000000156
,,,26.72,0.259999999999998
,,,26.97,0.25
27.28,,0.05000000000000071,27.23,0.26000000000000156
,,,27.5,0.2699999999999996
,,,27.74,0.23999999999999844
28.07,,0.05999999999999872,28.01,0.2700000000000031
28.27,0.1999999999999993,0.00999999999999801,28.26,0.25
,,,28.5,0.23999999999999844
28.77,,-0.019999999999999574,28.79,0.28999999999999915
,,,29.03,0.240000000000002
,,,29.29,0.259999999999998
29.55,,0.010000000000001563,29.54,0.25
29.8,0.25,-0.00999999999999801,29.81,0.2699999999999996
30.07,0.2699999999999996,0.019999999999999574,30.05,0.240000000000002
,,,30.31,0.259999999999998
,,,30.56,0.25
30.79,,-0.019999999999999574,30.81,0.25
31.07,0.28000000000000114,0.0,31.07,0.26000000000000156
31.35,0.28000000000000114,0.020000000000003126,31.33,0.259999999999998
31.59,0.23999999999999844,0.010000000000001563,31.58,0.25
31.82,0.23000000000000043,-0.030000000000001137,31.85,0.2700000000000031
,,,32.11,0.259999999999998
,,,32.38,0.2700000000000031
32.64,,0.00999999999999801,32.63,0.25
32.9,0.259999999999998,,,
33.2,0.30000000000000426,0.05000000000000426,33.15,
33.4,0.19999999999999574,0.0,33.4,0.25
33.67,0.2700000000000031,0.020000000000003126,33.65,0.25
33.94,0.269999999999996,0.00999999999999801,33.93,0.28000000000000114
,,,34.18,0.25
,,,34.45,0.2700000000000031
,,,34.68,0.22999999999999687
34.96,,0.00999999999999801,34.95,0.2700000000000031
35.22,0.259999999999998,0.01999999999999602,35.2,0.25
35.5,0.28000000000000114,0.03999999999999915,35.46,0.259999999999998
35.75,0.25,0.03999999999999915,35.71,0.25
,,,35.98,0.269999999999996
,,,36.23,0.25
,,,36.51,0.28000000000000114
36.75,,0.00999999999999801,36.74,0.23000000000000398
37.01,0.259999999999998,0.00999999999999801,37.0,0.259999999999998
37.25,0.240000000000002,-0.00999999999999801,37.26,0.259999999999998
,,,37.52,0.2600000000000051
,,,37.77,0.25
38.04,,0.00999999999999801,38.03,0.259999999999998
38.32,0.28000000000000114,0.03999999999999915,38.28,0.25
38.56,0.240000000000002,0.020000000000003126,38.54,0.259999999999998
38.85,0.28999999999999915,0.060000000000002274,38.79,0.25
39.08,0.22999999999999687,0.01999999999999602,39.06,0.2700000000000031
,,,39.31,0.25
39.56,,-0.00999999999999801,39.57,0.259999999999998
,,,39.82,0.25
,,,40.08,0.259999999999998
,,,40.34,0.2600000000000051
40.6,,0.00999999999999801,40.59,0.25
,,,40.85,0.259999999999998
,,,,
41.38,,0.020000000000003126,41.36,
41.64,0.259999999999998,0.020000000000003126,41.62,0.259999999999998
41.88,0.240000000000002,0.0,41.88,0.2600000000000051
,,,42.13,0.25
42.42,,0.020000000000003126,42.4,0.269999999999996
42.68,0.259999999999998,0.00999999999999801,42.67,0.2700000000000031
,,,42.93,0.259999999999998
,,,43.18,0.25
43.47,,0.01999999999999602,43.45,0.2700000000000031
43.71,0.240000000000002,0.0,43.71,0.259999999999998
,,,43.95,0.240000000000002
,,,44.22,0.269999999999996
44.48,,-0.010000000000005116,44.49,0.2700000000000031
44.76,0.28000000000000114,0.01999999999999602,44.74,0.25
45.0,0.240000000000002,0.00999999999999801,44.99,0.25
45.27,0.2700000000000031,0.030000000000001137,45.24,0.25
45.53,0.259999999999998,0.030000000000001137,45.5,0.259999999999998
45.79,0.259999999999998,0.03999999999999915,45.75,0.25
46.02,0.23000000000000398,0.010000000000005116,46.01,0.259999999999998
46.29,0.269999999999996,0.01999999999999602,46.27,0.2600000000000051
