Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.37,0.33999999999999997
0.8,,0.09000000000000008,0.71,0.33999999999999997
1.1,0.30000000000000004,0.050000000000000044,1.05,0.3400000000000001
1.43,0.32999999999999985,0.050000000000000044,1.38,0.32999999999999985
,,,1.73,0.3500000000000001
,,,2.08,0.3500000000000001
,,,2.41,0.33000000000000007
,,,2.75,0.33999999999999986
3.14,,0.050000000000000266,3.09,0.33999999999999986
,,,3.41,0.3200000000000003
3.86,,0.10999999999999988,3.75,0.33999999999999986
4.08,0.2200000000000002,-0.009999999999999787,4.09,0.33999999999999986
,,,4.42,0.33000000000000007
4.81,,0.05999999999999961,4.75,0.33000000000000007
,,,5.08,0.33000000000000007
,,,5.42,0.33999999999999986
,,,5.76,0.33999999999999986
6.14,,0.05999999999999961,6.08,0.3200000000000003
,,,6.43,0.34999999999999964
,,,6.76,0.33000000000000007
7.13,,0.040000000000000036,7.09,0.33000000000000007
,,,7.43,0.33999999999999986
,,,7.77,0.33999999999999986
8.11,,0.0,8.11,0.33999999999999986
,,,8.44,0.33000000000000007
8.75,,-0.019999999999999574,8.77,0.33000000000000007
9.08,0.33000000000000007,-0.02999999999999936,9.11,0.33999999999999986
9.53,0.4499999999999993,0.08999999999999986,9.44,0.33000000000000007
9.85,0.3200000000000003,0.08000000000000007,9.77,0.33000000000000007
10.16,0.3100000000000005,0.05000000000000071,10.11,0.33999999999999986
,,,10.44,0.33000000000000007
,,,10.78,0.33999999999999986
11.14,,0.030000000000001137,11.11,0.33000000000000007
,,,11.43,0.3200000000000003
,,,11.77,0.33999999999999986
12.14,,0.040000000000000924,12.1,0.33000000000000007
12.48,0.33999999999999986,0.030000000000001137,12.45,0.34999999999999964
12.8,0.3200000000000003,0.030000000000001137,12.77,0.3200000000000003
,,,13.13,0.3600000000000012
,,,13.46,0.33000000000000007
13.84,,0.03999999999999915,13.8,0.33999999999999986
14.15,0.3100000000000005,0.019999999999999574,14.13,0.33000000000000007
14.46,0.3100000000000005,0.0,14.46,0.33000000000000007
14.83,0.3699999999999992,0.040000000000000924,14.79,0.3299999999999983
15.12,0.28999999999999915,-0.010000000000001563,15.13,0.34000000000000163
15.53,0.41000000000000014,0.06999999999999851,15.46,0.33000000000000007
15.86,0.33000000000000007,0.049999999999998934,15.81,0.34999999999999964
,,,16.13,0.3199999999999985
16.48,,0.0,16.48,0.3500000000000014
16.84,0.35999999999999943,0.030000000000001137,16.81,0.3299999999999983
17.17,0.33000000000000185,0.0400000000000027,17.13,0.3200000000000003
,,,17.46,0.33000000000000185
,,,17.83,0.36999999999999744
18.16,,0.0,18.16,0.33000000000000185
18.48,0.3200000000000003,0.010000000000001563,18.47,0.3099999999999987
18.83,0.34999999999999787,0.019999999999999574,18.81,0.33999999999999986
,,,19.17,0.360000000000003
19.49,,0.029999999999997584,19.46,0.28999999999999915
19.85,0.360000000000003,0.0400000000000027,19.81,0.34999999999999787
20.12,0.2699999999999996,-0.03999999999999915,20.16,0.3500000000000014
20.48,0.35999999999999943,0.019999999999999574,20.46,0.3000000000000007
20.81,0.3299999999999983,0.019999999999999574,20.79,0.3299999999999983
21.16,0.3500000000000014,0.019999999999999574,21.14,0.3500000000000014
21.49,0.3299999999999983,0.019999999999999574,21.47,0.3299999999999983
21.83,0.33999999999999986,0.00999999999999801,21.82,0.3500000000000014
22.17,0.3400000000000034,0.020000000000003126,22.15,0.3299999999999983
22.53,0.35999999999999943,0.05000000000000071,22.48,0.33000000000000185
22.86,0.3299999999999983,0.030000000000001137,22.83,0.34999999999999787
23.21,0.3500000000000014,0.05000000000000071,23.16,0.33000000000000185
23.54,0.3299999999999983,0.029999999999997584,23.51,0.3500000000000014
