Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.59,0.38999999999999996
1.0,,-0.010000000000000009,1.01,0.42000000000000004
1.38,0.3799999999999999,0.019999999999999796,1.36,0.3500000000000001
,,,1.79,0.42999999999999994
2.18,,0.040000000000000036,2.14,0.3500000000000001
,,,2.58,0.43999999999999995
3.01,,0.05999999999999961,2.95,0.3700000000000001
,,,3.37,0.41999999999999993
3.72,,-0.009999999999999787,3.73,0.3599999999999999
4.21,0.48999999999999977,0.08000000000000007,4.13,0.3999999999999999
4.51,0.2999999999999998,0.009999999999999787,4.5,0.3700000000000001
4.93,0.41999999999999993,0.019999999999999574,4.91,0.41000000000000014
5.3,0.3700000000000001,0.019999999999999574,5.28,0.3700000000000001
,,,5.67,0.3899999999999997
6.07,,-0.009999999999999787,6.08,0.41000000000000014
,,,6.5,0.41999999999999993
6.85,,0.0,6.85,0.34999999999999964
,,,7.24,0.39000000000000057
7.65,,0.020000000000000462,7.63,0.3899999999999997
,,,8.02,0.3899999999999997
8.44,,0.03999999999999915,8.4,0.3800000000000008
,,,8.82,0.41999999999999993
9.22,,0.02000000000000135,9.2,0.379999999999999
,,,9.61,0.41000000000000014
,,,9.98,0.370000000000001
,,,10.38,0.40000000000000036
,,,10.76,0.379999999999999
,,,11.15,0.39000000000000057
11.56,,0.02000000000000135,11.54,0.3899999999999988
,,,11.95,0.41000000000000014
,,,12.33,0.3800000000000008
12.81,,0.08000000000000007,12.73,0.40000000000000036
13.15,0.33999999999999986,0.05000000000000071,13.1,0.3699999999999992
13.58,0.4299999999999997,0.08000000000000007,13.5,0.40000000000000036
13.92,0.33999999999999986,0.02999999999999936,13.89,0.39000000000000057
14.36,0.4399999999999995,0.08000000000000007,14.28,0.3899999999999988
14.66,0.3000000000000007,0.0,14.66,0.3800000000000008
15.14,0.4800000000000004,0.0600000000000005,15.08,0.41999999999999993
,,,15.45,0.3699999999999992
15.85,,0.0,15.85,0.40000000000000036
,,,16.24,0.3899999999999988
,,,16.63,0.39000000000000057
17.05,,0.030000000000001137,17.02,0.39000000000000057
17.49,0.4399999999999977,0.0799999999999983,17.41,0.39000000000000057
17.85,0.360000000000003,0.0400000000000027,17.81,0.3999999999999986
18.22,0.36999999999999744,0.029999999999997584,18.19,0.38000000000000256
,,,18.59,0.3999999999999986
,,,18.98,0.39000000000000057
,,,19.36,0.379999999999999
19.81,,0.04999999999999716,19.76,0.40000000000000213
,,,20.14,0.379999999999999
20.57,,0.019999999999999574,20.55,0.41000000000000014
20.96,0.39000000000000057,0.03999999999999915,20.92,0.370000000000001
,,,21.33,0.4099999999999966
21.73,,0.010000000000001563,21.72,0.39000000000000057
,,,22.13,0.41000000000000014
,,,22.48,0.3500000000000014
,,,22.87,0.39000000000000057
23.29,,0.03999999999999915,23.25,0.379999999999999
,,,23.65,0.3999999999999986
24.03,,0.019999999999999574,24.01,0.360000000000003
,,,24.4,0.389999999999997
24.78,,-0.00999999999999801,24.79,0.39000000000000057
,,,25.17,0.38000000000000256
25.56,,-0.010000000000001563,25.57,0.3999999999999986
25.95,0.39000000000000057,0.0,25.95,0.379999999999999
,,,26.34,0.39000000000000057
26.82,,0.08000000000000185,26.74,0.3999999999999986
27.2,0.379999999999999,0.07000000000000028,27.13,0.39000000000000057
27.54,0.33999999999999986,0.029999999999997584,27.51,0.38000000000000256
,,,27.89,0.379999999999999
,,,28.29,0.3999999999999986
,,,28.65,0.35999999999999943
29.1,,0.0400000000000027,29.06,0.41000000000000014
29.49,0.389999999999997,0.04999999999999716,29.44,0.38000000000000256
,,,29.84,0.3999999999999986
30.29,,0.0799999999999983,30.21,0.370000000000001
30.68,0.39000000000000057,0.0799999999999983,30.6,0.39000000000000057
31.01,0.33000000000000185,0.010000000000001563,31.0,0.3999999999999986
,,,31.4,0.3999999999999986
,,,31.78,0.38000000000000256
32.26,,0.0799999999999983,32.18,0.3999999999999986
32.56,0.30000000000000426,0.0,32.56,0.38000000000000256
,,,32.95,0.39000000000000057
33.33,,-0.010000000000005116,33.34,0.39000000000000057
,,,33.73,0.38999999999999346
,,,34.11,0.38000000000000256
34.46,,-0.03999999999999915,34.5,0.39000000000000057
,,,34.88,0.38000000000000256
35.24,,-0.04999999999999716,35.29,0.4099999999999966
,,,35.66,0.36999999999999744
36.05,,0.02999999999999403,36.02,0.36000000000000654
36.41,0.35999999999999943,-0.020000000000003126,36.43,0.4099999999999966
36.82,0.4100000000000037,0.0,36.82,0.39000000000000057
37.21,0.39000000000000057,-0.01999999999999602,37.23,0.4099999999999966
37.61,0.3999999999999986,-0.00999999999999801,37.62,0.39000000000000057
38.02,0.4100000000000037,0.04000000000000625,37.98,0.35999999999999943
38.44,0.4199999999999946,0.03999999999999915,38.4,0.4200000000000017
,,,38.77,0.37000000000000455
39.21,,0.020000000000003126,39.19,0.4199999999999946
39.67,0.46000000000000085,0.09000000000000341,39.58,0.39000000000000057
,,,39.98,0.3999999999999986
40.39,,0.04999999999999716,40.34,0.36000000000000654
40.82,0.4299999999999997,0.04999999999999716,40.77,0.4299999999999997
41.19,0.36999999999999744,0.03999999999999915,41.15,0.37999999999999545
41.53,0.3400000000000034,-0.00999999999999801,41.54,0.39000000000000057
,,,41.94,0.3999999999999986
42.31,,-0.01999999999999602,42.33,0.39000000000000057
42.73,0.4199999999999946,0.01999999999999602,42.71,0.38000000000000256
,,,43.09,0.38000000000000256
43.5,,0.030000000000001137,43.47,0.37999999999999545
,,,,
44.3,,0.05999999999999517,44.24,
