Tap Time,ITI,Asynchornies,Tone Time,IOI
0.47,0.22999999999999998,,,
0.75,0.28,,,
0.98,0.22999999999999998,,,
1.25,0.27,0.030000000000000027,1.22,
1.48,0.22999999999999998,0.020000000000000018,1.46,0.24
1.75,0.27,0.030000000000000027,1.72,0.26
1.99,0.24,,,
2.25,0.26,0.029999999999999805,2.22,
2.49,0.2400000000000002,,,
2.75,0.2599999999999998,0.020000000000000018,2.73,
3.01,0.2599999999999998,0.029999999999999805,2.98,0.25
,,,3.23,0.25
3.5,,0.020000000000000018,3.48,0.25
3.77,0.27,0.020000000000000018,3.75,0.27
4.01,0.23999999999999977,0.019999999999999574,3.99,0.2400000000000002
4.27,0.2599999999999998,0.019999999999999574,4.25,0.2599999999999998
4.51,0.2400000000000002,0.019999999999999574,4.49,0.2400000000000002
4.75,0.2400000000000002,0.009999999999999787,4.74,0.25
5.0,0.25,0.019999999999999574,4.98,0.2400000000000002
5.28,0.28000000000000025,0.03000000000000025,5.25,0.2699999999999996
5.5,0.21999999999999975,0.019999999999999574,5.48,0.23000000000000043
5.76,0.2599999999999998,0.019999999999999574,5.74,0.2599999999999998
6.01,0.25,0.019999999999999574,5.99,0.25
6.28,0.27000000000000046,0.040000000000000036,6.24,0.25
6.52,0.23999999999999932,0.04999999999999982,6.47,0.22999999999999954
6.76,0.2400000000000002,0.009999999999999787,6.75,0.28000000000000025
7.04,0.28000000000000025,0.04999999999999982,6.99,0.2400000000000002
7.27,0.22999999999999954,0.009999999999999787,7.26,0.2699999999999996
,,,7.49,0.23000000000000043
7.78,,0.020000000000000462,7.76,0.2699999999999996
8.02,0.23999999999999932,0.02999999999999936,7.99,0.23000000000000043
8.29,0.2699999999999996,0.03999999999999915,8.25,0.2599999999999998
8.51,0.22000000000000064,0.02999999999999936,8.48,0.23000000000000043
,,,8.75,0.2699999999999996
9.02,,0.03999999999999915,8.98,0.23000000000000043
9.27,0.25,0.02999999999999936,9.24,0.2599999999999998
9.5,0.23000000000000043,0.019999999999999574,9.48,0.2400000000000002
9.74,0.2400000000000002,0.0,9.74,0.2599999999999998
,,,9.97,0.23000000000000043
10.21,,-0.009999999999999787,10.22,0.25
,,,10.47,0.25
10.73,,0.009999999999999787,10.72,0.25
10.98,0.25,0.019999999999999574,10.96,0.2400000000000002
11.23,0.25,0.019999999999999574,11.21,0.25
,,,11.44,0.22999999999999865
11.72,,0.02000000000000135,11.7,0.2599999999999998
11.97,0.25,,,
12.21,0.2400000000000002,0.02000000000000135,12.19,
12.47,0.2599999999999998,,,
12.73,0.2599999999999998,0.040000000000000924,12.69,
,,,12.92,0.23000000000000043
,,,13.19,0.2699999999999996
,,,13.43,0.2400000000000002
,,,13.7,0.2699999999999996
,,,13.92,0.22000000000000064
,,,14.17,0.25
,,,14.42,0.25
,,,14.66,0.2400000000000002
14.94,,0.049999999999998934,14.89,0.23000000000000043
15.2,0.2599999999999998,0.03999999999999915,15.16,0.2699999999999996
15.43,0.23000000000000043,0.02999999999999936,15.4,0.2400000000000002
15.69,0.2599999999999998,0.02999999999999936,15.66,0.2599999999999998
15.93,0.2400000000000002,0.03999999999999915,15.89,0.23000000000000043
,,,16.15,0.259999999999998
16.43,,0.03999999999999915,16.39,0.240000000000002
16.69,0.26000000000000156,0.0400000000000027,16.65,0.259999999999998
16.92,0.23000000000000043,0.030000000000001137,16.89,0.240000000000002
17.17,0.25,0.020000000000003126,17.15,0.259999999999998
17.4,0.22999999999999687,0.00999999999999801,17.39,0.240000000000002
17.67,0.2700000000000031,0.0400000000000027,17.63,0.23999999999999844
17.92,0.25,0.05000000000000071,17.87,0.240000000000002
,,,18.13,0.259999999999998
