Tap Time,ITI,Asynchornies,Tone Time,IOI
0.44,0.26,,,
,,,,
0.99,,,,
1.25,0.26,0.010000000000000009,1.24,
,,,,
,,,1.78,
2.04,,,,
,,,2.31,
,,,,
2.84,,0.009999999999999787,2.83,
3.09,0.25,-0.010000000000000231,3.1,0.27
,,,,
,,,,
3.9,,0.029999999999999805,3.87,
4.12,0.2200000000000002,,,
4.39,0.2699999999999996,-0.020000000000000462,4.41,
4.65,0.2600000000000007,,,
,,,4.93,
5.19,,,,
5.47,0.27999999999999936,0.040000000000000036,5.43,
,,,5.71,0.28000000000000025
5.98,,0.010000000000000675,5.97,0.2599999999999998
6.24,0.2599999999999998,,,
6.53,0.29000000000000004,0.040000000000000036,6.49,
6.75,0.21999999999999975,,,
7.02,0.2699999999999996,0.0,7.02,
7.29,0.27000000000000046,,,
,,,7.55,
,,,7.82,0.27000000000000046
8.07,,,,
8.29,0.21999999999999886,,,
,,,8.57,
,,,,
9.1,,0.009999999999999787,9.09,
9.38,0.28000000000000114,,,
9.62,0.23999999999999844,0.0,9.62,
,,,,
10.16,,0.02999999999999936,10.13,
10.43,0.2699999999999996,,,
,,,10.65,
,,,,
,,,11.16,
11.45,,,,
11.67,0.22000000000000064,0.0,11.67,
,,,11.94,0.2699999999999996
,,,12.19,0.25
12.47,,,,
12.71,0.2400000000000002,0.010000000000001563,12.7,
,,,,
,,,13.2,
13.46,,,,
13.69,0.22999999999999865,-0.030000000000001137,13.72,
,,,,
,,,14.22,
14.49,,,,
14.75,0.2599999999999998,0.0,14.75,
,,,,
15.31,,0.0600000000000005,15.25,
15.53,0.21999999999999886,,,
15.81,0.28000000000000114,0.040000000000000924,15.77,
,,,16.04,0.2699999999999996
16.29,,-0.010000000000001563,16.3,0.26000000000000156
16.57,0.28000000000000114,,,
16.85,0.28000000000000114,,,
17.04,0.18999999999999773,,,
17.32,0.28000000000000114,,,
17.59,0.2699999999999996,0.030000000000001137,17.56,
17.86,0.2699999999999996,0.030000000000001137,17.83,0.2699999999999996
18.12,0.26000000000000156,0.010000000000001563,18.11,0.28000000000000114
18.36,0.23999999999999844,0.0,18.36,0.25
18.63,0.2699999999999996,-0.010000000000001563,18.64,0.28000000000000114
18.89,0.26000000000000156,,,
,,,,
,,,19.4,
19.68,,,,
19.94,0.26000000000000156,0.0400000000000027,19.9,
20.18,0.23999999999999844,,,
20.46,0.28000000000000114,0.019999999999999574,20.44,
20.69,0.23000000000000043,,,
20.99,0.29999999999999716,0.019999999999999574,20.97,
21.23,0.240000000000002,,,
,,,21.48,
21.77,,0.030000000000001137,21.74,0.259999999999998
22.02,0.25,0.019999999999999574,22.0,0.26000000000000156
22.28,0.26000000000000156,0.019999999999999574,22.26,0.26000000000000156
22.56,0.2799999999999976,0.03999999999999915,22.52,0.259999999999998
22.79,0.23000000000000043,,,
,,,23.05,
,,,,
,,,23.54,
23.81,,,,
24.08,0.2699999999999996,0.019999999999999574,24.06,
,,,24.34,0.28000000000000114
24.67,,0.05000000000000071,24.62,0.28000000000000114
24.87,0.1999999999999993,,,
25.16,0.28999999999999915,0.019999999999999574,25.14,
,,,,
25.68,,0.03999999999999915,25.64,
25.89,0.21000000000000085,,,
,,,26.17,
26.47,,,,
26.67,0.20000000000000284,0.010000000000001563,26.66,
,,,26.94,0.28000000000000114
,,,27.18,0.23999999999999844
27.43,,,,
,,,27.68,
27.98,,0.030000000000001137,27.95,0.2699999999999996
