Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
1.09,,0.030000000000000027,1.06,
,,,,
1.85,,0.040000000000000036,1.81,
,,,,
2.62,,0.040000000000000036,2.58,
3.09,0.46999999999999975,,,
,,,,
3.89,,,,
,,,,
,,,,
5.13,,,,
5.54,0.41000000000000014,-0.019999999999999574,5.56,
5.95,0.41000000000000014,,,
6.37,0.41999999999999993,0.04999999999999982,6.32,
,,,,
,,,,
7.58,,,,
7.98,0.40000000000000036,,,
,,,,
8.84,,,,
,,,9.3,
,,,,
10.08,,0.02999999999999936,10.05,
,,,,
10.85,,0.03999999999999915,10.81,
,,,,
11.58,,0.0,11.58,
,,,11.95,0.3699999999999992
12.36,,0.03999999999999915,12.32,0.370000000000001
,,,,
13.11,,0.049999999999998934,13.06,
,,,,
13.85,,0.02999999999999936,13.82,
,,,,
14.61,,0.02999999999999936,14.58,
15.11,0.5,,,
,,,,
15.85,,,,
,,,,
16.61,,,,
17.06,0.4499999999999993,,,
,,,,
17.87,,,,
18.36,0.48999999999999844,0.030000000000001137,18.33,
,,,,
19.12,,0.0400000000000027,19.08,
,,,,
19.87,,0.030000000000001137,19.84,
,,,,
20.62,,0.010000000000001563,20.61,
,,,,
21.44,,0.08999999999999986,21.35,
,,,,
,,,,
22.63,,-0.010000000000001563,22.64,
23.05,0.4200000000000017,,,
,,,,
23.9,,,,
,,,24.39,
,,,,
25.19,,0.030000000000001137,25.16,
,,,,
25.97,,0.05999999999999872,25.91,
,,,,
26.7,,0.019999999999999574,26.68,
,,,,
27.45,,0.03999999999999915,27.41,
,,,,
28.23,,0.03999999999999915,28.19,
28.62,0.39000000000000057,,,
28.99,0.36999999999999744,0.05999999999999872,28.93,
,,,,
,,,,
,,,30.25,
,,,,
31.04,,,,
31.51,0.4700000000000024,,,
31.91,0.3999999999999986,-0.05000000000000071,31.96,
32.33,0.41999999999999815,,,
32.7,0.37000000000000455,-0.01999999999999602,32.72,
33.15,0.44999999999999574,,,
33.54,0.39000000000000057,,,
33.9,0.35999999999999943,,,
34.31,0.4100000000000037,0.0800000000000054,34.23,
34.68,0.36999999999999744,,,
35.04,0.35999999999999943,0.060000000000002274,34.98,
35.47,0.4299999999999997,,,
35.82,0.3500000000000014,0.060000000000002274,35.76,
36.21,0.39000000000000057,-0.10000000000000142,36.31,0.5500000000000043
36.61,0.3999999999999986,,,
36.98,0.36999999999999744,,,
37.36,0.38000000000000256,,,
