Tap Time,ITI,Asynchornies,Tone Time,IOI
0.33,0.32,0.010000000000000009,0.32,0.31
0.67,0.34,0.020000000000000018,0.65,0.33
0.97,0.29999999999999993,-0.030000000000000027,1.0,0.35
1.38,0.4099999999999999,0.04999999999999982,1.33,0.33000000000000007
,,,1.69,0.3599999999999999
2.08,,0.06000000000000005,2.02,0.33000000000000007
,,,2.38,0.3599999999999999
,,,2.71,0.33000000000000007
3.05,,-0.010000000000000231,3.06,0.3500000000000001
3.37,0.3200000000000003,-0.009999999999999787,3.38,0.31999999999999984
3.74,0.3700000000000001,0.0,3.74,0.3600000000000003
4.06,0.3199999999999994,-0.03000000000000025,4.09,0.34999999999999964
,,,,
4.75,,0.019999999999999574,4.73,
5.07,0.3200000000000003,0.0,5.07,0.33999999999999986
5.41,0.33999999999999986,0.0,5.41,0.33999999999999986
5.75,0.33999999999999986,-0.009999999999999787,5.76,0.34999999999999964
6.1,0.34999999999999964,0.0,6.1,0.33999999999999986
6.45,0.35000000000000053,0.0,6.45,0.35000000000000053
6.77,0.3199999999999994,-0.020000000000000462,6.79,0.33999999999999986
7.14,0.3700000000000001,0.009999999999999787,7.13,0.33999999999999986
7.47,0.33000000000000007,0.0,7.47,0.33999999999999986
7.81,0.33999999999999986,0.019999999999999574,7.79,0.3200000000000003
8.15,0.34000000000000075,0.009999999999999787,8.14,0.35000000000000053
,,,8.49,0.34999999999999964
8.83,,0.019999999999999574,8.81,0.3200000000000003
,,,9.18,0.3699999999999992
9.47,,-0.02999999999999936,9.5,0.3200000000000003
9.83,0.35999999999999943,0.0,9.83,0.33000000000000007
10.14,0.3100000000000005,-0.049999999999998934,10.19,0.35999999999999943
,,,10.5,0.3100000000000005
10.82,,0.0,10.82,0.3200000000000003
,,,,
11.54,,0.03999999999999915,11.5,
,,,,
,,,12.18,
,,,12.51,0.33000000000000007
12.84,,-0.009999999999999787,12.85,0.33999999999999986
13.19,0.34999999999999964,0.009999999999999787,13.18,0.33000000000000007
13.5,0.3100000000000005,-0.019999999999999574,13.52,0.33999999999999986
13.87,0.3699999999999992,0.019999999999999574,13.85,0.33000000000000007
14.2,0.33000000000000007,0.0,14.2,0.34999999999999964
14.56,0.3600000000000012,0.030000000000001137,14.53,0.33000000000000007
,,,14.87,0.33999999999999986
15.22,,0.030000000000001137,15.19,0.3200000000000003
15.53,0.3099999999999987,-0.02000000000000135,15.55,0.3600000000000012
15.87,0.33999999999999986,-0.010000000000001563,15.88,0.33000000000000007
16.2,0.33000000000000007,-0.030000000000001137,16.23,0.34999999999999964
,,,16.57,0.33999999999999986
16.87,,-0.05000000000000071,16.92,0.3500000000000014
17.22,0.34999999999999787,-0.0400000000000027,17.26,0.33999999999999986
17.56,0.33999999999999986,-0.030000000000001137,17.59,0.3299999999999983
17.93,0.370000000000001,-0.019999999999999574,17.95,0.35999999999999943
,,,18.27,0.3200000000000003
18.61,,0.03999999999999915,18.57,0.3000000000000007
18.94,0.33000000000000185,0.010000000000001563,18.93,0.35999999999999943
,,,19.26,0.33000000000000185
19.6,,-0.029999999999997584,19.63,0.36999999999999744
19.93,0.3299999999999983,-0.019999999999999574,19.95,0.3200000000000003
20.24,0.3099999999999987,-0.0400000000000027,20.28,0.33000000000000185
20.6,0.360000000000003,0.0,20.6,0.3200000000000003
20.94,0.33999999999999986,0.0,20.94,0.33999999999999986
,,,,
21.62,,0.010000000000001563,21.61,
,,,21.95,0.33999999999999986
22.28,,-0.00999999999999801,22.29,0.33999999999999986
22.61,0.3299999999999983,0.0,22.61,0.3200000000000003
22.94,0.33000000000000185,0.0,22.94,0.33000000000000185
23.28,0.33999999999999986,0.010000000000001563,23.27,0.3299999999999983
23.62,0.33999999999999986,0.0,23.62,0.3500000000000014
23.96,0.33999999999999986,0.0,23.96,0.33999999999999986
24.3,0.33999999999999986,0.0,24.3,0.33999999999999986
24.63,0.3299999999999983,0.0,24.63,0.3299999999999983
24.96,0.33000000000000185,-0.019999999999999574,24.98,0.3500000000000014
,,,25.3,0.3200000000000003
25.64,,0.0,25.64,0.33999999999999986
25.94,0.3000000000000007,,,
26.26,0.3200000000000003,-0.029999999999997584,26.29,
26.61,0.34999999999999787,,,
26.92,0.3100000000000023,0.0,26.92,
,,,27.24,0.31999999999999673
27.6,,0.0,27.6,0.360000000000003
27.92,0.3200000000000003,0.020000000000003126,27.9,0.29999999999999716
28.25,0.3299999999999983,-0.010000000000001563,28.26,0.360000000000003
28.65,0.3999999999999986,0.08999999999999986,28.56,0.29999999999999716
28.91,0.26000000000000156,-0.019999999999999574,28.93,0.370000000000001
,,,,
29.6,,0.0400000000000027,29.56,
29.94,0.33999999999999986,0.060000000000002274,29.88,0.3200000000000003
30.22,0.2799999999999976,,,
30.55,0.33000000000000185,0.0,30.55,
30.85,0.3000000000000007,-0.03999999999999915,30.89,0.33999999999999986
31.22,0.36999999999999744,0.0,31.22,0.3299999999999983
,,,31.56,0.33999999999999986
31.89,,0.010000000000001563,31.88,0.3200000000000003
,,,32.22,0.33999999999999986
32.56,,,,
32.89,0.3299999999999983,,,
33.22,0.3299999999999983,0.01999999999999602,33.2,
33.55,0.3299999999999983,0.01999999999999602,33.53,0.3299999999999983
33.86,0.3100000000000023,0.00999999999999801,33.85,0.3200000000000003
34.19,0.3299999999999983,0.00999999999999801,34.18,0.3299999999999983
,,,34.51,0.3299999999999983
34.84,,0.010000000000005116,34.83,0.3200000000000003
,,,,
35.5,,0.0,35.5,
35.84,0.3400000000000034,0.010000000000005116,35.83,0.3299999999999983
36.16,0.3199999999999932,0.0,36.16,0.3299999999999983
36.48,0.3200000000000003,-0.010000000000005116,36.49,0.3300000000000054
36.83,0.3500000000000014,0.01999999999999602,36.81,0.3200000000000003
37.16,0.3299999999999983,0.00999999999999801,37.15,0.3399999999999963
37.51,0.3500000000000014,0.0,37.51,0.35999999999999943
37.86,0.3500000000000014,0.03999999999999915,37.82,0.3100000000000023
38.17,0.3100000000000023,-0.00999999999999801,38.18,0.35999999999999943
38.52,0.3500000000000014,,,
38.82,0.29999999999999716,-0.00999999999999801,38.83,
,,,39.16,0.3299999999999983
39.49,,-0.00999999999999801,39.5,0.3400000000000034
39.84,0.3500000000000014,0.020000000000003126,39.82,0.3200000000000003
40.15,0.30999999999999517,-0.00999999999999801,40.16,0.3399999999999963
,,,,
40.84,,0.030000000000001137,40.81,
,,,41.13,0.3200000000000003
41.47,,0.00999999999999801,41.46,0.3299999999999983
41.82,0.3500000000000014,0.020000000000003126,41.8,0.3399999999999963
42.12,0.29999999999999716,,,
42.46,0.3400000000000034,,,
,,,,
,,,43.14,
43.43,,-0.00999999999999801,43.44,0.29999999999999716
43.78,0.3500000000000014,-0.01999999999999602,43.8,0.35999999999999943
,,,44.13,0.3300000000000054
44.45,,,,
44.75,0.29999999999999716,0.00999999999999801,44.74,
,,,45.13,0.39000000000000057
45.39,,0.0,45.39,0.259999999999998
,,,45.75,0.35999999999999943
46.05,,-0.04000000000000625,46.09,0.3400000000000034
46.41,0.35999999999999943,,,
46.68,0.2700000000000031,-0.03999999999999915,46.72,
,,,47.05,0.3299999999999983
47.38,,-0.03999999999999915,47.42,0.37000000000000455
,,,47.74,0.3200000000000003
,,,48.1,0.35999999999999943
48.44,,0.0,48.44,0.3399999999999963
48.75,0.3100000000000023,-0.00999999999999801,48.76,0.3200000000000003
49.09,0.3400000000000034,-0.00999999999999801,49.1,0.3400000000000034
,,,49.44,0.3399999999999963
49.76,,-0.030000000000001137,49.79,0.3500000000000014
50.09,0.3300000000000054,-0.01999999999999602,50.11,0.3200000000000003
50.44,0.3499999999999943,-0.020000000000003126,50.46,0.3500000000000014
,,,50.77,0.3100000000000023
51.11,,-0.020000000000003126,51.13,0.35999999999999943
51.43,0.3200000000000003,-0.030000000000001137,51.46,0.3299999999999983
51.79,0.35999999999999943,-0.00999999999999801,51.8,0.3399999999999963
52.1,0.3100000000000023,-0.01999999999999602,52.12,0.3200000000000003
52.44,0.3399999999999963,-0.03999999999999915,52.48,0.35999999999999943
52.76,0.3200000000000003,-0.020000000000003126,52.78,0.30000000000000426
53.1,0.3400000000000034,,,
