Tap Time,ITI,Asynchornies,Tone Time,IOI
0.25,,0.0,0.25,
0.51,0.26,-0.010000000000000009,0.52,0.27
0.78,0.27,0.0,0.78,0.26
1.06,0.28,0.010000000000000009,1.05,0.27
1.33,0.27,0.030000000000000027,1.3,0.25
1.59,0.26,0.010000000000000009,1.58,0.28
1.86,0.27,0.020000000000000018,1.84,0.26
2.13,0.2699999999999998,0.0,2.13,0.2899999999999998
2.4,0.27,0.020000000000000018,2.38,0.25
2.68,0.28000000000000025,0.020000000000000018,2.66,0.28000000000000025
2.95,0.27,0.03000000000000025,2.92,0.2599999999999998
3.26,0.3099999999999996,0.05999999999999961,3.2,0.28000000000000025
3.47,0.2100000000000004,0.010000000000000231,3.46,0.2599999999999998
3.74,0.27,0.010000000000000231,3.73,0.27
4.0,0.2599999999999998,0.009999999999999787,3.99,0.26000000000000023
4.29,0.29000000000000004,0.03000000000000025,4.26,0.2699999999999996
4.54,0.25,0.009999999999999787,4.53,0.27000000000000046
4.82,0.28000000000000025,0.010000000000000675,4.81,0.27999999999999936
5.07,0.25,0.0,5.07,0.2600000000000007
5.34,0.2699999999999996,0.0,5.34,0.2699999999999996
5.6,0.2599999999999998,0.0,5.6,0.2599999999999998
5.88,0.28000000000000025,0.0,5.88,0.28000000000000025
6.15,0.27000000000000046,0.020000000000000462,6.13,0.25
6.43,0.27999999999999936,0.009999999999999787,6.42,0.29000000000000004
6.69,0.2600000000000007,0.020000000000000462,6.67,0.25
6.96,0.2699999999999996,0.009999999999999787,6.95,0.28000000000000025
7.22,0.2599999999999998,0.019999999999999574,7.2,0.25
7.49,0.27000000000000046,0.009999999999999787,7.48,0.28000000000000025
7.74,0.25,0.009999999999999787,7.73,0.25
8.0,0.2599999999999998,0.0,8.0,0.2699999999999996
8.27,0.2699999999999996,0.009999999999999787,8.26,0.2599999999999998
8.54,0.2699999999999996,0.0,8.54,0.27999999999999936
8.82,0.28000000000000114,0.030000000000001137,8.79,0.25
9.08,0.2599999999999998,0.009999999999999787,9.07,0.28000000000000114
9.34,0.2599999999999998,0.019999999999999574,9.32,0.25
9.61,0.2699999999999996,0.009999999999999787,9.6,0.27999999999999936
9.87,0.2599999999999998,0.009999999999999787,9.86,0.2599999999999998
10.14,0.27000000000000135,0.0,10.14,0.28000000000000114
10.4,0.2599999999999998,0.009999999999999787,10.39,0.25
10.68,0.27999999999999936,0.009999999999999787,10.67,0.27999999999999936
10.95,0.2699999999999996,0.02999999999999936,10.92,0.25
11.21,0.26000000000000156,0.010000000000001563,11.2,0.27999999999999936
11.47,0.2599999999999998,0.02000000000000135,11.45,0.25
11.74,0.2699999999999996,0.009999999999999787,11.73,0.28000000000000114
12.0,0.2599999999999998,0.019999999999999574,11.98,0.25
12.28,0.27999999999999936,0.019999999999999574,12.26,0.27999999999999936
12.54,0.2599999999999998,0.019999999999999574,12.52,0.2599999999999998
12.81,0.27000000000000135,0.02000000000000135,12.79,0.2699999999999996
13.08,0.2699999999999996,0.040000000000000924,13.04,0.25
13.34,0.2599999999999998,0.009999999999999787,13.33,0.2900000000000009
13.59,0.25,0.009999999999999787,13.58,0.25
13.85,0.2599999999999998,0.009999999999999787,13.84,0.2599999999999998
14.12,0.2699999999999996,0.02999999999999936,14.09,0.25
14.39,0.27000000000000135,0.009999999999999787,14.38,0.2900000000000009
14.65,0.2599999999999998,0.009999999999999787,14.64,0.2599999999999998
14.9,0.25,-0.019999999999999574,14.92,0.27999999999999936
15.18,0.27999999999999936,0.009999999999999787,15.17,0.25
15.45,0.2699999999999996,-0.010000000000001563,15.46,0.2900000000000009
15.71,0.26000000000000156,0.0,15.71,0.25
15.97,0.2599999999999998,-0.019999999999999574,15.99,0.27999999999999936
16.23,0.2599999999999998,-0.00999999999999801,16.24,0.24999999999999822
16.48,0.25,-0.03999999999999915,16.52,0.28000000000000114
16.76,0.28000000000000114,-0.00999999999999801,16.77,0.25
