Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.3,0.29
,,,0.58,0.27999999999999997
0.8,,,,
1.05,0.25,-0.030000000000000027,1.08,
1.3,0.25,-0.020000000000000018,1.32,0.24
1.57,0.27,,,
1.8,0.22999999999999998,-0.040000000000000036,1.84,
2.05,0.24999999999999978,,,
2.31,0.26000000000000023,-0.020000000000000018,2.33,
,,,2.62,0.29000000000000004
,,,2.88,0.2599999999999998
,,,3.26,0.3799999999999999
,,,3.5,0.2400000000000002
3.83,,0.050000000000000266,3.78,0.2799999999999998
4.07,0.2400000000000002,0.03000000000000025,4.04,0.26000000000000023
4.32,0.25,,,
4.59,0.2699999999999996,,,
4.77,0.17999999999999972,-0.020000000000000462,4.79,
5.09,0.3200000000000003,-0.0600000000000005,5.15,0.3600000000000003
,,,5.39,0.23999999999999932
,,,,
,,,5.89,
,,,6.16,0.27000000000000046
6.45,,0.009999999999999787,6.44,0.28000000000000025
,,,6.68,0.23999999999999932
6.92,,-0.03000000000000025,6.95,0.27000000000000046
,,,7.21,0.2599999999999998
,,,7.45,0.2400000000000002
7.66,,,,
7.91,0.25,-0.03000000000000025,7.94,
,,,8.2,0.2599999999999989
,,,,
,,,8.7,
8.95,,0.019999999999999574,8.93,0.23000000000000043
,,,,
,,,,
9.83,,-0.02999999999999936,9.86,
10.1,0.2699999999999996,-0.019999999999999574,10.12,0.2599999999999998
10.35,0.25,-0.019999999999999574,10.37,0.25
10.6,0.25,-0.009999999999999787,10.61,0.2400000000000002
,,,10.88,0.27000000000000135
,,,11.13,0.25
,,,11.4,0.2699999999999996
,,,11.64,0.2400000000000002
,,,11.89,0.25
12.23,,0.07000000000000028,12.16,0.2699999999999996
,,,,
,,,12.75,
13.02,,0.009999999999999787,13.01,0.2599999999999998
,,,13.25,0.2400000000000002
13.48,,,,
,,,13.79,
14.08,,0.05000000000000071,14.03,0.2400000000000002
,,,14.29,0.2599999999999998
14.56,,-0.019999999999999574,14.58,0.2900000000000009
14.92,0.35999999999999943,,,
15.14,0.22000000000000064,0.030000000000001137,15.11,
,,,15.39,0.28000000000000114
15.62,,,,
,,,15.86,
16.08,,,,
16.4,0.3200000000000003,0.04999999999999716,16.35,
,,,16.62,0.2699999999999996
16.89,,-0.00999999999999801,16.9,0.2799999999999976
17.16,0.2699999999999996,0.030000000000001137,17.13,0.23000000000000043
,,,17.41,0.28000000000000114
17.7,,0.03999999999999915,17.66,0.25
17.97,0.2699999999999996,,,
18.21,0.240000000000002,0.05000000000000071,18.16,
,,,18.41,0.25
18.62,,-0.029999999999997584,18.65,0.23999999999999844
18.96,0.33999999999999986,0.03999999999999915,18.92,0.2700000000000031
19.21,0.25,,,
19.56,0.34999999999999787,0.03999999999999915,19.52,
,,,19.77,0.25
20.02,,,,
,,,20.26,
,,,20.5,0.23999999999999844
,,,20.84,0.33999999999999986
,,,21.08,0.23999999999999844
,,,21.36,0.28000000000000114
21.56,,0.0,21.56,0.1999999999999993
21.82,0.26000000000000156,0.010000000000001563,21.81,0.25
,,,22.06,0.25
22.38,,,,
,,,22.56,
22.82,,0.010000000000001563,22.81,0.25
,,,23.05,0.240000000000002
23.38,,,,
23.64,0.26000000000000156,-0.05000000000000071,23.69,
,,,23.96,0.2699999999999996
,,,24.23,0.2699999999999996
24.46,,0.010000000000001563,24.45,0.21999999999999886
24.68,0.21999999999999886,-0.05999999999999872,24.74,0.28999999999999915
,,,24.97,0.23000000000000043
,,,25.23,0.26000000000000156
25.54,,0.05000000000000071,25.49,0.259999999999998
25.74,0.1999999999999993,0.019999999999999574,25.72,0.23000000000000043
26.1,0.360000000000003,0.0400000000000027,26.06,0.33999999999999986
26.29,0.18999999999999773,,,
,,,26.57,
26.86,,0.030000000000001137,26.83,0.259999999999998
27.14,0.28000000000000114,0.07000000000000028,27.07,0.240000000000002
,,,27.34,0.2699999999999996
27.61,,0.00999999999999801,27.6,0.26000000000000156
,,,27.86,0.259999999999998
,,,28.12,0.26000000000000156
,,,28.37,0.25
28.64,,0.05000000000000071,28.59,0.21999999999999886
,,,28.85,0.26000000000000156
29.08,,-0.030000000000001137,29.11,0.259999999999998
29.37,0.2900000000000027,-0.00999999999999801,29.38,0.2699999999999996
,,,29.62,0.240000000000002
,,,29.88,0.259999999999998
30.1,,-0.019999999999999574,30.12,0.240000000000002
,,,30.39,0.2699999999999996
30.6,,-0.019999999999999574,30.62,0.23000000000000043
,,,30.89,0.2699999999999996
,,,31.13,0.23999999999999844
,,,31.39,0.26000000000000156
31.67,,0.05000000000000071,31.62,0.23000000000000043
31.86,0.18999999999999773,,,
,,,32.13,
32.38,,-0.04999999999999716,32.43,0.29999999999999716
32.66,0.27999999999999403,,,
,,,32.91,
,,,33.16,0.25
33.49,,0.07000000000000028,33.42,0.2600000000000051
,,,33.68,0.259999999999998
,,,33.94,0.259999999999998
,,,34.2,0.2600000000000051
,,,34.46,0.259999999999998
34.74,,,,
,,,34.97,
,,,35.23,0.259999999999998
35.5,,0.00999999999999801,35.49,0.2600000000000051
,,,35.76,0.269999999999996
36.0,,,,
36.31,0.3100000000000023,0.030000000000001137,36.28,
,,,,
,,,36.78,
37.0,,-0.07000000000000028,37.07,0.28999999999999915
,,,,
37.66,,0.05999999999999517,37.6,
,,,37.87,0.269999999999996
,,,,
,,,38.37,
,,,38.63,0.2600000000000051
38.95,,,,
,,,39.28,
,,,39.52,0.240000000000002
,,,,
,,,40.07,
,,,40.32,0.25
,,,40.58,0.259999999999998
40.89,,0.04999999999999716,40.84,0.2600000000000051
41.07,0.17999999999999972,-0.030000000000001137,41.1,0.259999999999998
41.4,0.3299999999999983,,,
,,,,
,,,41.87,
42.15,,0.00999999999999801,42.14,0.2700000000000031
,,,42.43,0.28999999999999915
,,,42.67,0.240000000000002
,,,42.91,0.23999999999999488
43.24,,0.060000000000002274,43.18,0.2700000000000031
,,,43.44,0.259999999999998
,,,43.7,0.2600000000000051
43.95,,0.0,43.95,0.25
,,,44.21,0.259999999999998
,,,44.47,0.259999999999998
,,,44.72,0.25
45.03,,0.05000000000000426,44.98,0.259999999999998
45.25,0.21999999999999886,,,
45.5,0.25,,,
,,,,
,,,46.01,
,,,46.24,0.23000000000000398
,,,46.53,0.28999999999999915
46.81,,0.05000000000000426,46.76,0.22999999999999687
,,,47.02,0.2600000000000051
47.3,,0.0,47.3,0.27999999999999403
,,,47.54,0.240000000000002
,,,47.8,0.259999999999998
,,,48.09,0.29000000000000625
,,,48.42,0.3299999999999983
48.66,,-0.020000000000003126,48.68,0.259999999999998
49.0,0.3400000000000034,0.060000000000002274,48.94,0.259999999999998
,,,49.21,0.2700000000000031
,,,49.46,0.25
,,,49.72,0.259999999999998
50.02,,,,
,,,,
,,,50.64,
50.86,,-0.020000000000003126,50.88,0.240000000000002
,,,,
51.47,,-0.020000000000003126,51.49,
51.75,0.28000000000000114,0.0,51.75,0.259999999999998
52.08,0.3299999999999983,0.05999999999999517,52.02,0.2700000000000031
,,,52.25,0.22999999999999687
52.63,,,,
52.86,0.22999999999999687,-0.030000000000001137,52.89,
,,,53.17,0.28000000000000114
53.38,,-0.0799999999999983,53.46,0.28999999999999915
53.65,0.269999999999996,-0.00999999999999801,53.66,0.19999999999999574
,,,53.9,0.240000000000002
,,,54.16,0.259999999999998
54.46,,,,
,,,54.69,
,,,54.95,0.2600000000000051
55.21,,0.00999999999999801,55.2,0.25
,,,55.44,0.23999999999999488
,,,55.7,0.2600000000000051
56.01,,0.05999999999999517,55.95,0.25
56.23,0.21999999999999886,0.01999999999999602,56.21,0.259999999999998
,,,56.48,0.269999999999996
,,,56.72,0.240000000000002
57.01,,0.04999999999999716,56.96,0.240000000000002
,,,,
57.53,,0.060000000000002274,57.47,
57.76,0.22999999999999687,0.00999999999999801,57.75,0.28000000000000114
57.98,0.21999999999999886,-0.04000000000000625,58.02,0.2700000000000031
58.27,0.29000000000000625,0.010000000000005116,58.26,0.23999999999999488
,,,58.51,0.25
,,,58.76,0.25
59.06,,0.020000000000003126,59.04,0.28000000000000114
,,,59.33,0.28999999999999915
,,,59.55,0.21999999999999886
,,,59.8,0.25
,,,60.06,0.2600000000000051
,,,60.32,0.259999999999998
60.57,,0.0,60.57,0.25
,,,60.86,0.28999999999999915
61.07,,-0.060000000000002274,61.13,0.2700000000000031
61.36,0.28999999999999915,0.0,61.36,0.22999999999999687
61.66,0.29999999999999716,0.05999999999999517,61.6,0.240000000000002
,,,61.84,0.240000000000002
62.1,,-0.00999999999999801,62.11,0.269999999999996
,,,62.39,0.28000000000000114
,,,62.67,0.28000000000000114
62.95,,0.05000000000000426,62.9,0.22999999999999687
,,,63.16,0.259999999999998
,,,,
63.68,,,,
64.01,0.3300000000000054,0.05000000000000426,63.96,
,,,64.24,0.27999999999999403
,,,64.48,0.2400000000000091
64.77,,0.030000000000001137,64.74,0.2599999999999909
,,,65.02,0.28000000000000114
65.25,,-0.01999999999999602,65.27,0.25
,,,65.54,0.27000000000001023
,,,65.78,0.23999999999999488
,,,66.03,0.25
66.32,,-0.010000000000005116,66.33,0.29999999999999716
,,,66.57,0.23999999999999488
,,,,
67.12,,0.020000000000010232,67.1,
67.35,0.22999999999998977,-0.010000000000005116,67.36,0.2600000000000051
67.61,0.2600000000000051,-0.01999999999999602,67.63,0.269999999999996
,,,67.89,0.2600000000000051
,,,68.13,0.23999999999999488
68.44,,-0.04999999999999716,68.49,0.35999999999999943
68.73,0.29000000000000625,-0.01999999999999602,68.75,0.2600000000000051
69.07,0.3399999999999892,,,
,,,69.28,
69.56,,0.010000000000005116,69.55,0.269999999999996
69.83,0.269999999999996,0.010000000000005116,69.82,0.269999999999996
,,,70.09,0.27000000000001023
,,,,
,,,,
70.94,,-0.030000000000001137,70.97,
71.18,0.2400000000000091,-0.03999999999999204,71.22,0.25
71.52,0.3399999999999892,0.060000000000002274,71.46,0.23999999999999488
71.69,0.1700000000000017,-0.04000000000000625,71.73,0.27000000000001023
72.03,0.3400000000000034,0.060000000000002274,71.97,0.23999999999999488
,,,,
,,,72.49,
72.75,,,,
,,,73.0,
73.25,,-0.010000000000005116,73.26,0.2600000000000051
73.55,0.29999999999999716,0.009999999999990905,73.54,0.28000000000000114
,,,73.87,0.3299999999999983
74.14,,0.04000000000000625,74.1,0.22999999999998977
74.38,0.23999999999999488,-0.060000000000002274,74.44,0.3400000000000034
,,,74.63,0.18999999999999773
74.93,,0.05000000000001137,74.88,0.25
,,,75.14,0.2600000000000051
75.39,,0.010000000000005116,75.38,0.23999999999999488
75.66,0.269999999999996,0.009999999999990905,75.65,0.27000000000001023
,,,75.88,0.22999999999998977
,,,76.14,0.2600000000000051
76.39,,-0.010000000000005116,76.4,0.2600000000000051
,,,,
,,,76.88,
77.22,,0.060000000000002274,77.16,0.28000000000000114
,,,77.47,0.3100000000000023
,,,77.65,0.18000000000000682
,,,77.93,0.28000000000000114
78.27,,-0.030000000000001137,78.3,0.36999999999999034
,,,,
78.79,,-0.05999999999998806,78.85,
79.1,0.30999999999998806,-0.010000000000005116,79.11,0.2600000000000051
,,,79.36,0.25
79.59,,-0.01999999999999602,79.61,0.25
79.86,0.269999999999996,-0.01999999999999602,79.88,0.269999999999996
,,,80.14,0.2600000000000051
80.44,,,,
,,,80.65,
80.94,,,,
81.24,0.29999999999999716,,,
81.54,0.30000000000001137,0.07000000000000739,81.47,
,,,81.77,0.29999999999999716
