Tap Time,ITI,Asynchornies,Tone Time,IOI
0.31,0.26,,,
0.55,0.24000000000000005,-0.039999999999999925,0.59,
,,,0.79,0.20000000000000007
1.06,,,,
1.3,0.24,0.030000000000000027,1.27,
1.53,0.22999999999999998,0.0,1.53,0.26
,,,,
,,,2.03,
,,,,
,,,2.5,
,,,2.74,0.2400000000000002
2.96,,-0.020000000000000018,2.98,0.23999999999999977
3.21,0.25,-0.03000000000000025,3.24,0.26000000000000023
3.5,0.29000000000000004,0.040000000000000036,3.46,0.21999999999999975
,,,3.74,0.28000000000000025
,,,3.93,0.18999999999999995
4.18,,0.0,4.18,0.24999999999999956
,,,4.42,0.2400000000000002
,,,,
,,,4.91,
,,,5.14,0.22999999999999954
,,,5.38,0.2400000000000002
5.59,,,,
,,,5.83,
,,,6.07,0.2400000000000002
6.28,,-0.009999999999999787,6.29,0.21999999999999975
,,,6.55,0.2599999999999998
6.74,,-0.040000000000000036,6.78,0.23000000000000043
6.98,0.2400000000000002,-0.04999999999999982,7.03,0.25
7.23,0.25,-0.009999999999999787,7.24,0.20999999999999996
7.49,0.2599999999999998,-0.009999999999999787,7.5,0.2599999999999998
,,,7.72,0.21999999999999975
7.98,,0.0,7.98,0.2600000000000007
8.18,0.1999999999999993,-0.019999999999999574,8.2,0.21999999999999886
,,,,
8.66,,0.0,8.66,
8.9,0.2400000000000002,-0.009999999999999787,8.91,0.25
9.14,0.2400000000000002,0.0,9.14,0.23000000000000043
9.4,0.2599999999999998,0.009999999999999787,9.39,0.25
,,,9.62,0.22999999999999865
,,,9.85,0.23000000000000043
10.1,,0.019999999999999574,10.08,0.23000000000000043
,,,,
10.58,,0.019999999999999574,10.56,
,,,10.8,0.2400000000000002
11.05,,0.010000000000001563,11.04,0.23999999999999844
,,,,
11.55,,0.05000000000000071,11.5,
11.77,0.21999999999999886,0.02999999999999936,11.74,0.2400000000000002
12.01,0.2400000000000002,0.019999999999999574,11.99,0.25
,,,12.24,0.25
12.49,,0.009999999999999787,12.48,0.2400000000000002
12.73,0.2400000000000002,0.030000000000001137,12.7,0.21999999999999886
12.95,0.21999999999999886,-0.02000000000000135,12.97,0.27000000000000135
13.19,0.2400000000000002,0.009999999999999787,13.18,0.20999999999999908
13.43,0.2400000000000002,0.019999999999999574,13.41,0.23000000000000043
13.7,0.2699999999999996,0.02999999999999936,13.67,0.2599999999999998
13.95,0.25,0.03999999999999915,13.91,0.2400000000000002
14.18,0.23000000000000043,0.0,14.18,0.2699999999999996
14.41,0.23000000000000043,0.009999999999999787,14.4,0.22000000000000064
14.64,0.23000000000000043,-0.009999999999999787,14.65,0.25
14.87,0.22999999999999865,0.0,14.87,0.21999999999999886
15.12,0.25,0.009999999999999787,15.11,0.2400000000000002
15.36,0.2400000000000002,0.009999999999999787,15.35,0.2400000000000002
,,,15.61,0.2599999999999998
15.84,,,,
16.09,0.25,0.019999999999999574,16.07,
16.32,0.23000000000000043,0.010000000000001563,16.31,0.23999999999999844
,,,,
16.77,,0.0,16.77,
,,,17.01,0.240000000000002
,,,17.23,0.21999999999999886
17.45,,-0.030000000000001137,17.48,0.25
,,,17.71,0.23000000000000043
17.96,,0.010000000000001563,17.95,0.23999999999999844
,,,18.18,0.23000000000000043
18.44,,0.010000000000001563,18.43,0.25
18.68,0.23999999999999844,0.019999999999999574,18.66,0.23000000000000043
18.92,0.240000000000002,0.020000000000003126,18.9,0.23999999999999844
19.14,0.21999999999999886,0.010000000000001563,19.13,0.23000000000000043
19.4,0.259999999999998,0.019999999999999574,19.38,0.25
19.62,0.22000000000000242,0.0,19.62,0.240000000000002
19.87,0.25,,,
,,,20.08,
20.33,,0.0,20.33,0.25
20.58,0.25,0.00999999999999801,20.57,0.240000000000002
,,,,
,,,21.04,
,,,,
21.5,,-0.010000000000001563,21.51,
,,,21.75,0.23999999999999844
21.96,,-0.00999999999999801,21.97,0.21999999999999886
22.22,0.259999999999998,0.00999999999999801,22.21,0.240000000000002
22.48,0.26000000000000156,0.030000000000001137,22.45,0.23999999999999844
22.7,0.21999999999999886,0.00999999999999801,22.69,0.240000000000002
22.94,0.240000000000002,0.010000000000001563,22.93,0.23999999999999844
,,,23.17,0.240000000000002
23.38,,-0.019999999999999574,23.4,0.22999999999999687
,,,,
,,,23.86,
,,,24.1,0.240000000000002
24.35,,-0.00999999999999801,24.36,0.259999999999998
,,,,
,,,24.8,
25.05,,,,
,,,25.28,
,,,,
,,,25.75,
,,,26.0,0.25
,,,,
26.44,,-0.00999999999999801,26.45,
,,,26.7,0.25
,,,,
27.18,,0.030000000000001137,27.15,
27.42,0.240000000000002,0.060000000000002274,27.36,0.21000000000000085
27.63,0.2099999999999973,,,
27.88,0.25,0.029999999999997584,27.85,
28.11,0.23000000000000043,0.030000000000001137,28.08,0.22999999999999687
,,,28.33,0.25
28.54,,-0.019999999999999574,28.56,0.23000000000000043
28.81,0.2699999999999996,0.0,28.81,0.25
,,,29.04,0.23000000000000043
29.29,,0.0,29.29,0.25
29.51,0.22000000000000242,-0.00999999999999801,29.52,0.23000000000000043
29.78,0.2699999999999996,0.0,29.78,0.26000000000000156
30.0,0.21999999999999886,0.010000000000001563,29.99,0.2099999999999973
,,,,
30.45,,0.019999999999999574,30.43,
30.72,0.2699999999999996,0.04999999999999716,30.67,0.240000000000002
30.93,0.21000000000000085,0.0,30.93,0.259999999999998
31.16,0.23000000000000043,,,
31.35,0.19000000000000128,-0.00999999999999801,31.36,
31.63,0.2799999999999976,,,
31.87,0.240000000000002,0.030000000000001137,31.84,
,,,,
32.36,,0.030000000000001137,32.33,
32.58,0.21999999999999886,,,
32.82,0.240000000000002,0.00999999999999801,32.81,
33.07,0.25,,,
,,,33.29,
,,,33.54,0.25
33.79,,0.0,33.79,0.25
34.05,0.259999999999998,,,
34.27,0.22000000000000597,0.010000000000005116,34.26,
34.53,0.259999999999998,,,
34.74,0.21000000000000085,0.010000000000005116,34.73,
34.96,0.21999999999999886,,,
,,,35.21,
35.45,,,,
35.71,0.259999999999998,0.020000000000003126,35.69,
35.93,0.21999999999999886,,,
36.18,0.25,0.00999999999999801,36.17,
36.42,0.240000000000002,,,
36.65,0.22999999999999687,0.01999999999999602,36.63,
36.87,0.21999999999999886,,,
37.09,0.22000000000000597,-0.00999999999999801,37.1,
37.37,0.27999999999999403,,,
37.56,0.19000000000000483,-0.00999999999999801,37.57,
37.83,0.269999999999996,,,
38.06,0.23000000000000398,0.010000000000005116,38.05,
,,,,
38.52,,0.010000000000005116,38.51,
38.73,0.20999999999999375,,,
38.97,0.240000000000002,0.0,38.97,
39.23,0.259999999999998,,,
39.49,0.2600000000000051,0.03999999999999915,39.45,
39.7,0.21000000000000085,,,
39.93,0.22999999999999687,0.020000000000003126,39.91,
40.19,0.259999999999998,,,
,,,40.38,
40.63,,,,
40.87,0.23999999999999488,0.00999999999999801,40.86,
,,,41.09,0.23000000000000398
,,,41.33,0.23999999999999488
,,,41.56,0.23000000000000398
,,,41.79,0.22999999999999687
,,,42.03,0.240000000000002
42.26,,0.0,42.26,0.22999999999999687
,,,42.5,0.240000000000002
42.74,,0.010000000000005116,42.73,0.22999999999999687
42.98,0.23999999999999488,,,
,,,43.2,
43.43,,,,
,,,43.67,
43.89,,,,
44.15,0.259999999999998,0.030000000000001137,44.12,
44.35,0.20000000000000284,,,
44.58,0.22999999999999687,-0.010000000000005116,44.59,
,,,,
