Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.8,0.46
1.27,,0.010000000000000009,1.26,0.45999999999999996
1.79,0.52,,,
,,,2.2,
2.69,,,,
,,,3.15,
3.63,,0.020000000000000018,3.61,0.45999999999999996
,,,4.1,0.48999999999999977
4.6,,0.040000000000000036,4.56,0.45999999999999996
5.03,0.4300000000000006,-0.009999999999999787,5.04,0.4800000000000004
5.52,0.4899999999999993,,,
,,,5.94,
6.52,,0.08999999999999986,6.43,0.4899999999999993
,,,6.92,0.4900000000000002
7.4,,0.0,7.4,0.4800000000000004
,,,7.86,0.45999999999999996
8.35,,0.019999999999999574,8.33,0.46999999999999975
8.8,0.45000000000000107,-0.009999999999999787,8.81,0.4800000000000004
9.27,0.46999999999999886,0.0,9.27,0.4599999999999991
9.76,0.4900000000000002,0.019999999999999574,9.74,0.47000000000000064
10.2,0.4399999999999995,-0.040000000000000924,10.24,0.5
10.69,0.4900000000000002,0.02999999999999936,10.66,0.41999999999999993
,,,11.15,0.4900000000000002
11.61,,-0.02000000000000135,11.63,0.4800000000000004
12.1,0.4900000000000002,-0.019999999999999574,12.12,0.48999999999999844
12.58,0.4800000000000004,-0.03999999999999915,12.62,0.5
13.05,0.47000000000000064,0.030000000000001137,13.02,0.40000000000000036
13.53,0.47999999999999865,0.03999999999999915,13.49,0.47000000000000064
14.01,0.4800000000000004,0.049999999999998934,13.96,0.47000000000000064
14.45,0.4399999999999995,0.019999999999999574,14.43,0.46999999999999886
14.93,0.4800000000000004,0.049999999999998934,14.88,0.45000000000000107
15.4,0.47000000000000064,0.019999999999999574,15.38,0.5
,,,15.86,0.47999999999999865
,,,16.34,0.4800000000000004
16.83,,-0.010000000000001563,16.84,0.5
17.32,0.490000000000002,0.05000000000000071,17.27,0.4299999999999997
17.77,0.4499999999999993,0.00999999999999801,17.76,0.490000000000002
18.23,0.46000000000000085,0.019999999999999574,18.21,0.4499999999999993
,,,18.67,0.46000000000000085
19.19,,0.0400000000000027,19.15,0.4799999999999969
19.68,0.48999999999999844,0.03999999999999915,19.64,0.490000000000002
20.12,0.4400000000000013,0.019999999999999574,20.1,0.46000000000000085
20.63,0.509999999999998,0.029999999999997584,20.6,0.5
,,,21.03,0.4299999999999997
21.56,,0.03999999999999915,21.52,0.48999999999999844
,,,22.0,0.4800000000000004
22.48,,0.030000000000001137,22.45,0.4499999999999993
22.95,0.46999999999999886,0.03999999999999915,22.91,0.46000000000000085
23.43,0.4800000000000004,0.05000000000000071,23.38,0.46999999999999886
23.92,0.490000000000002,0.07000000000000028,23.85,0.4700000000000024
24.34,0.41999999999999815,0.010000000000001563,24.33,0.4799999999999969
24.84,0.5,0.030000000000001137,24.81,0.4800000000000004
25.32,0.4800000000000004,0.03999999999999915,25.28,0.4700000000000024
25.77,0.4499999999999993,0.030000000000001137,25.74,0.4599999999999973
,,,26.32,0.5800000000000018
26.72,,0.029999999999997584,26.69,0.370000000000001
27.18,0.46000000000000085,0.019999999999999574,27.16,0.46999999999999886
27.63,0.4499999999999993,-0.010000000000001563,27.64,0.4800000000000004
,,,28.08,0.4399999999999977
28.58,,0.029999999999997584,28.55,0.4700000000000024
29.02,0.4400000000000013,0.0,29.02,0.46999999999999886
,,,29.49,0.46999999999999886
30.0,,0.03999999999999915,29.96,0.4700000000000024
30.45,0.4499999999999993,0.029999999999997584,30.42,0.46000000000000085
30.89,0.4400000000000013,-0.00999999999999801,30.9,0.4799999999999969
,,,31.37,0.4700000000000024
31.87,,0.019999999999999574,31.85,0.4800000000000004
,,,32.34,0.490000000000002
32.8,,-0.020000000000003126,32.82,0.4799999999999969
,,,33.27,0.45000000000000284
33.74,,-0.00999999999999801,33.75,0.4799999999999969
,,,34.23,0.4799999999999969
34.69,,-0.020000000000003126,34.71,0.480000000000004
,,,35.18,0.46999999999999886
35.65,,-0.00999999999999801,35.66,0.4799999999999969
,,,36.12,0.46000000000000085
36.63,,0.020000000000003126,36.61,0.490000000000002
,,,37.07,0.46000000000000085
37.54,,0.0,37.54,0.46999999999999886
,,,37.98,0.4399999999999977
38.49,,0.030000000000001137,38.46,0.480000000000004
38.99,0.5,0.07000000000000028,38.92,0.46000000000000085
39.44,0.44999999999999574,0.00999999999999801,39.43,0.509999999999998
,,,39.87,0.4399999999999977
40.39,,,,
40.78,0.39000000000000057,-0.030000000000001137,40.81,
41.29,0.509999999999998,0.00999999999999801,41.28,0.46999999999999886
,,,41.75,0.46999999999999886
42.23,,0.01999999999999602,42.21,0.46000000000000085
,,,42.68,0.46999999999999886
43.17,,0.010000000000005116,43.16,0.4799999999999969
,,,43.61,0.45000000000000284
44.1,,0.020000000000003126,44.08,0.46999999999999886
44.58,0.4799999999999969,0.03999999999999915,44.54,0.46000000000000085
45.04,0.46000000000000085,0.01999999999999602,45.02,0.480000000000004
45.51,0.46999999999999886,0.0,45.51,0.4899999999999949
46.0,0.490000000000002,0.030000000000001137,45.97,0.46000000000000085
46.47,0.46999999999999886,0.0,46.47,0.5
46.95,0.480000000000004,0.04000000000000625,46.91,0.4399999999999977
,,,47.38,0.47000000000000597
47.86,,0.00999999999999801,47.85,0.46999999999999886
48.42,0.5600000000000023,0.09000000000000341,48.33,0.4799999999999969
48.85,0.4299999999999997,-0.0799999999999983,48.93,0.6000000000000014
49.24,0.39000000000000057,-0.03999999999999915,49.28,0.3500000000000014
49.72,0.4799999999999969,-0.09000000000000341,49.81,0.5300000000000011
50.21,0.490000000000002,-0.030000000000001137,50.24,0.4299999999999997
,,,50.72,0.4799999999999969
51.15,,-0.05000000000000426,51.2,0.480000000000004
51.64,0.490000000000002,-0.04999999999999716,51.69,0.4899999999999949
,,,52.14,0.45000000000000284
52.7,,0.010000000000005116,52.69,0.5499999999999972
53.07,0.36999999999999744,-0.020000000000003126,53.09,0.4000000000000057
53.57,0.5,0.020000000000003126,53.55,0.45999999999999375
54.05,0.4799999999999969,0.01999999999999602,54.03,0.480000000000004
54.53,0.480000000000004,,,
55.01,0.4799999999999969,-0.05000000000000426,55.06,
55.45,0.44000000000000483,0.010000000000005116,55.44,0.37999999999999545
55.91,0.45999999999999375,0.0,55.91,0.46999999999999886
56.41,0.5,0.02999999999999403,56.38,0.47000000000000597
56.86,0.45000000000000284,0.0,56.86,0.4799999999999969
57.38,0.5200000000000031,0.03999999999999915,57.34,0.480000000000004
57.84,0.46000000000000085,-0.03999999999999915,57.88,0.5399999999999991
58.31,0.46999999999999886,0.020000000000003126,58.29,0.4099999999999966
58.8,0.4899999999999949,0.02999999999999403,58.77,0.480000000000004
59.26,0.46000000000000085,-0.020000000000003126,59.28,0.509999999999998
59.72,0.46000000000000085,-0.03999999999999915,59.76,0.4799999999999969
60.19,0.46999999999999886,0.0,60.19,0.4299999999999997
60.66,0.46999999999999886,0.0,60.66,0.46999999999999886
61.14,0.480000000000004,0.00999999999999801,61.13,0.47000000000000597
61.64,0.5,0.04999999999999716,61.59,0.46000000000000085
62.08,0.4399999999999977,0.00999999999999801,62.07,0.4799999999999969
62.57,0.490000000000002,0.03999999999999915,62.53,0.46000000000000085
63.03,0.46000000000000085,0.00999999999999801,63.02,0.490000000000002
63.49,0.46000000000000085,0.0,63.49,0.46999999999999886
63.98,0.4899999999999949,0.0,63.98,0.4899999999999949
