Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.35,0.31999999999999995
0.66,,0.0,0.66,0.31000000000000005
0.96,0.29999999999999993,0.010000000000000009,0.95,0.2899999999999999
1.26,0.30000000000000004,,,
1.56,0.30000000000000004,0.0,1.56,
1.88,0.31999999999999984,-0.010000000000000009,1.89,0.32999999999999985
2.18,0.30000000000000027,0.0,2.18,0.29000000000000026
2.5,0.31999999999999984,0.009999999999999787,2.49,0.31000000000000005
2.8,0.2999999999999998,0.029999999999999805,2.77,0.2799999999999998
3.1,0.30000000000000027,,,
3.4,0.2999999999999998,0.0,3.4,
3.71,0.31000000000000005,0.0,3.71,0.31000000000000005
4.02,0.3099999999999996,,,
4.32,0.3000000000000007,0.0,4.32,
4.62,0.2999999999999998,0.020000000000000462,4.6,0.27999999999999936
4.93,0.3099999999999996,,,
5.23,0.3000000000000007,0.020000000000000462,5.21,
5.54,0.3099999999999996,0.009999999999999787,5.53,0.3200000000000003
5.83,0.29000000000000004,0.0,5.83,0.2999999999999998
6.14,0.3099999999999996,0.0,6.14,0.3099999999999996
6.45,0.3100000000000005,0.009999999999999787,6.44,0.3000000000000007
6.76,0.3099999999999996,0.009999999999999787,6.75,0.3099999999999996
7.04,0.28000000000000025,0.009999999999999787,7.03,0.28000000000000025
,,,,
7.62,,0.0,7.62,
7.92,0.2999999999999998,-0.03000000000000025,7.95,0.33000000000000007
8.21,0.2900000000000009,-0.009999999999999787,8.22,0.27000000000000046
8.53,0.3199999999999985,0.009999999999999787,8.52,0.29999999999999893
8.82,0.2900000000000009,0.009999999999999787,8.81,0.2900000000000009
9.12,0.29999999999999893,,,
9.4,0.28000000000000114,-0.009999999999999787,9.41,
9.72,0.3200000000000003,-0.009999999999999787,9.73,0.3200000000000003
10.01,0.28999999999999915,0.0,10.01,0.27999999999999936
10.32,0.3100000000000005,0.009999999999999787,10.31,0.3000000000000007
10.61,0.28999999999999915,0.009999999999999787,10.6,0.28999999999999915
10.92,0.3100000000000005,0.009999999999999787,10.91,0.3100000000000005
11.22,0.3000000000000007,,,
11.49,0.2699999999999996,-0.009999999999999787,11.5,
11.83,0.33999999999999986,0.019999999999999574,11.81,0.3100000000000005
12.11,0.27999999999999936,-0.009999999999999787,12.12,0.3099999999999987
12.41,0.3000000000000007,,,
12.72,0.3100000000000005,,,
13.0,0.27999999999999936,-0.019999999999999574,13.02,
,,,13.33,0.3100000000000005
13.62,,-0.010000000000001563,13.63,0.3000000000000007
13.94,0.3200000000000003,0.0,13.94,0.3099999999999987
14.22,0.28000000000000114,-0.009999999999999787,14.23,0.2900000000000009
14.54,0.3199999999999985,,,
14.82,0.28000000000000114,0.0,14.82,
15.14,0.3200000000000003,0.009999999999999787,15.13,0.3100000000000005
15.42,0.27999999999999936,,,
15.74,0.3200000000000003,,,
16.04,0.29999999999999893,0.019999999999999574,16.02,
16.32,0.28000000000000114,0.0,16.32,0.3000000000000007
16.62,0.3000000000000007,0.019999999999999574,16.6,0.28000000000000114
16.93,0.3099999999999987,0.00999999999999801,16.92,0.3200000000000003
17.21,0.28000000000000114,,,
17.5,0.28999999999999915,-0.010000000000001563,17.51,
17.81,0.3099999999999987,0.00999999999999801,17.8,0.28999999999999915
18.1,0.2900000000000027,-0.029999999999997584,18.13,0.3299999999999983
18.38,0.2799999999999976,0.0,18.38,0.25
18.71,0.33000000000000185,,,
19.0,0.28999999999999915,0.010000000000001563,18.99,
19.29,0.28999999999999915,,,
19.6,0.3100000000000023,0.0,19.6,
19.9,0.29999999999999716,0.0,19.9,0.29999999999999716
20.18,0.28000000000000114,-0.010000000000001563,20.19,0.2900000000000027
20.49,0.3099999999999987,,,
20.78,0.2900000000000027,0.010000000000001563,20.77,
21.09,0.3099999999999987,-0.019999999999999574,21.11,0.33999999999999986
21.4,0.3099999999999987,0.019999999999999574,21.38,0.2699999999999996
21.7,0.3000000000000007,0.029999999999997584,21.67,0.2900000000000027
22.0,0.3000000000000007,0.010000000000001563,21.99,0.31999999999999673
22.3,0.3000000000000007,0.0,22.3,0.3100000000000023
22.59,0.28999999999999915,,,
22.9,0.3099999999999987,0.00999999999999801,22.89,
23.18,0.28000000000000114,-0.010000000000001563,23.19,0.3000000000000007
23.49,0.3099999999999987,-0.010000000000001563,23.5,0.3099999999999987
23.79,0.3000000000000007,0.019999999999999574,23.77,0.2699999999999996
,,,,
24.38,,0.019999999999999574,24.36,
24.68,0.3000000000000007,0.00999999999999801,24.67,0.3100000000000023
24.97,0.28999999999999915,,,
25.27,0.3000000000000007,,,
25.55,0.28000000000000114,-0.00999999999999801,25.56,
25.87,0.3200000000000003,0.0,25.87,0.3100000000000023
26.18,0.3099999999999987,,,
,,,,
26.77,,0.030000000000001137,26.74,
27.06,0.28999999999999915,,,
27.35,0.2900000000000027,0.010000000000001563,27.34,
27.64,0.28999999999999915,-0.00999999999999801,27.65,0.3099999999999987
,,,27.93,0.28000000000000114
28.26,,,,
28.54,0.2799999999999976,0.00999999999999801,28.53,
,,,,
,,,29.14,
29.47,,,,
29.74,0.2699999999999996,-0.010000000000001563,29.75,
,,,30.06,0.3099999999999987
30.38,,0.03999999999999915,30.34,0.28000000000000114
30.66,0.28000000000000114,,,
30.96,0.3000000000000007,0.0,30.96,
31.26,0.3000000000000007,,,
31.57,0.3099999999999987,0.0,31.57,
31.87,0.3000000000000007,0.010000000000001563,31.86,0.28999999999999915
32.17,0.3000000000000007,,,
32.46,0.28999999999999915,-0.00999999999999801,32.47,
32.77,0.3100000000000023,,,
33.07,0.29999999999999716,0.020000000000003126,33.05,
33.36,0.28999999999999915,0.0,33.36,0.3100000000000023
,,,,
33.95,,-0.00999999999999801,33.96,
34.25,0.29999999999999716,-0.00999999999999801,34.26,0.29999999999999716
34.55,0.29999999999999716,0.01999999999999602,34.53,0.2700000000000031
34.86,0.3100000000000023,,,
35.12,0.259999999999998,-0.010000000000005116,35.13,
35.43,0.3100000000000023,,,
35.73,0.29999999999999716,0.01999999999999602,35.71,
36.02,0.29000000000000625,,,
,,,36.32,
36.61,,,,
36.92,0.3100000000000023,0.020000000000003126,36.9,
37.23,0.30999999999999517,0.00999999999999801,37.22,0.3200000000000003
37.51,0.28000000000000114,0.00999999999999801,37.5,0.28000000000000114
37.81,0.30000000000000426,,,
38.1,0.28999999999999915,-0.01999999999999602,38.12,
38.41,0.30999999999999517,,,
38.69,0.28000000000000114,0.0,38.69,
38.97,0.28000000000000114,,,
39.28,0.3100000000000023,-0.01999999999999602,39.3,
39.58,0.29999999999999716,0.01999999999999602,39.56,0.2600000000000051
39.91,0.3299999999999983,-0.010000000000005116,39.92,0.35999999999999943
40.2,0.29000000000000625,-0.02999999999999403,40.23,0.30999999999999517
40.51,0.30999999999999517,0.0,40.51,0.28000000000000114
40.81,0.30000000000000426,,,
41.12,0.30999999999999517,0.00999999999999801,41.11,
41.41,0.28999999999999915,-0.010000000000005116,41.42,0.3100000000000023
41.72,0.3100000000000023,-0.00999999999999801,41.73,0.30999999999999517
42.01,0.28999999999999915,-0.020000000000003126,42.03,0.30000000000000426
42.33,0.3200000000000003,0.01999999999999602,42.31,0.28000000000000114
42.64,0.3100000000000023,0.00999999999999801,42.63,0.3200000000000003
42.92,0.28000000000000114,,,
43.22,0.29999999999999716,,,
43.52,0.30000000000000426,0.010000000000005116,43.51,
43.83,0.30999999999999517,0.030000000000001137,43.8,0.28999999999999915
44.12,0.28999999999999915,0.02999999999999403,44.09,0.29000000000000625
44.41,0.28999999999999915,0.0,44.41,0.3199999999999932
44.71,0.30000000000000426,0.020000000000003126,44.69,0.28000000000000114
44.99,0.28000000000000114,-0.01999999999999602,45.01,0.3200000000000003
,,,45.29,0.28000000000000114
45.6,,-0.01999999999999602,45.62,0.3299999999999983
,,,,
46.21,,0.020000000000003126,46.19,
46.5,0.28999999999999915,0.030000000000001137,46.47,0.28000000000000114
46.8,0.29999999999999716,,,
47.1,0.30000000000000426,0.05000000000000426,47.05,
47.37,0.269999999999996,0.0,47.37,0.3200000000000003
47.66,0.28999999999999915,0.0,47.66,0.28999999999999915
47.97,0.3100000000000023,,,
48.28,0.3100000000000023,-0.00999999999999801,48.29,
48.6,0.3200000000000003,,,
48.87,0.269999999999996,-0.010000000000005116,48.88,
