Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,1.06,
1.46,,0.010000000000000009,1.45,0.3899999999999999
1.9,0.43999999999999995,0.010000000000000009,1.89,0.43999999999999995
2.31,0.41000000000000014,0.010000000000000231,2.3,0.4099999999999999
2.75,0.43999999999999995,0.020000000000000018,2.73,0.43000000000000016
3.14,0.3900000000000001,0.0,3.14,0.41000000000000014
3.56,0.41999999999999993,-0.029999999999999805,3.59,0.44999999999999973
3.97,0.41000000000000014,-0.029999999999999805,4.0,0.41000000000000014
,,,4.32,0.3200000000000003
,,,,
5.19,,0.05000000000000071,5.14,
,,,5.44,0.3000000000000007
,,,,
,,,,
,,,,
,,,7.05,
,,,,
7.82,,-0.02999999999999936,7.85,
8.21,0.39000000000000057,,,
8.64,0.4299999999999997,-0.10999999999999943,8.75,
9.06,0.41999999999999993,0.009999999999999787,9.05,0.3000000000000007
9.51,0.4499999999999993,0.02999999999999936,9.48,0.4299999999999997
,,,9.9,0.41999999999999993
10.29,,-0.02000000000000135,10.31,0.41000000000000014
10.74,0.45000000000000107,0.009999999999999787,10.73,0.41999999999999993
11.15,0.41000000000000014,-0.019999999999999574,11.17,0.4399999999999995
11.55,0.40000000000000036,0.010000000000001563,11.54,0.3699999999999992
11.95,0.3999999999999986,-0.02000000000000135,11.97,0.4300000000000015
12.36,0.41000000000000014,0.0,12.36,0.3899999999999988
12.79,0.4299999999999997,0.02999999999999936,12.76,0.40000000000000036
13.18,0.39000000000000057,-0.009999999999999787,13.19,0.4299999999999997
,,,13.61,0.41999999999999993
14.02,,0.009999999999999787,14.01,0.40000000000000036
14.44,0.41999999999999993,0.009999999999999787,14.43,0.41999999999999993
14.84,0.40000000000000036,0.0,14.84,0.41000000000000014
15.27,0.4299999999999997,0.009999999999999787,15.26,0.41999999999999993
15.67,0.40000000000000036,0.009999999999999787,15.66,0.40000000000000036
16.09,0.41999999999999993,0.010000000000001563,16.08,0.41999999999999815
16.52,0.4299999999999997,0.03999999999999915,16.48,0.40000000000000213
16.92,0.40000000000000213,0.010000000000001563,16.91,0.4299999999999997
17.34,0.41999999999999815,0.019999999999999574,17.32,0.41000000000000014
,,,17.75,0.4299999999999997
,,,18.05,0.3000000000000007
,,,18.49,0.4399999999999977
,,,,
,,,,
,,,,
,,,,
,,,20.43,
20.7,,,,
21.11,0.41000000000000014,0.00999999999999801,21.1,
21.52,0.41000000000000014,0.00999999999999801,21.51,0.41000000000000014
21.92,0.40000000000000213,-0.00999999999999801,21.93,0.41999999999999815
22.34,0.41999999999999815,-0.010000000000001563,22.35,0.4200000000000017
22.77,0.4299999999999997,0.00999999999999801,22.76,0.41000000000000014
23.18,0.41000000000000014,0.00999999999999801,23.17,0.41000000000000014
23.61,0.4299999999999997,0.03999999999999915,23.57,0.3999999999999986
23.98,0.370000000000001,0.0,23.98,0.41000000000000014
24.4,0.41999999999999815,0.00999999999999801,24.39,0.41000000000000014
24.82,0.4200000000000017,0.010000000000001563,24.81,0.41999999999999815
