Tap Time,ITI,Asynchornies,Tone Time,IOI
0.32,0.26,0.03999999999999998,0.28,
0.54,0.22000000000000003,,,
0.79,0.25,0.030000000000000027,0.76,
1.03,0.24,,,
1.25,0.21999999999999997,0.020000000000000018,1.23,
1.49,0.24,,,
1.74,0.25,,,
1.97,0.22999999999999998,,,
2.22,0.2500000000000002,,,
2.45,0.22999999999999998,,,
2.66,0.20999999999999996,0.03000000000000025,2.63,
2.9,0.23999999999999977,-0.03000000000000025,2.93,0.30000000000000027
3.11,0.20999999999999996,0.0,3.11,0.17999999999999972
3.35,0.2400000000000002,0.0,3.35,0.2400000000000002
3.6,0.25,0.020000000000000018,3.58,0.22999999999999998
3.84,0.23999999999999977,,,
4.07,0.23000000000000043,0.020000000000000462,4.05,
4.31,0.23999999999999932,,,
4.56,0.25,0.040000000000000036,4.52,
4.79,0.23000000000000043,0.03000000000000025,4.76,0.2400000000000002
5.02,0.22999999999999954,0.019999999999999574,5.0,0.2400000000000002
5.25,0.23000000000000043,0.009999999999999787,5.24,0.2400000000000002
5.48,0.23000000000000043,-0.009999999999999787,5.49,0.25
5.72,0.23999999999999932,0.009999999999999787,5.71,0.21999999999999975
5.96,0.2400000000000002,-0.009999999999999787,5.97,0.2599999999999998
6.2,0.2400000000000002,,,
6.44,0.2400000000000002,-0.009999999999999787,6.45,
6.69,0.25,0.010000000000000675,6.68,0.22999999999999954
6.92,0.22999999999999954,0.0,6.92,0.2400000000000002
7.15,0.23000000000000043,-0.019999999999999574,7.17,0.25
7.4,0.25,0.010000000000000675,7.39,0.21999999999999975
7.64,0.23999999999999932,0.019999999999999574,7.62,0.23000000000000043
7.88,0.2400000000000002,0.019999999999999574,7.86,0.2400000000000002
8.11,0.22999999999999954,0.0,8.11,0.2499999999999991
8.36,0.25,0.02999999999999936,8.33,0.22000000000000064
8.59,0.23000000000000043,0.019999999999999574,8.57,0.2400000000000002
8.83,0.2400000000000002,0.019999999999999574,8.81,0.2400000000000002
9.06,0.23000000000000043,0.009999999999999787,9.05,0.2400000000000002
9.3,0.2400000000000002,0.02000000000000135,9.28,0.22999999999999865
9.53,0.22999999999999865,0.019999999999999574,9.51,0.23000000000000043
9.77,0.2400000000000002,0.02999999999999936,9.74,0.23000000000000043
10.01,0.2400000000000002,0.019999999999999574,9.99,0.25
10.24,0.23000000000000043,0.009999999999999787,10.23,0.2400000000000002
10.48,0.2400000000000002,0.019999999999999574,10.46,0.23000000000000043
10.72,0.2400000000000002,0.02000000000000135,10.7,0.23999999999999844
10.96,0.2400000000000002,,,
11.18,0.21999999999999886,0.009999999999999787,11.17,
11.43,0.25,0.009999999999999787,11.42,0.25
11.67,0.2400000000000002,0.02999999999999936,11.64,0.22000000000000064
11.89,0.22000000000000064,0.009999999999999787,11.88,0.2400000000000002
12.14,0.25,0.02000000000000135,12.12,0.23999999999999844
12.36,0.21999999999999886,0.009999999999999787,12.35,0.23000000000000043
12.61,0.25,0.02999999999999936,12.58,0.23000000000000043
12.84,0.23000000000000043,,,
13.07,0.23000000000000043,0.009999999999999787,13.06,
13.31,0.2400000000000002,0.02000000000000135,13.29,0.22999999999999865
13.53,0.21999999999999886,0.0,13.53,0.2400000000000002
13.78,0.25,0.0,13.78,0.25
14.01,0.23000000000000043,0.009999999999999787,14.0,0.22000000000000064
14.23,0.22000000000000064,,,
14.49,0.2599999999999998,0.019999999999999574,14.47,
14.71,0.22000000000000064,,,
14.95,0.23999999999999844,0.009999999999999787,14.94,
15.19,0.2400000000000002,,,
15.42,0.23000000000000043,0.0,15.42,
15.66,0.2400000000000002,,,
15.9,0.2400000000000002,-0.009999999999999787,15.91,
,,,16.14,0.23000000000000043
16.38,,0.0,16.38,0.23999999999999844
16.61,0.23000000000000043,,,
16.86,0.25,0.00999999999999801,16.85,
17.1,0.240000000000002,,,
17.33,0.22999999999999687,0.00999999999999801,17.32,
17.57,0.240000000000002,0.019999999999999574,17.55,0.23000000000000043
17.8,0.23000000000000043,0.010000000000001563,17.79,0.23999999999999844
18.03,0.23000000000000043,,,
18.27,0.23999999999999844,0.00999999999999801,18.26,
18.49,0.21999999999999886,,,
18.73,0.240000000000002,0.0,18.73,
18.96,0.23000000000000043,,,
19.2,0.23999999999999844,0.0,19.2,
19.46,0.26000000000000156,,,
19.68,0.21999999999999886,0.00999999999999801,19.67,
19.92,0.240000000000002,,,
20.17,0.25,0.020000000000003126,20.15,
20.39,0.21999999999999886,,,
20.62,0.23000000000000043,0.0,20.62,
20.86,0.23999999999999844,,,
21.1,0.240000000000002,0.010000000000001563,21.09,
21.35,0.25,,,
21.56,0.2099999999999973,-0.010000000000001563,21.57,
21.81,0.25,,,
22.05,0.240000000000002,0.010000000000001563,22.04,
22.29,0.23999999999999844,,,
22.53,0.240000000000002,0.010000000000001563,22.52,
22.79,0.259999999999998,,,
22.99,0.1999999999999993,0.0,22.99,
23.24,0.25,,,
23.47,0.23000000000000043,0.0,23.47,
