Tap Time,ITI,Asynchornies,Tone Time,IOI
0.35,0.31,0.0,0.35,0.3
0.64,0.29000000000000004,0.020000000000000018,0.62,0.27
0.93,0.29000000000000004,0.010000000000000009,0.92,0.30000000000000004
1.22,0.2899999999999999,0.010000000000000009,1.21,0.2899999999999999
1.51,0.29000000000000004,0.010000000000000009,1.5,0.29000000000000004
1.8,0.29000000000000004,0.020000000000000018,1.78,0.28
2.07,0.2699999999999998,-0.010000000000000231,2.08,0.30000000000000004
2.38,0.31000000000000005,,,
2.66,0.28000000000000025,0.020000000000000018,2.64,
2.92,0.2599999999999998,-0.010000000000000231,2.93,0.29000000000000004
3.23,0.31000000000000005,0.040000000000000036,3.19,0.2599999999999998
3.52,0.29000000000000004,0.010000000000000231,3.51,0.31999999999999984
3.81,0.29000000000000004,0.0,3.81,0.30000000000000027
4.06,0.24999999999999956,,,
4.38,0.3200000000000003,-0.009999999999999787,4.39,
4.66,0.28000000000000025,0.0,4.66,0.27000000000000046
4.94,0.28000000000000025,,,
5.23,0.29000000000000004,0.0,5.23,
5.53,0.2999999999999998,0.0,5.53,0.2999999999999998
5.84,0.3099999999999996,0.03000000000000025,5.81,0.27999999999999936
,,,,
6.39,,0.0,6.39,
6.68,0.29000000000000004,-0.020000000000000462,6.7,0.3100000000000005
,,,6.96,0.2599999999999998
,,,,
7.53,,0.0,7.53,
7.8,0.2699999999999996,,,
,,,8.08,
8.39,,,,
,,,8.64,
,,,8.94,0.29999999999999893
9.22,,-0.02999999999999936,9.25,0.3100000000000005
,,,9.49,0.2400000000000002
9.82,,0.040000000000000924,9.78,0.28999999999999915
,,,10.08,0.3000000000000007
10.37,,0.0,10.37,0.28999999999999915
,,,10.64,0.27000000000000135
10.96,,0.030000000000001137,10.93,0.28999999999999915
11.24,0.27999999999999936,0.02999999999999936,11.21,0.28000000000000114
11.48,0.2400000000000002,0.0,11.48,0.2699999999999996
,,,,
,,,12.04,
,,,12.33,0.2900000000000009
,,,,
,,,12.91,
,,,13.2,0.28999999999999915
13.48,,,,
13.76,0.27999999999999936,0.009999999999999787,13.75,
,,,,
14.32,,-0.009999999999999787,14.33,
,,,,
14.89,,0.009999999999999787,14.88,
15.21,0.3200000000000003,0.040000000000000924,15.17,0.28999999999999915
15.5,0.28999999999999915,0.03999999999999915,15.46,0.2900000000000009
15.8,0.3000000000000007,0.040000000000000924,15.76,0.29999999999999893
16.03,0.23000000000000043,-0.04999999999999716,16.08,0.3199999999999985
,,,,
16.6,,0.0,16.6,
,,,16.91,0.3099999999999987
17.19,,0.0,17.19,0.28000000000000114
,,,,
17.77,,0.030000000000001137,17.74,
18.05,0.28000000000000114,,,
,,,18.31,
18.62,,,,
18.88,0.259999999999998,0.00999999999999801,18.87,
19.17,0.2900000000000027,0.0,19.17,0.3000000000000007
,,,19.43,0.259999999999998
19.7,,-0.030000000000001137,19.73,0.3000000000000007
20.02,0.3200000000000003,0.019999999999999574,20.0,0.2699999999999996
,,,20.28,0.28000000000000114
20.58,,0.0,20.58,0.29999999999999716
20.87,0.2900000000000027,,,
21.15,0.2799999999999976,0.029999999999997584,21.12,
21.42,0.2700000000000031,,,
21.69,0.2699999999999996,0.030000000000001137,21.66,
22.0,0.3099999999999987,0.03999999999999915,21.96,0.3000000000000007
,,,22.23,0.2699999999999996
22.54,,0.0,22.54,0.3099999999999987
22.82,0.28000000000000114,0.010000000000001563,22.81,0.2699999999999996
23.09,0.2699999999999996,,,
23.38,0.28999999999999915,0.029999999999997584,23.35,
23.65,0.2699999999999996,0.029999999999997584,23.62,0.2699999999999996
23.93,0.28000000000000114,0.030000000000001137,23.9,0.2799999999999976
24.19,0.26000000000000156,,,
24.49,0.29999999999999716,0.03999999999999915,24.45,
24.75,0.26000000000000156,0.010000000000001563,24.74,0.28999999999999915
25.01,0.26000000000000156,-0.00999999999999801,25.02,0.28000000000000114
,,,,
25.58,,0.00999999999999801,25.57,
,,,,
26.14,,0.010000000000001563,26.13,
,,,26.4,0.2699999999999996
26.69,,,,
26.96,0.2699999999999996,0.0,26.96,
,,,27.23,0.2699999999999996
27.54,,,,
27.81,0.2699999999999996,0.029999999999997584,27.78,
,,,,
28.34,,0.0,28.34,
28.62,0.28000000000000114,,,
28.9,0.2799999999999976,0.00999999999999801,28.89,
29.18,0.28000000000000114,0.00999999999999801,29.17,0.28000000000000114
29.43,0.25,0.0,29.43,0.259999999999998
29.74,0.3099999999999987,,,
30.0,0.26000000000000156,0.0,30.0,
30.29,0.28999999999999915,,,
30.57,0.28000000000000114,0.019999999999999574,30.55,
,,,30.83,0.2799999999999976
31.13,,0.019999999999999574,31.11,0.28000000000000114
31.41,0.28000000000000114,0.030000000000001137,31.38,0.2699999999999996
31.69,0.28000000000000114,0.010000000000001563,31.68,0.3000000000000007
31.95,0.259999999999998,-0.010000000000001563,31.96,0.28000000000000114
32.21,0.26000000000000156,-0.01999999999999602,32.23,0.269999999999996
32.53,0.3200000000000003,,,
32.78,0.25,-0.00999999999999801,32.79,
33.09,0.3100000000000023,0.010000000000005116,33.08,0.28999999999999915
33.37,0.27999999999999403,0.0,33.37,0.28999999999999915
33.64,0.2700000000000031,,,
33.93,0.28999999999999915,0.020000000000003126,33.91,
34.22,0.28999999999999915,0.030000000000001137,34.19,0.28000000000000114
,,,34.47,0.28000000000000114
34.77,,0.0,34.77,0.30000000000000426
35.06,0.28999999999999915,0.010000000000005116,35.05,0.27999999999999403
35.35,0.28999999999999915,,,
,,,35.6,
35.88,,0.0,35.88,0.28000000000000114
36.16,0.27999999999999403,-0.010000000000005116,36.17,0.28999999999999915
,,,,
,,,36.69,
37.0,,0.00999999999999801,36.99,0.30000000000000426
37.27,0.2700000000000031,0.0,37.27,0.28000000000000114
37.58,0.30999999999999517,0.01999999999999602,37.56,0.28999999999999915
37.86,0.28000000000000114,0.01999999999999602,37.84,0.28000000000000114
38.15,0.28999999999999915,0.00999999999999801,38.14,0.29999999999999716
38.43,0.28000000000000114,0.00999999999999801,38.42,0.28000000000000114
,,,,
38.97,,0.00999999999999801,38.96,
39.26,0.28999999999999915,0.01999999999999602,39.24,0.28000000000000114
39.53,0.2700000000000031,0.00999999999999801,39.52,0.28000000000000114
39.83,0.29999999999999716,0.01999999999999602,39.81,0.28999999999999915
40.12,0.28999999999999915,0.03999999999999915,40.08,0.269999999999996
40.4,0.28000000000000114,0.01999999999999602,40.38,0.30000000000000426
40.68,0.28000000000000114,0.020000000000003126,40.66,0.27999999999999403
,,,,
,,,41.21,
41.51,,0.00999999999999801,41.5,0.28999999999999915
41.8,0.28999999999999915,0.01999999999999602,41.78,0.28000000000000114
42.1,0.30000000000000426,0.030000000000001137,42.07,0.28999999999999915
42.37,0.269999999999996,0.00999999999999801,42.36,0.28999999999999915
42.66,0.28999999999999915,-0.04000000000000625,42.7,0.3400000000000034
42.93,0.2700000000000031,,,
43.19,0.259999999999998,-0.010000000000005116,43.2,
43.48,0.28999999999999915,-0.020000000000003126,43.5,0.29999999999999716
43.77,0.29000000000000625,-0.01999999999999602,43.79,0.28999999999999915
44.05,0.27999999999999403,0.00999999999999801,44.04,0.25
,,,44.33,0.28999999999999915
,,,44.61,0.28000000000000114
44.9,,0.00999999999999801,44.89,0.28000000000000114
45.16,0.259999999999998,-0.010000000000005116,45.17,0.28000000000000114
,,,45.44,0.269999999999996
45.72,,0.00999999999999801,45.71,0.2700000000000031
46.01,0.28999999999999915,-0.010000000000005116,46.02,0.3100000000000023
46.28,0.2700000000000031,-0.00999999999999801,46.29,0.269999999999996
46.57,0.28999999999999915,,,
,,,46.84,
47.14,,-0.00999999999999801,47.15,0.30999999999999517
47.42,0.28000000000000114,0.010000000000005116,47.41,0.259999999999998
47.69,0.269999999999996,0.0,47.69,0.28000000000000114
47.97,0.28000000000000114,,,
48.27,0.30000000000000426,0.030000000000001137,48.24,
48.53,0.259999999999998,0.020000000000003126,48.51,0.269999999999996
48.81,0.28000000000000114,,,
49.09,0.28000000000000114,0.020000000000003126,49.07,
49.36,0.269999999999996,0.00999999999999801,49.35,0.28000000000000114
,,,,
,,,49.91,
50.18,,-0.020000000000003126,50.2,0.29000000000000625
50.49,0.3100000000000023,,,
50.77,0.28000000000000114,0.010000000000005116,50.76,
51.07,0.29999999999999716,0.030000000000001137,51.04,0.28000000000000114
51.33,0.259999999999998,0.01999999999999602,51.31,0.2700000000000031
,,,51.61,0.29999999999999716
,,,51.88,0.2700000000000031
,,,52.16,0.27999999999999403
52.45,,,,
,,,52.72,
53.0,,0.0,53.0,0.28000000000000114
53.31,0.3100000000000023,,,
53.57,0.259999999999998,,,
53.83,0.259999999999998,0.00999999999999801,53.82,
54.11,0.28000000000000114,0.030000000000001137,54.08,0.259999999999998
,,,54.36,0.28000000000000114
54.68,,0.020000000000003126,54.66,0.29999999999999716
54.95,0.2700000000000031,,,
,,,,
,,,55.48,
55.72,,,,
56.01,0.28999999999999915,,,
56.26,0.25,-0.020000000000003126,56.28,
,,,,
56.77,,-0.02999999999999403,56.8,
57.09,0.3200000000000003,0.0,57.09,0.29000000000000625
57.35,0.259999999999998,0.00999999999999801,57.34,0.25
57.65,0.29999999999999716,0.00999999999999801,57.64,0.29999999999999716
57.92,0.2700000000000031,0.010000000000005116,57.91,0.269999999999996
58.2,0.28000000000000114,0.010000000000005116,58.19,0.28000000000000114
58.48,0.27999999999999403,0.02999999999999403,58.45,0.2600000000000051
58.76,0.28000000000000114,,,
59.01,0.25,0.01999999999999602,58.99,
59.3,0.28999999999999915,0.02999999999999403,59.27,0.28000000000000114
59.56,0.2600000000000051,0.020000000000003126,59.54,0.269999999999996
59.85,0.28999999999999915,0.020000000000003126,59.83,0.28999999999999915
,,,60.1,0.2700000000000031
60.37,,-0.010000000000005116,60.38,0.28000000000000114
60.66,0.28999999999999915,-0.010000000000005116,60.67,0.28999999999999915
60.94,0.28000000000000114,,,
61.24,0.30000000000000426,0.030000000000001137,61.21,
61.5,0.259999999999998,0.00999999999999801,61.49,0.28000000000000114
61.79,0.28999999999999915,0.01999999999999602,61.77,0.28000000000000114
62.07,0.28000000000000114,0.020000000000003126,62.05,0.27999999999999403
62.35,0.28000000000000114,0.020000000000003126,62.33,0.28000000000000114
62.63,0.28000000000000114,0.020000000000003126,62.61,0.28000000000000114
62.89,0.259999999999998,0.00999999999999801,62.88,0.2700000000000031
,,,,
63.4,,-0.00999999999999801,63.41,
63.68,0.28000000000000114,-0.020000000000003126,63.7,0.29000000000000625
63.96,0.28000000000000114,0.0,63.96,0.259999999999998
,,,64.25,0.28999999999999915
64.51,,-0.05999999999998806,64.57,0.3199999999999932
64.77,0.2599999999999909,-0.010000000000005116,64.78,0.21000000000000796
65.02,0.25,-0.04000000000000625,65.06,0.28000000000000114
65.32,0.29999999999999716,,,
65.62,0.30000000000001137,0.020000000000010232,65.6,
65.86,0.23999999999999488,-0.01999999999999602,65.88,0.28000000000000114
66.13,0.269999999999996,,,
66.4,0.27000000000001023,-0.01999999999999602,66.42,
66.7,0.29999999999999716,0.010000000000005116,66.69,0.269999999999996
66.99,0.28999999999999204,,,
67.27,0.28000000000000114,0.03999999999999204,67.23,
67.53,0.2600000000000051,0.01999999999999602,67.51,0.28000000000000114
67.76,0.23000000000000398,,,
68.04,0.28000000000000114,0.0,68.04,
68.32,0.2799999999999869,0.0,68.32,0.2799999999999869
68.59,0.27000000000001023,,,
68.86,0.269999999999996,0.01999999999999602,68.84,
