Tap Time,ITI,Asynchornies,Tone Time,IOI
0.42,,0.02999999999999997,0.39,0.32
0.72,0.3,,,
1.05,0.33000000000000007,0.020000000000000018,1.03,
1.35,0.30000000000000004,0.0,1.35,0.32000000000000006
1.68,0.32999999999999985,0.030000000000000027,1.65,0.2999999999999998
1.99,0.31000000000000005,0.010000000000000009,1.98,0.33000000000000007
,,,2.29,0.31000000000000005
2.63,,0.029999999999999805,2.6,0.31000000000000005
2.95,0.3200000000000003,0.03000000000000025,2.92,0.31999999999999984
3.25,0.2999999999999998,0.009999999999999787,3.24,0.3200000000000003
3.56,0.31000000000000005,0.0,3.56,0.31999999999999984
3.87,0.31000000000000005,0.0,3.87,0.31000000000000005
4.2,0.33000000000000007,0.020000000000000462,4.18,0.3099999999999996
4.5,0.2999999999999998,0.0,4.5,0.3200000000000003
,,,4.82,0.3200000000000003
5.12,,0.0,5.12,0.2999999999999998
5.44,0.3200000000000003,0.010000000000000675,5.43,0.3099999999999996
5.75,0.3099999999999996,0.0,5.75,0.3200000000000003
6.08,0.33000000000000007,0.020000000000000462,6.06,0.3099999999999996
6.38,0.2999999999999998,0.009999999999999787,6.37,0.3100000000000005
6.69,0.3100000000000005,0.020000000000000462,6.67,0.2999999999999998
6.98,0.29000000000000004,-0.02999999999999936,7.01,0.33999999999999986
7.33,0.34999999999999964,0.020000000000000462,7.31,0.2999999999999998
7.64,0.3099999999999996,0.019999999999999574,7.62,0.3100000000000005
7.96,0.3200000000000003,0.009999999999999787,7.95,0.33000000000000007
8.26,0.2999999999999998,0.0,8.26,0.3099999999999996
8.59,0.33000000000000007,0.009999999999999787,8.58,0.3200000000000003
8.89,0.3000000000000007,0.009999999999999787,8.88,0.3000000000000007
9.22,0.33000000000000007,0.030000000000001137,9.19,0.3099999999999987
9.51,0.28999999999999915,0.019999999999999574,9.49,0.3000000000000007
9.82,0.3100000000000005,0.0,9.82,0.33000000000000007
10.14,0.3200000000000003,0.009999999999999787,10.13,0.3100000000000005
10.44,0.29999999999999893,0.009999999999999787,10.43,0.29999999999999893
10.77,0.33000000000000007,0.009999999999999787,10.76,0.33000000000000007
11.09,0.3200000000000003,0.009999999999999787,11.08,0.3200000000000003
11.38,0.2900000000000009,0.0,11.38,0.3000000000000007
11.71,0.33000000000000007,0.02000000000000135,11.69,0.3099999999999987
12.02,0.3099999999999987,0.0,12.02,0.33000000000000007
12.32,0.3000000000000007,-0.009999999999999787,12.33,0.3100000000000005
12.64,0.3200000000000003,0.009999999999999787,12.63,0.3000000000000007
12.97,0.33000000000000007,0.009999999999999787,12.96,0.33000000000000007
13.27,0.29999999999999893,0.009999999999999787,13.26,0.29999999999999893
13.58,0.3100000000000005,0.009999999999999787,13.57,0.3100000000000005
13.88,0.3000000000000007,0.0,13.88,0.3100000000000005
14.21,0.33000000000000007,0.040000000000000924,14.17,0.28999999999999915
14.53,0.3199999999999985,0.05999999999999872,14.47,0.3000000000000007
,,,14.79,0.3199999999999985
15.15,,0.0600000000000005,15.09,0.3000000000000007
15.45,0.29999999999999893,0.03999999999999915,15.41,0.3200000000000003
15.74,0.2900000000000009,0.019999999999999574,15.72,0.3100000000000005
16.05,0.3100000000000005,0.010000000000001563,16.04,0.3199999999999985
16.35,0.3000000000000007,0.0,16.35,0.3100000000000023
16.67,0.3200000000000003,0.020000000000003126,16.65,0.29999999999999716
16.99,0.31999999999999673,0.019999999999999574,16.97,0.3200000000000003
17.3,0.3100000000000023,0.030000000000001137,17.27,0.3000000000000007
17.59,0.28999999999999915,0.019999999999999574,17.57,0.3000000000000007
17.93,0.33999999999999986,0.05999999999999872,17.87,0.3000000000000007
18.23,0.3000000000000007,0.05000000000000071,18.18,0.3099999999999987
18.54,0.3099999999999987,0.03999999999999915,18.5,0.3200000000000003
18.84,0.3000000000000007,,,
19.15,0.3099999999999987,0.029999999999997584,19.12,
19.46,0.3100000000000023,0.05000000000000071,19.41,0.28999999999999915
,,,,
20.04,,0.0,20.04,
20.34,0.3000000000000007,,,
20.66,0.3200000000000003,0.010000000000001563,20.65,
20.98,0.3200000000000003,,,
21.29,0.3099999999999987,0.00999999999999801,21.28,
21.6,0.3100000000000023,0.020000000000003126,21.58,0.29999999999999716
21.91,0.3099999999999987,,,
22.24,0.3299999999999983,,,
22.52,0.28000000000000114,,,
,,,,
23.15,,-0.010000000000001563,23.16,
23.5,0.3500000000000014,,,
23.76,0.26000000000000156,-0.00999999999999801,23.77,
,,,24.09,0.3200000000000003
24.4,,-0.010000000000001563,24.41,0.3200000000000003
24.73,0.33000000000000185,0.0,24.73,0.3200000000000003
25.06,0.3299999999999983,0.00999999999999801,25.05,0.3200000000000003
25.35,0.2900000000000027,,,
25.68,0.3299999999999983,-0.010000000000001563,25.69,
25.98,0.3000000000000007,-0.030000000000001137,26.01,0.3200000000000003
26.3,0.3200000000000003,-0.00999999999999801,26.31,0.29999999999999716
26.62,0.3200000000000003,,,
26.95,0.3299999999999983,0.029999999999997584,26.92,
27.27,0.3200000000000003,0.019999999999999574,27.25,0.3299999999999983
27.57,0.3000000000000007,0.010000000000001563,27.56,0.3099999999999987
