Tap Time,ITI,Asynchornies,Tone Time,IOI
0.54,,0.020000000000000018,0.52,0.39
,,,0.92,0.4
,,,1.31,0.39
1.69,,-0.010000000000000009,1.7,0.3899999999999999
,,,2.09,0.3899999999999999
,,,2.5,0.41000000000000014
,,,2.89,0.3900000000000001
,,,3.31,0.41999999999999993
,,,3.68,0.3700000000000001
,,,4.06,0.37999999999999945
,,,4.45,0.39000000000000057
4.85,,0.009999999999999787,4.84,0.3899999999999997
,,,5.21,0.3700000000000001
5.63,,0.009999999999999787,5.62,0.41000000000000014
,,,6.01,0.3899999999999997
6.41,,-0.009999999999999787,6.42,0.41000000000000014
6.81,0.39999999999999947,0.019999999999999574,6.79,0.3700000000000001
7.18,0.3700000000000001,0.009999999999999787,7.17,0.3799999999999999
,,,7.56,0.3899999999999997
7.96,,0.0,7.96,0.40000000000000036
,,,8.34,0.3799999999999999
,,,8.73,0.39000000000000057
,,,9.12,0.3899999999999988
9.51,,-0.009999999999999787,9.52,0.40000000000000036
9.93,0.41999999999999993,-0.009999999999999787,9.94,0.41999999999999993
,,,,
,,,10.69,
11.06,,-0.009999999999999787,11.07,0.3800000000000008
,,,,
11.85,,-0.009999999999999787,11.86,
,,,12.24,0.3800000000000008
12.65,,0.019999999999999574,12.63,0.39000000000000057
13.04,0.3899999999999988,0.02999999999999936,13.01,0.379999999999999
13.43,0.39000000000000057,0.02999999999999936,13.4,0.39000000000000057
,,,13.79,0.3899999999999988
14.15,,-0.03999999999999915,14.19,0.40000000000000036
,,,14.58,0.39000000000000057
14.98,,,,
15.36,0.379999999999999,0.019999999999999574,15.34,
15.73,0.370000000000001,-0.009999999999999787,15.74,0.40000000000000036
16.11,0.379999999999999,0.019999999999999574,16.09,0.34999999999999964
16.49,0.379999999999999,0.00999999999999801,16.48,0.39000000000000057
16.88,0.39000000000000057,0.029999999999997584,16.85,0.370000000000001
17.25,0.370000000000001,0.010000000000001563,17.24,0.389999999999997
17.62,0.370000000000001,0.010000000000001563,17.61,0.370000000000001
,,,17.95,0.33999999999999986
18.36,,0.0,18.36,0.41000000000000014
18.79,0.4299999999999997,0.05999999999999872,18.73,0.370000000000001
,,,19.13,0.3999999999999986
19.53,,-0.00999999999999801,19.54,0.41000000000000014
,,,19.91,0.370000000000001
20.36,,0.07000000000000028,20.29,0.379999999999999
,,,20.72,0.4299999999999997
,,,,
,,,21.44,
21.84,,0.0,21.84,0.3999999999999986
,,,22.21,0.370000000000001
,,,22.61,0.3999999999999986
,,,22.97,0.35999999999999943
23.43,,0.05000000000000071,23.38,0.41000000000000014
,,,23.75,0.370000000000001
24.11,,-0.019999999999999574,24.13,0.379999999999999
,,,24.52,0.39000000000000057
,,,24.91,0.39000000000000057
