Tap Time,ITI,Asynchornies,Tone Time,IOI
0.77,0.42000000000000004,-0.010000000000000009,0.78,0.41000000000000003
1.16,0.3899999999999999,-0.010000000000000009,1.17,0.3899999999999999
1.59,0.43000000000000016,-0.010000000000000009,1.6,0.43000000000000016
1.99,0.3999999999999999,0.020000000000000018,1.97,0.3699999999999999
2.39,0.40000000000000013,-0.009999999999999787,2.4,0.42999999999999994
2.81,0.41999999999999993,0.0,2.81,0.41000000000000014
3.22,0.41000000000000014,0.0,3.22,0.41000000000000014
3.63,0.4099999999999997,0.0,3.63,0.4099999999999997
4.04,0.41000000000000014,0.0,4.04,0.41000000000000014
,,,4.44,0.40000000000000036
4.85,,0.009999999999999787,4.84,0.39999999999999947
5.25,0.40000000000000036,0.019999999999999574,5.23,0.39000000000000057
5.65,0.40000000000000036,-0.009999999999999787,5.66,0.4299999999999997
6.05,0.39999999999999947,-0.009999999999999787,6.06,0.39999999999999947
6.47,0.41999999999999993,-0.010000000000000675,6.48,0.4200000000000008
6.87,0.40000000000000036,0.0,6.87,0.3899999999999997
7.28,0.41000000000000014,0.0,7.28,0.41000000000000014
7.69,0.41000000000000014,0.010000000000000675,7.68,0.39999999999999947
8.09,0.39999999999999947,0.0,8.09,0.41000000000000014
8.5,0.41000000000000014,0.0,8.5,0.41000000000000014
8.92,0.41999999999999993,0.0,8.92,0.41999999999999993
9.33,0.41000000000000014,-0.009999999999999787,9.34,0.41999999999999993
9.74,0.41000000000000014,-0.009999999999999787,9.75,0.41000000000000014
10.14,0.40000000000000036,0.0,10.14,0.39000000000000057
10.56,0.41999999999999993,0.009999999999999787,10.55,0.41000000000000014
10.96,0.40000000000000036,0.010000000000001563,10.95,0.3999999999999986
11.36,0.3999999999999986,0.0,11.36,0.41000000000000014
11.79,0.4299999999999997,0.019999999999999574,11.77,0.41000000000000014
12.19,0.40000000000000036,0.0,12.19,0.41999999999999993
12.59,0.40000000000000036,0.0,12.59,0.40000000000000036
12.99,0.40000000000000036,-0.019999999999999574,13.01,0.41999999999999993
13.42,0.4299999999999997,0.009999999999999787,13.41,0.40000000000000036
13.81,0.39000000000000057,-0.019999999999999574,13.83,0.41999999999999993
14.21,0.40000000000000036,-0.03999999999999915,14.25,0.41999999999999993
14.62,0.40999999999999837,-0.030000000000001137,14.65,0.40000000000000036
15.03,0.41000000000000014,-0.02000000000000135,15.05,0.40000000000000036
15.44,0.41000000000000014,-0.02000000000000135,15.46,0.41000000000000014
15.86,0.41999999999999993,0.0,15.86,0.3999999999999986
16.26,0.40000000000000213,0.010000000000001563,16.25,0.39000000000000057
16.63,0.36999999999999744,-0.0400000000000027,16.67,0.4200000000000017
17.05,0.4200000000000017,0.010000000000001563,17.04,0.36999999999999744
17.44,0.39000000000000057,-0.00999999999999801,17.45,0.41000000000000014
17.83,0.389999999999997,-0.010000000000001563,17.84,0.39000000000000057
18.24,0.41000000000000014,0.0,18.24,0.3999999999999986
18.63,0.39000000000000057,-0.010000000000001563,18.64,0.40000000000000213
19.05,0.4200000000000017,0.0,19.05,0.41000000000000014
19.47,0.41999999999999815,0.00999999999999801,19.46,0.41000000000000014
19.88,0.41000000000000014,0.029999999999997584,19.85,0.39000000000000057
20.26,0.38000000000000256,-0.029999999999997584,20.29,0.4399999999999977
20.68,0.41999999999999815,0.019999999999999574,20.66,0.370000000000001
21.08,0.3999999999999986,0.00999999999999801,21.07,0.41000000000000014
21.47,0.39000000000000057,0.00999999999999801,21.46,0.39000000000000057
21.86,0.39000000000000057,-0.019999999999999574,21.88,0.41999999999999815
22.26,0.40000000000000213,-0.019999999999999574,22.28,0.40000000000000213
22.66,0.3999999999999986,-0.030000000000001137,22.69,0.41000000000000014
23.06,0.3999999999999986,-0.030000000000001137,23.09,0.3999999999999986
23.44,0.38000000000000256,-0.04999999999999716,23.49,0.3999999999999986
23.86,0.41999999999999815,0.0,23.86,0.370000000000001
24.29,0.4299999999999997,0.00999999999999801,24.28,0.4200000000000017
24.66,0.370000000000001,0.0,24.66,0.379999999999999
25.08,0.41999999999999815,0.0,25.08,0.41999999999999815
25.46,0.38000000000000256,0.0,25.46,0.38000000000000256
25.87,0.41000000000000014,0.0,25.87,0.41000000000000014
26.29,0.41999999999999815,0.029999999999997584,26.26,0.39000000000000057
26.67,0.38000000000000256,,,
27.05,0.379999999999999,-0.03999999999999915,27.09,
