Tap Time,ITI,Asynchornies,Tone Time,IOI
0.47,0.29999999999999993,0.0,0.47,0.29
0.74,0.27,-0.010000000000000009,0.75,0.28
1.03,0.29000000000000004,-0.020000000000000018,1.05,0.30000000000000004
1.3,0.27,-0.020000000000000018,1.32,0.27
1.59,0.29000000000000004,-0.010000000000000009,1.6,0.28
1.9,0.30999999999999983,0.020000000000000018,1.88,0.2799999999999998
2.17,0.27,0.0,2.17,0.29000000000000004
2.44,0.27,0.0,2.44,0.27
2.74,0.30000000000000027,0.010000000000000231,2.73,0.29000000000000004
3.01,0.2699999999999996,0.0,3.01,0.2799999999999998
3.28,0.27,-0.03000000000000025,3.31,0.30000000000000027
3.57,0.29000000000000004,-0.010000000000000231,3.58,0.27
3.86,0.29000000000000004,-0.010000000000000231,3.87,0.29000000000000004
4.14,0.2799999999999998,-0.010000000000000675,4.15,0.28000000000000025
4.44,0.3000000000000007,0.0,4.44,0.29000000000000004
4.7,0.2599999999999998,0.0,4.7,0.2599999999999998
4.99,0.29000000000000004,0.0,4.99,0.29000000000000004
5.27,0.27999999999999936,0.0,5.27,0.27999999999999936
5.56,0.29000000000000004,0.0,5.56,0.29000000000000004
5.81,0.25,-0.020000000000000462,5.83,0.27000000000000046
6.09,0.28000000000000025,-0.03000000000000025,6.12,0.29000000000000004
6.38,0.29000000000000004,0.0,6.38,0.2599999999999998
6.67,0.29000000000000004,0.0,6.67,0.29000000000000004
6.93,0.2599999999999998,-0.010000000000000675,6.94,0.27000000000000046
7.23,0.3000000000000007,0.0,7.23,0.29000000000000004
7.48,0.25,-0.009999999999999787,7.49,0.2599999999999998
7.79,0.3099999999999996,0.0,7.79,0.2999999999999998
8.06,0.27000000000000046,-0.009999999999999787,8.07,0.28000000000000025
8.36,0.29999999999999893,0.009999999999999787,8.35,0.27999999999999936
8.63,0.27000000000000135,0.02000000000000135,8.61,0.2599999999999998
8.88,0.25,-0.019999999999999574,8.9,0.2900000000000009
9.17,0.28999999999999915,0.0,9.17,0.2699999999999996
9.47,0.3000000000000007,0.009999999999999787,9.46,0.2900000000000009
9.75,0.27999999999999936,0.03999999999999915,9.71,0.25
10.03,0.27999999999999936,0.019999999999999574,10.01,0.29999999999999893
10.29,0.2599999999999998,0.0,10.29,0.27999999999999936
10.59,0.3000000000000007,0.0,10.59,0.3000000000000007
10.86,0.2699999999999996,0.009999999999999787,10.85,0.2599999999999998
11.15,0.2900000000000009,-0.009999999999999787,11.16,0.3100000000000005
11.41,0.2599999999999998,-0.009999999999999787,11.42,0.2599999999999998
11.71,0.3000000000000007,0.010000000000001563,11.7,0.27999999999999936
11.98,0.2699999999999996,0.009999999999999787,11.97,0.27000000000000135
12.28,0.29999999999999893,0.009999999999999787,12.27,0.29999999999999893
12.52,0.2400000000000002,-0.009999999999999787,12.53,0.2599999999999998
12.83,0.3100000000000005,0.009999999999999787,12.82,0.2900000000000009
13.11,0.27999999999999936,0.02999999999999936,13.08,0.2599999999999998
13.38,0.27000000000000135,0.0,13.38,0.3000000000000007
13.65,0.2699999999999996,0.0,13.65,0.2699999999999996
13.95,0.29999999999999893,0.0,13.95,0.29999999999999893
14.23,0.28000000000000114,0.030000000000001137,14.2,0.25
14.51,0.27999999999999936,0.0,14.51,0.3100000000000005
14.77,0.2599999999999998,0.0,14.77,0.2599999999999998
15.05,0.28000000000000114,-0.019999999999999574,15.07,0.3000000000000007
15.3,0.25,-0.019999999999999574,15.32,0.25
,,,,
15.89,,-0.009999999999999787,15.9,
16.2,0.3099999999999987,0.0,16.2,0.29999999999999893
,,,16.45,0.25
16.75,,0.0,16.75,0.3000000000000007
17.03,0.28000000000000114,0.030000000000001137,17.0,0.25
17.3,0.2699999999999996,0.010000000000001563,17.29,0.28999999999999915
17.56,0.259999999999998,0.0,17.56,0.2699999999999996
17.83,0.2699999999999996,-0.020000000000003126,17.85,0.2900000000000027
18.12,0.2900000000000027,0.0,18.12,0.2699999999999996
18.41,0.28999999999999915,-0.019999999999999574,18.43,0.3099999999999987
18.69,0.28000000000000114,0.0,18.69,0.26000000000000156
18.98,0.28999999999999915,-0.00999999999999801,18.99,0.29999999999999716
19.25,0.2699999999999996,-0.019999999999999574,19.27,0.28000000000000114
19.53,0.28000000000000114,-0.04999999999999716,19.58,0.3099999999999987
19.8,0.2699999999999996,-0.029999999999997584,19.83,0.25
20.07,0.2699999999999996,-0.05999999999999872,20.13,0.3000000000000007
20.34,0.2699999999999996,0.010000000000001563,20.33,0.1999999999999993
20.62,0.28000000000000114,0.0,20.62,0.2900000000000027
20.89,0.2699999999999996,0.010000000000001563,20.88,0.259999999999998
21.17,0.28000000000000114,0.0,21.17,0.2900000000000027
21.42,0.25,-0.019999999999999574,21.44,0.2699999999999996
,,,21.74,0.29999999999999716
21.98,,-0.00999999999999801,21.99,0.25
22.28,0.3000000000000007,0.0,22.28,0.2900000000000027
22.53,0.25,-0.019999999999999574,22.55,0.2699999999999996
22.8,0.2699999999999996,-0.00999999999999801,22.81,0.259999999999998
23.08,0.2799999999999976,0.0,23.08,0.2699999999999996
23.38,0.3000000000000007,0.0,23.38,0.3000000000000007
23.62,0.240000000000002,-0.00999999999999801,23.63,0.25
23.91,0.28999999999999915,-0.03999999999999915,23.95,0.3200000000000003
24.18,0.2699999999999996,0.0,24.18,0.23000000000000043
,,,24.44,0.26000000000000156
24.74,,0.00999999999999801,24.73,0.28999999999999915
25.02,0.28000000000000114,0.0,25.02,0.28999999999999915
