Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.56,
,,,0.81,0.25
,,,1.05,0.24
,,,1.28,0.22999999999999998
,,,1.52,0.24
,,,1.75,0.22999999999999998
,,,1.98,0.22999999999999998
,,,,
,,,2.43,
,,,2.67,0.23999999999999977
,,,2.9,0.22999999999999998
,,,3.14,0.2400000000000002
,,,3.38,0.23999999999999977
,,,3.61,0.22999999999999998
,,,3.84,0.22999999999999998
,,,4.07,0.23000000000000043
,,,4.3,0.22999999999999954
,,,4.53,0.23000000000000043
,,,,
,,,,
5.26,,0.019999999999999574,5.24,
,,,5.46,0.21999999999999975
,,,5.7,0.2400000000000002
,,,5.94,0.2400000000000002
6.17,,-0.009999999999999787,6.18,0.23999999999999932
,,,6.41,0.23000000000000043
,,,6.64,0.22999999999999954
,,,6.87,0.23000000000000043
,,,7.1,0.22999999999999954
,,,,
,,,7.56,
,,,7.79,0.23000000000000043
8.03,,0.0,8.03,0.23999999999999932
8.27,0.2400000000000002,0.009999999999999787,8.26,0.23000000000000043
,,,8.5,0.2400000000000002
,,,8.73,0.23000000000000043
,,,8.97,0.2400000000000002
,,,,
,,,9.44,
,,,9.67,0.23000000000000043
,,,9.91,0.2400000000000002
,,,,
,,,10.38,
,,,,
,,,10.86,
,,,11.08,0.22000000000000064
11.31,,0.0,11.31,0.23000000000000043
,,,11.56,0.25
,,,11.79,0.22999999999999865
,,,12.02,0.23000000000000043
,,,12.26,0.2400000000000002
,,,,
12.73,,0.0,12.73,
,,,12.96,0.23000000000000043
,,,13.19,0.22999999999999865
,,,13.42,0.23000000000000043
,,,13.66,0.2400000000000002
,,,13.89,0.23000000000000043
,,,14.13,0.2400000000000002
,,,14.36,0.22999999999999865
,,,14.59,0.23000000000000043
,,,,
,,,,
15.32,,0.019999999999999574,15.3,
,,,15.55,0.25
,,,,
,,,16.01,
16.25,,0.0,16.25,0.23999999999999844
16.51,0.26000000000000156,0.030000000000001137,16.48,0.23000000000000043
,,,16.72,0.23999999999999844
,,,16.96,0.240000000000002
,,,17.19,0.23000000000000043
,,,17.43,0.23999999999999844
,,,,
,,,17.9,
,,,,
18.38,,0.00999999999999801,18.37,
18.62,0.240000000000002,0.010000000000001563,18.61,0.23999999999999844
,,,18.83,0.21999999999999886
,,,19.07,0.240000000000002
19.3,,-0.019999999999999574,19.32,0.25
19.56,0.259999999999998,,,
