Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.32,
,,,0.63,0.31
0.92,,0.0,0.92,0.29000000000000004
1.24,0.31999999999999995,-0.030000000000000027,1.27,0.35
1.53,0.29000000000000004,-0.030000000000000027,1.56,0.29000000000000004
1.86,0.33000000000000007,-0.039999999999999813,1.9,0.33999999999999986
,,,2.18,0.28000000000000025
2.46,,-0.040000000000000036,2.5,0.31999999999999984
,,,2.83,0.33000000000000007
,,,3.04,0.20999999999999996
3.4,,0.040000000000000036,3.36,0.31999999999999984
,,,,
3.95,,,,
,,,,
,,,,
,,,,
,,,,
,,,5.35,
5.67,,0.0,5.67,0.3200000000000003
5.99,0.3200000000000003,0.020000000000000462,5.97,0.2999999999999998
,,,6.3,0.33000000000000007
6.59,,0.0,6.59,0.29000000000000004
6.9,0.3100000000000005,-0.019999999999999574,6.92,0.33000000000000007
7.2,0.2999999999999998,-0.03000000000000025,7.23,0.3100000000000005
7.52,0.3199999999999994,-0.020000000000000462,7.54,0.3099999999999996
7.85,0.33000000000000007,0.0,7.85,0.3099999999999996
8.15,0.3000000000000007,-0.009999999999999787,8.16,0.3100000000000005
8.45,0.29999999999999893,-0.030000000000001137,8.48,0.3200000000000003
8.78,0.33000000000000007,0.0,8.78,0.29999999999999893
9.08,0.3000000000000007,-0.009999999999999787,9.09,0.3100000000000005
9.4,0.3200000000000003,-0.009999999999999787,9.41,0.3200000000000003
9.71,0.3100000000000005,-0.019999999999999574,9.73,0.3200000000000003
10.04,0.3299999999999983,0.0,10.04,0.3099999999999987
10.28,0.2400000000000002,-0.0600000000000005,10.34,0.3000000000000007
10.58,0.3000000000000007,0.0,10.58,0.2400000000000002
10.87,0.28999999999999915,0.009999999999999787,10.86,0.27999999999999936
11.2,0.33000000000000007,0.03999999999999915,11.16,0.3000000000000007
,,,11.51,0.34999999999999964
,,,,
,,,,
,,,,
,,,12.57,
,,,12.87,0.29999999999999893
13.17,,-0.02999999999999936,13.2,0.33000000000000007
13.51,0.33999999999999986,0.009999999999999787,13.5,0.3000000000000007
13.81,0.3000000000000007,-0.019999999999999574,13.83,0.33000000000000007
14.13,0.3200000000000003,0.02000000000000135,14.11,0.27999999999999936
14.42,0.28999999999999915,-0.019999999999999574,14.44,0.33000000000000007
,,,14.74,0.3000000000000007
15.04,,-0.040000000000000924,15.08,0.33999999999999986
15.35,0.3100000000000005,-0.019999999999999574,15.37,0.28999999999999915
,,,15.69,0.3200000000000003
15.97,,-0.009999999999999787,15.98,0.2900000000000009
,,,,
,,,16.6,
,,,16.92,0.3200000000000003
17.2,,-0.019999999999999574,17.22,0.29999999999999716
,,,17.53,0.3100000000000023
,,,17.82,0.28999999999999915
18.12,,-0.03999999999999915,18.16,0.33999999999999986
,,,18.43,0.2699999999999996
18.72,,-0.030000000000001137,18.75,0.3200000000000003
19.04,0.3200000000000003,-0.010000000000001563,19.05,0.3000000000000007
19.35,0.3100000000000023,-0.03999999999999915,19.39,0.33999999999999986
,,,19.67,0.28000000000000114
,,,19.99,0.31999999999999673
20.29,,0.00999999999999801,20.28,0.2900000000000027
,,,20.59,0.3099999999999987
,,,20.9,0.3099999999999987
21.21,,-0.019999999999999574,21.23,0.33000000000000185
21.51,0.3000000000000007,0.0,21.51,0.28000000000000114
,,,21.83,0.31999999999999673
22.13,,-0.010000000000001563,22.14,0.3100000000000023
22.46,0.33000000000000185,-0.00999999999999801,22.47,0.3299999999999983
22.76,0.3000000000000007,-0.00999999999999801,22.77,0.3000000000000007
23.06,0.29999999999999716,-0.0400000000000027,23.1,0.33000000000000185
23.38,0.3200000000000003,0.0,23.38,0.2799999999999976
23.7,0.3200000000000003,0.0,23.7,0.3200000000000003
23.98,0.28000000000000114,-0.030000000000001137,24.01,0.3100000000000023
24.3,0.3200000000000003,-0.05000000000000071,24.35,0.33999999999999986
24.63,0.3299999999999983,0.0,24.63,0.2799999999999976
24.95,0.3200000000000003,-0.030000000000001137,24.98,0.3500000000000014
25.24,0.28999999999999915,-0.030000000000001137,25.27,0.28999999999999915
,,,25.59,0.3200000000000003
25.89,,0.019999999999999574,25.87,0.28000000000000114
26.17,0.28000000000000114,-0.00999999999999801,26.18,0.3099999999999987
26.47,0.29999999999999716,-0.030000000000001137,26.5,0.3200000000000003
26.78,0.3100000000000023,-0.05999999999999872,26.84,0.33999999999999986
27.1,0.3200000000000003,-0.019999999999999574,27.12,0.28000000000000114
27.41,0.3099999999999987,-0.05999999999999872,27.47,0.34999999999999787
27.71,0.3000000000000007,-0.03999999999999915,27.75,0.28000000000000114
28.03,0.3200000000000003,-0.04999999999999716,28.08,0.3299999999999983
,,,28.38,0.3000000000000007
,,,28.7,0.3200000000000003
28.98,,-0.030000000000001137,29.01,0.3100000000000023
29.29,0.3099999999999987,-0.030000000000001137,29.32,0.3099999999999987
29.62,0.33000000000000185,-0.00999999999999801,29.63,0.3099999999999987
29.94,0.3200000000000003,0.010000000000001563,29.93,0.3000000000000007
30.22,0.2799999999999976,-0.010000000000001563,30.23,0.3000000000000007
30.53,0.3100000000000023,,,
30.85,0.3200000000000003,0.0400000000000027,30.81,
31.18,0.3299999999999983,0.030000000000001137,31.15,0.33999999999999986
31.43,0.25,-0.010000000000001563,31.44,0.2900000000000027
31.74,0.3099999999999987,-0.030000000000001137,31.77,0.3299999999999983
32.06,0.32000000000000384,-0.00999999999999801,32.07,0.3000000000000007
32.39,0.3299999999999983,-0.01999999999999602,32.41,0.3399999999999963
32.69,0.29999999999999716,0.0,32.69,0.28000000000000114
32.99,0.30000000000000426,-0.030000000000001137,33.02,0.3300000000000054
33.31,0.3200000000000003,-0.00999999999999801,33.32,0.29999999999999716
33.61,0.29999999999999716,-0.030000000000001137,33.64,0.3200000000000003
33.93,0.3200000000000003,-0.020000000000003126,33.95,0.3100000000000023
34.23,0.29999999999999716,-0.05000000000000426,34.28,0.3299999999999983
34.58,0.3500000000000014,0.030000000000001137,34.55,0.269999999999996
34.86,0.28000000000000114,-0.020000000000003126,34.88,0.3300000000000054
35.17,0.3100000000000023,0.0,35.17,0.28999999999999915
35.48,0.30999999999999517,,,
,,,35.77,
,,,36.1,0.3299999999999983
,,,36.38,0.28000000000000114
,,,36.72,0.3399999999999963
36.98,,-0.030000000000001137,37.01,0.28999999999999915
37.3,0.3200000000000003,-0.04000000000000625,37.34,0.3300000000000054
37.62,0.3200000000000003,0.0,37.62,0.27999999999999403
37.92,0.30000000000000426,-0.03999999999999915,37.96,0.3400000000000034
38.22,0.29999999999999716,-0.030000000000001137,38.25,0.28999999999999915
38.53,0.3100000000000023,-0.060000000000002274,38.59,0.3400000000000034
38.84,0.3100000000000023,-0.01999999999999602,38.86,0.269999999999996
39.18,0.3399999999999963,0.0,39.18,0.3200000000000003
39.45,0.2700000000000031,-0.02999999999999403,39.48,0.29999999999999716
39.78,0.3299999999999983,-0.00999999999999801,39.79,0.3100000000000023
40.07,0.28999999999999915,-0.020000000000003126,40.09,0.30000000000000426
40.39,0.3200000000000003,0.0,40.39,0.29999999999999716
,,,40.69,0.29999999999999716
41.0,,-0.030000000000001137,41.03,0.3400000000000034
41.31,0.3100000000000023,-0.01999999999999602,41.33,0.29999999999999716
41.63,0.3200000000000003,-0.02999999999999403,41.66,0.3299999999999983
41.97,0.3399999999999963,0.00999999999999801,41.96,0.30000000000000426
42.27,0.30000000000000426,-0.01999999999999602,42.29,0.3299999999999983
42.58,0.30999999999999517,,,
42.8,0.21999999999999886,-0.010000000000005116,42.81,
,,,43.13,0.3200000000000003
,,,,
,,,,
,,,,
,,,,
,,,,
,,,44.81,
45.11,,-0.00999999999999801,45.12,0.30999999999999517
,,,,
45.75,,0.0,45.75,
46.07,0.3200000000000003,-0.00999999999999801,46.08,0.3299999999999983
46.36,0.28999999999999915,0.0,46.36,0.28000000000000114
