Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
1.13,,,,
1.51,0.3800000000000001,,,
1.9,0.3899999999999999,,,
2.27,0.3700000000000001,,,
2.67,0.3999999999999999,0.029999999999999805,2.64,
3.04,0.3700000000000001,,,
3.4,0.3599999999999999,,,
3.79,0.3900000000000001,,,
4.2,0.41000000000000014,-0.009999999999999787,4.21,
4.59,0.3899999999999997,,,
4.97,0.3799999999999999,,,
5.36,0.39000000000000057,,,
,,,5.75,
6.11,,-0.040000000000000036,6.15,0.40000000000000036
6.58,0.46999999999999975,,,
,,,,
,,,,
7.68,,-0.010000000000000675,7.69,
8.07,0.39000000000000057,0.0,8.07,0.3799999999999999
,,,8.48,0.41000000000000014
,,,,
9.22,,-0.019999999999999574,9.24,
,,,9.64,0.40000000000000036
,,,,
,,,10.43,
10.81,,,,
,,,11.22,
11.58,,,,
11.97,0.39000000000000057,,,
12.39,0.41999999999999993,,,
12.78,0.3899999999999988,-0.02000000000000135,12.8,
13.15,0.370000000000001,,,
13.55,0.40000000000000036,,,
13.95,0.3999999999999986,-0.02000000000000135,13.97,
14.34,0.39000000000000057,-0.009999999999999787,14.35,0.379999999999999
14.71,0.370000000000001,,,
,,,15.12,
15.46,,-0.03999999999999915,15.5,0.3800000000000008
15.87,0.40999999999999837,-0.02000000000000135,15.89,0.39000000000000057
16.25,0.3800000000000008,,,
,,,16.67,
,,,17.06,0.389999999999997
,,,17.46,0.40000000000000213
17.82,,-0.030000000000001137,17.85,0.39000000000000057
18.21,0.39000000000000057,-0.029999999999997584,18.24,0.389999999999997
18.59,0.379999999999999,,,
18.98,0.39000000000000057,-0.03999999999999915,19.02,
,,,,
19.77,,-0.03999999999999915,19.81,
20.17,0.40000000000000213,0.0,20.17,0.360000000000003
20.54,0.36999999999999744,-0.030000000000001137,20.57,0.3999999999999986
20.93,0.39000000000000057,-0.019999999999999574,20.95,0.379999999999999
21.31,0.379999999999999,-0.030000000000001137,21.34,0.39000000000000057
21.7,0.39000000000000057,-0.03999999999999915,21.74,0.3999999999999986
,,,22.12,0.38000000000000256
,,,,
,,,22.92,
,,,,
,,,23.7,
,,,,
,,,24.5,
24.86,,,,
25.27,0.41000000000000014,0.0,25.27,
25.66,0.39000000000000057,,,
26.02,0.35999999999999943,-0.030000000000001137,26.05,
26.43,0.41000000000000014,-0.010000000000001563,26.44,0.39000000000000057
26.83,0.3999999999999986,,,
27.22,0.39000000000000057,,,
27.59,0.370000000000001,0.03999999999999915,27.55,
,,,,
28.34,,-0.010000000000001563,28.35,
,,,,
29.1,,0.010000000000001563,29.09,
29.44,0.33999999999999986,,,
29.84,0.3999999999999986,-0.019999999999999574,29.86,
30.21,0.370000000000001,,,
30.63,0.41999999999999815,0.019999999999999574,30.61,
30.98,0.3500000000000014,,,
31.37,0.39000000000000057,0.0,31.37,
31.77,0.3999999999999986,-0.08000000000000185,31.85,0.4800000000000004
32.13,0.360000000000003,0.030000000000001137,32.1,0.25
32.5,0.36999999999999744,,,
32.89,0.39000000000000057,0.03999999999999915,32.85,
,,,33.23,0.37999999999999545
