Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.23,0.21000000000000002
0.47,,,,
0.68,0.21000000000000008,0.020000000000000018,0.66,
,,,0.91,0.25
1.13,,0.019999999999999796,1.11,0.20000000000000007
1.37,0.2400000000000002,0.0,1.37,0.26
1.59,0.21999999999999997,0.010000000000000009,1.58,0.20999999999999996
1.82,0.22999999999999998,-0.010000000000000009,1.83,0.25
,,,2.04,0.20999999999999996
2.24,,,,
2.47,0.22999999999999998,0.0,2.47,
,,,2.72,0.25
2.95,,0.0,2.95,0.22999999999999998
3.17,0.21999999999999975,0.020000000000000018,3.15,0.19999999999999973
3.39,0.2200000000000002,-0.020000000000000018,3.41,0.26000000000000023
,,,3.64,0.22999999999999998
3.85,,-0.020000000000000018,3.87,0.22999999999999998
4.08,0.22999999999999998,,,
4.31,0.22999999999999954,0.0,4.31,
4.55,0.2400000000000002,0.009999999999999787,4.54,0.23000000000000043
4.77,0.21999999999999975,0.0,4.77,0.22999999999999954
5.01,0.2400000000000002,0.009999999999999787,5.0,0.23000000000000043
5.24,0.23000000000000043,0.020000000000000462,5.22,0.21999999999999975
5.46,0.21999999999999975,0.009999999999999787,5.45,0.23000000000000043
,,,5.68,0.22999999999999954
,,,,
6.14,,0.02999999999999936,6.11,
6.39,0.25,0.019999999999999574,6.37,0.2599999999999998
6.61,0.22000000000000064,0.03000000000000025,6.58,0.20999999999999996
,,,6.82,0.2400000000000002
7.07,,0.040000000000000036,7.03,0.20999999999999996
7.28,0.20999999999999996,-0.009999999999999787,7.29,0.2599999999999998
,,,7.51,0.21999999999999975
7.73,,-0.009999999999999787,7.74,0.23000000000000043
7.96,0.22999999999999954,0.0,7.96,0.21999999999999975
8.19,0.22999999999999954,0.009999999999999787,8.18,0.21999999999999975
8.41,0.22000000000000064,0.02999999999999936,8.38,0.20000000000000107
8.64,0.23000000000000043,0.0,8.64,0.2599999999999998
,,,8.87,0.22999999999999865
9.07,,-0.009999999999999787,9.08,0.21000000000000085
9.32,0.25,0.019999999999999574,9.3,0.22000000000000064
,,,,
9.77,,0.009999999999999787,9.76,
10.01,0.2400000000000002,0.019999999999999574,9.99,0.23000000000000043
10.21,0.20000000000000107,0.0,10.21,0.22000000000000064
10.44,0.22999999999999865,-0.009999999999999787,10.45,0.23999999999999844
,,,10.67,0.22000000000000064
10.88,,0.010000000000001563,10.87,0.1999999999999993
11.09,0.20999999999999908,0.009999999999999787,11.08,0.21000000000000085
11.32,0.23000000000000043,-0.009999999999999787,11.33,0.25
11.54,0.21999999999999886,0.009999999999999787,11.53,0.1999999999999993
11.78,0.2400000000000002,0.0,11.78,0.25
