Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.37,0.33999999999999997
,,,0.72,0.35
1.07,,0.030000000000000027,1.04,0.32000000000000006
1.38,0.30999999999999983,0.0,1.38,0.33999999999999986
1.68,0.30000000000000004,-0.020000000000000018,1.7,0.32000000000000006
,,,2.02,0.32000000000000006
,,,,
2.68,,0.010000000000000231,2.67,
,,,3.0,0.33000000000000007
,,,3.33,0.33000000000000007
3.67,,0.020000000000000018,3.65,0.31999999999999984
,,,3.98,0.33000000000000007
,,,,
4.66,,0.009999999999999787,4.65,
,,,4.98,0.33000000000000007
,,,5.3,0.3199999999999994
5.62,,-0.009999999999999787,5.63,0.33000000000000007
,,,5.95,0.3200000000000003
,,,6.27,0.3199999999999994
6.61,,0.010000000000000675,6.6,0.33000000000000007
,,,6.93,0.33000000000000007
,,,7.23,0.3000000000000007
7.55,,-0.020000000000000462,7.57,0.33999999999999986
,,,7.9,0.33000000000000007
,,,8.2,0.29999999999999893
8.56,,0.02000000000000135,8.54,0.33999999999999986
,,,8.86,0.3200000000000003
,,,9.16,0.3000000000000007
9.51,,0.0,9.51,0.34999999999999964
,,,9.81,0.3000000000000007
,,,10.14,0.33000000000000007
10.5,,0.019999999999999574,10.48,0.33999999999999986
,,,10.79,0.3099999999999987
,,,,
11.47,,0.02000000000000135,11.45,
,,,11.74,0.2900000000000009
,,,,
12.43,,0.009999999999999787,12.42,
,,,12.74,0.3200000000000003
,,,13.04,0.29999999999999893
13.37,,0.0,13.37,0.33000000000000007
,,,13.7,0.33000000000000007
,,,13.98,0.28000000000000114
14.34,,0.009999999999999787,14.33,0.34999999999999964
,,,14.64,0.3100000000000005
,,,14.95,0.3099999999999987
15.29,,0.009999999999999787,15.28,0.33000000000000007
15.59,0.3000000000000007,-0.019999999999999574,15.61,0.33000000000000007
,,,15.94,0.33000000000000007
,,,16.28,0.34000000000000163
16.61,,,,
16.95,0.33999999999999986,,,
17.24,0.28999999999999915,-0.010000000000001563,17.25,
,,,,
,,,,
18.25,,0.030000000000001137,18.22,
18.55,0.3000000000000007,0.010000000000001563,18.54,0.3200000000000003
18.85,0.3000000000000007,,,
19.19,0.33999999999999986,0.0,19.19,
,,,19.51,0.3200000000000003
,,,,
20.19,,0.0400000000000027,20.15,
20.49,0.29999999999999716,0.029999999999997584,20.46,0.3100000000000023
,,,20.77,0.3099999999999987
21.08,,-0.010000000000001563,21.09,0.3200000000000003
,,,21.41,0.3200000000000003
,,,21.7,0.28999999999999915
22.06,,0.019999999999999574,22.04,0.33999999999999986
22.38,0.3200000000000003,0.00999999999999801,22.37,0.33000000000000185
22.71,0.33000000000000185,0.03999999999999915,22.67,0.3000000000000007
23.03,0.3200000000000003,0.0400000000000027,22.99,0.31999999999999673
23.33,0.29999999999999716,0.00999999999999801,23.32,0.33000000000000185
,,,23.63,0.3099999999999987
,,,23.95,0.3200000000000003
24.31,,0.019999999999999574,24.29,0.33999999999999986
,,,24.6,0.3100000000000023
